Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,3,RECINE Francesco,Schiacciatore,1999,185,RA,ITA,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,4,GIRONI Fabrizio,Schiacciatore,2000,200,MB,ITA,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,5,ALONSO Roamy,Centrale,1997,201,CUB,CUB,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,6,BRIZARD Antoine,Palleggiatore,1994,200,FRA,FRA,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,8,SANTOS DE SOUZA Ricardo Lucarelli,Schiacciatore,1992,196,BRA,BRA,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,9,LEAL Yoandy,Schiacciatore,1988,201,CUB,BRA,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,10,SCANFERLA Leonardo,Libero,1998,184,PD,ITA,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,12,CESTER Enrico,Centrale,1988,204,TV,ITA,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,13,SIMON Robertlandy,Centrale,1987,208,CUB,CUB,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,17,ROMANÒ Yuri,Schiacciatore,1997,203,MB,ITA,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,18,CANESCHI Edoardo,Centrale,1997,205,AR,ITA,-,-,,,,
A1,2022/2023,Gas Sales Bluenergy Piacenza,Piacenza,19,DE WEIJER Freek,Palleggiatore,1995,192,NED,NED,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,1,STEFANI Tommaso,Schiacciatore,2001,210,FI,ITA,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,2,ANTONOV Oleg,Schiacciatore,1988,198,RUS,ITA,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,3,GARGIULO Giovanni Maria,Centrale,1999,208,NA,ITA,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,4,ALLETTI Aimone,Centrale,1988,207,LO,ITA,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,5,FALASCHI Marco,Palleggiatore,1987,187,PI,ITA,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,6,RIZZO Marco,Libero,1990,185,LE,ITA,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,8,LOEPPKY Eric,Schiacciatore,1998,197,CAN,CAN,-,-,,,,
