Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,10,CHIAPELLO Luca,Schiacciatore,2002,200,CN,ITA,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,11,BOTTO Iacopo,Schiacciatore,1987,190,SP,ITA,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,12,BISOTTO Francesco,Libero,2002,180,CN,ITA,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,18,SIGHINOLFI Nicholas,Centrale,1994,206,MO,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,1,ZAMAGNI Matteo,Centrale,1989,195,RN,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,3,SPORTELLI Mario,Schiacciatore,2000,192,BA,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,4,MARCHISIO Andrea,Libero,1990,186,CN,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,5,TIOZZO Nicola,Schiacciatore,1993,198,VE,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,6,PRESTA Luca,Centrale,1995,200,CS,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,7,CATTANEO Claudio,Schiacciatore,1997,192,SV,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,8,LONGO Giuseppe,Palleggiatore,1998,188,BA,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,9,DI SILVESTRE Paolo Luigi,Schiacciatore,1998,195,PE,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,10,DE SANTIS Saverio,Libero,1999,175,RC,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,11,LOPES NERY Theo Fabricio,Schiacciatore,1983,200,BRA,BRA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,14,CARELLI Dario,Schiacciatore,1989,193,BA,ITA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,15,JUKOSKI Pedro,Palleggiatore,1995,186,BRA,BRA,-,-,,,,
A2,2022/2023,BCC Castellana Grotte,Castellana Grotte Mater,18,NDRECAJ Gerald,Centrale,1999,197,CT,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,-,URBANOWICZ Jakub,Schiacciatore,1993,203,POL,POL,dal 27/01/2023,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,1,ORLANDO BOSCARDINI Andrea,Centrale,2001,205,RI,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,2,BIASOTTO Manuel,Centrale,2001,204,GE,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,3,IZZO Marco,Palleggiatore,1994,195,MS,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,4,EL MOUDDEN Omar,Libero,2002,182,BA,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,5,LECAT Francois,Schiacciatore,1993,200,BEL,BEL,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,6,PANCIOCCO Marco Rocco,Schiacciatore,1999,200,RM,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,7,AZAZ EL SAIDY Mohamed,Schiacciatore,2006,195,SA,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,8,BIASOTTO Morgan,Schiacciatore,2003,205,GE,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,9,MASTRANGELO Roberto,Palleggiatore,1998,188,CE,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,10,BONOLA Paolo,Centrale,1992,200,SO,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,11,PEREIRA DA SILVA Wagner,Schiacciatore,1993,198,BRA,BRA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,12,DI CARLO Andrea,Libero,1999,180,BA,ITA,-,-,,,,
A2,2022/2023,Cave Del Sole Lagonegro,Lagonegro,15,ARMENANTE Stefano,Schiacciatore,1999,190,CS,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,1,SANTAMBROGIO Filippo,Palleggiatore,1999,181,MI,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,3,MARIANO Romolo,Schiacciatore,1991,190,BG,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,4,PEROTTO Luiz Felipe,Schiacciatore,1992,192,BRA,BRA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,5,CANTAGALLI Marco,Libero,2002,190,ITA,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,6,SPEROTTO Lorenzo,Palleggiatore,1999,190,VE,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,7,CACIAGLI Lorenzo,Centrale,2000,197,RE,ITA,dal 22/12/2022,proveniente da Stadium Pallavolo Mirandola,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,9,MESCHIARI Matteo,Schiacciatore,2002,201,MO,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,10,CANTAGALLI Diego,Schiacciatore,1999,203,PA,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,11,MIAN Riccardo,Schiacciatore,1998,195,UD,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,12,ELIA Alberto,Centrale,1985,205,VT,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,13,TORCHIA Ernesto,Libero,1998,180,CZ,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,14,VOLPE Nicolò,Centrale,2003,193,TO,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,15,BUCCIARELLI Nicholas,Centrale,2001,200,RE,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,17,SURACI Antonino,Schiacciatore,1996,200,VA,ITA,-,-,,,,
A2,2022/2023,Conad Reggio Emilia,Reggio Emilia,2,MAZIARZ Aleksander,Centrale,1995,205,POL,POL,fino al 22/12/2022,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,1,COMPARONI Francesco,Centrale,2001,204,PR,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,2,MONOPOLI Natale,Palleggiatore,1975,183,VE,ITA,dal 23/11/2022,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,4,CHIELLA Leonardo,Libero,2006,180,GR,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,5,ORTO Simone,Libero,2004,184,CT,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,6,NGAPETH Swan,Schiacciatore,1992,186,FRA,FRA,dal 21/12/2022,proveniente da Emma Villas Aubay Siena,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,7,BOVOLENTA Alessandro,Schiacciatore,2004,205,RM,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,8,ARASOMWAN Martins,Centrale,1995,200,NGR,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,9,PINALI Roberto,Schiacciatore,1995,187,BO,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,10,GOI Riccardo,Libero,1992,173,MN,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,11,MANCINI Filippo,Palleggiatore,2004,188,RN,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,12,TRUOCCHIO Ranieri,Schiacciatore,2004,196,PT,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,14,ORIOLI Mattia,Schiacciatore,2004,198,FC,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,16,CEBAN Victorio,Centrale,2001,203,FE,ITA,-,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,18,TOMASSINI Lorenzo,Centrale,2004,195,RA,ITA,dal 18/07/2022,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,6,POL Alberto,Schiacciatore,2001,201,TV,ITA,fino al 17/12/2022,-,,,,
A2,2022/2023,Consar RCM Ravenna,Ravenna Robur,2,COSCIONE Manuel,Palleggiatore,1980,188,CN,ITA,fino al 22/11/2022,trasferito a Kemas Lamipel Santa Croce,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,1,RIZZETTI Francesco,Libero,2003,182,BS,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,2,PETRAS Jacub,Schiacciatore,1998,198,SVK,SVK,dal 19/12/2022,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,3,GATTO Riccardo,Schiacciatore,2003,193,VR,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,4,LOGLISCI Gianluca,Schiacciatore,1998,195,MN,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,5,TIBERTI Simone,Palleggiatore,1980,182,BS,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,6,GIANI Lorenzo,Palleggiatore,2002,190,CO,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,7,SARZI SARTORI Tommaso,Centrale,2004,199,BS,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,8,BRAGHINI Mattia,Schiacciatore,2004,187,BS,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,9,BISI Fabio,Schiacciatore,1994,200,MO,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,10,FRANZONI Andrea,Libero,1989,186,BS,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,11,GALLIANI Andrea,Schiacciatore,1988,204,MB,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,12,CANDELI Nicola,Centrale,1993,200,BS,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,13,GHIRARDI Pietro,Palleggiatore,2005,189,BS,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,14,ESPOSITO Davide,Centrale,1995,203,CN,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,15,MIJATOVIC Dane,Centrale,1992,202,SLO,SLO,dal 16/12/2022,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,16,TOGNI Gianluca,Schiacciatore,2005,188,BS,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,17,GAVILAN Abrahan Alfonso,Schiacciatore,1995,197,CUB,CUB,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,18,BETTINZOLI Andrea,Schiacciatore,2003,180,BS,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,18,SCARPELLINI Alessandro,Centrale,2003,195,-,ITA,-,-,,,,
A2,2022/2023,Consoli McDonald's Brescia,Brescia Atlantide,2,LUISETTO Michele,Centrale,1996,190,PD,ITA,fino al 24/11/2022,trasferito a Med Store Tunit Macerata,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,1,ERATI Alex,Centrale,1994,202,MI,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,2,ZORZI Enrico,Palleggiatore,1990,182,PD,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,3,RUSSO Davide Luigi,Libero,2001,180,LE,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,4,VEDOVOTTO Filippo,Schiacciatore,1990,192,VE,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,7,SETTE Felice,Schiacciatore,1996,187,BA,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,8,LAMPRECHT Egon,Libero,1980,185,BZ,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,9,BARONE Rocco,Centrale,1987,198,RC,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,10,MACCARONE Graziano,Centrale,1996,200,VV,ITA,dal 23/10/2022,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,11,GARNICA Fernando Gabriel,Palleggiatore,1980,190,ARG,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,13,BELLEI Giacomo,Schiacciatore,1988,202,VR,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,14,PIEROTTI Marco,Schiacciatore,1996,193,PU,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,15,SPERANDIO Matteo,Centrale,1992,200,TV,ITA,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,17,KRZYSIEK Bartosz,Schiacciatore,1990,207,POL,POL,-,-,,,,
A2,2022/2023,Delta Group Porto Viro,Porto Viro,18,IERVOLINO Riccardo,Schiacciatore,2003,193,BS,ITA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,-,ACQUARONE Alessandro,Palleggiatore,1999,187,IM,ITA,dal 01/12/2022,proveniente da Kemas Lamipel Santa Croce,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,-,POL Alberto,Schiacciatore,2001,201,TV,ITA,dal 17/12/2022,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,1,SANTI Sebastiano,Libero,1998,180,VE,ITA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,2,TRILLINI Stefano,Centrale,1999,189,MC,ITA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,3,CAVASIN Alberto,Schiacciatore,2001,196,VE,ITA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,4,SCHIRO Andrea,Schiacciatore,2001,203,VI,ITA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,6,CUNIAL Edoardo,Schiacciatore,2004,198,TV,ITA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,7,PILOTTO Enrico,Centrale,1998,198,PD,ITA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,8,BELLANOVA Giuseppe,Palleggiatore,2003,192,BR,ITA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,10,SECCO COSTA Matheus,Schiacciatore,1995,201,BRA,BRA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,11,ACUTI Alessandro,Centrale,2000,198,BZ,ITA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,13,KORDAS Valentin,Schiacciatore,1998,191,EST,EST,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,16,BATTISTA Leonardo,Libero,1995,180,BA,ITA,-,-,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,5,PARTENIO Pier Paolo,Palleggiatore,1993,197,MC,ITA,fino al 16/12/2022,trasferito a Vigilar Fano,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,17,LAZZARETTO Enrico,Schiacciatore,1995,198,PD,ITA,fino al 16/12/2022,trasferito a Med Store Tunit Macerata,,,,
A2,2022/2023,HRK Motta di Livenza,Motta di Livenza,9,FUSARO Francesco,Centrale,1999,200,VE,ITA,fino al 02/12/2022,trasferito a Allianz Milano,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,1,GABBRIELLINI Lorenzo,Libero,2003,185,PI,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,2,COSCIONE Manuel,Palleggiatore,1980,188,CN,ITA,dal 23/11/2022,proveniente da Consar RCM Ravenna,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,2,ARGUELLES SANCHEZ David,Schiacciatore,2003,199,CUB,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,3,FAVARO Gioele,Schiacciatore,2003,192,PD,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,4,BRUCINI Nicolas,Schiacciatore,2004,196,BS,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,5,MOTZO Matheus,Schiacciatore,1999,192,BRA,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,6,CAPRONI Lorenzo,Centrale,2001,197,LI,ITA,dal 11/11/2022,proveniente da Shedirpharma Sorrento,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,7,COLLI Leonardo,Schiacciatore,1996,195,PI,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,8,MAIOCCHI Matteo,Schiacciatore,1998,192,MI,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,10,VIGIL GONZALEZ Alejandro,Centrale,1993,204,ESP,ESP,dal 27/07/2022,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,11,COMPAGNONI Mirco,Centrale,2003,202,BS,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,12,ROSSI Federico,Schiacciatore,2003,191,LU,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,13,HANZIC Tino,Schiacciatore,2000,197,CRO,CRO,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,14,GIANNINI Francesco,Palleggiatore,2003,189,FI,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,15,LORETI Luca,Libero,2005,190,RM,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,16,MORGESE Davide,Libero,1996,172,RE,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,17,GIOVANNETTI Davide,Palleggiatore,2001,195,FI,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,18,TRUOCCHIO Andrea,Centrale,2000,206,PT,ITA,-,-,,,,
A2,2022/2023,Kemas Lamipel Santa Croce,Santa Croce,9,ACQUARONE Alessandro,Palleggiatore,1999,187,IM,ITA,fino al 30/11/2022,trasferito a HRK Motta di Livenza,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,1,GIANOTTI Francesco,Palleggiatore,2003,195,MB,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,3,MONGUZZI Dario,Centrale,1984,204,MB,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,4,BUTTI Luca,Libero,1991,184,CO,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,5,GAMBA Kristian,Schiacciatore,2000,190,AO,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,6,OTTAVIANI Giuseppe,Schiacciatore,1991,196,VT,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,7,AGUENIER Jonas Bastien Baptiste,Centrale,1992,202,FRA,FRA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,8,MAZZA Federico,Centrale,1996,200,MI,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,9,ROTA Giacomo,Schiacciatore,2002,184,LC,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,10,ALBERINI Alessio,Palleggiatore,1998,185,VE,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,12,GALLIANI Alessandro,Schiacciatore,1998,197,MB,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,13,CARUCCI Alessandro,Schiacciatore,1994,195,MI,ITA,dal 25/03/2023,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,14,PRETI Alessandro,Schiacciatore,1992,204,AUT,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,16,COMPAGNONI Federico,Schiacciatore,2003,205,MN,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,17,PICCHIO Matteo,Libero,2000,182,MB,ITA,-,-,,,,
A2,2022/2023,Pool Libertas Cantù,Cantù,11,ROSSI Gianluca,Centrale,2003,202,MB,ITA,fino al 24/11/2022,trasferito a Vero Volley Monza,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,1,BALDAZZI Alberto,Schiacciatore,1998,199,FE,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,2,KATALAN Nicolò,Centrale,1998,200,TS,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,3,PEGORARO Andrea,Centrale,2003,198,VE,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,4,DE ANGELIS Carlo,Libero,1996,190,LT,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,6,DE PAOLA Antonio,Schiacciatore,1988,192,LT,ITA,dal 07/12/2022,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,7,SCOPELLITI Simone,Centrale,1994,205,RC,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,8,BONINFANTE Mattia,Palleggiatore,2004,190,VE,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,9,BRUNO Manuel,Schiacciatore,1994,181,CS,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,10,GUTIERREZ Miguel,Schiacciatore,1997,197,CUB,CUB,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,11,GAMBELLA Fabrizio,Schiacciatore,2000,193,ARG,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,12,DE GIOVANNI Antonio,Palleggiatore,2000,197,PN,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,13,BORTOLOZZO Matteo,Centrale,1989,200,PD,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,14,PETRAS Michal,Schiacciatore,1996,191,SVK,SVK,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,17,PORRO Luca,Schiacciatore,2004,191,GE,ITA,-,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,18,HIRSCH Simon,Schiacciatore,1992,204,GER,GER,dal 20/01/2023,-,,,,
A2,2022/2023,Tinet Prata di Pordenone,Prata,5,PINARELLO Denis,Libero,1997,180,TV,ITA,fino al 03/09/2022,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,1,MIJAILOVIC Nikola,Schiacciatore,1989,192,SRB,SRB,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,2,CANDELLARO Davide,Centrale,1989,200,PD,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,3,CAVACCINI Domenico,Libero,1987,178,SA,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,5,ORDUNA Santiago,Palleggiatore,1983,183,ARG,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,6,CARTA Leonardo,Libero,2003,190,SS,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,7,TONDO Alessandro,Centrale,1991,202,LE,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,8,PIAZZA Lorenzo,Palleggiatore,1992,182,PE,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,9,BALESTRA Cosimo,Centrale,2003,200,TA,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,11,TALLONE Alessio,Schiacciatore,1999,199,PU,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,12,TERPIN Jernej,Schiacciatore,1996,194,GO,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,13,LUCCONI Manuele,Schiacciatore,1999,194,PU,ITA,dal 13/12/2022,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,14,BELLUOMO Marco,Centrale,2003,195,CT,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,15,FEDRIZZI Michele,Schiacciatore,1991,192,TN,ITA,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,17,BUCHEGGER Paul,Schiacciatore,1996,204,AUT,AUT,-,-,,,,
A2,2022/2023,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,10,BELLIA Matteo,Schiacciatore,2000,200,TV,ITA,fino al 15/12/2022,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,2,GIORGINI Giacomo,Libero,2002,188,AN,ITA,-,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,3,CUBITO Marco,Centrale,1992,202,ME,ITA,-,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,4,VECCHI Riccardo,Schiacciatore,1996,185,FM,ITA,-,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,5,FOCOSI Leonardo,Centrale,2000,202,PT,ITA,-,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,6,PISON Francesco,Palleggiatore,1988,188,FM,ITA,-,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,7,BARTOLUCCI Filippo,Centrale,2003,197,PU,ITA,-,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,8,NIELSEN Rasmus Breuning,Schiacciatore,1994,198,DEN,DEN,-,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,9,FERRINI Federico,Schiacciatore,1994,195,AN,ITA,-,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,11,BONACIC Dusan,Schiacciatore,1995,197,CHI,CHI,-,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,12,ROMITI Andrea,Palleggiatore,2007,185,MC,ITA,-,-,,,,
A2,2022/2023,Videx Yuasa Grottazzolina,Grottazzolina,13,FORESI Diego,Libero,2007,172,FM,ITA,-,-,,,,
