Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,,
A1,Stagione2022/23,E-Work Busto Arsizio,Busto Arsizio,7,Rosamaria Montibeller,Opposto,BRA,186,1994,,,,
A1,Stagione2022/23,E-Work Busto Arsizio,Busto Arsizio,8,Giuditta Lualdi,Centrale,ITA,186,1995,,,,
A1,Stagione2022/23,E-Work Busto Arsizio,Busto Arsizio,10,Lena Stigrot,Schiacciatrice,GER,182,1994,,,,
A1,Stagione2022/23,E-Work Busto Arsizio,Busto Arsizio,12,Valentina Colombo,Centrale,ITA,185,2003,,,,
A1,Stagione2022/23,E-Work Busto Arsizio,Busto Arsizio,13,Rossella Olivotto,Centrale,ITA,189,1991,,,,
A1,Stagione2022/23,E-Work Busto Arsizio,Busto Arsizio,14,Giorgia Zannoni,Libero,ITA,171,1998,,,,
A1,Stagione2022/23,E-Work Busto Arsizio,Busto Arsizio,15,Loveth Oghosasere Omoruyi,Schiacciatrice,ITA,184,2002,,,,
A1,Stagione2022/23,E-Work Busto Arsizio,Busto Arsizio,16,Katerina Zakchaiou,Centrale,CYP,192,1998,,,,
A1,Stagione2022/23,E-Work Busto Arsizio,Busto Arsizio,17,Chiara Bressan,Libero,ITA,170,2004,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,1,Jordyn Poulter,Palleggiatrice,USA,188,1997,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,2,Carlotta Cambi,Palleggiatrice,ITA,176,1996,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,3,Mckenzie Elise Adams,Schiacciatrice,USA,192,1992,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,5,Giulia Bresciani,Libero,ITA,165,1992,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,6,Gaia Giovannini,Schiacciatrice,ITA,182,2001,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,7,Ilaria Battistoni,Palleggiatrice,ITA,174,1996,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,8,Eleonora Fersino,Libero,ITA,169,2000,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,9,Caterina Bosetti,Schiacciatrice,ITA,180,1994,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,10,Cristina Chirichella,Centrale,ITA,195,1994,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,11,Anna Danesi,Centrale,ITA,196,1996,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,12,Lucia Varela Gomez,Centrale,ESP,197,2003,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,13,Sara Bonifacio,Schiacciatrice,ITA,185,1996,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,14,Kenia Carcaces,Schiacciatrice,CUB,189,1986,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,15,Julia Ituma,Opposto,ITA,192,2004,,,,
A1,Stagione2022/23,Igor Gorgonzola Novara,Novara,99,Ebrar Karakurt,Opposto,TUR,196,2000,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,1,Rhamat Alhassan,Centrale,USA,195,1996,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,2,Amandha Sylves,Centrale,FRA,196,2000,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,4,Britt Herbots,Schiacciatrice,BEL,182,1999,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,5,Silvia Lotti,Schiacciatrice,ITA,188,1992,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,6,Gaia Guiducci,Palleggiatrice,ITA,178,2002,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,7,Celine Van Gestel,Schiacciatrice,BEL,183,1997,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,9,Sara Panetoni,Libero,ITA,174,2000,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,10,Jolien Knollema,Schiacciatrice,NED,189,2003,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,11,Anna Adelusi,Schiacciatrice,ITA,186,2003,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,12,Terry Ruth Enweonwu,Schiacciatrice,ITA,185,2000,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,13,Emma Graziani,Centrale,ITA,193,2002,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,15,Sylvia Nwakalor,Opposto,ITA,176,1999,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,17,Bianca Lapini,Libero,ITA,183,2002,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,18,Dayana Kosareva,Schiacciatrice,ITA,186,1999,,,,
A1,Stagione2022/23,Il Bisonte Firenze,Firenze,23,Ofelia Malinov,Palleggiatrice,ITA,185,1996,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,1,Vittoria Piani,Opposto,ITA,187,1998,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,3,Eleonora Furlan,Centrale,ITA,188,1995,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,5,Andrea Carrie Drews,Opposto,USA,191,1993,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,6,Sofia D'Odorico,Schiacciatrice,ITA,186,1997,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,7,Imma Sirressi,Libero,ITA,175,1990,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,8,Maja Aleksic,Centrale,SRB,188,1997,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,9,Valeria Papa,Schiacciatrice,ITA,183,1989,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,11,Giulia Mancini,Centrale,ITA,183,1998,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,12,Micha Danielle Hancock,Palleggiatrice,USA,180,1992,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,13,Emma Barbero,Libero,ITA,170,2004,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,14,Beatrice Berti,Centrale,ITA,193,1996,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,15,Tatiana Kosheleva,Schiacciatrice,RUS,191,1988,,,,
A1,Stagione2022/23,Megabox Ond. Savio Vallefoglia,Vallefoglia,22,Raquel Lazàro Castellanos,Palleggiatrice,ESP,184,2000,,,,
