Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,4,Martina Martinelli,Opposto,ITA,181,1994,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,5,Letizia Anello,Centrale,ITA,180,2002,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,6,Virginia Marchesi,Opposto,ITA,178,2001,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,7,Haylee Nelson,Schiacciatrice,USA,182,2000,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,8,Anna Menegaldo,Centrale,ITA,183,2001,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,11,Francesca Trevisan,Schiacciatrice,ITA,180,1995,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,13,Noemi Porzio,Libero,ITA,177,1984,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,14,Giulia Galletti,Palleggiatrice,ITA,188,1999,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,15,Alessia Pomili,Centrale,ITA,192,2000,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,16,Giulia Bartesaghi,Schiacciatrice,ITA,187,1998,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,17,Martina Casarotti,Palleggiatrice,ITA,184,2003,,,,
A2,Stagione2022/23,Club Italia,Club Italia,1,Nausica Acciarri,Centrale,ITA,186,2004,,,,
A2,Stagione2022/23,Club Italia,Club Italia,2,Nicole Modesti,Centrale,ITA,188,2004,,,,
A2,Stagione2022/23,Club Italia,Club Italia,3,Virginia Adriano,Opposto,ITA,196,2004,,,,
A2,Stagione2022/23,Club Italia,Club Italia,4,Giorgia Amoruso,Schiacciatrice,ITA,181,2006,,,,
A2,Stagione2022/23,Club Italia,Club Italia,5,0 Batte Ilaria,Palleggiatrice,ITA,185,2005,,,,
A2,Stagione2022/23,Club Italia,Club Italia,6,Aurora Micheletti,Centrale,ITA,190,2005,,,,
A2,Stagione2022/23,Club Italia,Club Italia,7,Giulia Viscioni,Schiacciatrice,ITA,185,2004,,,,
A2,Stagione2022/23,Club Italia,Club Italia,8,Noemi Despaigne,Schiacciatrice,ITA,185,2005,,,,
A2,Stagione2022/23,Club Italia,Club Italia,9,Manuela Ribechi,Libero,ITA,172,2004,,,,
A2,Stagione2022/23,Club Italia,Club Italia,10,Viola Passaro,Palleggiatrice,ITA,182,2004,,,,
A2,Stagione2022/23,Club Italia,Club Italia,11,Arianna Gambini,Libero,ITA,176,2005,,,,
A2,Stagione2022/23,Club Italia,Club Italia,12,Lisa Esposito,Schiacciatrice,ITA,187,2005,,,,
A2,Stagione2022/23,Club Italia,Club Italia,13,Dominika Giuliani,Schiacciatrice,ITA,192,2004,,,,
A2,Stagione2022/23,Club Italia,Club Italia,14,Caterina Peroni,Schiacciatrice,ITA,186,2007,,,,
A2,Stagione2022/23,Club Italia,Club Italia,15,Maia Carlotta Monaco,Centrale,ITA,185,2006,,,,
A2,Stagione2022/23,Club Italia,Club Italia,16,Sara Bellia,Schiacciatrice,ITA,192,2004,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,1,Kadi Kullerkann,Opposto,EST,195,1992,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,3,Beatrice Balconati,Palleggiatrice,ITA,175,2004,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,4,Marina Giacomello,Opposto,ITA,190,2004,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,5,Liis Kullerkann,Centrale,EST,191,1991,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,6,Jasmine Rossini,Schiacciatrice,ITA,180,1992,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,7,Sofia Ferrarini,Centrale,ITA,185,2001,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,8,Anna Piovesan,Schiacciatrice,ITA,187,2004,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,11,Cristina Coppi,Schiacciatrice,ITA,180,1994,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,13,Chiara Landucci,Centrale,ITA,185,2002,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,14,Ludovica Mennecozzi,Palleggiatrice,ITA,cm,2003,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,15,Simona Buffo,Schiacciatrice,ITA,181,1998,,,,
A2,Stagione2022/23,D&a Esperia Cremona,Cremona,17,Patrizia Zampedri,Libero,ITA,165,1993,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,1,Francesca Mammini,Palleggiatrice,ITA,178,2004,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,2,Giulia Bozzoli,Opposto,ITA,187,2004,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,3,Amelia Bici,Libero,ITA,165,1998,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,4,Ludovica Bonato,Schiacciatrice,ITA,183,2004,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,6,Irene Mescoli,Schiacciatrice,ITA,183,2006,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,9,Aneta Zojzi,Schiacciatrice,ITA,186,2003,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,10,Elisa Lancellotti,Palleggiatrice,ITA,173,1991,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,11,Giulia Visintini,Opposto,ITA,183,1995,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,12,Taismary Aguero,Schiacciatrice,ITA,178,1977,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,13,Alessandra Rossi,Centrale,ITA,183,1997,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,14,Alma Frangipane,Schiacciatrice,ITA,190,1996,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,15,Martina Nordi,Palleggiatrice,ITA,cm,2002,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,16,Viola Montagnani,Libero,ITA,174,2005,,,,
A2,Stagione2022/23,Emilbronzo 2000 Montale,Montale,17,Elena Fronza,Centrale,ITA,183,1992,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,1,Clara Anna Venco,Palleggiatrice,ITA,170,2002,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,2,Sofia Milani,Schiacciatrice,ITA,178,2005,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,3,Cristina Fiorio,Schiacciatrice,ITA,180,1997,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,4,Gaia Badalamenti,Schiacciatrice,ITA,171,2002,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,5,Martina Balboni,Palleggiatrice,ITA,180,1991,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,6,Alessandra Mistretta,Libero,ITA,165,2002,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,7,Martina Morandi,Libero,ITA,175,2002,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,8,Viola Tonello,Centrale,ITA,184,1994,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,9,Elisa Zanette,Opposto,ITA,193,1996,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,12,Alessia Arciprete,Schiacciatrice,ITA,181,1997,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,14,Alexandra Botezat,Centrale,,196,1998,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,15,Chiara Pandolfi,Centrale,ITA,187,2004,,,,
A2,Stagione2022/23,Futura Giovani Busto Arsizio,Busto Arsizio,17,Leketor Member-Meneh,Schiacciatrice,USA,174,1999,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,3,Chiara Mason,Schiacciatrice,ITA,183,2000,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,4,Ester Serafini,Palleggiatrice,ITA,175,2001,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,5,Francesca Michieletto,Schiacciatrice,ITA,184,1997,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,6,Silvia Fondriest,Centrale,ITA,188,1988,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,7,Asia Bonelli,Palleggiatrice,ITA,181,2000,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,8,Chiara Libardi,Libero,ITA,170,1997,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,9,Martina Stocco,Palleggiatrice,ITA,190,2000,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,10,Francesca Parlangeli,Libero,ITA,164,1990,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,11,Carly Dehoog,Opposto,USA,194,1994,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,12,Jessica Joly,Schiacciatrice,ITA,180,2000,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,13,Elena Bisio,Opposto,ITA,183,2000,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,15,Annalisa Michieletto,Schiacciatrice,ITA,178,2000,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,17,Denise Meli,Centrale,ITA,180,2001,,,,
A2,Stagione2022/23,Itas Trentino,Trentino,18,Gaia Moretto,Centrale,ITA,192,1994,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,1,Nadine Zech,Schiacciatrice,ITA,182,2003,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,2,Marika Longobardi,Schiacciatrice,ITA,178,1998,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,3,Alessia Populini,Schiacciatrice,ITA,179,2000,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,5,Morgana Giubilato,Libero,ITA,173,2001,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,8,Alessandra Colzi,Centrale,ITA,180,1997,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,11,Valeria Pizzolato,Centrale,ITA,182,1999,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,12,Laura Grigolo,Schiacciatrice,ITA,183,1996,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,13,Chiara Riparbelli,Centrale,ITA,188,1996,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,14,Beatrice Giroldi,Palleggiatrice,ITA,170,1995,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,15,Ana tiemi Takagui,Palleggiatrice,BRA,187,1987,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,17,Clara Decortes,Opposto,ITA,183,1996,,,,
A2,Stagione2022/23,Lpm Bam Mondovì,Mondovì,18,Veronica Bisconti,Libero,ITA,174,1991,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,1,Rebecca Rimoldi,Palleggiatrice,ITA,173,1998,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,2,Martina Bracchi,Opposto,ITA,182,2002,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,3,Arianna Lancini,Schiacciatrice,ITA,178,1996,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,6,Chiara Albano,Centrale,ITA,185,1999,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,7,Livia Tresoldi,Centrale,ITA,183,1998,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,8,Maria Teresa Bassi,Schiacciatrice,ITA,188,2002,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,9,Maddalena Citterio,Schiacciatrice,ITA,184,2004,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,10,Gaia Belloni,Palleggiatrice,ITA,172,2004,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,11,Federica Piacentini,Centrale,ITA,193,2001,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,13,Ilaria Bonvicini,Libero,ITA,165,1997,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,16,Vitalia Marmen,Schiacciatrice,ISR,190,1997,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,17,Anna Rocca,Libero,ITA,168,2002,,,,
A2,Stagione2022/23,Orocash Lecco,Lecco,18,Serena Zingaro,Schiacciatrice,ITA,178,1993,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,2,Martina Veneriano,Centrale,ITA,179,1995,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,3,Giorgia Bernasconi,Centrale,ITA,182,2001,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,4,Cecilia Nicolini,Palleggiatrice,ITA,181,1994,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,6,Claudia Nicoli,Palleggiatrice,ITA,181,2000,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,7,Valentina Cantaluppi,Schiacciatrice,ITA,184,2004,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,8,Michela Gallizioli,Centrale,ITA,182,1993,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,9,Federica Stroppa,Opposto,ITA,182,1997,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,10,Mariana Cassemiro,Schiacciatrice,BRA,184,1987,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,11,Beatrice Badini,Centrale,ITA,185,1999,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,13,Chiara Pinto,Schiacciatrice,ITA,178,1997,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,14,Elena Rolando,Libero,ITA,165,1999,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,15,Alessia Conti,Opposto,ITA,194,2003,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,17,Alice Nardo,Schiacciatrice,ITA,182,2002,,,,
A2,Stagione2022/23,Tecnoteam Albese Volley Como,Como,18,Elena Radice,Libero,ITA,160,2004,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,1,Sophie Andrea Blasi,Libero,ITA,177,2002,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,2,Bianca Orlandi,Schiacciatrice,ITA,180,2003,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,5,Jennifer Boldini,Palleggiatrice,ITA,187,1999,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,7,Claudia Consoli,Centrale,ITA,183,2002,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,8,Alice Torcolacci,Centrale,ITA,184,2000,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,9,Lea Cvetnic,Schiacciatrice,CRO,186,1999,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,10,Alice Pamio,Schiacciatrice,ITA,181,1998,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,11,Josephine Obossa,Opposto,ITA,183,1999,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,13,Matilde Munarini,Centrale,ITA,187,2004,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,15,Serena Scognamillo,Libero,ITA,170,2001,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,16,Aurora Zorzetto,Schiacciatrice,ITA,185,2003,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,17,Elena Foresi,Palleggiatrice,ITA,181,2000,,,,
A2,Stagione2022/23,Valsabbina Millenium Brescia,Brescia,18,Sonia Ratti,Opposto,ITA,184,2001,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,1,Glenda Messaggi,Opposto,ITA,182,1999,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,3,Sara Fontemaggi,Schiacciatrice,ITA,180,2002,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,4,Kristiine Miilen,Schiacciatrice,EST,183,1996,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,6,Islam Gannar,Centrale,ITA,189,2004,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,9,Astou Diagne,Centrale,ITA,187,2001,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,10,Daniela soledad Bulaich Simian,Schiacciatrice,ARG,175,1997,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,11,Ulrike Bridi,Palleggiatrice,ITA,182,1998,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,12,Francesca Bresciani,Palleggiatrice,ITA,175,1999,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,13,Sara Tajè,Centrale,ITA,187,1998,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,14,Alice Barbagallo,Libero,ITA,168,1997,,,,
A2,Stagione2022/23,Volley Hermaea Olbia,Olbia,18,Charlotte Schirò,Opposto,ITA,182,1997,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,3,Emanuela Agbortabi,Centrale,ITA,180,2002,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,5,Gaia Traballi,Schiacciatrice,ITA,183,1997,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,6,Candela Sol Salinas,Schiacciatrice,ARG,183,2000,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,7,Elisa Bosi,Palleggiatrice,ITA,175,2004,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,8,Beatrice Rota,Libero,ITA,166,1999,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,9,Giulia Patasce,Schiacciatrice,ITA,180,2004,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,11,Michela Negri,Centrale,ITA,184,2003,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,14,Lucija Giudici,Opposto,ITA,192,1993,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,16,Francesca Dalla Rosa,Schiacciatrice,ITA,178,1998,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,17,Marta Pero,Centrale,ITA,178,1989,,,,
A2,Stagione2022/23,3m Pallavolo Perugia,Perugia,18,Miriana Manig,Palleggiatrice,ITA,177,1998,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,3,Dessaa Legros,Schiacciatrice,USA,179,1995,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,4,Sonia Galazzo,Palleggiatrice,ITA,176,1997,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,5,Chiara Groff,Schiacciatrice,ITA,188,2003,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,6,Jessica Panucci,Schiacciatrice,ITA,180,1992,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,7,Florencia Ferraro,Palleggiatrice,ITA,170,2003,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,8,Ludovica Martinez Volskis,Centrale,ITA,184,2005,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,9,Eugenia Wilma Ottino,Schiacciatrice,ITA,176,2001,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,10,Alice Farina,Centrale,ITA,188,2000,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,11,Julia Kavalenka,Opposto,POR,191,1999,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,12,Lisa Cheli,Centrale,ITA,187,1992,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,13,Silvia Formaggio,Libero,ITA,171,2000,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,14,Lidia Digonzelli,Opposto,ITA,182,2005,,,,
A2,Stagione2022/23,Anthea Vicenza Volley,Vicenza,16,Gaia Munaron,Schiacciatrice,ITA,178,2003,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,1,Natasha Spinello,Palleggiatrice,ITA,174,1998,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,3,Noemi Moschettini,Palleggiatrice,ITA,185,2003,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,4,Chiara Costagli,Schiacciatrice,ITA,188,1998,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,5,0 Polesello Giulia,Centrale,ITA,185,2004,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,7,Eliise Hollas,Centrale,EST,184,1993,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,8,Aurora Giorgetta,Opposto,ITA,182,2004,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,9,Giada Di Mario,Libero,ITA,180,2004,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,10,Martina Ghezzi,Schiacciatrice,ITA,184,2001,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,11,Danjiela Dzakovic,Schiacciatrice,MNE,183,1994,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,12,Irene Botarelli,Opposto,ITA,188,1996,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,13,Asia Cogliandro,Centrale,ITA,184,1996,,,,
A2,Stagione2022/23,Assitec Volleyball Sant'Elia,Sant'Elia,18,Federica Vittorio,Libero,ITA,164,1991,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,1,Veronica Taborelli,Opposto,ITA,184,1994,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,2,Chidera Eze Blessing,Palleggiatrice,NGR,181,2003,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,3,Elisa Tognini,Schiacciatrice,ITA,187,2004,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,4,Andrea Crisafulli,Schiacciatrice,ITA,172,2004,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,6,Giulia De Nardi,Libero,ITA,171,1994,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,7,Giovanna Milana,Schiacciatrice,USA,188,1998,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,8,Ilaria Michelini,Palleggiatrice,ITA,182,1999,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,9,Benedetta Campagnolo,Centrale,ITA,187,2003,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,10,Aurora Rossetto,Schiacciatrice,ITA,188,1997,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,12,Alice Trampus,Schiacciatrice,ITA,193,2004,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,14,Isabella Monaco,Libero,ITA,173,2001,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,17,Anna Caneva,Centrale,ITA,187,1992,,,,
A2,Stagione2022/23,Cda Talmassons,Talmassons,18,Veronica Costantini,Centrale,ITA,191,2003,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,1,Barbara Varaldo,Opposto,ITA,185,1995,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,2,Melissa Martinelli,Centrale,ITA,190,1993,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,3,Greta Catania,Centrale,ITA,188,2004,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,4,Sara Ciancio,Libero,ITA,167,1999,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,6,Valentina Martilotti,Schiacciatrice,ITA,180,1988,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,7,Valentina Mearini,Centrale,ITA,181,1994,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,9,Margherita Muzi,Palleggiatrice,ITA,182,1994,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,10,Valentina Brandi,Palleggiatrice,ITA,179,2004,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,12,Giorgia Silotto,Schiacciatrice,ITA,180,1997,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,13,Madelyn Robinson,Schiacciatrice,USA,178,2000,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,14,Aurélia Ebatombo,Opposto,FRA,184,1998,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,15,Giorgia Faraone,Libero,ITA,168,1994,,,,
A2,Stagione2022/23,Desi Shipping Akademia Messina,Messina,16,Michela Pisano,Libero,ITA,cm,1987,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,1,Marianna Maggipinto,Libero,ITA,164,1996,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,5,Sara Muraro,Opposto,ITA,178,2002,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,6,Benedetta Cometti,Centrale,ITA,180,2000,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,7,Karin Barbazeni,Centrale,ITA,195,1999,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,8,Valentina Bartolucci,Palleggiatrice,ITA,181,2003,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,9,Giorgia Mazzon,Opposto,ITA,185,1998,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,10,Giulia Marconato,Centrale,ITA,190,2003,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,11,Giulia Malvicini,Palleggiatrice,ITA,184,1997,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,12,Giulia Angelina,Schiacciatrice,ITA,192,1997,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,14,Alice Tanase,Schiacciatrice,ITA,183,2000,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,15,Sara Esposito,Opposto,ITA,183,2000,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,17,Rachele Nardelli,Schiacciatrice,ITA,186,2001,,,,
A2,Stagione2022/23,Ipag S.Lle Ramonda Montecchio,Montecchio,18,Margherita Brandi,Centrale,ITA,183,2002,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,1,Linda Cabassa,Schiacciatrice,ITA,178,2004,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,2,Veronica Allasia,Palleggiatrice,ITA,180,2000,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,3,Giorgia Sironi,Opposto,ITA,185,1995,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,4,Dalila Modestino,Centrale,ITA,185,1998,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,6,Ilaria Granieri,Palleggiatrice,ITA,179,2001,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,7,Marta Lazzarin,Libero,ITA,162,2004,,,,
