Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2009/2010,A1,Acqua Paradiso Monza,1,SIVULA Urpo,Spiker,1988,194,FIN,FIN,-,-
2009/2010,A1,Acqua Paradiso Monza,2,RAUWERDINK Jeroen,Spiker,1985,199,NED,NED,-,-
2009/2010,A1,Acqua Paradiso Monza,3,PESENTI Matteo,Libero,1976,184,BG,ITA,-,-
2009/2010,A1,Acqua Paradiso Monza,4,KRUMINS Davis,Setter,1990,195,LAT,ITA,-,-
2009/2010,A1,Acqua Paradiso Monza,5,SEMENZATO Andrea,Middleblocker,1981,208,VE,ITA,-,-
2009/2010,A1,Acqua Paradiso Monza,7,TUOMINEN Jari,Spiker,1986,200,FIN,FIN,-,-
2009/2010,A1,Acqua Paradiso Monza,8,FORNI Marcello,Middleblocker,1980,200,MO,ITA,-,-
2009/2010,A1,Acqua Paradiso Monza,9,MOLTENI Marco,Spiker,1976,196,BS,ITA,-,-
2009/2010,A1,Acqua Paradiso Monza,11,BUTI Simone,Middleblocker,1983,208,FI,ITA,-,-
2009/2010,A1,Acqua Paradiso Monza,12,HALDANE Jason,Middleblocker,1971,202,CAN,CAN,from 11/10/2009,-
2009/2010,A1,Acqua Paradiso Monza,13,TRAVICA Dragan,Setter,1986,200,CRO,ITA,-,-
2009/2010,A1,Acqua Paradiso Monza,15,GAVOTTO Mauro,Spiker,1979,202,CN,ITA,-,-
2009/2010,A1,Acqua Paradiso Monza,16,DE LUCA Francesco,Spiker,1986,206,LT,ITA,-,-
2009/2010,A1,Acqua Paradiso Monza,18,EXIGA Jean-Francois,Libero,1982,176,FRA,FRA,-,-
2009/2010,A1,Andreoli Latina,2,VAN DEN DRIES Bram,Spiker,1989,206,BEL,BEL,-,-
2009/2010,A1,Andreoli Latina,4,GITTO Carmelo,Middleblocker,1987,200,ME,ITA,-,-
2009/2010,A1,Andreoli Latina,6,CORTINA Danilo,Libero,1987,188,CT,ITA,-,-
2009/2010,A1,Andreoli Latina,7,GIOVI Andrea,Libero,1983,185,PG,ITA,-,-
2009/2010,A1,Andreoli Latina,8,SAITTA Davide,Setter,1987,188,CT,ITA,-,-
2009/2010,A1,Andreoli Latina,9,SNIPPE Jan Willem,Spiker,1986,200,NED,NED,-,-
2009/2010,A1,Andreoli Latina,10,NIKIC Milos,Spiker,1986,194,SRB,SRB,-,-
2009/2010,A1,Andreoli Latina,11,FABRONI Marco,Setter,1981,190,VA,ITA,-,-
2009/2010,A1,Andreoli Latina,12,GERIC Andrija,Middleblocker,1977,203,SRB,SRB,-,-
2009/2010,A1,Andreoli Latina,13,VUJEVIC Goran,Spiker,1973,192,MNE,MNE,-,-
2009/2010,A1,Andreoli Latina,14,SPAIRANI Riccardo,Middleblocker,1978,197,MI,ITA,-,-
2009/2010,A1,Andreoli Latina,17,GIOMBINI Leondino,Spiker,1975,205,AN,ITA,-,-
2009/2010,A1,Aran Cucine Abruzzo Pineto,1,RAVELLINO Manuele,Middleblocker,1974,200,NA,ITA,-,-
2009/2010,A1,Aran Cucine Abruzzo Pineto,2,PEREZ MORENO Victor,Spiker,1976,195,FRA,FRA,-,-
2009/2010,A1,Aran Cucine Abruzzo Pineto,3,ROBERTS Nathan,Spiker,1986,200,AUS,AUS,-,-
2009/2010,A1,Aran Cucine Abruzzo Pineto,4,CENTORAME Claudio,Libero,1992,180,TE,ITA,from 11/10/2009,-
2009/2010,A1,Aran Cucine Abruzzo Pineto,4,HERNANDEZ Osvaldo,Spiker,1970,198,CUB,ITA,from 11/11/2009 15/01/2010,-
2009/2010,A1,Aran Cucine Abruzzo Pineto,5,MODICA Riccardo,Setter,1973,180,PA,ITA,-,-
2009/2010,A1,Aran Cucine Abruzzo Pineto,7,LAMPARIELLO Davidson,Libero,1980,190,BRA,ITA,-,-
2009/2010,A1,Aran Cucine Abruzzo Pineto,9,RONALDO ROYAL Henrique,Setter,1976,194,BRA,BRA,until 10/03/2010,-
2009/2010,A1,Aran Cucine Abruzzo Pineto,10,SBORGIA Emanuele,Middleblocker,1981,198,PE,ITA,-,-
2009/2010,A1,Aran Cucine Abruzzo Pineto,11,DI FRANCO Massimiliano,Middleblocker,1978,203,CL,ITA,-,-
