Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2009/2010,A1,Asystel Volley Novara,1,STAELENS KIM,Setter,1982,182,NED,from 04/01/2010 AL 21/02/2010
2009/2010,A1,Asystel Volley Novara,3,ROSSO VALERIA,Middleblocker,1981,182,ITA,-
2009/2010,A1,Asystel Volley Novara,5,PAGGI PAOLA,Middleblocker,1976,182,ITA,-
2009/2010,A1,Asystel Volley Novara,6,PODOLEC ANNA,Spiker,1985,193,POL,-
2009/2010,A1,Asystel Volley Novara,7,BARCELLINI CRISTINA,Spiker,1986,185,ITA,-
2009/2010,A1,Asystel Volley Novara,8,BARAZZA JENNY,Middleblocker,1981,185,ITA,-
2009/2010,A1,Asystel Volley Novara,9,KIRILLOVA IRINA,Setter,1965,180,CRO,-
2009/2010,A1,Asystel Volley Novara,10,ZARDO CAROLINA,Libero,1992,170,ITA,-
2009/2010,A1,Asystel Volley Novara,11,SCARABELLI CHIARA,Spiker,1993,182,ITA,-
2009/2010,A1,Asystel Volley Novara,12,FLIER MANON,Spiker,1984,192,NED,-
2009/2010,A1,Asystel Volley Novara,12,LAPI CHIARA,Spiker,1991,0,-,-
2009/2010,A1,Asystel Volley Novara,13,SIRRESSI IMMA,Libero,1990,175,ITA,-
2009/2010,A1,Asystel Volley Novara,14,KOZUCH MARGARETA ANNA,Spiker,1986,187,GER,-
2009/2010,A1,Asystel Volley Novara,15,TOM LOGAN,Spiker,1981,186,USA,-
2009/2010,A1,Asystel Volley Novara,18,VEGLIA TIZIANA,Spiker,1992,0,ITA,from 01/11/2009
2009/2010,A1,Asystel Volley Novara,18,CAMERA LETIZIA,Setter,1992,175,ITA,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,1,LABATE ALESSANDRA,Middleblocker,1981,187,ITA,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,3,AGOSTINETTO MARTA,Spiker,1987,184,ITA,from 03/01/2010
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,5,DALIA LUDOVICA,Setter,1984,180,ITA,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,7,CARDANI ELISA,Libero,1990,170,ITA,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,8,LIPICER SAMEC TINA,Spiker,1979,183,SLO,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,9,MORETTI FRANCESCA,Spiker,1985,178,ITA,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,10,CARACUTA VALERIA,Setter,1987,173,ITA,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,11,SANSONNA STEFANIA,Libero,1982,175,ITA,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,12,NAGY MARIANN,Spiker,1976,192,HUN,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,13,SONINHA SONIA BENEDITO,Spiker,1978,184,BRA,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,15,JONTES KATJA,Middleblocker,1986,186,SLO,-
2009/2010,A1,Cgf Recycle Florens Castellana Grotte,17,RITSCHELOVA MARCELA,Middleblocker,1972,191,CZE,BIAMONTE DANIELA
2009/2010,A1,Chateau d'Ax Urbino Volley,2,NUCU IULIANA,Middleblocker,1980,186,ROM,-
2009/2010,A1,Chateau d'Ax Urbino Volley,3,BECHIS MARTA,Setter,1989,181,ITA,-
2009/2010,A1,Chateau d'Ax Urbino Volley,4,HAVLICKOVA ANETA,Spiker,1987,193,CZE,-
