Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,1,SALA Andrea,Middleblocker,1978,202,VA,ITA,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,2,RAUWERDINK Jeroen,Spiker,1985,199,NED,NED,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,3,PESENTI Matteo,Spiker,1976,184,BG,ITA,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,4,HORSTINK Robert,Spiker,1981,201,NED,NED,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,5,TIBERTI Simone,Setter,1980,180,BS,ITA,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,6,PAPARONI Alessandro,Spiker,1981,191,MC,ITA,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,7,ESKO Mikko,Setter,1978,198,FIN,FIN,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,8,FORNI Marcello,Middleblocker,1980,200,MO,ITA,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,9,MOR Carlo,Middleblocker,1989,202,MI,ITA,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,11,HOWARD Daniel Allan,Middleblocker,1976,209,AUS,AUS,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,13,BELLEI Giacomo,Spiker,1988,202,VR,ITA,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,15,GAVOTTO Mauro,Spiker,1979,202,CN,ITA,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,17,ZITO Giuseppe,Libero,1989,188,EN,ITA,-,-
2008/2009,A1,Acqua Paradiso Gabeca Montichiari,18,MANIÀ Loris,Libero,1979,190,GO,ITA,-,-
2008/2009,A1,Antonveneta Padova,1,GARGHELLA Andrea,Libero,1982,192,PD,ITA,-,-
2008/2009,A1,Antonveneta Padova,2,DE TOGNI Giorgio,Middleblocker,1985,202,FE,ITA,-,-
2008/2009,A1,Antonveneta Padova,3,GOTTARDO Luca,Spiker,1989,194,PD,ITA,-,-
2008/2009,A1,Antonveneta Padova,6,MEGGIOLARO Erardo,Setter,1977,192,PD,ITA,-,-
2008/2009,A1,Antonveneta Padova,7,MANIERO Massimo,Spiker,1980,210,PD,ITA,-,-
2008/2009,A1,Antonveneta Padova,8,RAYMAEKERS Matias,Middleblocker,1982,207,BEL,BEL,-,-
2008/2009,A1,Antonveneta Padova,9,KRAL Jiri,Middleblocker,1981,200,CZE,CZE,-,-
2008/2009,A1,Antonveneta Padova,10,MATTERA Giordano,Setter,1983,200,RM,ITA,-,-
2008/2009,A1,Antonveneta Padova,12,GATO Ramon Moya,Spiker,1973,192,CUB,CUB,until 22/02/2009,-
2008/2009,A1,Antonveneta Padova,13,PERAZZOLO Lorenzo,Spiker,1984,198,MN,ITA,-,-
2008/2009,A1,Antonveneta Padova,14,KROMM Robert,Spiker,1984,211,GER,GER,-,-
2008/2009,A1,Antonveneta Padova,15,MARUOTTI Gabriele,Spiker,1988,196,RM,ITA,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,1,WIJSMANS Wout,Spiker,1977,201,BEL,BEL,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,2,ARIAUDO Andrea,Spiker,1987,195,CN,ITA,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,4,GONZALEZ Javier,Setter,1983,192,CUB,CUB,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,5,FORTUNATO Francesco,Middleblocker,1977,201,VI,ITA,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,6,VERGNAGHI Daniele,Libero,1972,193,MI,ITA,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,7,JERONCIC Gregor,Middleblocker,1974,201,SLO,ITA,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,8,NIKOLOV Vladimir,Spiker,1977,200,BUL,BUL,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,9,NUTI Marco,Setter,1970,188,PI,ITA,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,10,CURTI Valerio,Middleblocker,1978,203,MO,ITA,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,11,ABBADI Manius,Spiker,1976,202,BRA,BRA,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,12,BIRIBANTI Francesco,Spiker,1976,198,TR,ITA,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,15,PIERI Francesco,Libero,1982,185,PO,ITA,-,-
2008/2009,A1,Bre Banca Lannutti Cuneo,16,PLATENIK Peter,Spiker,1981,196,SVK,CZE,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,1,BOSCHI Federico,Setter,1987,188,PR,ITA,from 24/11/2008,-
2008/2009,A1,Copra Nordmeccanica Piacenza,1,FALASCA Guillermo,Spiker,1977,200,ARG,ESP,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,2,RAK Michal,Middleblocker,1979,205,CZE,CZE,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,3,PAMPEL Christian,Spiker,1979,195,GER,GER,from 14/12/2008,-
2008/2009,A1,Copra Nordmeccanica Piacenza,5,INSALATA Vito,Middleblocker,1977,194,BA,ITA,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,6,MEONI Marco,Setter,1973,196,PD,ITA,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,7,MARSHALL Leonel,Spiker,1979,196,CUB,CUB,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,8,GRASSANO Michele,Spiker,1986,196,FG,ITA,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,9,BONINFANTE Dante,Setter,1977,188,SA,ITA,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,10,ZINGARO Marco,Libero,1982,188,TV,ITA,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,11,ZLATANOV Hristo,Spiker,1976,201,BUL,ITA,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,12,DURANTE Gianluca,Libero,1976,195,LE,ITA,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,13,BRAVO Joao Paolo,Spiker,1979,197,BRA,BRA,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,16,DUNNES Christian,Spiker,1984,209,GER,GER,-,-
2008/2009,A1,Copra Nordmeccanica Piacenza,18,BJELICA Novica,Middleblocker,1983,202,CRO,SRB,-,-
2008/2009,A1,Framasil Pineto,1,DE OLIVEIRA Cleber,Spiker,1978,200,BRA,BRA,-,-
2008/2009,A1,Framasil Pineto,2,HIETANEN Matti,Spiker,1983,199,FIN,FIN,-,-
2008/2009,A1,Framasil Pineto,3,FANTIN Rafael Luiz Dentinho,Spiker,1978,193,BRA,BRA,-,-
2008/2009,A1,Framasil Pineto,4,VICINI Marco,Libero,1974,193,AN,ITA,-,-
2008/2009,A1,Framasil Pineto,5,SBORGIA Emanuele,Middleblocker,1981,198,PE,ITA,-,-
2008/2009,A1,Framasil Pineto,6,JAGO Eerik,Spiker,1980,196,EST,EST,-,-
2008/2009,A1,Framasil Pineto,7,LAMPARIELLO Davidson,Libero,1980,198,BRA,ITA,-,-
2008/2009,A1,Framasil Pineto,8,MANCINI Marco,Spiker,1975,190,AQ,ITA,-,-
2008/2009,A1,Framasil Pineto,9,DE GENNARO LEME Rodrigo,Setter,1980,183,BRA,BRA,-,-
2008/2009,A1,Framasil Pineto,10,RODRIGO PINTO Rivaldo,Spiker,1980,202,BRA,BRA,-,-
2008/2009,A1,Framasil Pineto,11,BUTI Simone,Middleblocker,1983,208,FI,ITA,-,-
2008/2009,A1,Framasil Pineto,12,FABRONI Marco,Setter,1981,190,VA,ITA,-,-
2008/2009,A1,Framasil Pineto,13,RAVELLINO Manuele,Middleblocker,1974,201,NA,ITA,-,-
2008/2009,A1,Framasil Pineto,14,VIGILANTE Cristian,Spiker,1983,200,AN,ITA,from 22/10/2008,proveniente da Volley Corigliano
2008/2009,A1,Itas Diatec Trentino,1,KAZIYSKI Matey,Spiker,1984,203,BUL,BUL,-,-
2008/2009,A1,Itas Diatec Trentino,2,SEGNALINI Andrea,Libero,1988,185,RM,ITA,-,-
2008/2009,A1,Itas Diatec Trentino,3,BIRARELLI Emanuele,Middleblocker,1981,202,AN,ITA,-,-
2008/2009,A1,Itas Diatec Trentino,6,ZYGADLO Lukasz,Setter,1979,201,POL,POL,-,-
2008/2009,A1,Itas Diatec Trentino,7,DELLA LUNGA Dore,Spiker,1984,194,AN,ITA,-,-
2008/2009,A1,Itas Diatec Trentino,8,VISSOTTO NEVES Leandro,Spiker,1983,212,BRA,BRA,-,-
2008/2009,A1,Itas Diatec Trentino,9,GRBIC Nikola,Setter,1973,195,SRB,SRB,-,-
2008/2009,A1,Itas Diatec Trentino,10,DE PAOLA Antonio,Spiker,1988,192,LT,ITA,-,-
2008/2009,A1,Itas Diatec Trentino,12,LEONARDI Nicola,Middleblocker,1988,202,TN,ITA,-,-
2008/2009,A1,Itas Diatec Trentino,13,WINIARSKI Michal,Spiker,1983,200,POL,POL,-,-
2008/2009,A1,Itas Diatec Trentino,15,GARCIA PIRES RIBEIRO Riad,Middleblocker,1981,204,BRA,BRA,-,-
2008/2009,A1,Itas Diatec Trentino,16,BARI Andrea,Libero,1980,185,AN,ITA,-,-
2008/2009,A1,Itas Diatec Trentino,17,STEFANOV Kramisir,Spiker,1977,202,BUL,BUL,-,-
2008/2009,A1,Itas Diatec Trentino,18,PISCOPO Cosimo Marco,Middleblocker,1983,205,LE,ITA,-,-
2008/2009,A1,Lube Banca Marche Macerata,1,LEBL Martin,Middleblocker,1980,201,CZE,CZE,-,-
2008/2009,A1,Lube Banca Marche Macerata,3,GIOVI Andrea,Libero,1983,185,PG,ITA,-,-
2008/2009,A1,Lube Banca Marche Macerata,5,VERMIGLIO Valerio,Setter,1976,189,ME,ITA,-,-
2008/2009,A1,Lube Banca Marche Macerata,6,BARTOLETTI Andrea,Spiker,1978,201,AN,ITA,-,-
2008/2009,A1,Lube Banca Marche Macerata,7,SNIPPE Jan Willem,Spiker,1986,200,NED,NED,-,-
2008/2009,A1,Lube Banca Marche Macerata,9,SARACENI Gianluca,Spiker,1979,200,RM,ITA,-,-
2008/2009,A1,Lube Banca Marche Macerata,10,MARTINO Matteo,Spiker,1987,198,AL,ITA,-,-
2008/2009,A1,Lube Banca Marche Macerata,11,MONOPOLI Natale,Setter,1975,183,VE,ITA,-,-
2008/2009,A1,Lube Banca Marche Macerata,13,CORSANO Mirko,Libero,1973,191,LE,ITA,-,-
2008/2009,A1,Lube Banca Marche Macerata,14,"SANTANA Rodrigo ""Rodrigao""",Middleblocker,1979,205,BRA,BRA,-,-
2008/2009,A1,Lube Banca Marche Macerata,15,OMRCEN Igor,Spiker,1980,208,CRO,CRO,-,-
2008/2009,A1,Lube Banca Marche Macerata,16,SWIDERSKI Sebastian,Spiker,1977,196,POL,POL,-,-
2008/2009,A1,Lube Banca Marche Macerata,18,PODRASCANIN Marko,Middleblocker,1987,203,SRB,SRB,-,-
2008/2009,A1,Marmi Lanza Verona,1,LATELLI Maurizio,Libero,1974,190,CZ,ITA,-,-
2008/2009,A1,Marmi Lanza Verona,3,PARODI Simone,Spiker,1986,195,IM,ITA,-,-
2008/2009,A1,Marmi Lanza Verona,4,POPP Marcus,Spiker,1981,191,GER,GER,-,-
2008/2009,A1,Marmi Lanza Verona,5,SOTTILE Daniele,Setter,1979,186,ME,ITA,-,-
2008/2009,A1,Marmi Lanza Verona,6,VOLPINI Martino,Spiker,1989,190,PI,ITA,-,-
2008/2009,A1,Marmi Lanza Verona,7,LASKO Michal,Spiker,1981,202,POL,ITA,-,-
2008/2009,A1,Marmi Lanza Verona,11,DEHNE Frank,Setter,1976,202,GER,GER,-,-
2008/2009,A1,Marmi Lanza Verona,12,SZABO Dàvid,Spiker,1990,202,HUN,HUN,-,-
2008/2009,A1,Marmi Lanza Verona,13,COLACI Massimo,Libero,1985,180,LE,ITA,from 16/10/2008,proveniente da Volley Corigliano
2008/2009,A1,Marmi Lanza Verona,14,MARIC Goran,Spiker,1981,204,SRB,SRB,-,-
2008/2009,A1,Marmi Lanza Verona,15,SEMENZATO Andrea,Middleblocker,1981,208,VE,ITA,-,-
2008/2009,A1,Marmi Lanza Verona,17,BONTJE Rob,Middleblocker,1981,206,NED,NED,-,-
2008/2009,A1,Marmi Lanza Verona,18,MOSTERTS Matteo,Middleblocker,1986,202,MI,ITA,-,-
2008/2009,A1,Rpa-Luigibacchi.It Perugia,1,KOVACEVIC Nikola,Spiker,1983,193,SRB,SRB,-,-
2008/2009,A1,Rpa-Luigibacchi.It Perugia,3,SAVANI Cristian,Spiker,1982,195,MN,ITA,-,-
2008/2009,A1,Rpa-Luigibacchi.It Perugia,7,NEMEC Martin,Spiker,1984,198,SVK,SVK,-,-
2008/2009,A1,Rpa-Luigibacchi.It Perugia,8,SERAFINI Simone,Setter,1975,184,RM,ITA,-,-
2008/2009,A1,Rpa-Luigibacchi.It Perugia,9,CRUZ DE CARVALHO Danilo,Middleblocker,1985,203,BRA,BRA,from 23/11/2008,-
