Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2008/2009,A1,Asystel Volley Novara,1,ANZANELLO SARA,Middleblocker,1980,192,ITA,-
2008/2009,A1,Asystel Volley Novara,2,FENG KUN,Setter,1978,183,CHN,from 25/09/2008
2008/2009,A1,Asystel Volley Novara,3,ROSSO VALERIA,Middleblocker,1981,182,ITA,-
2008/2009,A1,Asystel Volley Novara,5,PAGGI PAOLA,Middleblocker,1976,182,ITA,-
2008/2009,A1,Asystel Volley Novara,6,PODOLEC ANNA,Spiker,1985,193,POL,-
2008/2009,A1,Asystel Volley Novara,7,BARCELLINI CRISTINA,Spiker,1986,185,ITA,-
2008/2009,A1,Asystel Volley Novara,8,BECHIS MARTA,Setter,1989,181,ITA,-
2008/2009,A1,Asystel Volley Novara,9,CAMERA LETIZIA,Spiker,1992,0,-,from 12/10/2008
2008/2009,A1,Asystel Volley Novara,10,CARDULLO PAOLA,Libero,1982,162,ITA,-
2008/2009,A1,Asystel Volley Novara,11,LOMBARDO GILDA,Spiker,1989,183,ITA,-
2008/2009,A1,Asystel Volley Novara,12,SCARABELLI CHIARA,Libero,1993,182,ITA,-
2008/2009,A1,Asystel Volley Novara,13,OSMOKROVIC NATASA,Spiker,1976,184,CRO,-
2008/2009,A1,Asystel Volley Novara,14,KOZUCH MARGARETA ANNA,Spiker,1986,187,GER,-
2008/2009,A1,Asystel Volley Novara,16,ZARDO CAROLINA,Libero,1992,167,ITA,from 10/12/2008
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,1,SCOTT-ARRUDA DANIELLE,Middleblocker,1972,188,USA,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,2,QUARANTA ANNAMARIA,Spiker,1981,184,ITA,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,3,TRIBUZIO PIA,Libero,1981,160,ITA,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,4,ELISANGELA PEREIRA DE SOUZA PAULINO,Spiker,1980,187,BRA,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,5,DALIA LUDOVICA,Setter,1984,180,ITA,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,6,ROANI MANUELA,Spiker,1983,186,ITA,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,7,KARALYUS EKATERINA,Spiker,1983,180,ITA,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,10,PETKOVA ILIYANA,Middleblocker,1977,191,BUL,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,11,SANSONNA STEFANIA,Libero,1982,175,ITA,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,13,SONINHA SONIA BENEDITO,Spiker,1978,184,BRA,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,14,MONCADA ELISA,Setter,1987,177,ITA,-
2008/2009,A1,Cgf Recycle Florens Castellana Grotte,16,DE HAES HANNE,Middleblocker,1986,191,BEL,-
2008/2009,A1,Despar Perugia,1,STAELENS KIM,Setter,1982,182,NED,-
2008/2009,A1,Despar Perugia,3,TOGUT ELISA,Spiker,1978,192,ITA,-
2008/2009,A1,Despar Perugia,4,CRISANTI LUCIA,Middleblocker,1986,186,ITA,-
2008/2009,A1,Despar Perugia,5,CASILLO LUISA,Middleblocker,1988,188,ITA,-
2008/2009,A1,Despar Perugia,7,DUSHKYEVICH YEVGENIYA,Middleblocker,1979,187,UKR,-
2008/2009,A1,Despar Perugia,8,DECORDI GIULIA,Spiker,1986,184,ITA,-
2008/2009,A1,Despar Perugia,9,ARCANGELI CHIARA,Libero,1983,169,ITA,-
2008/2009,A1,Despar Perugia,10,PINCERATO GIULIA,Setter,1987,182,ITA,-
2008/2009,A1,Despar Perugia,11,YANG HAO,Spiker,1980,182,CHN,from 06/10/2008
2008/2009,A1,Despar Perugia,12,ANGELONI VERONICA,Spiker,1986,186,ITA,-
2008/2009,A1,Despar Perugia,13,WILLOUGHBY KIM,Spiker,1980,178,USA,-
2008/2009,A1,Despar Perugia,15,VAN TIENEN JANNEKE,Spiker,1979,179,NED,from 06/10/2008
2008/2009,A1,Despar Perugia,17,MEDAGLIONI MARTA,Libero,1986,160,ITA,-
2008/2009,A1,Famila Chieri,1,BUSSO ELENA,Middleblocker,1976,195,ITA,-
2008/2009,A1,Famila Chieri,2,DE ANGELIS VALENTINA,Spiker,1990,185,ITA,from 10/09/2008
2008/2009,A1,Famila Chieri,3,TAROZZO CLAUDIA,Libero,1987,167,ITA,-
