Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2015/2016,A1,Supercoppa,Final,-,1,0,24/10/2015,20:30,4964,80650,C,Diatec Trentino,Trento,2,3,6,13,16,37,8,16,21,35,5,11,18,23,8,16,21,25,8,14,19,23,7,16,21,25,6,16,21,25,8,14,20,23,3,6,8,11,5,10,12,15,86,27,38,119,14,3,99,3,0.73,0.38,148,13,15,66,0.45,-,17
2015/2016,A1,Supercoppa,Final,-,1,0,24/10/2015,20:30,4964,80650,O,DHL Modena,Modena,3,2,8,16,21,35,6,13,16,37,8,16,21,25,5,11,18,23,7,16,21,25,8,14,19,23,8,14,20,23,6,16,21,25,5,10,12,15,3,6,8,11,95,26,35,123,24,3,105,3,0.78,0.32,161,10,17,77,0.48,-,15
2015/2016,A1,Regular_Season,1st,1,-,1,25/10/2015,18:00,1817,5814,C,Tonazzo Padova,Padova,0,3,3,10,12,14,8,16,21,25,6,15,16,18,8,16,21,25,5,16,20,22,8,15,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,11,-10,55,11,3,66,8,0.52,0.3,84,12,5,34,0.4,-,5
2015/2016,A1,Regular_Season,1st,1,-,1,25/10/2015,18:00,1817,5814,O,Ninfa Latina,Latina,3,0,8,16,21,25,3,10,12,14,8,16,21,25,6,15,16,18,8,15,21,25,5,16,20,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,20,16,74,7,5,44,5,0.43,0.25,66,3,5,41,0.62,-,5
2015/2016,A1,Regular_Season,1st,1,-,2,27/10/2015,20:30,2422,18741,C,DHL Modena,Modena,3,2,8,16,21,25,6,13,16,23,7,16,19,29,8,15,21,27,8,13,19,22,7,16,21,25,7,16,19,21,8,15,21,25,5,10,12,15,1,5,5,8,75,29,-6,112,18,7,84,9,0.51,0.35,124,10,17,58,0.47,-,10
2015/2016,A1,Regular_Season,1st,1,-,2,27/10/2015,20:30,2422,18741,O,Exprivia Molfetta,Molfetta,2,3,6,13,16,23,8,16,21,25,8,15,21,27,7,16,19,29,7,16,21,25,8,13,19,22,8,15,21,25,7,16,19,21,1,5,5,8,5,10,12,15,79,29,15,108,24,7,94,7,0.41,0.2,112,10,10,55,0.49,-,17
2015/2016,A1,Regular_Season,1st,1,-,3,25/10/2015,18:00,2695,17654,C,Sir Safety Conad Perugia,Perugia,0,3,5,12,15,17,8,16,21,25,7,13,19,21,8,16,21,25,6,15,21,23,8,16,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,8,-3,62,14,3,62,6,0.52,0.26,82,7,6,36,0.44,-,3
2015/2016,A1,Regular_Season,1st,1,-,3,25/10/2015,18:00,2695,17654,O,Calzedonia Verona,Verona,3,0,8,16,21,25,5,12,15,17,8,16,21,25,7,13,19,21,8,16,20,25,6,15,21,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,21,5,74,12,4,48,3,0.54,0.27,78,6,3,37,0.47,-,6
2015/2016,A1,Regular_Season,1st,1,-,4,28/10/2015,20:30,2720,7652,C,Gi Group Monza,Monza Vero Volley,1,3,6,15,18,20,8,16,21,25,7,14,21,25,8,16,19,22,6,12,17,20,8,16,21,25,3,12,19,22,8,16,21,25,-,-,-,-,-,-,-,-,66,16,6,88,13,4,85,7,0.58,0.35,117,10,9,58,0.5,-,4
2015/2016,A1,Regular_Season,1st,1,-,4,28/10/2015,20:30,2720,7652,O,Diatec Trentino,Trento,3,1,8,16,21,25,6,15,18,20,8,16,19,22,7,14,21,25,8,16,21,25,6,12,17,20,8,16,21,25,3,12,19,22,-,-,-,-,-,-,-,-,71,24,16,96,11,4,75,4,0.59,0.27,116,8,4,58,0.5,-,9
2015/2016,A1,Regular_Season,1st,1,-,5,25/10/2015,17:00,1905,12600,C,CMC Romagna,Ravenna Robur,2,3,8,16,21,26,4,11,20,24,7,16,21,25,8,15,19,23,3,12,17,18,8,16,21,25,4,10,18,20,8,16,21,25,1,5,5,9,5,10,12,15,78,22,4,99,21,5,97,12,0.45,0.27,132,8,9,64,0.48,-,9
