Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2015/2016,A1,Club Italia,1,BONVICINI ILARIA,Spiker,1997,165,ITA,-
2015/2016,A1,Club Italia,4,MALINOV OFELIA,Setter,1996,180,ITA,-
2015/2016,A1,Club Italia,5,SPIRITO ILARIA,Libero,1994,174,ITA,-
2015/2016,A1,Club Italia,6,D'ODORICO SOFIA,Spiker,1997,186,ITA,-
2015/2016,A1,Club Italia,7,EGONU PAOLA,Spiker,1998,189,ITA,-
2015/2016,A1,Club Italia,8,ORRO ALESSIA,Setter,1998,180,ITA,from 08/07/2015
2015/2016,A1,Club Italia,9,PIANI VITTORIA,Spiker,1998,187,ITA,-
2015/2016,A1,Club Italia,11,DANESI ANNA,Middleblocker,1996,196,ITA,-
2015/2016,A1,Club Italia,12,GUERRA ANASTASIA,Spiker,1996,186,ITA,-
2015/2016,A1,Club Italia,14,BOTEZAT ALEXANDRA,Middleblocker,1998,196,ITA,-
2015/2016,A1,Club Italia,15,BERTI BEATRICE,Middleblocker,1996,193,ITA,-
2015/2016,A1,Club Italia,16,MINERVINI SIMONA,Libero,1994,168,ITA,-
2015/2016,A1,Club Italia,18,ZANETTE ELISA,Spiker,1996,193,ITA,-
2015/2016,A1,Foppapedretti Bergamo,1,MORI EVA,Setter,1996,186,SLO,-
2015/2016,A1,Foppapedretti Bergamo,4,PLAK CELESTE,Spiker,1995,190,NED,-
2015/2016,A1,Foppapedretti Bergamo,5,FRIGO LAURA,Middleblocker,1990,185,ITA,-
2015/2016,A1,Foppapedretti Bergamo,6,GENNARI ALESSIA,Spiker,1991,184,ITA,-
2015/2016,A1,Foppapedretti Bergamo,7,CARDULLO PAOLA,Libero,1982,162,ITA,-
2015/2016,A1,Foppapedretti Bergamo,9,AELBRECHT FREYA,Middleblocker,1990,189,BEL,-
2015/2016,A1,Foppapedretti Bergamo,10,PAGGI PAOLA,Middleblocker,1976,182,ITA,-
2015/2016,A1,Foppapedretti Bergamo,13,BARUN-SUSNJAR KATARINA,Spiker,1983,194,CRO,-
2015/2016,A1,Foppapedretti Bergamo,14,LO BIANCO ELEONORA,Setter,1979,171,ITA,-
2015/2016,A1,Foppapedretti Bergamo,15,DURISIC VESNA,Middleblocker,1979,187,SRB,from 01/03/2016
2015/2016,A1,Foppapedretti Bergamo,16,MAMBELLI BENEDETTA,Spiker,1995,187,ITA,-
2015/2016,A1,Foppapedretti Bergamo,17,SYLLA MIRIAM,Spiker,1995,181,ITA,-
2015/2016,A1,Igor Gorgonzola Novara,1,FAWCETT NICOLE,Spiker,1986,193,USA,from 04/01/2016
2015/2016,A1,Igor Gorgonzola Novara,1,ROUSSEAUX HELENE,Spiker,1991,188,BEL,until 11/01/2016 TRASFERITA A UNENDO YAMAMAY BUSTO ARSIZIO
2015/2016,A1,Igor Gorgonzola Novara,3,BRUNO ELEONORA,Libero,1994,180,ITA,-
2015/2016,A1,Igor Gorgonzola Novara,5,WAWRZYNIAK MAGDALENA,Spiker,1990,185,POL,-
2015/2016,A1,Igor Gorgonzola Novara,6,MALESEVIC TIJANA,Spiker,1991,185,SRB,-
2015/2016,A1,Igor Gorgonzola Novara,7,GUIGGI MARTINA,Middleblocker,1984,188,ITA,-
2015/2016,A1,Igor Gorgonzola Novara,8,CRUZ AUREA,Spiker,1982,183,PUR,-
2015/2016,A1,Igor Gorgonzola Novara,9,BONIFACIO SARA,Middleblocker,1996,185,ITA,-
2015/2016,A1,Igor Gorgonzola Novara,10,CHIRICHELLA CRISTINA,Middleblocker,1994,195,ITA,-
2015/2016,A1,Igor Gorgonzola Novara,11,SANSONNA STEFANIA,Libero,1982,175,ITA,-
2015/2016,A1,Igor Gorgonzola Novara,13,SIGNORILE NOEMI,Setter,1990,183,ITA,-
2015/2016,A1,Igor Gorgonzola Novara,14,BOSETTI CATERINA,Spiker,1994,180,ITA,-
2015/2016,A1,Igor Gorgonzola Novara,15,MABILO NOURA,Middleblocker,1996,183,ITA,-
2015/2016,A1,Igor Gorgonzola Novara,17,BOSIO FRANCESCA,Setter,1997,180,ITA,-
2015/2016,A1,Igor Gorgonzola Novara,18,FABRIS SAMANTA,Spiker,1992,189,CRO,-
2015/2016,A1,Il Bisonte Firenze,1,PERINELLI ELENA,Spiker,1995,181,ITA,-
2015/2016,A1,Il Bisonte Firenze,3,BECHIS MARTA,Setter,1989,181,ITA,from 29/12/2015 PROVENIENTE DA IMOCO VOLLEY CONEGLIANO
2015/2016,A1,Il Bisonte Firenze,3,NINKOVIC NADJA,Middleblocker,1991,193,SRB,until 27/12/2015
2015/2016,A1,Il Bisonte Firenze,5,MAZZINI FIAMMA,Setter,1989,180,ITA,-
2015/2016,A1,Il Bisonte Firenze,6,TURLEA CARMEN,Spiker,1975,185,ROM,-
2015/2016,A1,Il Bisonte Firenze,7,NEGRINI CHIARA,Spiker,1979,183,ITA,-
2015/2016,A1,Il Bisonte Firenze,8,VAN DE VYVER ILKA,Setter,1993,180,BEL,until 27/01/2016
2015/2016,A1,Il Bisonte Firenze,10,PARROCCHIALE BEATRICE,Libero,1995,167,ITA,from 14/10/2015
2015/2016,A1,Il Bisonte Firenze,11,VANZUROVA TEREZA,Spiker,1991,183,CZE,-
2015/2016,A1,Il Bisonte Firenze,12,PIETRELLI GIULIA,Spiker,1988,180,ITA,-
2015/2016,A1,Il Bisonte Firenze,13,CALLONI RAFFAELLA,Middleblocker,1983,187,ITA,-
2015/2016,A1,Il Bisonte Firenze,14,KRSMANOVIC NATASA,Middleblocker,1985,188,SRB,from 15/01/2016
2015/2016,A1,Il Bisonte Firenze,15,MARTINUZZO LINDA,Middleblocker,1992,186,ITA,-
2015/2016,A1,Il Bisonte Firenze,17,USIC SENNA,Spiker,1986,190,CRO,from 30/01/2016
2015/2016,A1,Imoco Volley Conegliano,1,GLASS ALISHA,Setter,1988,184,USA,-
2015/2016,A1,Imoco Volley Conegliano,2,VASILANTONAKI ANTHI,Spiker,1996,195,GRE,-
2015/2016,A1,Imoco Volley Conegliano,3,BECHIS MARTA,Setter,1989,181,ITA,until 27/12/2015 TRASFERITA A IL BISONTE FIRENZE
2015/2016,A1,Imoco Volley Conegliano,5,SERENA VALENTINA,Setter,1981,184,ITA,-
2015/2016,A1,Imoco Volley Conegliano,6,ORTOLANI SERENA,Spiker,1987,187,ITA,-
2015/2016,A1,Imoco Volley Conegliano,7,SANTINI ALICE,Spiker,1984,181,ITA,-
2015/2016,A1,Imoco Volley Conegliano,8,ADAMS RACHAEL ALEXIS,Middleblocker,1990,190,USA,-
2015/2016,A1,Imoco Volley Conegliano,9,ROBINSON KELSEY,Spiker,1992,188,USA,-
2015/2016,A1,Imoco Volley Conegliano,10,DE GENNARO MONICA,Libero,1987,173,ITA,-
2015/2016,A1,Imoco Volley Conegliano,11,EASY MEGAN,Spiker,1988,191,USA,-
2015/2016,A1,Imoco Volley Conegliano,12,BRAKOCEVIC CANZIAN JOVANA,Spiker,1988,196,SRB,from 26/04/2016
2015/2016,A1,Imoco Volley Conegliano,13,ARRIGHETTI VALENTINA,Middleblocker,1985,189,ITA,-
2015/2016,A1,Imoco Volley Conegliano,14,CRISANTI LUCIA,Middleblocker,1986,187,ITA,from 29/12/2015 PROVENIENTE DA OBIETTIVO RISARCIMENTO VICENZA
2015/2016,A1,Imoco Volley Conegliano,16,NICOLETTI ANNA,Spiker,1996,189,ITA,-
2015/2016,A1,Imoco Volley Conegliano,17,DE BORTOLI CHIARA,Libero,1997,176,ITA,-
2015/2016,A1,Imoco Volley Conegliano,18,BARAZZA JENNY,Middleblocker,1981,188,ITA,-
2015/2016,A1,Liu Jo Modena,1,BERTONE FLORIANA,Middleblocker,1992,202,ITA,-
2015/2016,A1,Liu Jo Modena,2,CARRARO GIULIA,Setter,1994,175,ITA,-
2015/2016,A1,Liu Jo Modena,3,GAMBA NICOLE,Libero,1998,170,ITA,-
2015/2016,A1,Liu Jo Modena,4,RIVERO JESSICA,Spiker,1995,182,ESP,-
2015/2016,A1,Liu Jo Modena,5,HEYRMAN LAURA,Middleblocker,1993,188,BEL,-
2015/2016,A1,Liu Jo Modena,6,DI IULIO CHIARA,Spiker,1985,185,ITA,-
2015/2016,A1,Liu Jo Modena,7,FOLIE RAPHAELA,Middleblocker,1991,186,ITA,-
2015/2016,A1,Liu Jo Modena,8,GALEOTTI MARTA,Setter,1984,172,ITA,from 18/09/2015
2015/2016,A1,Liu Jo Modena,9,ARCANGELI CHIARA,Libero,1983,167,ITA,-
2015/2016,A1,Liu Jo Modena,10,FERRETTI FRANCESCA,Setter,1984,180,ITA,-
2015/2016,A1,Liu Jo Modena,13,DIOUF VALENTINA,Spiker,1993,202,ITA,-
2015/2016,A1,Liu Jo Modena,14,CUTUK BERNARDA,Middleblocker,1990,187,CRO,from 02/03/2016
2015/2016,A1,Liu Jo Modena,15,STAROVIC SANJA,Spiker,1983,194,SRB,from 13/01/2016 until 01/03/2016
2015/2016,A1,Liu Jo Modena,17,SCUKA LANA,Spiker,1996,183,SLO,-
2015/2016,A1,Liu Jo Modena,18,HORVATH DORA,Spiker,1988,187,HUN,-
2015/2016,A1,Metalleghe Sanitars Montichiari,1,CAROCCI LUNA VERONICA,Libero,1988,174,ITA,-
2015/2016,A1,Metalleghe Sanitars Montichiari,3,DALIA LUDOVICA,Setter,1984,180,ITA,-
2015/2016,A1,Metalleghe Sanitars Montichiari,4,BRINKER MAREN,Spiker,1986,184,GER,-
2015/2016,A1,Metalleghe Sanitars Montichiari,5,TOMSIA BERENIKA,Spiker,1988,189,POL,-
2015/2016,A1,Metalleghe Sanitars Montichiari,7,BARCELLINI CRISTINA,Spiker,1986,183,ITA,-
2015/2016,A1,Metalleghe Sanitars Montichiari,8,LUALDI GIUDITTA,Middleblocker,1995,186,ITA,-
2015/2016,A1,Metalleghe Sanitars Montichiari,9,MINGARDI CAMILLA,Spiker,1997,181,ITA,-
2015/2016,A1,Metalleghe Sanitars Montichiari,11,ZECCHIN LISA,Setter,1992,178,ITA,-
2015/2016,A1,Metalleghe Sanitars Montichiari,13,LOMBARDO GILDA,Spiker,1989,180,ITA,-
2015/2016,A1,Metalleghe Sanitars Montichiari,15,SOBOLSKA DOMINIKA,Middleblocker,1991,187,BEL,-
2015/2016,A1,Metalleghe Sanitars Montichiari,17,GIOLI SIMONA,Middleblocker,1977,185,ITA,-
2015/2016,A1,Nordmeccanica Piacenza,1,SOROKAITE INDRE,Spiker,1988,188,ITA,-
2015/2016,A1,Nordmeccanica Piacenza,2,VALERIANO FEDERICA,Spiker,1985,179,ITA,-
2015/2016,A1,Nordmeccanica Piacenza,3,BELIEN YVON,Middleblocker,1993,188,NED,-
2015/2016,A1,Nordmeccanica Piacenza,4,BAUER CHRISTINA,Middleblocker,1988,196,FRA,-
2015/2016,A1,Nordmeccanica Piacenza,6,LEONARDI GIULIA,Libero,1987,165,ITA,-
2015/2016,A1,Nordmeccanica Piacenza,7,MARCON FRANCESCA,Spiker,1983,180,ITA,-
2015/2016,A1,Nordmeccanica Piacenza,8,BIANCHINI MARIKA,Spiker,1993,178,ITA,from 30/12/2015
2015/2016,A1,Nordmeccanica Piacenza,9,MELANDRI LAURA,Middleblocker,1995,186,ITA,-
2015/2016,A1,Nordmeccanica Piacenza,10,POGGI VIRGINIA,Libero,1995,163,ITA,-
2015/2016,A1,Nordmeccanica Piacenza,11,PETRUCCI ALESSANDRA,Setter,1983,185,ITA,-
2015/2016,A1,Nordmeccanica Piacenza,12,PASCUCCI GIULIA,Spiker,1993,188,ITA,-
2015/2016,A1,Nordmeccanica Piacenza,14,MEIJNERS FLOORTJE,Spiker,1987,192,NED,-
2015/2016,A1,Nordmeccanica Piacenza,16,TABORELLI VERONICA,Spiker,1994,185,ITA,-
2015/2016,A1,Nordmeccanica Piacenza,18,OGNJENOVIC MAJA,Setter,1984,183,SRB,-
2015/2016,A1,Obiettivo Risarcimento Vicenza,1,GOLIAT KAROLINA,Spiker,1996,190,BEL,-
2015/2016,A1,Obiettivo Risarcimento Vicenza,4,KITIPOVA PETROVA LORA,Setter,1991,183,BUL,-
2015/2016,A1,Obiettivo Risarcimento Vicenza,5,LANZINI ALESSIA,Libero,1981,165,ITA,-
2015/2016,A1,Obiettivo Risarcimento Vicenza,7,CELLA ELISA,Spiker,1982,186,ITA,-
2015/2016,A1,Obiettivo Risarcimento Vicenza,8,POPOVIC MINA,Middleblocker,1994,187,SRB,-
2015/2016,A1,Obiettivo Risarcimento Vicenza,9,CARTER KATIE,Spiker,1985,192,USA,from 16/01/2016
2015/2016,A1,Obiettivo Risarcimento Vicenza,9,DRPA MARTA,Spiker,1989,192,SRB,until 01/01/2016
2015/2016,A1,Obiettivo Risarcimento Vicenza,10,PARTENIO LAURA,Spiker,1991,182,ITA,-
2015/2016,A1,Obiettivo Risarcimento Vicenza,11,TREVISAN FRANCESCA,Spiker,1995,180,ITA,from 28/01/2016
2015/2016,A1,Obiettivo Risarcimento Vicenza,11,BUSA BIANKA,Spiker,1994,188,SRB,until 01/01/2016
2015/2016,A1,Obiettivo Risarcimento Vicenza,12,PASTORELLO VALENTINA,Middleblocker,1993,190,ITA,-
2015/2016,A1,Obiettivo Risarcimento Vicenza,13,WILSON ARIELLE,Middleblocker,1989,191,USA,-
2015/2016,A1,Obiettivo Risarcimento Vicenza,16,CRISANTI LUCIA,Middleblocker,1986,187,ITA,from 20/10/2015 until 28/12/2015 TRASFERITA A IMOCO VOLLEY CONEGLIANO
2015/2016,A1,Obiettivo Risarcimento Vicenza,17,PRANDI VITTORIA,Setter,1994,180,ITA,-
2015/2016,A1,Obiettivo Risarcimento Vicenza,18,BISCONTI VERONICA,Libero,1991,174,ITA,-
2015/2016,A1,Pomì Casalmaggiore,1,BACCHI LUCIA,Spiker,1981,181,ITA,-
2015/2016,A1,Pomì Casalmaggiore,3,LLOYD CARLI,Setter,1989,178,USA,-
2015/2016,A1,Pomì Casalmaggiore,5,SIRRESSI IMMA,Libero,1990,175,ITA,-
2015/2016,A1,Pomì Casalmaggiore,6,CECCHETTO GIADA,Libero,1991,163,ITA,-
2015/2016,A1,Pomì Casalmaggiore,7,FERRARA MARIANNA,Spiker,1996,178,ITA,-
2015/2016,A1,Pomì Casalmaggiore,8,GIBBEMEYER LAUREN,Middleblocker,1988,188,USA,-
2015/2016,A1,Pomì Casalmaggiore,10,CAMBI CARLOTTA,Setter,1996,176,ITA,-
2015/2016,A1,Pomì Casalmaggiore,12,PICCININI FRANCESCA,Spiker,1979,185,ITA,-
2015/2016,A1,Pomì Casalmaggiore,13,OLIVOTTO ROSSELLA,Middleblocker,1991,184,ITA,-
2015/2016,A1,Pomì Casalmaggiore,14,KOZUCH MARGARETA ANNA,Spiker,1986,186,GER,-
2015/2016,A1,Pomì Casalmaggiore,15,STEVANOVIC JOVANA,Middleblocker,1992,191,SRB,-
2015/2016,A1,Pomì Casalmaggiore,16,TIROZZI VALENTINA,Spiker,1986,182,ITA,-
2015/2016,A1,Pomì Casalmaggiore,18,MATUSZKOVA TEREZA,Spiker,1982,192,CZE,-
2015/2016,A1,Savino Del Bene Scandicci,1,ARIAS PEREZ CANDIDA ESTEFANY,Middleblocker,1992,194,DOM,from 28/01/2016
2015/2016,A1,Savino Del Bene Scandicci,2,STUFI FEDERICA,Middleblocker,1988,185,ITA,-
2015/2016,A1,Savino Del Bene Scandicci,3,ALBERTI SARA,Middleblocker,1993,185,ITA,-
2015/2016,A1,Savino Del Bene Scandicci,4,LODA SARA,Spiker,1990,178,ITA,-
2015/2016,A1,Savino Del Bene Scandicci,5,LOTTI SILVIA,Spiker,1992,188,ITA,until 20/01/2016 TRASFERITA A KIOTO CASERTA
2015/2016,A1,Savino Del Bene Scandicci,6,FIORIN VALENTINA,Spiker,1984,187,ITA,-
2015/2016,A1,Savino Del Bene Scandicci,7,PIETERSEN JUDITH,Spiker,1989,188,NED,-
2015/2016,A1,Savino Del Bene Scandicci,8,MERLO ENRICA,Libero,1988,170,ITA,-
2015/2016,A1,Savino Del Bene Scandicci,11,TOKSOY GUIDETTI BAHAR,Middleblocker,1988,188,TUR,until 25/01/2016
2015/2016,A1,Savino Del Bene Scandicci,12,SCACCHETTI CHIARA,Setter,1995,175,ITA,-
2015/2016,A1,Savino Del Bene Scandicci,13,GIAMPIETRI ALICE,Libero,1995,171,ITA,-
2015/2016,A1,Savino Del Bene Scandicci,14,NIKOLOVA EMILIYA,Spiker,1991,185,BUL,-
2015/2016,A1,Savino Del Bene Scandicci,15,IKIC MATEA,Spiker,1989,185,CRO,from 21/01/2016 PROVENIENTE DA SUDTIROL BOLZANO
2015/2016,A1,Savino Del Bene Scandicci,17,RONDON GIULIA,Setter,1987,190,ITA,-
2015/2016,A1,Sudtirol Bolzano,1,NEWSOME ANNA,Setter,1997,176,ESP,-
2015/2016,A1,Sudtirol Bolzano,2,PARIS SARA,Libero,1985,165,ITA,-
2015/2016,A1,Sudtirol Bolzano,3,GARZARO ILARIA,Middleblocker,1986,190,ITA,-
2015/2016,A1,Sudtirol Bolzano,4,RIVERA BRENS PRISILLA ALTAGRACIA,Spiker,1984,183,DOM,from 29/01/2016
2015/2016,A1,Sudtirol Bolzano,5,MARTINEZ BRAYELIN,Spiker,1996,201,DOM,-
2015/2016,A1,Sudtirol Bolzano,6,PAGE BRITTNEY,Spiker,1984,184,CAN,from 20/02/2016
2015/2016,A1,Sudtirol Bolzano,7,MARI MARIANNE STEINBRECHER,Spiker,1983,189,BRA,until 24/01/2016
2015/2016,A1,Sudtirol Bolzano,9,MANZANO ELISA,Middleblocker,1985,187,ITA,-
2015/2016,A1,Sudtirol Bolzano,10,BERTOLINI SARA,Middleblocker,1991,180,ITA,-
2015/2016,A1,Sudtirol Bolzano,11,BOSCOSCURO MARTINA,Libero,1988,165,ITA,-
2015/2016,A1,Sudtirol Bolzano,13,IKIC MATEA,Spiker,1989,185,CRO,until 13/01/2016 TRASFERITA A SAVINO DEL BENE SCANDICCI
2015/2016,A1,Sudtirol Bolzano,14,LAZIC REBECKA,Spiker,1994,187,SWE,-
2015/2016,A1,Sudtirol Bolzano,15,BRCIC BERNARDA,Setter,1991,191,CRO,-
2015/2016,A1,Sudtirol Bolzano,16,VEGLIA TIZIANA,Middleblocker,1992,186,ITA,-
2015/2016,A1,Sudtirol Bolzano,17,WALDTHALER KATHRIN,Spiker,1990,184,ITA,-
2015/2016,A1,Sudtirol Bolzano,18,MAMBRU CASILLA GINA ALTAGRACIA,Spiker,1986,180,DOM,from 16/01/2016
2015/2016,A1,Unendo Yamamay Busto Arsizio,1,ROUSSEAUX HELENE,Spiker,1991,188,BEL,from 12/01/2016 PROVENIENTE DA IGOR GORGONZOLA NOVARA
2015/2016,A1,Unendo Yamamay Busto Arsizio,2,DEGRADI ALICE,Spiker,1996,181,ITA,-
2015/2016,A1,Unendo Yamamay Busto Arsizio,3,CIALFI CATERINA,Setter,1995,180,ITA,-
2015/2016,A1,Unendo Yamamay Busto Arsizio,6,FONDRIEST SILVIA,Middleblocker,1988,188,ITA,-
2015/2016,A1,Unendo Yamamay Busto Arsizio,7,HAGGLUND JENNA,Setter,1989,177,USA,-
2015/2016,A1,Unendo Yamamay Busto Arsizio,8,THIBEAULT JAIMIE,Middleblocker,1989,188,CAN,-
2015/2016,A1,Unendo Yamamay Busto Arsizio,9,PAPA VALERIA,Spiker,1989,183,ITA,-
2015/2016,A1,Unendo Yamamay Busto Arsizio,11,LOWE KARSTA,Spiker,1993,193,USA,-
2015/2016,A1,Unendo Yamamay Busto Arsizio,12,ANGELINA GIULIA,Spiker,1997,192,ITA,-
2015/2016,A1,Unendo Yamamay Busto Arsizio,14,YILMAZ GOZDE,Spiker,1991,194,TUR,-
2015/2016,A1,Unendo Yamamay Busto Arsizio,17,PISANI GIULIA,Middleblocker,1992,184,ITA,-
2015/2016,A1,Unendo Yamamay Busto Arsizio,18,POMA CELESTE,Libero,1991,168,ITA,-
2015/2016,A2,Beng Rovigo,1,BACCIOTTINI BARBARA,Setter,1994,181,ITA,-
2015/2016,A2,Beng Rovigo,2,NORGINI MARIA CHIARA,Libero,1998,170,ITA,-
2015/2016,A2,Beng Rovigo,3,FIORI SILVIA,Libero,1994,162,ITA,-
2015/2016,A2,Beng Rovigo,4,TANGINI SIRYA,Middleblocker,1997,185,ITA,-
2015/2016,A2,Beng Rovigo,5,FURLAN ELEONORA,Middleblocker,1995,188,ITA,-
2015/2016,A2,Beng Rovigo,6,POGGI ADELE,Spiker,1996,177,ITA,-
2015/2016,A2,Beng Rovigo,7,POLAK PATRYCJA,Spiker,1991,182,POL,-
2015/2016,A2,Beng Rovigo,8,SCAPATI LUDOVICA,Middleblocker,1996,188,ITA,-
2015/2016,A2,Beng Rovigo,9,MORETTO GAIA,Middleblocker,1994,192,ITA,-
2015/2016,A2,Beng Rovigo,10,TOMSIA LAURA,Spiker,1992,191,POL,-
2015/2016,A2,Beng Rovigo,12,GRIGOLO LAURA,Spiker,1996,182,ITA,-
2015/2016,A2,Beng Rovigo,13,PIRV ARIANA,Spiker,1996,182,ITA,from 26/01/2016 PROVENIENTE DA VOLLEY SOVERATO
2015/2016,A2,Beng Rovigo,14,LISANDRI GLORIA,Spiker,1994,184,ITA,-
2015/2016,A2,Beng Rovigo,18,VALLICELLI CECILIA,Setter,1993,182,ITA,-
2015/2016,A2,Clendy Aversa,1,BRESCIANI GIULIA,Libero,1992,165,ITA,-
2015/2016,A2,Clendy Aversa,2,FOCOSI ALESSANDRA,Setter,1995,182,ITA,-
2015/2016,A2,Clendy Aversa,3,SALAMONE PAMELA,Middleblocker,1990,183,ITA,-
2015/2016,A2,Clendy Aversa,4,DROZINA ELENA,Setter,1978,181,ITA,-
2015/2016,A2,Clendy Aversa,5,DEVETAG SOFIA,Spiker,1993,180,ITA,-
2015/2016,A2,Clendy Aversa,6,LUKOVIC IVANA,Spiker,1992,190,SRB,-
2015/2016,A2,Clendy Aversa,7,MODENA GIULIA,Libero,1995,177,ITA,-
2015/2016,A2,Clendy Aversa,8,ASTARITA GIUSY,Spiker,1988,183,ITA,-
2015/2016,A2,Clendy Aversa,9,VUJKO MARIANNA,Middleblocker,1992,192,ITA,from 03/01/2016
2015/2016,A2,Clendy Aversa,9,MANFREDINI COSTANZA,Spiker,1988,188,ITA,until 01/01/2016 TRASFERITA A FENERA CHIERI
2015/2016,A2,Clendy Aversa,10,TASCA FEDERICA,Middleblocker,1989,182,ITA,-
2015/2016,A2,Clendy Aversa,11,NERIOTTI CAMILLA,Middleblocker,1994,185,ITA,-
2015/2016,A2,Clendy Aversa,18,JELIC NIKOLINA,Spiker,1991,188,CRO,from 16/01/2016
2015/2016,A2,Delta Informatica Trentino,3,MARCHIORON GIADA,Spiker,1987,181,ITA,-
2015/2016,A2,Delta Informatica Trentino,4,GUATELLI ALESSANDRA,Spiker,1983,178,ITA,-
2015/2016,A2,Delta Informatica Trentino,5,MICHIELETTO FRANCESCA,Spiker,1997,182,ITA,-
2015/2016,A2,Delta Informatica Trentino,6,PISTOLATO STEFANIA,Spiker,1992,179,ITA,-
2015/2016,A2,Delta Informatica Trentino,7,MARTINELLI MELISSA,Middleblocker,1993,185,ITA,until 18/01/2016
2015/2016,A2,Delta Informatica Trentino,8,BOGATEC MARTINA,Middleblocker,1991,185,ITA,-
2015/2016,A2,Delta Informatica Trentino,9,DEMICHELIS ILARIA,Setter,1987,178,ITA,-
2015/2016,A2,Delta Informatica Trentino,10,ZARDO CAROLINA,Libero,1992,168,ITA,-
2015/2016,A2,Delta Informatica Trentino,11,REPICE VITTORIA,Middleblocker,1986,185,ITA,-
2015/2016,A2,Delta Informatica Trentino,12,GARCIA ZULETA LORENA ALEXANDRA,Middleblocker,1981,192,COL,from 18/01/2016
2015/2016,A2,Delta Informatica Trentino,13,ANTONUCCI ILARIA,Spiker,1987,183,ITA,-
2015/2016,A2,Delta Informatica Trentino,14,BORTOLI LAURA,Setter,1996,180,ITA,-
2015/2016,A2,Delta Informatica Trentino,16,SEGURA MARIA,Spiker,1992,185,ESP,-
2015/2016,A2,Entu Olbia,1,BELLAPIANTA CARMEN,Spiker,1987,177,ITA,from 11/01/2016
2015/2016,A2,Entu Olbia,2,BRUSSA NATALIA GUADALUPE,Spiker,1985,188,ITA,-
2015/2016,A2,Entu Olbia,3,VALPIANI BEATRICE,Setter,1986,174,ITA,-
2015/2016,A2,Entu Olbia,4,AMERI ALESSIA,Libero,1985,175,ITA,from 04/03/2016
2015/2016,A2,Entu Olbia,5,CORREA ESTEBAN MIRTHA,Middleblocker,1985,186,ESP,-
2015/2016,A2,Entu Olbia,7,GILI ELEONORA,Spiker,1988,185,ITA,until 11/01/2016
2015/2016,A2,Entu Olbia,8,CABONI ELEONORA,Libero,1993,172,ITA,-
