Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2015/2016,A1,Calzedonia Verona,1,ZINGEL Aidan,Middleblocker,1990,207,AUS,AUS,-,-
2015/2016,A1,Calzedonia Verona,2,KOVACEVIC Uros,Spiker,1993,198,SRB,SRB,-,-
2015/2016,A1,Calzedonia Verona,3,PESARESI Nicola,Libero,1991,190,AN,ITA,-,-
2015/2016,A1,Calzedonia Verona,4,GITTO Carmelo,Middleblocker,1987,200,ME,ITA,-,-
2015/2016,A1,Calzedonia Verona,5,LECAT Francois,Spiker,1993,200,BEL,BEL,-,-
2015/2016,A1,Calzedonia Verona,6,SPIRITO Luca,Setter,1993,199,SV,ITA,-,-
2015/2016,A1,Calzedonia Verona,7,FRIGO Thomas,Libero,1997,184,VR,ITA,-,-
2015/2016,A1,Calzedonia Verona,8,BARANOWICZ Michele,Setter,1989,195,CN,ITA,-,-
2015/2016,A1,Calzedonia Verona,10,STAROVIC Sasha,Spiker,1988,207,BIH,SRB,-,-
2015/2016,A1,Calzedonia Verona,13,BELLEI Giacomo,Spiker,1988,202,VR,ITA,-,-
2015/2016,A1,Calzedonia Verona,15,SANDER Taylor,Spiker,1992,195,USA,USA,-,-
2015/2016,A1,Calzedonia Verona,17,ANZANI Simone,Middleblocker,1992,203,CO,ITA,-,-
2015/2016,A1,Calzedonia Verona,18,BUCKO Bartosz,Spiker,1995,198,POL,POL,-,-
2015/2016,A1,CMC Romagna,1,MENGOZZI Stefano,Middleblocker,1985,205,RA,ITA,-,-
2015/2016,A1,CMC Romagna,2,RICCI Fabio,Middleblocker,1994,205,RA,ITA,-,-
2015/2016,A1,CMC Romagna,4,CAVANNA Maximiliano,Setter,1988,188,ARG,ARG,-,-
2015/2016,A1,CMC Romagna,5,ZAPPOLI GUARIENTI Enrico,Spiker,1995,195,BRA,BRA,-,-
2015/2016,A1,CMC Romagna,6,DELLA LUNGA Dore,Spiker,1984,194,AN,ITA,-,-
2015/2016,A1,CMC Romagna,7,VAN GARDEREN Maarten,Spiker,1990,200,NED,NED,-,-
