Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2015/2016,A1,Supercoppa,Final,1,-,0,10/10/2015,17:30,2900,-,C,Pomì Casalmaggiore,Casalmaggiore,3,2,5,12,15,17,8,16,21,25,4,16,21,25,8,14,17,22,6,14,21,25,8,16,20,23,8,11,17,20,7,16,21,25,5,10,11,17,3,8,12,15,75,21,21,104,14,3,98,8,0.77,0.32,165,12,13,60,0.36,-,12
2015/2016,A1,Supercoppa,Final,1,-,0,10/10/2015,17:30,2900,-,O,Igor Gorgonzola Novara,Agil Volley,2,3,8,16,21,25,5,12,15,17,8,14,17,22,4,16,21,25,8,16,20,23,6,14,21,25,7,16,21,25,8,11,17,20,3,8,12,15,5,10,11,17,84,32,34,110,12,7,90,4,0.76,0.38,180,17,12,64,0.36,-,13
2015/2016,A1,Regular_Season,1st,1,-,3002,18/10/2015,18:00,-,-,C,Liu Jo Modena,Liu Jo Modena,3,0,8,16,21,25,6,11,18,20,8,16,21,25,3,9,13,14,6,16,21,25,8,14,17,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,27,37,73,7,1,47,4,0.68,0.38,110,3,8,45,0.41,-,13
2015/2016,A1,Regular_Season,1st,1,-,3002,18/10/2015,18:00,-,-,O,Il Bisonte Firenze,Azzurra Volley San Casciano,0,3,6,11,18,20,8,16,21,25,3,9,13,14,8,16,21,25,8,14,17,20,6,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,14,13,56,3,4,53,1,0.66,0.23,98,11,13,30,0.31,-,8
2015/2016,A1,Regular_Season,1st,1,-,3003,18/10/2015,18:00,-,-,C,Nordmeccanica Piacenza,River Volley Piacenza,3,1,8,16,21,25,7,9,14,15,8,16,21,28,7,14,19,26,6,11,18,20,8,16,21,25,5,15,21,25,8,16,17,20,-,-,-,-,-,-,-,-,76,27,27,97,8,8,74,2,0.8,0.46,138,9,12,60,0.43,-,8
2015/2016,A1,Regular_Season,1st,1,-,3003,18/10/2015,18:00,-,-,O,Metalleghe Sanitars Montichiari,Promoball Vbf,1,3,7,9,14,15,8,16,21,25,7,14,19,26,8,16,21,28,8,16,21,25,6,11,18,20,8,16,17,20,5,15,21,25,-,-,-,-,-,-,-,-,66,22,13,87,6,2,78,8,0.63,0.28,131,11,8,52,0.4,-,12
2015/2016,A1,Regular_Season,1st,1,-,3004,18/10/2015,18:00,4700,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,3,1,8,16,21,29,4,11,19,31,8,16,21,25,7,10,16,19,8,16,21,25,6,11,19,23,5,10,15,29,8,16,21,27,-,-,-,-,-,-,-,-,81,36,14,107,16,3,76,9,0.68,0.37,164,7,12,66,0.4,-,12
2015/2016,A1,Regular_Season,1st,1,-,3004,18/10/2015,18:00,4700,-,O,Foppapedretti Bergamo,Volley Bergamo,1,3,4,11,19,31,8,16,21,29,7,10,16,19,8,16,21,25,6,11,19,23,8,16,21,25,8,16,21,27,5,10,15,29,-,-,-,-,-,-,-,-,71,27,-4,101,13,9,77,7,0.65,0.35,147,12,12,50,0.34,-,12
2015/2016,A1,Regular_Season,1st,1,-,3005,18/10/2015,16:30,-,-,C,Savino Del Bene Scandicci,Scandicci,3,1,8,16,21,25,3,11,14,17,8,15,18,21,7,16,21,25,5,16,21,30,8,14,20,28,8,16,21,25,4,10,12,15,-,-,-,-,-,-,-,-,69,30,39,100,9,3,63,2,0.63,0.41,90,11,6,52,0.58,-,14
2015/2016,A1,Regular_Season,1st,1,-,3005,18/10/2015,16:30,-,-,O,Unendo Yamamay Busto Arsizio,Busto Arsizio Uyba,1,3,3,11,14,17,8,16,21,25,7,16,21,25,8,15,18,21,8,14,20,28,5,16,21,30,4,10,12,15,8,16,21,25,-,-,-,-,-,-,-,-,62,16,9,86,15,1,77,7,0.68,0.45,104,14,14,55,0.53,-,6
