Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,1,SALA Andrea,Middleblocker,1978,202,VA,ITA,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,2,POPP Marcus,Spiker,1981,191,GER,GER,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,3,TIBERTI Simone,Setter,1980,180,BS,ITA,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,4,BOJOVIC Dejan,Spiker,1983,196,SRB,SRB,from 07/03/2007,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,5,DE LA FUENTE Enrique,Spiker,1975,194,ESP,ESP,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,6,VERES Peter,Spiker,1979,200,HUN,HUN,until 15/01/2007,trasferito a Marmi Lanza Verona
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,7,JERONCIC Gregor,Middleblocker,1974,200,SLO,SLO,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,8,FORNI Marcello,Middleblocker,1980,200,MO,ITA,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,9,RINALDI Pietro,Libero,1972,197,RM,ITA,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,11,BUTI Simone,Middleblocker,1983,208,FI,ITA,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,12,SUXHO Donald,Setter,1976,196,ALB,USA,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,13,PERAZZOLO Lorenzo,Spiker,1984,198,MN,ITA,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,15,GAVOTTO Mauro,Spiker,1979,202,CN,ITA,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,17,MESZAROS Domotor,Spiker,1976,199,HUN,HUN,-,-
2006/2007,A1,Acqua Paradiso Gabeca Montichiari,18,BERNARDI Lorenzo,Spiker,1968,199,TN,ITA,from 16/01/2007,proveniente da Marmi Lanza Verona
2006/2007,A1,Antonveneta Padova,1,GARGHELLA Andrea,Libero,1982,192,PD,ITA,-,-
2006/2007,A1,Antonveneta Padova,2,DE TOGNI Giorgio,Middleblocker,1985,202,FE,ITA,-,-
2006/2007,A1,Antonveneta Padova,3,BAGGIO Michele,Setter,1976,194,VE,ITA,-,-
2006/2007,A1,Antonveneta Padova,5,JAGO Eerik,Spiker,1980,196,EST,EST,-,-
2006/2007,A1,Antonveneta Padova,6,QUARTI Giovanni,Spiker,1984,191,VE,ITA,-,-
2006/2007,A1,Antonveneta Padova,7,ESKO Mikko,Setter,1978,198,FIN,FIN,-,-
2006/2007,A1,Antonveneta Padova,9,ANDRAE Bjorn,Spiker,1981,200,GER,GER,-,-
2006/2007,A1,Antonveneta Padova,10,TOVO Davide,Middleblocker,1972,202,RO,ITA,-,-
2006/2007,A1,Antonveneta Padova,11,TAMBURO Vincenzo,Spiker,1985,201,FI,ITA,-,-
2006/2007,A1,Antonveneta Padova,12,PAMPEL Christian,Spiker,1979,195,GER,GER,-,-
2006/2007,A1,Antonveneta Padova,14,KROMM Robert,Spiker,1984,211,GER,GER,-,-
2006/2007,A1,Antonveneta Padova,18,PISCOPO Cosimo Marco,Middleblocker,1983,205,LE,ITA,-,-
2006/2007,A1,Bre Banca Lannutti Cuneo,1,WIJSMANS Wout,Spiker,1977,201,BEL,BEL,-,-
2006/2007,A1,Bre Banca Lannutti Cuneo,2,COSCIONE Manuel,Setter,1980,188,CN,ITA,-,-
2006/2007,A1,Bre Banca Lannutti Cuneo,3,RIGONI Giacomo,Spiker,1979,200,MI,ITA,-,-
2006/2007,A1,Bre Banca Lannutti Cuneo,4,LASKO Michal,Spiker,1981,202,POL,ITA,-,-
2006/2007,A1,Bre Banca Lannutti Cuneo,5,OMRCEN Igor,Middleblocker,1980,208,CRO,CRO,-,-
2006/2007,A1,Bre Banca Lannutti Cuneo,6,VERGNAGHI Daniele,Libero,1972,193,MI,ITA,-,-
2006/2007,A1,Bre Banca Lannutti Cuneo,7,GODOY FILHO Gilberto Amauri Giba,Spiker,1976,194,BRA,BRA,-,-
2006/2007,A1,Bre Banca Lannutti Cuneo,8,ARIAUDO Andrea,Spiker,1987,185,CN,ITA,from 20/12/2006,-
2006/2007,A1,Bre Banca Lannutti Cuneo,9,RABEZZANA Edoardo,Setter,1975,192,AT,ITA,-,-
2006/2007,A1,Bre Banca Lannutti Cuneo,10,CURTI Valerio,Middleblocker,1978,203,MO,ITA,-,-
