Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2006/2007,A1,Bigmat Sanpaolo Chieri,1,USTYMENKO LENA,Spiker,1986,191,UKR,from 04/12/2006
2006/2007,A1,Bigmat Sanpaolo Chieri,3,COIMBRA ERIKA,Spiker,1980,179,BRA,-
2006/2007,A1,Bigmat Sanpaolo Chieri,5,GIOVANNA BALIANA DAS CHAGAS,Middleblocker,1980,186,BRA,-
2006/2007,A1,Bigmat Sanpaolo Chieri,6,FIORIN VALENTINA,Spiker,1984,187,ITA,-
2006/2007,A1,Bigmat Sanpaolo Chieri,8,ANGELONI VERONICA,Spiker,1986,188,ITA,until 15/03/2007
2006/2007,A1,Bigmat Sanpaolo Chieri,9,JOINES JENNIFER,Middleblocker,1982,191,USA,-
2006/2007,A1,Bigmat Sanpaolo Chieri,9,AMBROSINO SONIA,Middleblocker,-,-,-,from 01/10/2006
2006/2007,A1,Bigmat Sanpaolo Chieri,11,MAMMADOVA NATALYA,Spiker,1984,195,AZE,from 27/02/2007
2006/2007,A1,Bigmat Sanpaolo Chieri,11,VALETTO GIORGIA,Middleblocker,-,-,-,from 01/10/2006
2006/2007,A1,Bigmat Sanpaolo Chieri,12,FERRETTI FRANCESCA,Setter,1984,180,ITA,-
2006/2007,A1,Bigmat Sanpaolo Chieri,13,BORRI MAURIZIA,Libero,1977,177,ITA,-
2006/2007,A1,Bigmat Sanpaolo Chieri,14,BOVERO GIULIA,Middleblocker,-,-,-,from 01/10/2006
2006/2007,A1,Bigmat Sanpaolo Chieri,14,BARDINI FRANCESCA,Middleblocker,-,-,-,from 15/10/2006
2006/2007,A1,Bigmat Sanpaolo Chieri,14,GAIOTTI LAURA,Middleblocker,-,-,-,from 08/10/2006
2006/2007,A1,Bigmat Sanpaolo Chieri,15,VINCENZI CRISTINA,Middleblocker,1979,184,ITA,-
2006/2007,A1,Bigmat Sanpaolo Chieri,16,PILOTTI ROSSELLA,Middleblocker,-,-,-,from 08/10/2006
2006/2007,A1,Bigmat Sanpaolo Chieri,16,STURARI ALICE,Middleblocker,-,-,-,from 15/10/2006
2006/2007,A1,Bigmat Sanpaolo Chieri,16,GASPARO MORO ANNA,Setter,-,0,-,from 27/05/2007
2006/2007,A1,Bigmat Sanpaolo Chieri,17,PETROLO SARA,Libero,1985,170,ITA,-
2006/2007,A1,Bigmat Sanpaolo Chieri,18,MERLOTTI LUCIANA,Setter,1976,178,ITA,-
2006/2007,A1,Despar Perugia,1,MOREIRA DE OLIVEIRA WALEWSKA,Middleblocker,1979,190,BRA,-
2006/2007,A1,Despar Perugia,2,GRBAC ANA,Setter,1988,181,CRO,-
2006/2007,A1,Despar Perugia,4,CRISANTI LUCIA,Middleblocker,1986,186,ITA,-
2006/2007,A1,Despar Perugia,5,ZETOVA ANTONINA,Spiker,1973,190,BUL,-
2006/2007,A1,Despar Perugia,7,FOFAO ROGERIO DE SOUZA HELIA,Setter,1970,172,BRA,-
2006/2007,A1,Despar Perugia,8,DECORDI GIULIA,Spiker,1986,183,ITA,-
2006/2007,A1,Despar Perugia,9,ARCANGELI CHIARA,Libero,1983,165,ITA,-
2006/2007,A1,Despar Perugia,10,SACCO BEATRICE,Spiker,1983,169,ITA,-
2006/2007,A1,Despar Perugia,11,IHNATSIUK KSENIYA,Middleblocker,1989,-,-,from 01/10/2006
2006/2007,A1,Despar Perugia,11,MEZZASOMA ELISA,Middleblocker,1990,-,-,from 01/10/2006
2006/2007,A1,Despar Perugia,12,USIC SENNA,Spiker,1986,190,CRO,-
