Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,3,1,8,15,19,23,7,16,21,25,8,14,21,25,7,16,19,20,8,16,21,25,2,4,8,16,8,16,21,26,6,12,17,24,-,-,-,-,-,-,-,-,77,37,45,98,9,8,73,2,0.85,0.53,129,8,12,62,0.48,1,7
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,1,3,7,16,21,25,8,15,19,23,7,16,19,20,8,14,21,25,2,4,8,16,8,16,21,25,6,12,17,24,8,16,21,26,-,-,-,-,-,-,-,-,63,24,28,86,12,2,89,8,0.65,0.34,116,7,6,49,0.42,2,12
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,3,1,8,16,21,25,6,12,14,17,3,9,16,17,8,16,21,25,8,13,19,25,4,16,21,23,8,16,21,25,5,12,17,20,-,-,-,-,-,-,-,-,62,26,21,91,11,3,66,7,0.67,0.42,116,11,12,54,0.47,-,5
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,O,Minetti Infoplus Vicenza,Vicenza,1,3,6,12,14,17,8,16,21,25,8,16,21,25,3,9,16,17,4,16,21,23,8,13,19,25,5,12,17,20,8,16,21,25,-,-,-,-,-,-,-,-,63,21,21,86,20,7,80,7,0.73,0.45,98,10,5,44,0.45,-,12
2004/2005,A1,Regular_Season,1st,1,-,3,10/10/2004,18:00,2348,6747,C,Despar Perugia,Perugia,3,1,6,16,21,25,8,14,19,23,8,16,21,25,5,9,13,15,5,13,18,23,8,16,21,25,8,16,20,27,7,14,21,25,-,-,-,-,-,-,-,-,72,28,28,99,14,1,80,5,0.78,0.53,138,9,15,59,0.43,1,12
2004/2005,A1,Regular_Season,1st,1,-,3,10/10/2004,18:00,2348,6747,O,Infotel Europa Systems Fc,Forlì (Ex Forlimpopoli),1,3,8,14,19,23,6,16,21,25,5,9,13,15,8,16,21,25,8,16,21,25,5,13,18,23,7,14,21,25,8,16,20,27,-,-,-,-,-,-,-,-,61,20,22,89,9,5,85,2,0.82,0.51,132,13,12,41,0.31,3,15
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,C,Sant'Orsola Asystel Novara,Novara Trecate,3,0,8,16,21,25,3,9,14,19,8,16,21,25,4,15,16,19,8,16,21,25,5,11,20,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,22,31,74,5,6,58,4,0.78,0.6,97,10,5,45,0.46,3,7
2004/2005,A1,Regular_Season,1st,1,-,4,10/10/2004,18:30,1431,40614,O,Scavolini Pesaro,Pesaro,0,3,3,9,14,19,8,16,21,25,4,15,16,19,8,16,21,25,5,11,20,23,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,11,11,62,4,4,69,9,0.58,0.38,88,10,7,33,0.38,1,5
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,C,Grissin Bon Reggio Emilia,Reggio Emilia,1,3,7,13,19,30,8,16,21,28,5,10,14,21,8,16,21,25,8,15,17,19,6,16,21,25,8,16,21,32,7,15,19,34,-,-,-,-,-,-,-,-,78,22,36,103,6,1,102,7,0.75,0.55,166,16,13,71,0.43,-,6
2004/2005,A1,Regular_Season,1st,1,-,5,9/10/2004,18:00,632,1224,O,Volley Modena,Modena,3,1,8,16,21,28,7,13,19,30,8,16,21,25,5,10,14,21,6,16,21,25,8,15,17,19,7,15,19,34,8,16,21,32,-,-,-,-,-,-,-,-,88,26,57,111,9,5,97,2,0.85,0.59,166,14,6,70,0.42,-,13
2004/2005,A1,Regular_Season,1st,1,-,6,10/10/2004,18:00,964,5425,C,Monte Schiavo B. Marche Jesi,Jesi,3,1,8,16,21,25,3,9,14,16,6,15,17,19,8,16,21,25,8,16,21,25,7,12,17,19,8,16,21,25,7,12,17,22,-,-,-,-,-,-,-,-,68,28,45,93,6,4,71,4,0.62,0.52,108,6,6,55,0.51,1,9
2004/2005,A1,Regular_Season,1st,1,-,6,10/10/2004,18:00,964,5425,O,Terra Sarda Tortolì,Tortolì,1,3,3,9,14,16,8,16,21,25,8,16,21,25,6,15,17,19,7,12,17,19,8,16,21,25,7,12,17,22,8,16,21,25,-,-,-,-,-,-,-,-,69,24,30,83,12,4,87,4,0.76,0.45,133,13,9,59,0.44,1,6
2004/2005,A1,Regular_Season,1st,2,-,7,17/10/2004,18:00,1529,-,C,Volley Modena,Modena,0,3,5,15,19,22,8,16,21,25,4,14,20,23,8,16,21,25,4,13,17,22,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,15,25,69,2,1,63,5,0.84,0.57,103,6,5,34,0.33,2,10
2004/2005,A1,Regular_Season,1st,2,-,7,17/10/2004,18:00,1529,-,O,Despar Perugia,Perugia,3,0,8,16,21,25,5,15,19,22,8,16,21,25,4,14,20,23,8,16,21,25,4,13,17,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,19,30,73,10,5,67,2,0.79,0.49,119,9,10,52,0.44,1,5
2004/2005,A1,Regular_Season,1st,2,-,8,16/10/2004,15:45,1750,1595,C,Siciliani Santeramo,Santeramo,0,3,1,7,11,14,8,16,21,25,8,13,16,18,6,16,21,25,4,11,15,16,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,4,14,50,7,-,67,7,0.69,0.42,77,6,5,32,0.42,1,8
2004/2005,A1,Regular_Season,1st,2,-,8,16/10/2004,15:45,1750,1595,O,Bigmat Kerakoll Chieri,Chieri,3,0,8,16,21,25,1,7,11,14,6,16,21,25,8,13,16,18,8,16,21,25,4,11,15,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,25,43,73,4,9,42,-,0.9,0.45,89,4,9,45,0.51,-,6
2004/2005,A1,Regular_Season,1st,2,-,9,17/10/2004,18:00,1011,3944,C,Scavolini Pesaro,Pesaro,1,3,5,10,14,17,8,16,21,25,8,16,21,25,5,13,17,21,7,13,17,20,8,16,21,25,4,14,18,19,8,16,21,25,-,-,-,-,-,-,-,-,60,17,26,82,8,4,81,5,0.81,0.63,123,8,13,44,0.36,-,12
2004/2005,A1,Regular_Season,1st,2,-,9,17/10/2004,18:00,1011,3944,O,Radio105 Foppapedretti BG,Volley Bergamo,3,1,8,16,21,25,5,10,14,17,5,13,17,21,8,16,21,25,8,16,21,25,7,13,17,20,8,16,21,25,4,14,18,19,-,-,-,-,-,-,-,-,80,30,44,95,14,5,73,4,0.77,0.6,117,6,12,62,0.53,-,13
