Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,1,Marletta Valeria,-,-,-,-,*,*,3,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,2,Scott-Arruda Danielle,-,-,6.6,6,6,1,6,-,13,4,9,12,2,-,1,-,-,-,20,1,1,13,0.65,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,3,Ghisleni Ramona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,5,Zetova Antonina,-,-,5.8,4,4,5,4,-,16,6,7,18,1,-,-,-,-,-,35,3,5,15,0.43,-,1
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,7,Marinova Neli,-,-,6.2,1,1,2,1,-,2,-,1,17,-,-,-,-,-,-,3,1,-,2,0.67,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,8,Angeloni Veronica,-,-,5.6,5,5,6,5,-,11,6,1,10,1,-,21,3,0.67,0.38,26,3,3,10,0.38,-,1
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,10,Dias Virna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,12,Vincenzi Cristina,-,-,-,3,3,4,*,-,5,2,-,10,2,-,2,1,-,-,8,2,-,4,0.5,-,1
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,13,Borri Maurizia,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,20,2,0.8,0.65,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,15,Tom Logan,-,-,6.1,2,2,3,2,-,15,8,5,20,5,3,22,1,0.64,0.32,24,1,3,10,0.42,-,2
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,O,Minetti Infoplus Vicenza,Vicenza,1,Starovic Sanja,-,-,-,2,-,-,-,-,-,-,-2,3,1,-,1,-,1,-,3,1,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,O,Minetti Infoplus Vicenza,Vicenza,2,Tirozzi Valentina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,O,Minetti Infoplus Vicenza,Vicenza,3,Conti Andrea Carolina,-,-,5.5,*,2,1,2,-,7,3,-2,13,3,2,2,-,1,0.5,19,4,2,5,0.26,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,O,Minetti Infoplus Vicenza,Vicenza,4,Mouha Liesbeth,-,-,6.8,3,3,2,3,-,14,3,10,15,3,1,-,-,-,-,15,1,-,10,0.67,-,3
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,O,Minetti Infoplus Vicenza,Vicenza,5,Sliwa Magdalena,-,-,6.4,1,1,6,1,-,3,2,-1,12,1,1,2,2,-,-,2,1,-,1,0.5,-,1
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,O,Minetti Infoplus Vicenza,Vicenza,7,Labee Patricia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,O,Minetti Infoplus Vicenza,Vicenza,9,Lehtonen Riikka,-,-,6.3,4,4,3,4,-,17,4,9,14,4,-,24,2,0.58,0.42,28,2,-,14,0.5,-,3
