Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2004/2005,A1,Acqua Paradiso Montichiari,1,CAZZANIGA Roberto,Spiker,1979,200,MI,ITA,-,-
2004/2005,A1,Acqua Paradiso Montichiari,2,MILLAR Ryan,Middleblocker,1978,200,USA,USA,-,-
2004/2005,A1,Acqua Paradiso Montichiari,3,COCO Emanuele,Setter,1974,185,BS,ITA,-,-
2004/2005,A1,Acqua Paradiso Montichiari,4,NUMMERDOR Reinder,Spiker,1976,194,NED,NED,-,-
2004/2005,A1,Acqua Paradiso Montichiari,5,INSALATA Vito,Middleblocker,1977,194,BA,ITA,-,-
2004/2005,A1,Acqua Paradiso Montichiari,6,SARACENI Gianluca,Spiker,1979,200,RM,ITA,-,-
2004/2005,A1,Acqua Paradiso Montichiari,7,JERONCIC Gregor,Middleblocker,1974,200,SLO,SLO,-,-
2004/2005,A1,Acqua Paradiso Montichiari,8,DELLA TORRE Diego,Spiker,1978,195,PV,ITA,from 17/10/2004,-
2004/2005,A1,Acqua Paradiso Montichiari,9,RINALDI Pietro,Libero,1972,197,RM,ITA,-,-
2004/2005,A1,Acqua Paradiso Montichiari,11,BONINFANTE Dante,Setter,1977,188,SA,ITA,-,-
2004/2005,A1,Acqua Paradiso Montichiari,12,CARIZIA Alberto,Libero,1972,192,PG,ITA,from 09/12/2004,-
2004/2005,A1,Acqua Paradiso Montichiari,15,GAVOTTO Mauro,Spiker,1979,202,CN,ITA,-,-
2004/2005,A1,Acqua Paradiso Montichiari,17,KONSTANTINOV Plamen,Spiker,1973,200,BUL,BUL,-,-
2004/2005,A1,Acqua&sapone Icom Latina,1,TORRE Paolo,Setter,1976,201,LU,ITA,-,-
2004/2005,A1,Acqua&sapone Icom Latina,3,MOLTENI Marco,Spiker,1976,196,BS,ITA,-,-
2004/2005,A1,Acqua&sapone Icom Latina,4,IURISCI Gervasio,Libero,1972,190,CH,ITA,-,-
2004/2005,A1,Acqua&sapone Icom Latina,5,FORTUNATO Francesco,Middleblocker,1977,201,VI,ITA,-,-
2004/2005,A1,Acqua&sapone Icom Latina,7,MITROVIC Alexander,Spiker,1982,193,SRB,SRB,-,-
2004/2005,A1,Acqua&sapone Icom Latina,9,MARI Stefano,Spiker,1975,192,MO,ITA,-,-
2004/2005,A1,Acqua&sapone Icom Latina,10,GRBIC Vladimir,Spiker,1970,193,SRB,SRB,-,-
2004/2005,A1,Acqua&sapone Icom Latina,11,SERAFINI Simone,Setter,1975,184,RM,ITA,-,-
2004/2005,A1,Acqua&sapone Icom Latina,12,BIRIBANTI Francesco,Spiker,1976,198,TR,ITA,-,-
2004/2005,A1,Acqua&sapone Icom Latina,13,CIPOLLARI Paolo,Middleblocker,1974,200,RM,ITA,-,-
2004/2005,A1,Acqua&sapone Icom Latina,15,HENRIQUE Randow,Middleblocker,1978,201,BRA,BRA,-,-
2004/2005,A1,Acqua&sapone Icom Latina,18,BJELICA Novica,Middleblocker,1983,202,CRO,SRB,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,1,WIJSMANS Wout,Spiker,1977,201,BEL,BEL,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,2,COSCIONE Manuel,Setter,1980,188,CN,ITA,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,3,PARMA Marco,Middleblocker,1981,194,MI,ITA,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,4,BENDANDI Simone,Setter,1976,196,RA,ITA,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,5,OMRCEN Igor,Middleblocker,1980,208,CRO,CRO,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,6,VERGNAGHI Daniele,Libero,1972,193,MI,ITA,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,7,CARDONA Maikel Cristobal,Middleblocker,1976,202,CUB,ITA,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,8,ANDRAE Bjorn,Spiker,1981,200,GER,GER,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,9,SAMICA Guillaume,Spiker,1981,197,FRA,FRA,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,10,ROSSO Mattia,Spiker,1985,195,CN,ITA,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,11,GODOY FILHO Gilberto Amauri Giba,Spiker,1976,194,BRA,BRA,-,-
2004/2005,A1,Bre Banca Lannutti Cuneo,12,MORO Stefano,Spiker,1982,200,AL,ITA,-,-
2004/2005,A1,Copra Piacenza,3,CAVALLINI Lorenzo,Middleblocker,1970,198,RE,ITA,-,-
2004/2005,A1,Copra Piacenza,4,CARLETTI Claudio,Setter,1982,193,AN,ITA,-,-
2004/2005,A1,Copra Piacenza,5,BATTE Alexis,Spiker,1971,196,CUB,ITA,-,-
2004/2005,A1,Copra Piacenza,6,LANGE Vincent,Spiker,1974,195,GER,GER,-,-
2004/2005,A1,Copra Piacenza,7,MARSHALL Leonel,Spiker,1979,196,CUB,CUB,-,-
2004/2005,A1,Copra Piacenza,8,BOTTI Massimo,Middleblocker,1973,196,PC,ITA,-,-
2004/2005,A1,Copra Piacenza,9,GRBIC Nikola,Setter,1973,195,SRB,SRB,-,-
2004/2005,A1,Copra Piacenza,10,SANTOS DUTRA Sergio,Libero,1975,184,BRA,BRA,-,-
2004/2005,A1,Copra Piacenza,11,ZLATANOV Hristo,Spiker,1976,201,BUL,ITA,-,-
2004/2005,A1,Copra Piacenza,12,TOMASSETTI Daniele,Middleblocker,1981,203,RM,ITA,-,-
2004/2005,A1,Copra Piacenza,15,CASTELLANO Maurizio,Spiker,1971,193,NA,ITA,-,-
2004/2005,A1,Copra Piacenza,16,BOVOLENTA Vigor,Middleblocker,1974,202,RO,ITA,-,-
2004/2005,A1,Copra Piacenza,18,RODRIGUES Anderson,Spiker,1974,190,BRA,BRA,-,-
2004/2005,A1,Daytona Modena,1,PIGNATTI Gabriele,Spiker,1978,194,MO,ITA,-,-
2004/2005,A1,Daytona Modena,3,MARQUES FONTELES Luiz Felipe,Spiker,1984,203,BRA,BRA,-,-
2004/2005,A1,Daytona Modena,5,COZZI Paolo,Middleblocker,1980,200,MI,ITA,-,-
2004/2005,A1,Daytona Modena,5,SANGIORGIO Riccardo,Spiker,1986,190,MO,ITA,from 08/11/2004,-
2004/2005,A1,Daytona Modena,6,CERNIC Matej,Spiker,1978,194,GO,ITA,-,-
2004/2005,A1,Daytona Modena,7,TIROZZI Marco,Spiker,-,-,-,ITA,from 08/11/2004,-
2004/2005,A1,Daytona Modena,7,TRAVICA Dragan,Setter,1986,200,CRO,ITA,-,-
2004/2005,A1,Daytona Modena,8,SCHUIL Richard,Spiker,1973,202,NED,NED,-,-
2004/2005,A1,Daytona Modena,11,DI FRANCO Massimiliano,Middleblocker,1978,203,CL,ITA,-,-
2004/2005,A1,Daytona Modena,12,PIPPI Damiano,Libero,1971,194,PG,ITA,-,-
2004/2005,A1,Daytona Modena,13,GIANI Andrea,Middleblocker,1970,196,NA,ITA,-,-
2004/2005,A1,Daytona Modena,14,STOKR Jan,Spiker,1983,205,CZE,CZE,-,-
2004/2005,A1,Daytona Modena,17,GARCIA Ricardo,Setter,1975,191,BRA,BRA,-,-
2004/2005,A1,Daytona Modena,18,AMARAL Dante,Spiker,1980,190,BRA,BRA,-,-
2004/2005,A1,Edilbasso&Partners Padova,1,GARGHELLA Andrea,Spiker,1982,192,PD,ITA,-,-
2004/2005,A1,Edilbasso&Partners Padova,2,STRENGHETTO Filippo,Setter,1978,184,RO,ITA,-,-
2004/2005,A1,Edilbasso&Partners Padova,3,STELMACH Krzystof,Spiker,1967,198,POL,POL,-,-
2004/2005,A1,Edilbasso&Partners Padova,4,OREL Aljosa,Spiker,1982,182,SLO,ITA,-,-
2004/2005,A1,Edilbasso&Partners Padova,6,MEONI Marco,Setter,1973,196,PD,ITA,-,-
2004/2005,A1,Edilbasso&Partners Padova,8,VICINI Marco,Libero,1974,193,AN,ITA,-,-
2004/2005,A1,Edilbasso&Partners Padova,10,TOVO Davide,Middleblocker,1972,202,RO,ITA,-,-
2004/2005,A1,Edilbasso&Partners Padova,11,SIMEONOV Ventceslav,Spiker,1977,200,BUL,ITA,-,-
2004/2005,A1,Edilbasso&Partners Padova,12,MORSUT Leonardo,Spiker,1980,196,PD,ITA,-,-
2004/2005,A1,Edilbasso&Partners Padova,15,MESZAROS Domotor,Spiker,1976,199,HUN,HUN,-,-
2004/2005,A1,Edilbasso&Partners Padova,16,GOLAS Arkadiusz,Middleblocker,1981,200,POL,POL,-,-
2004/2005,A1,Edilbasso&Partners Padova,17,BONTJE Rob,Middleblocker,1981,206,NED,NED,-,-
2004/2005,A1,Itas Diatec Trentino,2,RAK Michal,Middleblocker,1979,206,CZE,CZE,-,-
2004/2005,A1,Itas Diatec Trentino,3,SAVANI Cristian,Spiker,1982,195,MN,ITA,-,-
2004/2005,A1,Itas Diatec Trentino,4,HELLER Andrè,Middleblocker,1975,199,BRA,BRA,-,-
2004/2005,A1,Itas Diatec Trentino,5,TOFOLI Paolo,Setter,1966,188,FM,ITA,-,-
