Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2003/2004,A1,Adriavolley Trieste,1,COLA Paolo,Middleblocker,1969,194,TS,ITA,-,-
2003/2004,A1,Adriavolley Trieste,2,MANIÀ Loris,Libero,1979,190,GO,ITA,-,-
2003/2004,A1,Adriavolley Trieste,3,LAVORATO Francesco,Middleblocker,1969,198,GR,ITA,until 24/12/2003,trasferito a Salento d’amare Taviano
2003/2004,A1,Adriavolley Trieste,4,MARI Stefano,Spiker,1975,192,MO,ITA,-,-
2003/2004,A1,Adriavolley Trieste,5,KOVAC Milorad,Middleblocker,1971,207,BIH,BIH,from 26/11/2003,-
2003/2004,A1,Adriavolley Trieste,6,CUTURIC Jasmin,Spiker,1974,195,SLO,SLO,-,-
2003/2004,A1,Adriavolley Trieste,7,SPESCHA Simone,Spiker,1979,200,RM,ITA,-,-
2003/2004,A1,Adriavolley Trieste,8,MATTIA Paolo,Middleblocker,1979,200,UD,ITA,-,-
2003/2004,A1,Adriavolley Trieste,9,POLIDORI Giovanni,Middleblocker,1975,202,RI,ITA,until 24/12/2003,trasferito a Itas Diatec Trentino
2003/2004,A1,Adriavolley Trieste,10,CAVALIERE Rodolfo,Setter,1974,195,VA,ITA,-,-
2003/2004,A1,Adriavolley Trieste,11,OREL Aljosa,Spiker,1982,182,SLO,ITA,-,-
2003/2004,A1,Adriavolley Trieste,13,VISENTIN Marco,Setter,1982,196,TV,ITA,from 25/11/2003,proveniente da Sisley Treviso
2003/2004,A1,Adriavolley Trieste,15,MOMIC Sasa,Setter,1977,196,CRO,CRO,-,-
2003/2004,A1,Adriavolley Trieste,16,GRANVORKA Frantz,Spiker,1976,195,FRA,FRA,until 15/01/2004,-
2003/2004,A1,Adriavolley Trieste,18,SAMICA Guillaume,Spiker,1981,197,FRA,FRA,-,-
2003/2004,A1,Bossini Gabeca Montichiari,1,LATELLI Maurizio,Libero,1974,190,CZ,ITA,-,-
2003/2004,A1,Bossini Gabeca Montichiari,1,PATRIARCA Giuseppe,Spiker,1977,198,FR,ITA,from 20/09/2003,-
2003/2004,A1,Bossini Gabeca Montichiari,2,MILLAR Ryan,Middleblocker,1978,200,USA,USA,-,-
2003/2004,A1,Bossini Gabeca Montichiari,3,SAVANI Cristian,Spiker,1982,195,MN,ITA,-,-
2003/2004,A1,Bossini Gabeca Montichiari,4,GORGAINI Simone,Spiker,1972,182,BS,ITA,-,-
2003/2004,A1,Bossini Gabeca Montichiari,5,INSALATA Vito,Middleblocker,1977,194,BA,ITA,-,-
2003/2004,A1,Bossini Gabeca Montichiari,6,LIMA Mauricio,Setter,1968,185,BRA,BRA,-,-
2003/2004,A1,Bossini Gabeca Montichiari,7,RAMBELLI Lorenzo,Setter,1975,190,RA,ITA,-,-
2003/2004,A1,Bossini Gabeca Montichiari,9,SARACENI Gianluca,Spiker,1979,200,RM,ITA,-,-
2003/2004,A1,Bossini Gabeca Montichiari,11,DI FRANCO Massimiliano,Middleblocker,1978,203,CL,ITA,-,-
2003/2004,A1,Bossini Gabeca Montichiari,13,PERAZZOLO Lorenzo,Spiker,1984,198,MN,ITA,-,-
