Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2012/2013,A1,Altotevere San Giustino,1,FIORE Alessio,Spiker,1982,196,TA,ITA,-,-
2012/2013,A1,Altotevere San Giustino,2,VAN DEN DRIES Bram,Spiker,1989,207,BEL,BEL,-,-
2012/2013,A1,Altotevere San Giustino,3,GUTTMANN Marcus,Spiker,1991,204,AUT,AUT,-,-
2012/2013,A1,Altotevere San Giustino,4,MC KIBBIN Riley,Setter,1988,190,USA,USA,-,-
2012/2013,A1,Altotevere San Giustino,5,COALI Andrea,Middleblocker,1992,201,TN,ITA,-,-
2012/2013,A1,Altotevere San Giustino,6,GRADI Cesare,Spiker,1988,198,RM,ITA,-,-
2012/2013,A1,Altotevere San Giustino,7,CESARINI Andrea,Libero,1987,180,RM,ITA,-,-
2012/2013,A1,Altotevere San Giustino,8,BOHME Marcus,Middleblocker,1985,211,GER,GER,-,-
2012/2013,A1,Altotevere San Giustino,9,MATTIOLI Francesco,Spiker,1975,194,FI,ITA,-,-
2012/2013,A1,Altotevere San Giustino,10,TORRE Paolo,Setter,1976,201,LU,ITA,-,-
2012/2013,A1,Altotevere San Giustino,11,DE TOGNI Giorgio,Middleblocker,1985,202,FE,ITA,-,-
2012/2013,A1,Altotevere San Giustino,12,MARIC Goran,Spiker,1981,204,SRB,SRB,from 17/11/2012,-
2012/2013,A1,Altotevere San Giustino,13,LO BIANCO Marco,Spiker,1990,191,CS,ITA,-,-
2012/2013,A1,Altotevere San Giustino,14,CEBULJ Klemen,Spiker,1992,202,SLO,SLO,-,-
2012/2013,A1,Andreoli Latina,2,RAUWERDINK Jeroen,Spiker,1985,199,NED,NED,-,-
2012/2013,A1,Andreoli Latina,3,ROSSINI Salvatore,Libero,1986,184,LT,ITA,-,-
2012/2013,A1,Andreoli Latina,4,GITTO Carmelo,Middleblocker,1987,200,ME,ITA,-,-
2012/2013,A1,Andreoli Latina,5,SOTTILE Daniele,Setter,1979,186,ME,ITA,-,-
2012/2013,A1,Andreoli Latina,7,JAROSZ Jakub,Spiker,1987,195,POL,POL,-,-
2012/2013,A1,Andreoli Latina,8,PATRIARCA Stefano,Middleblocker,1987,205,IS,ITA,-,-
2012/2013,A1,Andreoli Latina,9,VERHEES Pieter,Middleblocker,1989,205,BEL,BEL,-,-
2012/2013,A1,Andreoli Latina,10,PRANDI Massimiliano,Libero,1989,189,PD,ITA,-,-
2012/2013,A1,Andreoli Latina,11,TROY Murphy Edward,Spiker,1989,203,USA,USA,-,-
2012/2013,A1,Andreoli Latina,12,NODA BLANCO Sergio,Spiker,1987,190,CUB,ESP,-,-
2012/2013,A1,Andreoli Latina,15,CISOLLA Alberto,Spiker,1977,197,TV,ITA,until 04/03/2013,-
2012/2013,A1,Andreoli Latina,16,FRAGKOS Andreas Dimitrios,Spiker,1989,201,GRE,GRE,-,-
2012/2013,A1,Andreoli Latina,17,GUEMART Michel,Setter,1983,193,FC,ITA,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,1,MENZEL Jeffrey,Spiker,1988,199,USA,USA,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,2,ELIA Alberto,Middleblocker,1985,205,VT,ITA,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,3,RICCIARDELLO Antonio,Spiker,1986,188,ME,ITA,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,4,PAPARONI Alessandro,Libero,1981,191,MC,ITA,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,5,FALASCHI Marco,Setter,1987,187,PI,ITA,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,6,DOLFO Ludovico,Spiker,1989,195,TV,ITA,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,7,FERREIRA Marco Evan,Spiker,1987,203,FRA,POR,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,8,STIVACHTIS Kostantinos,Setter,1980,186,GRE,GRE,from 22/02/2013,-
2012/2013,A1,BCC-NEP Castellana Grotte,9,KINDGARD Martin Alberto,Setter,1986,196,ARG,ITA,until 24/10/2012,-
2012/2013,A1,BCC-NEP Castellana Grotte,10,SABBI Giulio,Spiker,1989,201,RM,ITA,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,11,FERREIRA Alexandre,Spiker,1991,203,POR,POR,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,12,YOSIFOV Viktor,Middleblocker,1985,205,BUL,BUL,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,15,CESTER Enrico,Middleblocker,1988,204,TV,ITA,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,16,CASOLI Cristian,Spiker,1975,192,VA,ITA,-,-
2012/2013,A1,BCC-NEP Castellana Grotte,18,KRUMINS Davis,Setter,1990,195,LAT,ITA,from 24/10/2012,-
2012/2013,A1,Bre Banca Lannutti Cuneo,1,MASTRANGELO Luigi,Middleblocker,1975,202,TA,ITA,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,2,ANTONOV Oleg,Spiker,1988,198,RUS,ITA,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,3,MARCHISIO Andrea,Libero,1990,186,CN,ITA,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,4,NGAPETH Earvin,Spiker,1991,192,FRA,FRA,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,5,DE PANDIS Daniele,Libero,1984,184,LE,ITA,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,6,GALLIANI Andrea,Spiker,1988,202,MB,ITA,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,7,WIJSMANS Wout,Spiker,1977,201,BEL,ITA,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,8,KOHUT Emanuel,Middleblocker,1982,205,SVK,SVK,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,9,GRBIC Nikola,Setter,1973,195,SRB,SRB,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,10,DELLA LUNGA Dore,Spiker,1984,194,AN,ITA,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,11,SOKOLOV Tsvetan,Spiker,1989,205,BUL,BUL,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,12,ABDEL-AZIZ Nimir,Setter,1992,201,NED,NED,-,-
2012/2013,A1,Bre Banca Lannutti Cuneo,13,ROSSI Andrea,Middleblocker,1989,202,AR,ITA,-,-
2012/2013,A1,Casa Modena,1,MANIÀ Loris,Libero,1979,190,GO,ITA,-,-
2012/2013,A1,Casa Modena,2,CATELLANI Luca,Libero,1991,184,RE,ITA,-,-
2012/2013,A1,Casa Modena,3,SALA Andrea,Middleblocker,1978,202,VA,ITA,-,-
2012/2013,A1,Casa Modena,5,DONADIO Fabio,Spiker,1988,181,MO,ITA,-,-
2012/2013,A1,Casa Modena,6,DEROO Sam,Spiker,1992,202,BEL,BEL,-,-
2012/2013,A1,Casa Modena,7,QUESQUE Guillaume,Spiker,1989,203,FRA,FRA,-,-
2012/2013,A1,Casa Modena,8,CELITANS Gundars,Spiker,1985,202,LAT,LAT,-,-
2012/2013,A1,Casa Modena,9,KOOY Dick,Spiker,1987,202,NED,NED,until 21/11/2012,transferred to Cucine Lube Banca Marche Macerata
2012/2013,A1,Casa Modena,11,CASADEI Alberto,Spiker,1984,200,FC,ITA,-,-
2012/2013,A1,Casa Modena,12,VESELY Jakub,Middleblocker,1986,206,CZE,CZE,-,-
2012/2013,A1,Casa Modena,14,MOLTENI Marco,Spiker,1976,196,BS,ITA,until 17/12/2012,-
2012/2013,A1,Casa Modena,15,PINELLI Riccardo,Setter,1991,193,MO,ITA,-,-
2012/2013,A1,Casa Modena,16,KOVACEVIC Uros,Spiker,1993,198,SRB,SRB,from 16/12/2012,-
2012/2013,A1,Casa Modena,17,BARANOWICZ Michele,Setter,1989,195,CN,ITA,-,-
2012/2013,A1,Casa Modena,18,PISCOPO Cosimo Marco,Middleblocker,1983,205,LE,ITA,-,-
2012/2013,A1,CMC Ravenna,1,MENGOZZI Stefano,Middleblocker,1985,205,RA,ITA,-,-
2012/2013,A1,CMC Ravenna,2,OWENS Ryan Jay,Spiker,1980,190,USA,USA,from 09/12/2012,-
2012/2013,A1,CMC Ravenna,4,ZHUKOUSKI Tsimafei,Setter,1989,192,BLR,CRO,-,-
2012/2013,A1,CMC Ravenna,5,PSARRAS Athanasios,Setter,1973,191,GRE,GRE,-,-
2012/2013,A1,CMC Ravenna,6,SIRRI Luca,Spiker,1983,195,RA,ITA,-,-
2012/2013,A1,CMC Ravenna,7,TABANELLI Matteo,Libero,1983,190,RA,ITA,-,-
2012/2013,A1,CMC Ravenna,8,MAZZOTTI Filippo,Libero,1995,181,RA,ITA,-,-
2012/2013,A1,CMC Ravenna,9,DI FRANCO Massimiliano,Middleblocker,1978,203,CL,ITA,from 17/12/2012,-
2012/2013,A1,CMC Ravenna,10,RADUNOVIC Balsa,Spiker,1992,202,MNE,MNE,-,-
2012/2013,A1,CMC Ravenna,11,ZANUTO Bruno,Spiker,1983,200,BRA,BRA,-,-
2012/2013,A1,CMC Ravenna,12,MORO Stefano,Spiker,1982,200,AL,ITA,-,-
2012/2013,A1,CMC Ravenna,13,BELLEI Giacomo,Spiker,1988,202,VR,ITA,-,-
2012/2013,A1,CMC Ravenna,14,PELEKOUDAS Panagiotis,Middleblocker,1989,200,GRE,GRE,-,-
2012/2013,A1,CMC Ravenna,15,CREUS LARRY Sebastian,Middleblocker,1981,201,ARG,ITA,until 12/12/2012,-
2012/2013,A1,Copra Elior Piacenza,1,LATELLI Maurizio,Setter,1974,190,CZ,ITA,-,-
2012/2013,A1,Copra Elior Piacenza,2,TAVANA Futi,Middleblocker,1987,203,NZL,USA,-,-
2012/2013,A1,Copra Elior Piacenza,3,MARRA Davide,Libero,1984,180,CS,ITA,-,-
2012/2013,A1,Copra Elior Piacenza,5,CORVETTA Antonio,Setter,1977,188,AN,ITA,-,-
2012/2013,A1,Copra Elior Piacenza,6,PAPI Samuele,Spiker,1973,191,AN,ITA,-,-
2012/2013,A1,Copra Elior Piacenza,7,FEI Alessandro,Spiker,1978,204,VA,ITA,-,-
2012/2013,A1,Copra Elior Piacenza,9,OGURCAK Frantisek,Spiker,1984,198,SVK,SVK,-,-
2012/2013,A1,Copra Elior Piacenza,10,SIMON Robertlandy,Middleblocker,1987,206,CUB,CUB,from 10/11/2012,-
2012/2013,A1,Copra Elior Piacenza,11,ZLATANOV Hristo,Spiker,1976,201,BUL,ITA,-,-
2012/2013,A1,Copra Elior Piacenza,12,HOLT Maxwell Philip,Middleblocker,1987,205,USA,USA,-,-
2012/2013,A1,Copra Elior Piacenza,13,TENCATI Luca,Middleblocker,1979,200,CR,ITA,-,-
2012/2013,A1,Copra Elior Piacenza,15,MARUOTTI Gabriele,Spiker,1988,196,RM,ITA,-,-
2012/2013,A1,Copra Elior Piacenza,17,VETTORI Luca,Spiker,1991,199,PR,ITA,-,-
2012/2013,A1,Copra Elior Piacenza,18,DE CECCO Luciano,Setter,1988,194,ARG,ARG,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,1,LAMPARIELLO Davidson,Spiker,1980,190,BRA,ITA,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,2,PAJENK Alen,Middleblocker,1986,205,SLO,SLO,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,3,SAVANI Cristian,Spiker,1982,195,MN,ITA,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,5,ZAYTSEV Ivan,Spiker,1988,202,PG,ITA,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,6,PARODI Simone,Spiker,1986,195,IM,ITA,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,7,STANKOVIC Dragan,Middleblocker,1985,205,SRB,SRB,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,9,KOVAR Jiri,Spiker,1989,202,CZE,ITA,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,11,MONOPOLI Natale,Setter,1975,183,VE,ITA,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,12,HENNO Hubert,Libero,1976,188,FRA,FRA,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,13,TRAVICA Dragan,Setter,1986,200,CRO,ITA,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,14,RANDAZZO Luigi,Spiker,1994,198,CT,ITA,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,15,STAROVIC Sasha,Spiker,1988,207,BIH,SRB,-,-
2012/2013,A1,Cucine Lube Banca Marche Macerata,16,KOOY Dick,Spiker,1987,202,NED,NED,from 22/11/2012,coming from Casa Modena
2012/2013,A1,Cucine Lube Banca Marche Macerata,18,PODRASCANIN Marko,Middleblocker,1987,203,SRB,SRB,-,-
2012/2013,A1,Itas Diatec Trentino,1,KAZIYSKI Matey,Spiker,1984,203,BUL,BUL,-,-
2012/2013,A1,Itas Diatec Trentino,2,SINTINI Giacomo,Setter,1979,196,RA,ITA,-,-
2012/2013,A1,Itas Diatec Trentino,3,BIRARELLI Emanuele,Middleblocker,1981,202,AN,ITA,-,-
2012/2013,A1,Itas Diatec Trentino,4,GIANNELLI Simone,Setter,1996,196,BZ,ITA,-,-
2012/2013,A1,Itas Diatec Trentino,5,JUANTORENA Osmany,Spiker,1985,200,CUB,ITA,-,-
2012/2013,A1,Itas Diatec Trentino,7,VIEIRA DE OLIVEIRA Raphael,Setter,1979,190,BRA,BRA,-,-
2012/2013,A1,Itas Diatec Trentino,8,VALSECCHI Damiano,Middleblocker,1991,204,BG,ITA,-,-
2012/2013,A1,Itas Diatec Trentino,9,UCHIKOV Nikolay,Spiker,1986,207,BUL,BUL,-,-
2012/2013,A1,Itas Diatec Trentino,10,LANZA Filippo,Spiker,1991,194,VR,ITA,-,-
2012/2013,A1,Itas Diatec Trentino,12,DJURIC Mitar,Middleblocker,1989,211,BIH,GRE,-,-
2012/2013,A1,Itas Diatec Trentino,13,COLACI Massimo,Libero,1985,180,LE,ITA,-,-
2012/2013,A1,Itas Diatec Trentino,14,STOKR Jan,Spiker,1983,205,CZE,CZE,-,-
2012/2013,A1,Itas Diatec Trentino,15,CHRTIANSKY JR Stefan,Spiker,1989,207,SVK,SVK,-,-
2012/2013,A1,Itas Diatec Trentino,16,BARI Andrea,Libero,1980,185,AN,ITA,-,-
2012/2013,A1,Itas Diatec Trentino,17,BURGSTHALER Matteo,Middleblocker,1981,198,TN,ITA,-,-
2012/2013,A1,Marmi Lanza Verona,1,ZINGEL Aidan,Middleblocker,1990,207,AUS,AUS,-,-
2012/2013,A1,Marmi Lanza Verona,2,RAK Michal,Middleblocker,1979,205,CZE,CZE,-,-
2012/2013,A1,Marmi Lanza Verona,3,KOSMINA Damir,Spiker,1984,203,GO,ITA,-,-
2012/2013,A1,Marmi Lanza Verona,4,TER HORST Thijs,Spiker,1991,205,NED,NED,-,-
2012/2013,A1,Marmi Lanza Verona,5,GOTSEV Svetoslav,Middleblocker,1990,202,BUL,BUL,-,-
2012/2013,A1,Marmi Lanza Verona,6,MEONI Marco,Setter,1973,196,PD,ITA,-,-
2012/2013,A1,Marmi Lanza Verona,7,BOLLA Matteo,Spiker,1990,197,MI,ITA,-,-
