Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,1,Poggi Virginia,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,2,Valeriano Federica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,4,Leggeri Manuela,-,-,7,3,3,3,-,-,9,6,8,9,-,1,-,-,-,-,12,-,-,5,0.42,-,3
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,5,De Kruijf Robin,-,-,6.7,6,6,6,-,-,6,2,5,6,1,-,-,-,-,-,9,-,-,4,0.44,-,2
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,6,Van Hecke Lise,-,-,6.6,4,4,4,-,-,13,5,8,8,1,-,-,-,-,-,21,-,3,10,0.48,-,3
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,7,Meijners Floortje,-,-,6.5,5,5,5,-,-,12,10,9,12,1,2,16,1,0.69,-,20,1,-,7,0.35,-,3
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,9,Manzano Elisa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,10,Ferretti Francesca,-,-,7,1,1,1,-,-,1,1,-2,12,3,1,-,-,-,-,-,-,-,-,-,-,-
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,11,Sansonna Stefania,L,-,-,*,*,*,-,-,-,-,-1,-,-,-,11,1,0.73,0.09,-,-,-,-,-,-,-
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,13,Bramborova Ivana,-,-,-,*,*,*,-,-,2,2,2,8,-,2,-,-,-,-,-,-,-,-,-,-,-
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,14,Caracuta Valeria,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013/2014,A1,Supercoppa,Final,1,-,0,23/11/2013,20:30,-,-,C,Rebecchi Nordmeccanica Piacenza,River Volley Piacenza,16,Bosetti Lucia,-,-,6.8,2,2,2,-,-,13,4,11,19,-,-,12,-,0.92,-,23,-,2,12,0.52,-,1
