Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2013/2014,A1,Banca Di Forlì,1,VENTURA ALESSANDRA,Spiker,1983,183,ITA,-
2013/2014,A1,Banca Di Forlì,2,PETROVIKJ MARIJA,Spiker,1987,192,MKD,-
2013/2014,A1,Banca Di Forlì,3,ROANI MANUELA,Spiker,1983,186,ITA,-
2013/2014,A1,Banca Di Forlì,4,GUATELLI ALESSANDRA,Spiker,1983,178,ITA,until 20/01/2014 TRASFERITA A METALLEGHE SANITARS MONTICHIARI
2013/2014,A1,Banca Di Forlì,5,SPELMAN HAYLEY,Spiker,1991,202,USA,from 15/02/2014
2013/2014,A1,Banca Di Forlì,5,PAGGI PAOLA,Middleblocker,1976,182,ITA,until 16/01/2014 TRASFERITA A LIU JO MODENA
2013/2014,A1,Banca Di Forlì,6,TURLEA CARMEN,Spiker,1975,185,ROM,until 11/01/2014
2013/2014,A1,Banca Di Forlì,7,PIOLANTI ALICE,Middleblocker,1987,187,ITA,-
2013/2014,A1,Banca Di Forlì,8,CORIANI SARA,Libero,1995,165,ITA,-
2013/2014,A1,Banca Di Forlì,9,PINCERATO GIULIA,Setter,1987,182,ITA,-
2013/2014,A1,Banca Di Forlì,10,ZARDO CAROLINA,Libero,1992,168,ITA,-
2013/2014,A1,Banca Di Forlì,11,LAMPRINIDOU MARIA,Middleblocker,1986,188,GRE,-
2013/2014,A1,Banca Di Forlì,12,BORGOGNO CHIARA,Middleblocker,1984,192,ITA,from 08/01/2014
2013/2014,A1,Banca Di Forlì,13,BEZAREVIC MILICA,Spiker,1991,182,SRB,-
2013/2014,A1,Banca Di Forlì,14,ARRECHEA MONTANO DIANA SHIRLEY,Spiker,1994,178,COL,-
2013/2014,A1,Banca Di Forlì,15,PINEDO GEORGINA SOLEDAD,Spiker,1981,179,ARG,from 21/01/2014
2013/2014,A1,Banca Di Forlì,16,ROSSO MARGHERITA,Setter,1995,183,ITA,-
2013/2014,A1,Foppapedretti Bergamo,1,KLISURA SARA,Spiker,1992,188,SRB,-
2013/2014,A1,Foppapedretti Bergamo,2,STUFI FEDERICA,Middleblocker,1988,185,ITA,-
2013/2014,A1,Foppapedretti Bergamo,3,BRUNO ELEONORA,Libero,1994,180,ITA,-
2013/2014,A1,Foppapedretti Bergamo,4,LODA SARA,Spiker,1990,178,ITA,from 24/01/2014 PROVENIENTE DA OPENJOBMETIS ORNAVASSO
2013/2014,A1,Foppapedretti Bergamo,6,WEISS KATHLEEN,Setter,1984,171,GER,-
2013/2014,A1,Foppapedretti Bergamo,7,BLAGOJEVIC JELENA,Spiker,1988,181,SRB,-
2013/2014,A1,Foppapedretti Bergamo,8,MERLO ENRICA,Libero,1988,170,ITA,-
2013/2014,A1,Foppapedretti Bergamo,9,MELANDRI LAURA,Middleblocker,1995,186,ITA,-
2013/2014,A1,Foppapedretti Bergamo,10,FOLIE RAPHAELA,Middleblocker,1991,186,ITA,-
2013/2014,A1,Foppapedretti Bergamo,13,DIOUF VALENTINA,Spiker,1993,202,ITA,-
2013/2014,A1,Foppapedretti Bergamo,16,SMUTNA LUCIE,Setter,1991,180,CZE,-
2013/2014,A1,Foppapedretti Bergamo,17,SYLLA MIRIAM,Spiker,1995,181,ITA,-
2013/2014,A1,Igor Gorgonzola Novara,1,CASILLO LUISA,Middleblocker,1988,188,ITA,-
2013/2014,A1,Igor Gorgonzola Novara,2,PARIS SARA,Libero,1985,165,ITA,-
2013/2014,A1,Igor Gorgonzola Novara,3,ROSSO VALERIA,Spiker,1981,182,ITA,-
2013/2014,A1,Igor Gorgonzola Novara,4,TOKARSKA MAJA,Middleblocker,1991,193,POL,-
2013/2014,A1,Igor Gorgonzola Novara,5,KIM MI NA,Setter,1984,176,ITA,-
2013/2014,A1,Igor Gorgonzola Novara,7,LOMBARDO GILDA,Spiker,1989,180,ITA,-
2013/2014,A1,Igor Gorgonzola Novara,8,HARMS KATERINE,Spiker,1990,185,USA,until 08/01/2014
2013/2014,A1,Igor Gorgonzola Novara,9,MANFREDINI COSTANZA,Spiker,1988,188,ITA,-
2013/2014,A1,Igor Gorgonzola Novara,10,MILOS PROKOPIC IVANA,Middleblocker,1986,187,CRO,-
2013/2014,A1,Igor Gorgonzola Novara,11,VANZUROVA TEREZA,Spiker,1991,183,CZE,-
2013/2014,A1,Igor Gorgonzola Novara,12,ALBERTI VALERIA,Libero,1984,176,ITA,-
2013/2014,A1,Igor Gorgonzola Novara,15,MOLLERS LENA,Setter,1990,190,GER,-
2013/2014,A1,Igor Gorgonzola Novara,16,MURPHY KELLY,Spiker,1989,188,USA,from 18/12/2013
2013/2014,A1,Igor Gorgonzola Novara,18,BELLEI CHIARA,Spiker,1995,180,ITA,-
2013/2014,A1,Ihf Volley Frosinone,1,FRIGO LAURA,Middleblocker,1990,185,ITA,-
2013/2014,A1,Ihf Volley Frosinone,2,PERCAN SONJA,Spiker,1981,186,CRO,-
2013/2014,A1,Ihf Volley Frosinone,3,KIDDER RACHAEL ANN,Spiker,1991,191,USA,-
2013/2014,A1,Ihf Volley Frosinone,5,BONCIANI FRANCESCA,Setter,1992,178,ITA,-
2013/2014,A1,Ihf Volley Frosinone,7,VICO GABRIELLA,Spiker,1987,182,ITA,-
2013/2014,A1,Ihf Volley Frosinone,8,ASTARITA GIUSY,Spiker,1988,183,ITA,-
2013/2014,A1,Ihf Volley Frosinone,10,AGOSTINETTO GIULIA,Setter,1987,179,ITA,-
2013/2014,A1,Ihf Volley Frosinone,11,SPATARO VIRGINIA,Middleblocker,1983,188,ITA,-
2013/2014,A1,Ihf Volley Frosinone,12,ANGELONI VERONICA,Spiker,1986,186,ITA,-
2013/2014,A1,Ihf Volley Frosinone,14,BICCHERI VALENTINA,Spiker,1991,191,ITA,-
2013/2014,A1,Ihf Volley Frosinone,17,GIOLI SIMONA,Spiker,1977,185,ITA,-
2013/2014,A1,Ihf Volley Frosinone,18,RUZZINI JOLE,Libero,1984,162,ITA,-
2013/2014,A1,Imoco Volley Conegliano,3,LLOYD CARLI,Setter,1989,178,USA,-
2013/2014,A1,Imoco Volley Conegliano,5,GIBBEMEYER LAUREN,Middleblocker,1988,188,USA,from 31/01/2014
2013/2014,A1,Imoco Volley Conegliano,6,FIORIN VALENTINA,Spiker,1984,187,ITA,-
2013/2014,A1,Imoco Volley Conegliano,7,DAMINATO CARLOTTA,Libero,1993,160,ITA,-
2013/2014,A1,Imoco Volley Conegliano,8,KAUFFELDT BERIT,Middleblocker,1990,190,GER,-
2013/2014,A1,Imoco Volley Conegliano,9,DONÀ MELISSA,Spiker,1982,180,ITA,-
2013/2014,A1,Imoco Volley Conegliano,10,DE GENNARO MONICA,Libero,1987,173,ITA,-
2013/2014,A1,Imoco Volley Conegliano,13,CALLONI RAFFAELLA,Middleblocker,1983,187,ITA,-
2013/2014,A1,Imoco Volley Conegliano,14,NIKOLOVA EMILIYA,Spiker,1991,185,BUL,-
2013/2014,A1,Imoco Volley Conegliano,15,BECHIS MARTA,Setter,1989,181,ITA,-
2013/2014,A1,Imoco Volley Conegliano,16,BARCELLINI CRISTINA,Spiker,1986,183,ITA,-
2013/2014,A1,Imoco Volley Conegliano,17,TIROZZI VALENTINA,Spiker,1986,182,ITA,-
2013/2014,A1,Imoco Volley Conegliano,18,BARAZZA JENNY,Middleblocker,1981,188,ITA,-
2013/2014,A1,Liu Jo Modena,1,ROUSSEAUX HELENE,Spiker,1991,188,BEL,-
2013/2014,A1,Liu Jo Modena,3,PERINELLI ELENA,Spiker,1995,181,ITA,-
2013/2014,A1,Liu Jo Modena,5,HEYRMAN LAURA,Middleblocker,1993,188,BEL,-
2013/2014,A1,Liu Jo Modena,6,PAGGI PAOLA,Middleblocker,1976,182,ITA,from 17/01/2014 PROVENIENTE DA BANCA DI FORLÌ
2013/2014,A1,Liu Jo Modena,7,PRANDI VITTORIA,Setter,1994,180,ITA,-
2013/2014,A1,Liu Jo Modena,8,ANDJELIC DANIJELA,Spiker,1988,187,CRO,-
2013/2014,A1,Liu Jo Modena,9,PETRACHI EMILIA,Libero,1996,170,ITA,-
2013/2014,A1,Liu Jo Modena,10,CARDULLO PAOLA,Libero,1982,162,ITA,-
2013/2014,A1,Liu Jo Modena,11,RUSEVA HRISTINA,Middleblocker,1991,190,BUL,-
2013/2014,A1,Liu Jo Modena,12,PICCININI FRANCESCA,Spiker,1979,185,ITA,-
2013/2014,A1,Liu Jo Modena,13,FABRIS SAMANTA,Spiker,1992,189,CRO,-
2013/2014,A1,Liu Jo Modena,14,CRISANTI LUCIA,Middleblocker,1986,187,ITA,-
2013/2014,A1,Liu Jo Modena,15,MARUOTTI ILARIA,Spiker,1994,183,ITA,-
2013/2014,A1,Liu Jo Modena,17,RONDON GIULIA,Setter,1987,190,ITA,-
