Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2013/2014,A1,Regular_Season,1st,1,1,1,23/11/2013,17:30,2137,16602,C,Diatec Trentino,Trento,3,2,8,16,21,25,4,13,14,17,8,15,19,24,7,16,21,26,8,16,21,25,3,14,20,21,8,16,21,23,5,14,20,25,5,10,12,24,4,8,10,22,88,30,17,120,24,4,94,10,0.6,0.24,129,10,13,69,0.53,-,15
2013/2014,A1,Regular_Season,1st,1,1,1,23/11/2013,17:30,2137,16602,O,Andreoli Latina,Latina,2,3,4,13,14,17,8,16,21,25,7,16,21,26,8,15,19,24,3,14,20,21,8,16,21,25,5,14,20,25,8,16,21,23,4,8,10,22,5,10,12,24,78,24,-,112,18,10,96,5,0.67,0.35,119,14,15,55,0.46,-,13
2013/2014,A1,Regular_Season,1st,1,2,2,20/10/2013,18:00,3058,24190,C,Casa Modena,Modena,3,0,8,16,21,25,5,10,17,18,4,13,21,25,8,16,19,19,8,16,21,28,6,13,18,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,22,15,77,8,4,52,5,0.6,0.23,93,5,6,45,0.48,-,5
2013/2014,A1,Regular_Season,1st,1,2,2,20/10/2013,18:00,3058,24190,O,CMC Ravenna,Ravenna Robur,0,3,5,10,17,18,8,16,21,25,8,16,19,19,4,13,21,25,6,13,18,26,8,16,21,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,15,-5,64,12,3,69,5,0.57,0.17,95,12,5,39,0.41,-,6
2013/2014,A1,Regular_Season,1st,1,3,3,20/10/2013,17:30,1978,7406,C,Bre Lannutti Cuneo,Cuneo,2,3,7,16,21,25,8,14,19,23,4,12,16,20,8,16,21,25,8,16,21,31,5,15,19,29,6,15,17,19,8,16,21,25,5,8,11,14,4,10,12,16,83,22,8,109,23,3,102,7,0.57,0.32,151,10,11,72,0.48,-,8
2013/2014,A1,Regular_Season,1st,1,3,3,20/10/2013,17:30,1978,7406,O,Sir Safety Perugia,Perugia,3,2,8,14,19,23,7,16,21,25,8,16,21,25,4,12,16,20,5,15,19,29,8,16,21,31,8,16,21,25,6,15,17,19,4,10,12,16,5,8,11,14,82,27,22,118,16,5,86,3,0.56,0.26,130,7,8,66,0.51,-,11
2013/2014,A1,Regular_Season,1st,1,4,4,20/10/2013,18:00,1208,6749,C,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,3,1,8,16,21,27,4,14,19,25,6,12,19,25,8,16,21,27,8,16,21,25,5,12,14,20,8,16,21,25,3,15,18,21,-,-,-,-,-,-,-,-,62,21,4,101,16,4,73,6,0.37,0.23,104,6,9,47,0.45,-,11
2013/2014,A1,Regular_Season,1st,1,4,4,20/10/2013,18:00,1208,6749,O,Calzedonia Verona,Verona,1,3,4,14,19,25,8,16,21,27,8,16,21,27,6,12,19,25,5,12,14,20,8,16,21,25,3,15,18,21,8,16,21,25,-,-,-,-,-,-,-,-,70,19,1,94,21,4,84,6,0.52,0.32,124,16,12,57,0.46,-,9
2013/2014,A1,Regular_Season,1st,1,5,5,20/10/2013,18:00,1381,9656,C,Altotevere Città di Castello,Città di Castello,3,1,8,16,21,28,3,13,20,26,8,13,17,18,6,16,21,25,8,16,21,25,4,10,13,13,8,16,21,25,6,15,20,23,-,-,-,-,-,-,-,-,66,23,20,85,13,3,75,6,0.57,0.39,104,3,10,53,0.51,-,10
2013/2014,A1,Regular_Season,1st,1,5,5,20/10/2013,18:00,1381,9656,O,Copra Elior Piacenza,Piacenza,1,3,3,13,20,26,8,16,21,28,6,16,21,25,8,13,17,18,4,10,13,13,8,16,21,25,6,15,20,23,8,16,21,25,-,-,-,-,-,-,-,-,67,24,8,88,13,5,80,3,0.58,0.4,108,5,13,52,0.48,-,10
