Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2013/2014,A1,Altotevere Città di Castello,1,FRANCESCHINI Alessandro,Middleblocker,1983,197,AR,ITA,-,-
2013/2014,A1,Altotevere Città di Castello,2,FROMM Christian,Spiker,1990,204,GER,GER,-,-
2013/2014,A1,Altotevere Città di Castello,3,CARMINATI Ludovico,Spiker,1992,200,BG,ITA,-,-
2013/2014,A1,Altotevere Città di Castello,4,LENSI David,Libero,1995,175,PG,ITA,-,-
2013/2014,A1,Altotevere Città di Castello,5,CORVETTA Antonio,Setter,1977,188,AN,ITA,-,-
2013/2014,A1,Altotevere Città di Castello,6,DOLFO Ludovico,Spiker,1989,195,TV,ITA,-,-
2013/2014,A1,Altotevere Città di Castello,7,LO BIANCO Marco,Libero,1990,191,CS,ITA,from 13/03/2014,coming from Globo Banca Popolare Del Frusinate Sora
2013/2014,A1,Altotevere Città di Castello,8,SARTORETTI Luca,Spiker,1995,190,RA,ITA,-,-
2013/2014,A1,Altotevere Città di Castello,9,MASSARI Jacopo,Spiker,1988,185,PR,ITA,-,-
2013/2014,A1,Altotevere Città di Castello,10,TOSI Federico,Libero,1991,185,LU,ITA,-,-
2013/2014,A1,Altotevere Città di Castello,11,PIANO Matteo,Middleblocker,1990,207,AT,ITA,-,-
2013/2014,A1,Altotevere Città di Castello,12,VAN WALLE Gert,Spiker,1987,197,BEL,BEL,-,-
2013/2014,A1,Altotevere Città di Castello,13,ROSSI Andrea,Middleblocker,1989,202,AR,ITA,-,-
2013/2014,A1,Altotevere Città di Castello,15,MARCHIANI Manuele,Setter,1989,185,AN,ITA,-,-
2013/2014,A1,Andreoli Latina,1,DE ROCCO Jason,Spiker,1989,198,CAN,CAN,until 15/02/2014,-
2013/2014,A1,Andreoli Latina,2,CANDELLARO Davide,Middleblocker,1989,200,PD,ITA,-,-
2013/2014,A1,Andreoli Latina,3,ROSSINI Salvatore,Libero,1986,184,LT,ITA,-,-
2013/2014,A1,Andreoli Latina,4,GITTO Carmelo,Middleblocker,1987,200,ME,ITA,-,-
2013/2014,A1,Andreoli Latina,5,SOTTILE Daniele,Setter,1979,186,ME,ITA,-,-
2013/2014,A1,Andreoli Latina,7,MICHALOVIC Peter,Spiker,1990,201,SVK,SVK,-,-
2013/2014,A1,Andreoli Latina,8,SKRIMOV Todor,Spiker,1990,192,BUL,BUL,-,-
2013/2014,A1,Andreoli Latina,9,VERHEES Pieter,Middleblocker,1989,205,BEL,BEL,-,-
2013/2014,A1,Andreoli Latina,10,TAILLI Daniele,Libero,1993,192,RM,ITA,-,-
2013/2014,A1,Andreoli Latina,11,PARIS Matteo,Setter,1983,188,RM,ITA,-,-
2013/2014,A1,Andreoli Latina,12,NODA BLANCO Sergio,Spiker,1987,190,CUB,ESP,-,-
2013/2014,A1,Andreoli Latina,13,FORTUNATO Francesco,Middleblocker,1977,201,VI,ITA,from 24/01/2014,coming from Sidigas HS Avellino
2013/2014,A1,Andreoli Latina,15,STAROVIC Sasha,Spiker,1988,207,BIH,SRB,from 14/11/2013,-
2013/2014,A1,Andreoli Latina,16,FRAGKOS Andreas Dimitrios,Spiker,1989,201,GRE,GRE,-,-
2013/2014,A1,Andreoli Latina,18,TORRES Maurice Armando,Spiker,1991,201,USA,USA,until 05/12/2013,-
2013/2014,A1,Bre Lannutti Cuneo,1,RAUWERDINK Jeroen,Spiker,1985,199,NED,NED,-,-
2013/2014,A1,Bre Lannutti Cuneo,2,ANTONOV Oleg,Spiker,1988,198,RUS,ITA,-,-
2013/2014,A1,Bre Lannutti Cuneo,3,MARCHISIO Andrea,Libero,1990,186,CN,ITA,-,-
2013/2014,A1,Bre Lannutti Cuneo,4,GONZALEZ Javier,Setter,1983,192,CUB,CUB,-,-
2013/2014,A1,Bre Lannutti Cuneo,5,DE PANDIS Daniele,Libero,1984,184,LE,ITA,-,-
2013/2014,A1,Bre Lannutti Cuneo,6,CASADEI Alberto,Spiker,1984,200,FC,ITA,-,-
2013/2014,A1,Bre Lannutti Cuneo,8,KOHUT Emanuel,Middleblocker,1982,205,SVK,SVK,-,-
2013/2014,A1,Bre Lannutti Cuneo,9,GRBIC Nikola,Setter,1973,195,SRB,SRB,until 10/10/2013,until 24/08/2013
2013/2014,A1,Bre Lannutti Cuneo,10,ALLETTI Aimone,Middleblocker,1988,207,LO,ITA,-,-
2013/2014,A1,Bre Lannutti Cuneo,11,DE TOGNI Giorgio,Middleblocker,1985,202,FE,ITA,-,-
2013/2014,A1,Bre Lannutti Cuneo,12,FRERIKS Nico,Setter,1981,192,NED,NED,from 10/10/2013 to 04/11/2013,-
2013/2014,A1,Bre Lannutti Cuneo,13,COSCIONE Manuel,Setter,1980,188,CN,ITA,from 23/10/2013,-
2013/2014,A1,Bre Lannutti Cuneo,14,ROUZIER Antonin,Spiker,1986,201,FRA,FRA,-,-
2013/2014,A1,Bre Lannutti Cuneo,15,MARUOTTI Gabriele,Spiker,1988,196,RM,ITA,-,-
2013/2014,A1,Bre Lannutti Cuneo,16,PICCO Edoardo,Middleblocker,1994,206,CN,ITA,-,-
2013/2014,A1,Calzedonia Verona,1,ZINGEL Aidan,Middleblocker,1990,207,AUS,AUS,-,-
2013/2014,A1,Calzedonia Verona,2,BLASI Alessandro,Setter,1992,190,TS,ITA,-,-
2013/2014,A1,Calzedonia Verona,3,PESARESI Nicola,Libero,1991,190,AN,ITA,-,-
2013/2014,A1,Calzedonia Verona,4,TER HORST Thijs,Spiker,1991,205,NED,NED,-,-
2013/2014,A1,Calzedonia Verona,5,COALI Andrea,Middleblocker,1992,201,TN,ITA,-,-
2013/2014,A1,Calzedonia Verona,6,GASPARINI Mitja,Spiker,1984,202,SLO,SLO,-,-
2013/2014,A1,Calzedonia Verona,8,GABRIELE Pasquale,Spiker,1991,203,BA,ITA,-,-
2013/2014,A1,Calzedonia Verona,9,WHITE Adam,Spiker,1989,205,AUS,AUS,from 30/09/2013,-
2013/2014,A1,Calzedonia Verona,10,BONINFANTE Dante,Setter,1977,188,SA,ITA,-,-
2013/2014,A1,Calzedonia Verona,11,CENTOMO Federico,Libero,1992,182,VR,ITA,-,-
2013/2014,A1,Calzedonia Verona,13,BELLEI Giacomo,Spiker,1988,202,VR,ITA,-,-
2013/2014,A1,Calzedonia Verona,16,KOVACEVIC Nikola,Spiker,1983,193,SRB,SRB,from 21/03/2014,-
2013/2014,A1,Calzedonia Verona,17,ANZANI Simone,Middleblocker,1992,203,CO,ITA,-,-
2013/2014,A1,Calzedonia Verona,18,GONZALEZ Juan Manuel,Spiker,1994,193,ESP,ESP,-,-
2013/2014,A1,Casa Modena,1,MANIÀ Loris,Libero,1979,190,GO,ITA,-,-
2013/2014,A1,Casa Modena,2,DONADIO Fabio,Libero,1988,181,MO,ITA,-,-
2013/2014,A1,Casa Modena,3,SALA Andrea,Middleblocker,1978,202,VA,ITA,-,-
2013/2014,A1,Casa Modena,5,SKET Alen,Spiker,1988,204,SLO,SLO,-,-
2013/2014,A1,Casa Modena,6,DEROO Sam,Spiker,1992,202,BEL,BEL,-,-
2013/2014,A1,Casa Modena,7,QUESQUE Guillaume,Spiker,1989,203,FRA,FRA,until 13/02/2014,-
2013/2014,A1,Casa Modena,8,KAMPA Lukas,Setter,1986,196,GER,GER,-,-
2013/2014,A1,Casa Modena,9,BARTMAN Zbigniew,Spiker,1987,195,POL,POL,-,-
2013/2014,A1,Casa Modena,11,BERETTA Thomas,Middleblocker,1990,205,MI,ITA,-,-
2013/2014,A1,Casa Modena,12,BOSSI Elia,Middleblocker,1994,202,TS,ITA,-,-
2013/2014,A1,Casa Modena,14,MOSSA DE REZENDE Bruno,Setter,1986,190,BRA,BRA,from 03/01/2014,-
2013/2014,A1,Casa Modena,15,HENDRIKS Niki,Spiker,1992,197,PO,ITA,-,-
2013/2014,A1,Casa Modena,16,KOVACEVIC Uros,Spiker,1993,198,SRB,SRB,-,-
2013/2014,A1,Casa Modena,17,SERAFINI Simone,Setter,1975,184,RM,ITA,from 09/01/2014,-
2013/2014,A1,Casa Modena,18,NGAPETH Earvin,Spiker,1991,192,FRA,FRA,from 14/02/2014,-
2013/2014,A1,Casa Modena,18,KRUMINS Davis,Setter,1990,195,LAT,ITA,until 09/01/2014,transferred to Vero Volley Monza
2013/2014,A1,CMC Ravenna,1,MENGOZZI Stefano,Middleblocker,1985,205,RA,ITA,-,-
2013/2014,A1,CMC Ravenna,2,KAULIAKAMOA JR Joseph Clarence,Setter,1989,198,USA,USA,-,-
2013/2014,A1,CMC Ravenna,4,RICCI Fabio,Middleblocker,1994,205,RA,ITA,-,-
2013/2014,A1,CMC Ravenna,5,CRICCA Manuele,Middleblocker,1981,200,RA,ITA,-,-
2013/2014,A1,CMC Ravenna,6,TONIUTTI Benjamin,Setter,1989,183,FRA,FRA,-,-
2013/2014,A1,CMC Ravenna,7,TILLIE Kevin,Spiker,1990,198,FRA,FRA,-,-
2013/2014,A1,CMC Ravenna,8,JELIAZKOV Jani Nikolaev,Spiker,1992,205,BUL,BUL,-,-
2013/2014,A1,CMC Ravenna,9,KOUMENTAKIS Rafail,Spiker,1993,203,GRE,GRE,-,-
2013/2014,A1,CMC Ravenna,10,SCARPI Enrico,Libero,1995,190,RA,ITA,-,-
2013/2014,A1,CMC Ravenna,10,GOI Riccardo,Libero,1992,174,MN,ITA,-,-
2013/2014,A1,CMC Ravenna,12,PATRIARCA Giuseppe,Spiker,1977,198,FR,ITA,-,-
2013/2014,A1,CMC Ravenna,14,KLAPWIJK Niels,Spiker,1985,200,NED,NED,-,-
2013/2014,A1,CMC Ravenna,15,CESTER Enrico,Middleblocker,1988,204,TV,ITA,-,-
2013/2014,A1,CMC Ravenna,16,BARI Andrea,Libero,1980,185,AN,ITA,-,-
2013/2014,A1,CMC Ravenna,17,CEBULJ Klemen,Spiker,1992,202,SLO,SLO,-,-
2013/2014,A1,Copra Elior Piacenza,3,MARRA Davide,Libero,1984,180,CS,ITA,-,-
2013/2014,A1,Copra Elior Piacenza,4,LE ROUX Kevin,Spiker,1989,209,FRA,FRA,-,-
2013/2014,A1,Copra Elior Piacenza,5,PARTENIO Pier Paolo,Setter,1993,197,MC,ITA,-,-
2013/2014,A1,Copra Elior Piacenza,6,PAPI Samuele,Spiker,1973,191,AN,ITA,-,-
2013/2014,A1,Copra Elior Piacenza,7,FEI Alessandro,Middleblocker,1978,204,VA,ITA,-,-
2013/2014,A1,Copra Elior Piacenza,8,SMERILLI Lorenzo,Libero,1987,178,MC,ITA,-,-
2013/2014,A1,Copra Elior Piacenza,9,KALIBERDA Denys Viktorovic,Spiker,1990,195,UKR,GER,-,-
2013/2014,A1,Copra Elior Piacenza,10,SIMON Robertlandy,Middleblocker,1987,206,CUB,CUB,-,-
2013/2014,A1,Copra Elior Piacenza,11,ZLATANOV Hristo,Spiker,1976,201,BUL,ITA,-,-
2013/2014,A1,Copra Elior Piacenza,12,HUSAJ Gazmend,Spiker,1987,201,ALB,ALB,-,-
2013/2014,A1,Copra Elior Piacenza,13,TENCATI Luca,Middleblocker,1979,200,CR,ITA,-,-
2013/2014,A1,Copra Elior Piacenza,17,VETTORI Luca,Spiker,1991,199,PR,ITA,-,-
2013/2014,A1,Copra Elior Piacenza,18,DE CECCO Luciano,Setter,1988,194,ARG,ARG,-,-
2013/2014,A1,Cucine Lube Banca Marche Macerata,1,LAMPARIELLO Davidson,Spiker,1980,190,BRA,ITA,until 07/11/2013,-
2013/2014,A1,Cucine Lube Banca Marche Macerata,2,HENNO Hubert,Libero,1976,188,FRA,FRA,-,-
