Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2019/2020,A1,Regular_Season,1st,1,-,3001,12/10/2019,20:30,4703,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,3,0,8,16,21,25,4,14,16,19,8,14,21,25,7,16,20,23,8,16,21,25,6,11,15,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,25,36,73,8,3,58,4,0.67,0.59,103,6,8,46,0.45,-,13
2019/2020,A1,Regular_Season,1st,1,-,3001,12/10/2019,20:30,4703,-,O,Saugella Monza,Monza,0,3,4,14,16,19,8,16,21,25,7,16,20,23,8,14,21,25,6,11,15,20,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,15,16,64,6,1,65,7,0.6,0.51,103,4,13,37,0.36,-,8
2019/2020,A1,Regular_Season,1st,1,-,3002,13/10/2019,17:00,2766,-,C,èpiù Pomì Casalmaggiore,Casalmaggiore,2,3,8,16,20,24,6,14,21,26,8,16,21,25,5,12,19,22,8,16,21,25,5,15,17,21,8,16,21,30,6,15,19,32,5,8,10,12,2,10,12,15,81,29,31,117,13,1,98,7,0.56,0.31,172,13,17,67,0.39,-,13
2019/2020,A1,Regular_Season,1st,1,-,3002,13/10/2019,17:00,2766,-,O,Savino Del Bene Scandicci,Scandicci,3,2,6,14,21,26,8,16,20,24,5,12,19,22,8,16,21,25,5,15,17,21,8,16,21,25,6,15,19,32,8,16,21,30,2,10,12,15,5,8,10,12,85,31,35,116,17,4,104,6,0.53,0.22,175,13,13,62,0.35,-,19
2019/2020,A1,Regular_Season,1st,1,-,3003,13/10/2019,17:00,1500,-,C,Il Bisonte Firenze,Azzurra Volley San Casciano,3,2,8,16,21,25,7,11,17,21,4,12,16,18,8,16,21,25,4,11,16,20,8,16,21,25,8,16,21,25,7,10,10,15,5,10,12,15,4,8,8,11,81,30,45,101,10,3,88,8,0.68,0.47,148,14,4,61,0.41,-,17
2019/2020,A1,Regular_Season,1st,1,-,3003,13/10/2019,17:00,1500,-,C,Il Bisonte Firenze,Azzurra Volley San Casciano,3,2,8,16,21,25,7,11,17,21,4,12,16,18,8,16,21,25,4,11,16,20,8,16,21,25,8,16,21,25,7,10,10,15,5,10,12,15,4,8,8,11,81,30,45,101,10,3,88,8,0.68,0.47,148,14,4,61,0.41,-,17
2019/2020,A1,Regular_Season,1st,1,-,3004,13/10/2019,18:30,980,-,C,Reale Mutua Fenera Chieri,Fenera Chieri '76,3,1,8,16,21,25,5,14,17,23,8,16,21,25,4,13,16,19,6,15,17,22,8,16,21,25,8,16,21,25,3,11,14,15,-,-,-,-,-,-,-,-,75,24,38,96,19,5,77,2,0.74,0.56,142,7,9,63,0.44,-,7
2019/2020,A1,Regular_Season,1st,1,-,3004,13/10/2019,18:30,980,-,O,Bartoccini Fortinfissi Perugia,Bartoccini Gioiellerie Perugia,1,3,5,14,17,23,8,16,21,25,4,13,16,19,8,16,21,25,8,16,21,25,6,15,17,22,3,11,14,15,8,16,21,25,-,-,-,-,-,-,-,-,55,16,19,83,6,2,77,10,0.61,0.39,119,13,7,44,0.37,-,9
2019/2020,A1,Regular_Season,1st,1,-,3005,13/10/2019,17:00,1056,-,C,Zanetti Bergamo,Volley Bergamo,3,0,8,16,21,25,7,12,23,23,7,16,21,25,8,15,20,22,3,14,21,27,8,16,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,22,26,74,13,4,60,6,0.47,0.25,109,7,3,42,0.39,-,9
2019/2020,A1,Regular_Season,1st,1,-,3005,13/10/2019,17:00,1056,-,O,Lardini Filottrano,Lardini Filottrano,0,3,7,12,23,23,8,16,21,25,8,15,20,22,7,16,21,25,8,16,20,25,3,14,21,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,15,12,67,7,6,61,6,0.48,0.26,104,10,9,35,0.34,-,3
