Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2019/2020,A1,Allianz Milano,1,ABDEL-AZIZ Nimir,Spiker,1992,201,NED,NED,-,-
2019/2020,A1,Allianz Milano,2,HOFFER Nicolò,Libero,2000,180,VR,ITA,-,-
2019/2020,A1,Allianz Milano,3,BASIC Luka,Spiker,1995,201,FRA,FRA,-,-
2019/2020,A1,Allianz Milano,4,KOZAMERNIK Jan,Middleblocker,1995,204,SLO,SLO,-,-
2019/2020,A1,Allianz Milano,5,IZZO Marco,Setter,1994,195,MS,ITA,-,-
2019/2020,A1,Allianz Milano,6,SBERTOLI Riccardo,Setter,1998,190,MI,ITA,-,-
2019/2020,A1,Allianz Milano,8,ALLETTI Aimone,Middleblocker,1988,207,LO,ITA,-,-
2019/2020,A1,Allianz Milano,9,PETRIC Nemanja,Spiker,1987,205,SRB,SRB,-,-
2019/2020,A1,Allianz Milano,10,GIRONI Fabrizio,Spiker,2000,200,MB,ITA,-,-
2019/2020,A1,Allianz Milano,11,PIANO Matteo,Middleblocker,1990,207,AT,ITA,-,-
2019/2020,A1,Allianz Milano,12,WEBER Linus,Spiker,1999,202,GER,GER,-,-
2019/2020,A1,Allianz Milano,15,OKOLIC Aleksandar,Middleblocker,1993,205,SRB,SRB,from 14/12/2019,-
2019/2020,A1,Allianz Milano,17,CLEVENOT Trevor,Spiker,1994,199,FRA,FRA,-,-
2019/2020,A1,Allianz Milano,18,PESARESI Nicola,Libero,1991,190,AN,ITA,-,-
2019/2020,A1,Calzedonia Verona,1,KAZIYSKI Matey,Spiker,1984,203,BUL,BUL,from 03/03/2020,-
2019/2020,A1,Calzedonia Verona,2,KLUTH Bartlomiej,Spiker,1992,210,POL,POL,-,-
2019/2020,A1,Calzedonia Verona,6,MARRETTA Federico,Spiker,1990,189,TP,ITA,-,-
2019/2020,A1,Calzedonia Verona,7,BIRARELLI Emanuele,Middleblocker,1981,202,AN,ITA,-,-
2019/2020,A1,Calzedonia Verona,8,ASPARUHOV Asparuh,Spiker,2000,200,BUL,BUL,-,-
2019/2020,A1,Calzedonia Verona,9,BOYER Stephen,Spiker,1996,196,FRA,FRA,-,-
2019/2020,A1,Calzedonia Verona,10,FRANCISKOVIC Jennings,Setter,1995,196,USA,USA,-,-
2019/2020,A1,Calzedonia Verona,11,SOLÉ Sebastian,Middleblocker,1991,202,ARG,ARG,-,-
2019/2020,A1,Calzedonia Verona,12,CESTER Enrico,Middleblocker,1988,204,TV,ITA,-,-
2019/2020,A1,Calzedonia Verona,13,SPIRITO Luca,Setter,1993,199,SV,ITA,-,-
2019/2020,A1,Calzedonia Verona,17,AGUENIER Jonas Bastien Baptiste,Middleblocker,1992,202,FRA,FRA,from 30/11/2019,-
2019/2020,A1,Calzedonia Verona,17,JAESCHKE Thomas,Spiker,1993,198,USA,USA,until 09/03/2020,-
2019/2020,A1,Calzedonia Verona,18,MUAGUTUTIA Garrett,Spiker,1988,197,USA,USA,from 21/10/2019,-
2019/2020,A1,Calzedonia Verona,21,ZANOTTI Andrea,Middleblocker,1997,195,VR,ITA,-,-
2019/2020,A1,Calzedonia Verona,22,DONATI Francesco,Libero,2001,173,VR,ITA,-,-
2019/2020,A1,Calzedonia Verona,29,BONAMI Federico,Libero,1993,183,FI,ITA,-,-
2019/2020,A1,Calzedonia Verona,66,CHAVERS Corey,Spiker,1997,196,USA,USA,-,-
2019/2020,A1,Consar Ravenna,1,STEFANI Tommaso,Spiker,2001,210,FI,ITA,-,-
2019/2020,A1,Consar Ravenna,2,CORTESIA Lorenzo,Middleblocker,1999,202,TV,ITA,-,-
2019/2020,A1,Consar Ravenna,4,TER HORST Thijs,Spiker,1991,205,NED,NED,-,-
2019/2020,A1,Consar Ravenna,5,KOVACIC Jani,Libero,1992,186,SLO,SLO,-,-
2019/2020,A1,Consar Ravenna,8,SAITTA Davide,Setter,1987,190,CT,ITA,-,-
2019/2020,A1,Consar Ravenna,9,RECINE Francesco,Spiker,1999,185,RA,ITA,-,-
2019/2020,A1,Consar Ravenna,10,VERNON-EVANS Sharone,Spiker,1998,202,CAN,CAN,-,-
