Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2019/2020,A1,Bosca S.Bernardo Cuneo,11,BALDI GLORIA,Opposite,1993,185,ITA,-
2019/2020,A1,Bosca S.Bernardo Cuneo,14,RIGDON MADISON,Spiker,1995,185,USA,-
2019/2020,A1,Bosca S.Bernardo Cuneo,15,ZANNONI GIORGIA,Libero,1998,171,ITA,-
2019/2020,A1,Bosca S.Bernardo Cuneo,18,ZAMBELLI MARINA,Middleblocker,1990,187,ITA,-
2019/2020,A1,Bosca S.Bernardo Cuneo,19,UNGUREANU ADELINA,Spiker,2000,187,ROM,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,1,POPOVIC MINA,Middleblocker,1994,187,SRB,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,2,STUFI FEDERICA,Middleblocker,1988,185,ITA,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,3,CAMERA LETIZIA,Setter,1992,175,ITA,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,4,VUKASOVIC LARA,Opposite,1994,197,CRO,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,5,SPIRITO ILARIA,Libero,1994,174,ITA,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,7,FIESOLI ALESSIA,Spiker,1994,185,ITA,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,8,MAGGIPINTO MARIANNA,Libero,1996,164,ITA,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,9,BOSETTI CATERINA,Spiker,1994,180,ITA,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,12,SCUKA LANA,Spiker,1996,183,SLO,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,14,CARCACES KENIA,Spiker,1986,189,CUB,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,16,VEGLIA TIZIANA,Middleblocker,1992,186,ITA,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,17,ANTONIJEVIC ANA,Setter,1987,185,SRB,-
2019/2020,A1,Èpiù Pomì Casalmaggiore,20,CUTTINO DANIELLE,Opposite,1996,194,USA,-
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,1,ALHASSAN RHAMAT,Middleblocker,1996,195,USA,until 27/12/2019
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,3,DALIA LUDOVICA,Setter,1984,182,ITA,-
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,4,AMERI ALESSIA,Libero,1985,175,ITA,from 01/10/2019
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,5,POLL JANA FRANZISKA,Spiker,1988,185,GER,until 28/01/2020 TRASFERITA A IL BISONTE FIRENZE
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,6,HOLZER KATHARINA,Spiker,1998,186,AUT,until 27/12/2019
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,7,GHILARDI ALESSIA,Libero,1979,163,ITA,-
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,8,CRUZ AUREA,Spiker,1982,183,PUR,until 27/12/2019
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,9,GRAY ALEXA,Spiker,1994,185,CAN,until 27/12/2019 TRASFERITA A SAVINO DEL BENE SCANDICCI
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,11,CASTANEDA SIMON LIANNES,Opposite,1986,188,CUB,until 10/02/2020
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,12,MAZZONI DOMIZIANA,Middleblocker,1996,,ITA,from 06/02/2020
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,15,HARRIS DEJA SABINE,Middleblocker,1996,188,USA,from 26/01/2020 until 29/02/2020
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,17,TREVISIOL AMBRA,Setter,1992,173,ITA,from 15/01/2020
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,18,GARZARO ILARIA,Middleblocker,1986,190,ITA,until 30/01/2020 TRASFERITA A GREEN WARRIORS SASSUOLO
2019/2020,A1,Golden Tulip Volalto 2.0 Caserta,33,BECHIS MARTA,Setter,1989,181,ITA,until 27/12/2019 TRASFERITA A BANCA VALSABBINA MILLENIUM BRESCIA
2019/2020,A1,Igor Gorgonzola Novara,1,MLAKAR IZA,Opposite,1995,184,SLO,-
2019/2020,A1,Igor Gorgonzola Novara,2,BRAKOCEVIC CANZIAN JOVANA,Opposite,1988,196,ITA,-
2019/2020,A1,Igor Gorgonzola Novara,4,MORELLO RACHELE,Setter,2000,182,ITA,-
2019/2020,A1,Igor Gorgonzola Novara,5,NAPODANO FRANCESCA,Libero,1999,175,ITA,-
2019/2020,A1,Igor Gorgonzola Novara,6,COURTNEY MEGAN,Spiker,1993,185,USA,-
2019/2020,A1,Igor Gorgonzola Novara,7,PIACENTINI FEDERICA,Middleblocker,2001,192,ITA,-
2019/2020,A1,Igor Gorgonzola Novara,8,GORECKA ZUZANNA,Spiker,2000,181,POL,-
2019/2020,A1,Igor Gorgonzola Novara,9,DI IULIO CHIARA,Spiker,1985,185,ITA,-
2019/2020,A1,Igor Gorgonzola Novara,10,CHIRICHELLA CRISTINA,Middleblocker,1994,195,ITA,-
2019/2020,A1,Igor Gorgonzola Novara,11,SANSONNA STEFANIA,Libero,1982,175,ITA,-
2019/2020,A1,Igor Gorgonzola Novara,12,HANCOCK MICHA DANIELLE,Setter,1992,180,USA,-
2019/2020,A1,Igor Gorgonzola Novara,13,ARRIGHETTI VALENTINA,Middleblocker,1985,189,ITA,-
2019/2020,A1,Igor Gorgonzola Novara,16,VASILEVA ELITSA,Spiker,1990,194,BUL,-
2019/2020,A1,Igor Gorgonzola Novara,17,VELJKOVIC STEFANA,Middleblocker,1990,190,SRB,-
2019/2020,A1,Il Bisonte Firenze,1,SANTANA DALY,Spiker,1995,185,PUR,-
2019/2020,A1,Il Bisonte Firenze,2,ALBERTI SARA,Middleblocker,1993,185,ITA,-
2019/2020,A1,Il Bisonte Firenze,4,POLL JANA FRANZISKA,Spiker,1988,185,GER,from 29/01/2020 PROVENIENTE DA GOLDEN TULIP VOLALTO 2.0 CASERTA
2019/2020,A1,Il Bisonte Firenze,5,MELI DENISE,Middleblocker,2001,180,ITA,-
2019/2020,A1,Il Bisonte Firenze,6,FOECKE MIKAELA,Spiker,1997,191,USA,-
2019/2020,A1,Il Bisonte Firenze,7,DEGRADI ALICE,Spiker,1996,181,ITA,until 07/01/2020 TRASFERITA A BANCA VALSABBINA MILLENIUM BRESCIA
2019/2020,A1,Il Bisonte Firenze,9,DAALDEROP NIKA,Spiker,1998,190,NED,-
2019/2020,A1,Il Bisonte Firenze,10,DE NARDI GIULIA,Libero,1994,171,ITA,-
2019/2020,A1,Il Bisonte Firenze,12,TURCO ALICE,Setter,2000,178,ITA,-
2019/2020,A1,Il Bisonte Firenze,13,FAHR SARAH,Middleblocker,2001,192,ITA,-
2019/2020,A1,Il Bisonte Firenze,14,DIJKEMA LAURA,Setter,1990,184,NED,-
2019/2020,A1,Il Bisonte Firenze,15,NWAKALOR SYLVIA,Opposite,1999,177,ITA,-
2019/2020,A1,Il Bisonte Firenze,17,VENTURI MAILA,Libero,1996,162,ITA,-
2019/2020,A1,Il Bisonte Firenze,19,MAGLIO EMILY,Middleblocker,1996,189,CAN,-
2019/2020,A1,Imoco Volley Conegliano,1,SOROKAITE INDRE,Opposite,1988,188,ITA,-
2019/2020,A1,Imoco Volley Conegliano,5,DE KRUIJF ROBIN,Middleblocker,1991,193,NED,-
2019/2020,A1,Imoco Volley Conegliano,6,GEERTIES JENNIFER,Spiker,1994,184,GER,-
2019/2020,A1,Imoco Volley Conegliano,7,FOLIE RAPHAELA,Middleblocker,1991,186,ITA,-
2019/2020,A1,Imoco Volley Conegliano,8,FERSINO ELEONORA,Libero,2000,169,ITA,-
2019/2020,A1,Imoco Volley Conegliano,9,BOTEZAT ALEXANDRA,Middleblocker,1998,196,ITA,-
2019/2020,A1,Imoco Volley Conegliano,10,DE GENNARO MONICA,Libero,1987,173,ITA,-
2019/2020,A1,Imoco Volley Conegliano,11,OGBOGU CHIAKA,Middleblocker,1995,189,USA,-
2019/2020,A1,Imoco Volley Conegliano,12,ENWEONWU TERRY RUTH,Spiker,2000,187,ITA,-
2019/2020,A1,Imoco Volley Conegliano,13,GENNARI GIULIA,Setter,1996,184,ITA,-
2019/2020,A1,Imoco Volley Conegliano,14,WOLOSZ JOANNA,Setter,1990,181,POL,-
2019/2020,A1,Imoco Volley Conegliano,15,HILL KIMBERLY,Spiker,1989,193,USA,-
2019/2020,A1,Imoco Volley Conegliano,17,SYLLA MIRIAM,Spiker,1995,181,ITA,-
2019/2020,A1,Imoco Volley Conegliano,18,EGONU PAOLA,Opposite,1998,189,ITA,-
2019/2020,A1,Lardini Filottrano,2,POGACAR EVA,Setter,2000,185,SLO,until 16/01/2020
2019/2020,A1,Lardini Filottrano,4,PARTENIO LAURA,Spiker,1991,182,ITA,-
2019/2020,A1,Lardini Filottrano,6,SOPRANZETTI SARA,Libero,2001,170,ITA,-
2019/2020,A1,Lardini Filottrano,7,GRANT NIA,Middleblocker,1993,188,USA,until 30/01/2020
2019/2020,A1,Lardini Filottrano,10,ANGELINA GIULIA,Spiker,1997,192,ITA,-
2019/2020,A1,Lardini Filottrano,11,MANCINI GIULIA,Middleblocker,1998,183,ITA,-
2019/2020,A1,Lardini Filottrano,12,PAPAFOTIOU ATHINA,Setter,1989,181,GRE,-
2019/2020,A1,Lardini Filottrano,15,COR IREM,Setter,1996,178,TUR,from 29/01/2020
2019/2020,A1,Lardini Filottrano,16,NICOLETTI ANNA,Opposite,1996,189,ITA,-
2019/2020,A1,Lardini Filottrano,17,SOBOLSKA DOMINIKA,Middleblocker,1991,187,BEL,from 30/01/2020
2019/2020,A1,Lardini Filottrano,18,BISCONTI VERONICA,Libero,1991,174,ITA,-
2019/2020,A1,Lardini Filottrano,20,PIRRO MARTINA,Spiker,1999,182,ITA,-
2019/2020,A1,Lardini Filottrano,23,BIANCHINI MARIKA,Spiker,1993,178,ITA,-
2019/2020,A1,Lardini Filottrano,46,MORETTO GAIA,Middleblocker,1994,192,ITA,-
2019/2020,A1,Reale Mutua Fenera Chieri,1,POULTER JORDYN,Setter,1997,188,USA,-
2019/2020,A1,Reale Mutua Fenera Chieri,3,PERINELLI ELENA,Spiker,1995,181,ITA,-
2019/2020,A1,Reale Mutua Fenera Chieri,4,BOSIO FRANCESCA,Setter,1997,180,ITA,-
2019/2020,A1,Reale Mutua Fenera Chieri,5,ROLFZEN AMBER,Middleblocker,1994,191,USA,-
2019/2020,A1,Reale Mutua Fenera Chieri,6,LANZINI ALESSIA,Libero,1981,165,ITA,-
2019/2020,A1,Reale Mutua Fenera Chieri,7,ENRIGHT STEPHANIE,Spiker,1990,179,PUR,-
2019/2020,A1,Reale Mutua Fenera Chieri,8,GROBELNA KAJA,Opposite,1995,188,BEL,-
2019/2020,A1,Reale Mutua Fenera Chieri,10,DE BORTOLI CHIARA,Libero,1997,176,ITA,-
2019/2020,A1,Reale Mutua Fenera Chieri,11,LAAK KERTU,Opposite,1998,188,EST,-
2019/2020,A1,Reale Mutua Fenera Chieri,12,GUERRA ANASTASIA,Spiker,1996,186,ITA,-
2019/2020,A1,Reale Mutua Fenera Chieri,18,AKRARI YASMINA,Middleblocker,1993,185,ITA,-
2019/2020,A1,Reale Mutua Fenera Chieri,19,MAZZARO ALESSIA,Middleblocker,1998,185,ITA,-
2019/2020,A1,Reale Mutua Fenera Chieri,21,MEIJERS ANNICK,Spiker,2000,188,NED,-
2019/2020,A1,Saugella Monza,1,ORTOLANI SERENA,Opposite,1987,187,ITA,-
2019/2020,A1,Saugella Monza,2,MARIANA ANDRADE COSTA,Spiker,1986,181,BRA,-
2019/2020,A1,Saugella Monza,4,SQUARCINI FEDERICA,Middleblocker,2000,183,ITA,-
2019/2020,A1,Saugella Monza,5,HEYRMAN LAURA,Middleblocker,1993,188,BEL,-
2019/2020,A1,Saugella Monza,7,DI IULIO ISABELLA,Setter,1991,175,ITA,-
2019/2020,A1,Saugella Monza,8,SKORUPA KATARZYNA,Setter,1984,184,POL,-
2019/2020,A1,Saugella Monza,10,BEGIC EDINA,Spiker,1992,185,BIH,-
2019/2020,A1,Saugella Monza,11,DANESI ANNA,Middleblocker,1996,196,ITA,-
2019/2020,A1,Saugella Monza,12,ORTHMANN HANNA,Spiker,1998,188,GER,-
2019/2020,A1,Saugella Monza,14,MEIJNERS FLOORTJE,Spiker,1987,192,NED,-
2019/2020,A1,Saugella Monza,16,OBOSSA JOSEPHINE,Opposite,1999,183,ITA,-
2019/2020,A1,Saugella Monza,17,BONVICINI ILARIA,Libero,1997,165,ITA,-
2019/2020,A1,Saugella Monza,20,PARROCCHIALE BEATRICE,Libero,1995,167,ITA,-
2019/2020,A1,Saugella Monza,22,PLUMMER KATHRYN,Spiker,1998,201,USA,from 30/12/2019
2019/2020,A1,Savino Del Bene Scandicci,1,CARRARO GIULIA,Setter,1994,175,ITA,-
2019/2020,A1,Savino Del Bene Scandicci,2,BRICIO SAMANTHA,Spiker,1994,188,MEX,-
2019/2020,A1,Savino Del Bene Scandicci,3,STYSIAK MAGDALENA,Opposite,2000,203,POL,-
2019/2020,A1,Savino Del Bene Scandicci,4,MALINOV OFELIA,Setter,1996,180,ITA,-
2019/2020,A1,Savino Del Bene Scandicci,5,FERREIRA DA SILVA ADENIZIA,Middleblocker,1986,187,BRA,until 17/01/2020
2019/2020,A1,Savino Del Bene Scandicci,6,KAKOLEWSKA AGNIESZKA,Middleblocker,1994,198,POL,-
2019/2020,A1,Savino Del Bene Scandicci,7,PIETRINI ELENA,Spiker,2000,186,ITA,-
2019/2020,A1,Savino Del Bene Scandicci,8,MERLO ENRICA,Libero,1988,170,ITA,-
2019/2020,A1,Savino Del Bene Scandicci,9,LUBIAN MARINA,Middleblocker,2000,192,ITA,-
2019/2020,A1,Savino Del Bene Scandicci,10,SLOETJES LONNEKE,Opposite,1990,192,NED,-
2019/2020,A1,Savino Del Bene Scandicci,11,CARDULLO PAOLA,Libero,1982,162,ITA,-
2019/2020,A1,Savino Del Bene Scandicci,12,MOLINARO BEATRICE,Middleblocker,1995,190,ITA,-
2019/2020,A1,Savino Del Bene Scandicci,14,GRAY ALEXA,Spiker,1994,185,CAN,from 16/01/2020 PROVENIENTE DA GOLDEN TULIP VOLALTO 2.0 CASERTA
2019/2020,A1,Savino Del Bene Scandicci,15,STEVANOVIC JOVANA,Middleblocker,1992,191,SRB,-
2019/2020,A1,Savino Del Bene Scandicci,16,BOSETTI LUCIA,Spiker,1989,175,ITA,-
2019/2020,A1,Savino Del Bene Scandicci,18,KOSAREVA DAYANA,Spiker,1999,186,ITA,from 26/01/2020 PROVENIENTE DA ROANA CBF H.R. MACERATA
2019/2020,A1,Savino Del Bene Scandicci,19,MILENKOVIC BOJANA,Spiker,1997,185,SRB,until 30/01/2020
2019/2020,A1,Unet E-Work Busto Arsizio,1,WASHINGTON HALEIGH,Middleblocker,1995,192,USA,-
2019/2020,A1,Unet E-Work Busto Arsizio,3,BICI ERBLIRA,Opposite,1995,185,ALB,-
2019/2020,A1,Unet E-Work Busto Arsizio,4,HERBOTS BRITT,Spiker,1999,182,BEL,-
2019/2020,A1,Unet E-Work Busto Arsizio,5,SIMIN WANG,Libero,1997,170,CHN,-
2019/2020,A1,Unet E-Work Busto Arsizio,6,GENNARI ALESSIA,Spiker,1991,184,ITA,-
2019/2020,A1,Unet E-Work Busto Arsizio,7,CUMINO MARIA LUISA,Setter,1992,177,ITA,-
2019/2020,A1,Unet E-Work Busto Arsizio,8,ORRO ALESSIA,Setter,1998,180,ITA,-
2019/2020,A1,Unet E-Work Busto Arsizio,9,LEONARDI GIULIA,Libero,1987,165,ITA,-
2019/2020,A1,Unet E-Work Busto Arsizio,10,VILLANI FRANCESCA,Spiker,1995,187,ITA,-
2019/2020,A1,Unet E-Work Busto Arsizio,11,LOWE KARSTA,Opposite,1993,196,USA,-
2019/2020,A1,Unet E-Work Busto Arsizio,12,PICCININI FRANCESCA,Spiker,1979,185,ITA,from 16/01/2020
2019/2020,A1,Unet E-Work Busto Arsizio,13,BONIFACIO SARA,Middleblocker,1996,185,ITA,-
2019/2020,A1,Unet E-Work Busto Arsizio,15,BERTI BEATRICE,Middleblocker,1996,193,ITA,-
2019/2020,A1,Zanetti Bergamo,1,SMARZEK MALWINA,Opposite,1996,191,POL,-
2019/2020,A1,Zanetti Bergamo,2,IMPERIALI LUCIA,Libero,1999,162,ITA,-
2019/2020,A1,Zanetti Bergamo,3,OLIVOTTO ROSSELLA,Middleblocker,1991,184,ITA,-
2019/2020,A1,Zanetti Bergamo,4,VAN RYK KIERA,Spiker,1999,189,CAN,-
2019/2020,A1,Zanetti Bergamo,5,SIRRESSI IMMA,Libero,1990,175,ITA,-
2019/2020,A1,Zanetti Bergamo,7,PRANDI VITTORIA,Setter,1994,180,ITA,-
2019/2020,A1,Zanetti Bergamo,8,RODRIGUES DE ALMEIDA SAMARA,Spiker,1992,187,BRA,-
2019/2020,A1,Zanetti Bergamo,9,MELANDRI LAURA,Middleblocker,1995,186,ITA,-
2019/2020,A1,Zanetti Bergamo,13,MIRKOVIC SLADJANA,Setter,1995,185,SRB,-
2019/2020,A1,Zanetti Bergamo,16,CIVITICO GIADA,Middleblocker,2000,191,ITA,-
2019/2020,A1,Zanetti Bergamo,17,LODA SARA,Spiker,1990,178,ITA,-
2019/2020,A1,Zanetti Bergamo,22,MITCHEM ANNIE,Spiker,1994,192,USA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,1,MASTRODICASA FEDERICA,Middleblocker,1988,182,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,2,PIETRELLI GIULIA,Spiker,1988,177,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,3,BUCCI GIULIA,Libero,2002,173,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,4,DE LUCA BOSSA ALICE,Setter,2000,177,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,5,BALBONI MARTINA,Setter,1991,180,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,6,CECCONELLO AGNESE,Middleblocker,1999,190,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,7,QUILIGOTTI GERALDINA,Libero,1994,167,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,8,LIGUORI DEBORAH,Spiker,1989,180,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,9,VARANI VALENTINA,Middleblocker,2002,185,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,10,BEDART-GHANI YASMEEN IMANI,Opposite,1996,193,USA,from 21/02/2020
2019/2020,A2,Acqua & Sapone Roma Volley Club,11,TOSI SOFIA,Opposite,1997,184,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,12,ARCIPRETE ALESSIA,Spiker,1997,181,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,17,PIZZOLATO VALERIA,Middleblocker,1999,182,ITA,-
2019/2020,A2,Acqua & Sapone Roma Volley Club,18,TOLIVER HOLLY,Opposite,1995,188,USA,until 09/12/2019
2019/2020,A2,Barricalla Cus Torino,1,VOKSHI RONEDA,Opposite,1995,182,ITA,-
2019/2020,A2,Barricalla Cus Torino,4,GOBBO DANIELA,Middleblocker,1987,181,ITA,-
2019/2020,A2,Barricalla Cus Torino,5,LOTTI SILVIA,Spiker,1992,188,ITA,-
2019/2020,A2,Barricalla Cus Torino,6,GAMBA NICOLE,Libero,1998,170,ITA,-
2019/2020,A2,Barricalla Cus Torino,7,COMETTI BENEDETTA,Middleblocker,2000,180,ITA,-
2019/2020,A2,Barricalla Cus Torino,8,FANTINI CATERINA,Libero,2001,173,ITA,-
2019/2020,A2,Barricalla Cus Torino,9,RIMOLDI REBECCA,Setter,1998,173,ITA,-
2019/2020,A2,Barricalla Cus Torino,10,MICHIELETTO FRANCESCA,Spiker,1997,183,ITA,-
2019/2020,A2,Barricalla Cus Torino,11,BISIO ELENA,Opposite,2000,183,ITA,-
2019/2020,A2,Barricalla Cus Torino,13,MABILO NOURA,Middleblocker,1996,183,ITA,-
2019/2020,A2,Barricalla Cus Torino,15,SEVERIN ARIANNA,Setter,2002,178,ITA,-
2019/2020,A2,Barricalla Cus Torino,18,CAMPERI AURORA,Spiker,1997,189,ITA,-
2019/2020,A2,Cda Talmassons,1,SMIRNOVA IRINA,Opposite,1990,190,RUS,from 14/01/2020 PROVENIENTE DA ROANA CBF H.R. MACERATA
2019/2020,A2,Cda Talmassons,2,JOLY JESSICA,Spiker,2000,180,ITA,-
2019/2020,A2,Cda Talmassons,3,PETRUZZIELLO CARLOTTA,Opposite,2001,182,ITA,-
2019/2020,A2,Cda Talmassons,4,CERON SARA,Middleblocker,1993,189,ITA,-
2019/2020,A2,Cda Talmassons,5,CRISTANTE SHARON,Setter,2001,172,ITA,-
2019/2020,A2,Cda Talmassons,6,NARDINI DANIELA,Middleblocker,1982,182,ITA,-
2019/2020,A2,Cda Talmassons,7,BARBAZENI KARIN,Middleblocker,1999,195,ITA,-
2019/2020,A2,Cda Talmassons,9,GOMIERO IRENE,Spiker,1990,180,ITA,-
2019/2020,A2,Cda Talmassons,10,STOCCO MARTINA,Setter,2000,190,ITA,-
2019/2020,A2,Cda Talmassons,12,POSER AURORA,Spiker,1998,187,ITA,-
2019/2020,A2,Cda Talmassons,14,PAGOTTO SOFIA,Spiker,2000,183,ITA,-
2019/2020,A2,Cda Talmassons,15,CERRUTO FRANCESCA,Libero,1999,170,ITA,-
2019/2020,A2,Cda Talmassons,16,PONTE GENNI,Libero,1996,160,ITA,-
2019/2020,A2,Cda Talmassons,17,HATALA KINGA,Spiker,1989,189,POL,until 14/01/2020
2019/2020,A2,Club Italia Crai,1,PELLOIA ANNA,Setter,2002,183,ITA,-
2019/2020,A2,Club Italia Crai,2,GRAZIANI EMMA,Middleblocker,2002,193,ITA,-
2019/2020,A2,Club Italia Crai,3,BASSI MARIA TERESA,Spiker,2002,188,ITA,-
2019/2020,A2,Club Italia Crai,4,SORMANI SILVIA,Libero,2003,167,ITA,-
2019/2020,A2,Club Italia Crai,5,MONZA SOFIA,Setter,2002,174,ITA,-
2019/2020,A2,Club Italia Crai,6,GARDINI BEATRICE,Spiker,2003,184,ITA,-
2019/2020,A2,Club Italia Crai,7,MARCONATO GIULIA,Middleblocker,2003,188,ITA,-
2019/2020,A2,Club Italia Crai,8,KONE FATIM YASSIMINA,Middleblocker,2000,181,ITA,-
2019/2020,A2,Club Italia Crai,9,OMORUYI LOVETH OGHOSASERE,Spiker,2002,184,ITA,-
2019/2020,A2,Club Italia Crai,10,FROSINI GIORGIA,Opposite,2002,189,ITA,-
2019/2020,A2,Club Italia Crai,12,TRAMPUS ALICE,Spiker,2004,192,ITA,-
2019/2020,A2,Club Italia Crai,13,POPULINI ALESSIA,Spiker,2000,179,ITA,-
2019/2020,A2,Club Italia Crai,14,PANETONI SARA,Libero,2000,174,ITA,-
2019/2020,A2,Club Italia Crai,15,ITUMA JULIA,Opposite,2004,188,ITA,-
