Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2019/2020,A1,Banca Valsabbina Millenium Brescia,1,DEGRADI ALICE,Spiker,1996,181,ITA,from 08/01/2020 PROVENIENTE DA IL BISONTE FIRENZE
2019/2020,A1,Banca Valsabbina Millenium Brescia,2,JONES PERRY VERONICA,Spiker,1997,183,USA,until 17/01/2020
2019/2020,A1,Banca Valsabbina Millenium Brescia,3,BECHIS MARTA,Setter,1989,181,ITA,from 08/01/2020 PROVENIENTE DA GOLDEN TULIP VOLALTO 2.0 CASERTA
2019/2020,A1,Banca Valsabbina Millenium Brescia,4,RIVERO JESSICA,Spiker,1995,181,ESP,-
2019/2020,A1,Banca Valsabbina Millenium Brescia,6,VELTMAN KELSEY,Middleblocker,1996,189,CAN,-
2019/2020,A1,Banca Valsabbina Millenium Brescia,7,SPEECH SYMONE,Middleblocker,1997,191,USA,-
2019/2020,A1,Banca Valsabbina Millenium Brescia,8,SACCOMANI LAURA,Spiker,1991,189,ITA,-
2019/2020,A1,Banca Valsabbina Millenium Brescia,9,MINGARDI CAMILLA,Opposite,1997,186,ITA,-
2019/2020,A1,Banca Valsabbina Millenium Brescia,10,PARLANGELI FRANCESCA,Libero,1990,164,ITA,-
2019/2020,A1,Banca Valsabbina Millenium Brescia,11,BRIDI ULRIKE,Setter,1998,182,ITA,-
2019/2020,A1,Banca Valsabbina Millenium Brescia,12,BIGANZOLI FEDERICA,Spiker,1987,179,ITA,-
2019/2020,A1,Banca Valsabbina Millenium Brescia,13,MAZZOLENI MONICA,Middleblocker,1997,186,ITA,-
2019/2020,A1,Banca Valsabbina Millenium Brescia,14,CARACUTA VALERIA,Setter,1987,173,ITA,until 08/01/2020
2019/2020,A1,Banca Valsabbina Millenium Brescia,16,SEGURA MARIA,Spiker,1992,185,ESP,-
2019/2020,A1,Banca Valsabbina Millenium Brescia,17,FIOCCO MARIANNA,Middleblocker,1994,185,ITA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,1,CASILLO LUISA,Middleblocker,1988,188,ITA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,3,BRUNO ELEONORA,Libero,1994,180,ITA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,5,BIDIAS REGIANE FERNANDA APARECIDA,Spiker,1986,190,BRA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,6,CECCHETTO GIADA,Libero,1991,164,ITA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,7,MONTIBELLER ROSAMARIA,Opposite,1994,186,BRA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,8,RASKIE AUGUST,Setter,1996,183,USA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,9,DEMICHELIS ILARIA,Setter,1987,179,ITA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,11,MENGHI SARA,Middleblocker,1983,183,ITA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,12,ANGELONI VERONICA,Spiker,1986,186,ITA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,13,STRUNJAK EMA,Middleblocker,1999,187,CRO,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,14,LAZIC REBECKA,Spiker,1994,187,SWE,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,16,TABORELLI VERONICA,Opposite,1994,184,ITA,until 10/01/2020 TRASFERITA A ROANA CBF H.R. MACERATA
2019/2020,A1,Bartoccini Fortinfissi Perugia,17,MIO BERTOLO GIULIA,Middleblocker,1995,187,ITA,-
2019/2020,A1,Bartoccini Fortinfissi Perugia,19,CRNCEVIC ALEKSANDRA,Spiker,1987,185,SRB,from 10/01/2020
2019/2020,A1,Bartoccini Fortinfissi Perugia,21,PASCUCCI GIULIA,Spiker,1993,188,ITA,until 21/01/2020 TRASFERITA A ITAS CITTÀ FIERA MARTIGNACCO
2019/2020,A1,Bosca S.Bernardo Cuneo,1,CAMBI CARLOTTA,Setter,1996,176,ITA,-
2019/2020,A1,Bosca S.Bernardo Cuneo,3,NIZETICH YAMILA,Spiker,1989,183,ARG,-
2019/2020,A1,Bosca S.Bernardo Cuneo,6,MARKOVIC SRNA,Spiker,1996,184,AUT,-
2019/2020,A1,Bosca S.Bernardo Cuneo,7,FRIGO LAURA,Middleblocker,1990,185,ITA,-
2019/2020,A1,Bosca S.Bernardo Cuneo,8,CANDI SONIA,Middleblocker,1993,187,ITA,-
2019/2020,A1,Bosca S.Bernardo Cuneo,9,AGRIFOGLIO BEATRICE,Setter,1994,178,ITA,-
2019/2020,A1,Bosca S.Bernardo Cuneo,10,VAN HECKE LISE,Opposite,1992,192,BEL,-
