Season	Serie	Team	No	Player	Role	Born	Height	Nat. Sport.	Note
2010-2011	A1	Asystel Volley Novara	1	PAOLINI LAUREN	Middleblocker	1987	192	USA	
2010-2011	A1	Asystel Volley Novara	3	BECHIS MARTA	Setter	1989	181	ITA	
2010-2011	A1	Asystel Volley Novara	6	BARUN-SUSNJAR KATARINA	Spiker	1983	194	CRO	
2010-2011	A1	Asystel Volley Novara	7	BARCELLINI CRISTINA	Spiker	1986	185	ITA	
2010-2011	A1	Asystel Volley Novara	8	NESOVIC IVANA	Spiker	1988	190	SRB	
2010-2011	A1	Asystel Volley Novara	9	VELJKOVIC STEFANA	Middleblocker	1990	190	SRB	
2010-2011	A1	Asystel Volley Novara	10	ZARDO CAROLINA	Libero	1992	170	ITA	
2010-2011	A1	Asystel Volley Novara	11	SANSONNA STEFANIA	Libero	1982	175	ITA	
2010-2011	A1	Asystel Volley Novara	12	CAMERA LETIZIA	Setter	1992	175	ITA	
2010-2011	A1	Asystel Volley Novara	13	LOMBARDO GILDA	Spiker	1989	180	ITA	
2010-2011	A1	Asystel Volley Novara	17	FOLIE RAPHAELA	Middleblocker	1991	186	ITA	
2010-2011	A1	Asystel Volley Novara	18	HORVATH DORA	Spiker	1988	187	HUN	
2010-2011	A1	Chateau D'Ax Urbino Volley	1	MOLDOVAN ANA BIANCA	Spiker	1985	193	ROM	from 19/12/2010
2010-2011	A1	Chateau D'Ax Urbino Volley	2	BONCIANI FRANCESCA	Setter	1992		ITA	from 12/02/2011
2010-2011	A1	Chateau D'Ax Urbino Volley	3	GARZARO ILARIA	Middleblocker	1986	189	ITA	
2010-2011	A1	Chateau D'Ax Urbino Volley	4	WILSON MAKARE WASA MARY	Middleblocker	1976	188	USA	
2010-2011	A1	Chateau D'Ax Urbino Volley	5	DALIA LUDOVICA	Setter	1984	180	ITA	
2010-2011	A1	Chateau D'Ax Urbino Volley	6	ROANI MANUELA	Spiker	1983	186	ITA	
2010-2011	A1	Chateau D'Ax Urbino Volley	7	PETRAUSKAITE VALDONE	Spiker	1984	181	LTU	
2010-2011	A1	Chateau D'Ax Urbino Volley	8	LEONARDI GIULIA	Libero	1987	165	ITA	
2010-2011	A1	Chateau D'Ax Urbino Volley	9	DI IULIO CHIARA	Spiker	1985	183	ITA	
2010-2011	A1	Chateau D'Ax Urbino Volley	10	JALINE PRADO DE OLIVEIRA	Spiker	1979	190	BRA	
2010-2011	A1	Chateau D'Ax Urbino Volley	13	DI CRESCENZO MANUELA	Setter	1988	182	ITA	until 03/01/2011
2010-2011	A1	Chateau D'Ax Urbino Volley	17	RENATINHA RENATA COLOMBO	Spiker	1981	183	BRA	
2010-2011	A1	Chateau D'Ax Urbino Volley	18	LAPI CHIARA	Middleblocker	1991	180	ITA	
2010-2011	A1	Despar Perugia	1	FATEEVA OLGA	Spiker	1984	190	RUS	until 26/01/2011
2010-2011	A1	Despar Perugia	2	QUARANTA ANNAMARIA	Spiker	1981	184	ITA	
2010-2011	A1	Despar Perugia	4	LEGGERI MANUELA	Middleblocker	1976	186	ITA	
2010-2011	A1	Despar Perugia	5	FARTADE ADELINA	Libero	1993	180	ITA	from 31/01/2011
2010-2011	A1	Despar Perugia	6	LUKOVIC IVANA	Spiker	1992	190	SRB	
2010-2011	A1	Despar Perugia	7	RYKHLIUK OLESIA	Spiker	1987	194	UKR	until 20/01/2011
2010-2011	A1	Despar Perugia	8	SACCO BEATRICE	Libero	1983	169	ITA	
2010-2011	A1	Despar Perugia	9	ARCANGELI CHIARA	Libero	1983	167	ITA	
2010-2011	A1	Despar Perugia	10	RINIERI SIMONA	Spiker	1977	188	ITA	from 12/02/2011
2010-2011	A1	Despar Perugia	10	KRIVETS EKATERINA	Middleblocker	1984	192	RUS	until 26/01/2011
2010-2011	A1	Despar Perugia	11	TOMASSI ELENA	Spiker	1991	173	ITA	from 06/02/2011
2010-2011	A1	Despar Perugia	11	POPOVIC-GAMMA SANJA	Spiker	1984	186	CRO	until 20/01/2011
2010-2011	A1	Despar Perugia	12	ANGELONI VERONICA	Spiker	1986	186	ITA	
2010-2011	A1	Despar Perugia	13	IHNATSIUK KSENIYA	Middleblocker	1989	184	ITA	
2010-2011	A1	Despar Perugia	14	CALLEGARO CINZIA	Setter	1975	175	ITA	
2010-2011	A1	Despar Perugia	17	PARAJA RAMOS LUCIA	Middleblocker	1983	187	ESP	from 01/02/2011
2010-2011	A1	Despar Perugia	17	RONDON GIULIA	Setter	1987	190	ITA	until 20/01/2011
2010-2011	A1	Florens Castellana Grotte	2	WOOD ANICIA	Middleblocker	1985	186	BAR	from 14/02/2011
2010-2011	A1	Florens Castellana Grotte	3	GALEOTTI MARTA	Setter	1984	172	ITA	
2010-2011	A1	Florens Castellana Grotte	4	MOY ALVARADO MILAGROS ALICIA	Spiker	1975	176	PER	
2010-2011	A1	Florens Castellana Grotte	5	CARACUTA VALERIA	Setter	1987	173	ITA	
2010-2011	A1	Florens Castellana Grotte	7	OKAKA STEFANIA	Spiker	1989	183	ITA	
2010-2011	A1	Florens Castellana Grotte	8	RAVETTA MONICA	Spiker	1985	185	ITA	
2010-2011	A1	Florens Castellana Grotte	9	MORETTI FRANCESCA	Spiker	1985	178	ITA	
2010-2011	A1	Florens Castellana Grotte	11	MENGHI SARA	Middleblocker	1983	183	ITA	
2010-2011	A1	Florens Castellana Grotte	13	SIRRESSI IMMA	Libero	1990	175	ITA	
2010-2011	A1	Florens Castellana Grotte	15	JONTES KATJA	Middleblocker	1986	186	SLO	until 18/01/2011
2010-2011	A1	Florens Castellana Grotte	16	MINERVINI SIMONA	Libero	1994	170	ITA	
2010-2011	A1	Florens Castellana Grotte	17	RITSCHELOVA MARCELA	Middleblocker	1972	191	CZE	
2010-2011	A1	LIU?JO Volley Modena	1	BACCHI LUCIA	Spiker	1981	181	ITA	
2010-2011	A1	LIU?JO Volley Modena	2	PARIS SARA	Libero	1985	165	ITA	
2010-2011	A1	LIU?JO Volley Modena	3	FERNANDINHA CRISTINA FERNANDA FERREIRA	Setter	1980	175	BRA	
2010-2011	A1	LIU?JO Volley Modena	4	GUATELLI ALESSANDRA	Spiker	1983	178	ITA	
2010-2011	A1	LIU?JO Volley Modena	5	PAGGI PAOLA	Middleblocker	1976	182	ITA	
2010-2011	A1	LIU?JO Volley Modena	6	CIABATTONI GIULIA	Libero	1991	165	ITA	
2010-2011	A1	LIU?JO Volley Modena	7	DEVETAG FRANCESCA	Middleblocker	1986	186	ITA	
2010-2011	A1	LIU?JO Volley Modena	8	MATUSZKOVA TEREZA	Spiker	1982	192	CZE	
2010-2011	A1	LIU?JO Volley Modena	10	PARTENIO LAURA	Spiker	1991	182	ITA	
2010-2011	A1	LIU?JO Volley Modena	11	ERIC SLADANA	Middleblocker	1983	183	SRB	from 19/01/2011
2010-2011	A1	LIU?JO Volley Modena	12	BALBONI MARTINA	Setter	1991	180	ITA	
2010-2011	A1	LIU?JO Volley Modena	13	HARMOTTO CHRISTA	Middleblocker	1986	188	USA	
2010-2011	A1	LIU?JO Volley Modena	14	CORREIA DO NASCIMENTO ROSANGELA MARIA	Spiker	1972	189	BRA	
2010-2011	A1	LIU?JO Volley Modena	18	SECOLO MANUELA	Spiker	1977	181	ITA	
2010-2011	A1	MC-Carnaghi Villa Cortese	1	ANZANELLO SARA	Middleblocker	1980	192	ITA	
2010-2011	A1	MC-Carnaghi Villa Cortese	2	GIORIA SONIA	Setter	1978	173	ITA	until 12/02/2011
2010-2011	A1	MC-Carnaghi Villa Cortese	4	BERG LINDSEY	Setter	1980	174	USA	
2010-2011	A1	MC-Carnaghi Villa Cortese	5	LANZINI ALESSIA	Libero	1981	165	ITA	
2010-2011	A1	MC-Carnaghi Villa Cortese	7	NEGRINI CHIARA	Spiker	1979	183	ITA	
2010-2011	A1	MC-Carnaghi Villa Cortese	8	CRUZ AUREA	Spiker	1982	183	PUR	
2010-2011	A1	MC-Carnaghi Villa Cortese	9	KOVACOVA KATARINA	Middleblocker	1981	187	ITA	
2010-2011	A1	MC-Carnaghi Villa Cortese	10	CARDULLO PAOLA	Libero	1982	162	ITA	
2010-2011	A1	MC-Carnaghi Villa Cortese	11	EASY MEGAN	Spiker	1988	191	USA	
2010-2011	A1	MC-Carnaghi Villa Cortese	12	AGUERO TAISMARY	Spiker	1977	177	ITA	
2010-2011	A1	MC-Carnaghi Villa Cortese	13	CALLONI RAFFAELLA	Middleblocker	1983	187	ITA	
2010-2011	A1	MC-Carnaghi Villa Cortese	14	BOSETTI CATERINA	Spiker	1994	180	ITA	
2010-2011	A1	MC-Carnaghi Villa Cortese	17	RONDON GIULIA	Setter	1987	190	ITA	from 21/01/2011
2010-2011	A1	MC-Carnaghi Villa Cortese	18	JONTES KATJA	Middleblocker	1986	186	SLO	from 19/01/2011
2010-2011	A1	Norda Foppapedretti Bergamo	1	ORTOLANI SERENA	Spiker	1987	187	ITA	
2010-2011	A1	Norda Foppapedretti Bergamo	2	NUCU IULIANA	Middleblocker	1980	186	ROM	
2010-2011	A1	Norda Foppapedretti Bergamo	3	SIGNORILE NOEMI	Setter	1990	183	ITA	
2010-2011	A1	Norda Foppapedretti Bergamo	5	FANZINI CATERINA	Spiker	1985	186	ITA	
2010-2011	A1	Norda Foppapedretti Bergamo	6	CARRARA SARA	Libero	1992	168	ITA	
2010-2011	A1	Norda Foppapedretti Bergamo	8	MERLO ENRICA	Libero	1988	170	ITA	
2010-2011	A1	Norda Foppapedretti Bergamo	9	BOSETTI LUCIA	Spiker	1989	175	ITA	
2010-2011	A1	Norda Foppapedretti Bergamo	12	PICCININI FRANCESCA	Spiker	1979	185	ITA	
2010-2011	A1	Norda Foppapedretti Bergamo	13	ARRIGHETTI VALENTINA	Middleblocker	1985	189	ITA	
2010-2011	A1	Norda Foppapedretti Bergamo	14	LO BIANCO ELEONORA	Setter	1979	171	ITA	
2010-2011	A1	Norda Foppapedretti Bergamo	16	VASILEVA ELITSA	Spiker	1990	194	BUL	
2010-2011	A1	Norda Foppapedretti Bergamo	18	ZAMBELLI MARINA	Middleblocker	1990	187	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	1	TANTURLI GIORGIA	Setter	1981	168	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	2	MAZZOCCHI EVA	Libero	1992	170	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	5	DALL'ORA CHIARA	Middleblocker	1983	187	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	6	SEGALINA SILVIA	Middleblocker	1990	188	ITA	until 08/01/2011
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	7	DALL'IGNA STEFANIA	Setter	1984	175	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	8	BORRELLI VALENTINA	Spiker	1978	190	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	9	NICOLINI LAURA	Middleblocker	1979	187	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	10	CARINI DEBORA	Spiker	1995	178	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	12	CATENA MICHELA	Spiker	1991	191	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	13	SCARABELLI CHIARA	Spiker	1993	182	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	14	BEIER HEIKE	Spiker	1983	184	GER	from 08/02/2011
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	15	KAJALINA ANNA	Spiker	1991	205	EST	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	16	TIROZZI VALENTINA	Spiker	1986	183	ITA	
2010-2011	A1	Rebecchi Nordmeccanica Piacenza	18	BRUSSA NATALIA GUADALUPE	Spiker	1985	188	ITA	
2010-2011	A1	Riso Scotti Pavia	2	BACCIOTTINI BARBARA	Setter	1994	172	ITA	
2010-2011	A1	Riso Scotti Pavia	3	KANOH MAIKO	Spiker	1988	186	JPN	
2010-2011	A1	Riso Scotti Pavia	5	SPINATO ROSSANA	Setter	1977	178	ITA	
2010-2011	A1	Riso Scotti Pavia	6	UCEDA JESSENIA	Spiker	1981	185	PER	
2010-2011	A1	Riso Scotti Pavia	7	BAL DUYGU	Middleblocker	1987	190	TUR	
2010-2011	A1	Riso Scotti Pavia	8	MASTRILLI ALESSIA	Libero	1991	165	ITA	
2010-2011	A1	Riso Scotti Pavia	9	BROWN BLAIR	Spiker	1988	178	USA	from 24/01/2011
2010-2011	A1	Riso Scotti Pavia	9	GONZALEZ ONEIDA	Spiker	1981	192	VEN	until 03/01/2011
2010-2011	A1	Riso Scotti Pavia	10	BICCHERI VALENTINA	Spiker	1991	191	ITA	
2010-2011	A1	Riso Scotti Pavia	11	FRIGO LAURA	Middleblocker	1990	185	ITA	
2010-2011	A1	Riso Scotti Pavia	12	CORNA STEFANIA	Setter	1990	190	ITA	
2010-2011	A1	Riso Scotti Pavia	13	POMA CELESTE	Libero	1991	167	ITA	
2010-2011	A1	Riso Scotti Pavia	14	CAROLI SARA	Middleblocker	1979	182	ITA	
2010-2011	A1	Riso Scotti Pavia	15	CVETANOVIC MARINA	Spiker	1986	188	SLO	
2010-2011	A1	Riso Scotti Pavia	17	FRONZA ELENA	Middleblocker	1992	182	ITA	from 16/01/2011
2010-2011	A1	Scavolini Pesaro	1	USIC SENNA	Spiker	1986	190	CRO	
2010-2011	A1	Scavolini Pesaro	3	OLIVOTTO ROSSELLA	Middleblocker	1991	184	ITA	
2010-2011	A1	Scavolini Pesaro	5	MARI FRANCESCA	Setter	1983	182	ITA	until 14/01/2011
2010-2011	A1	Scavolini Pesaro	7	DE GENNARO MONICA	Libero	1987	173	ITA	
2010-2011	A1	Scavolini Pesaro	8	SACCOMANI LAURA	Spiker	1991	191	ITA	
2010-2011	A1	Scavolini Pesaro	9	MANZANO ELISA	Middleblocker	1985	187	ITA	
2010-2011	A1	Scavolini Pesaro	10	FERRETTI FRANCESCA	Setter	1984	180	ITA	
2010-2011	A1	Scavolini Pesaro	12	FLIER MANON	Spiker	1984	192	NED	
2010-2011	A1	Scavolini Pesaro	13	USIC MARIJA	Spiker	1992	184	CRO	
2010-2011	A1	Scavolini Pesaro	14	GUIGGI MARTINA	Middleblocker	1984	188	ITA	
2010-2011	A1	Scavolini Pesaro	16	PASCUCCI GIULIA	Spiker	1993	188	ITA	
2010-2011	A1	Scavolini Pesaro	17	GASIMOVA NATAVAN	Setter	1985	178	AZE	from 28/01/2011
2010-2011	A1	Scavolini Pesaro	18	HOOKER DESTINEE	Spiker	1987	194	USA	until 25/03/2011
2010-2011	A1	Spes Conegliano	1	RABADZHIEVA DOBRIANA	Spiker	1991	190	BUL	
2010-2011	A1	Spes Conegliano	3	DIRICKX FRAUKE	Setter	1980	187	BEL	
2010-2011	A1	Spes Conegliano	4	TONON ALESSIA	Libero	1992	169	ITA	
2010-2011	A1	Spes Conegliano	5	MARINKOVIC DRAGANA	Middleblocker	1982	196	SRB	
2010-2011	A1	Spes Conegliano	6	TURLEA CARMEN	Spiker	1975	185	ROM	
2010-2011	A1	Spes Conegliano	7	SANGIULIANO RACHELE	Setter	1981	183	ITA	
2010-2011	A1	Spes Conegliano	9	FIORIN VALENTINA	Spiker	1984	187	ITA	
2010-2011	A1	Spes Conegliano	10	MARTINUZZO LINDA	Middleblocker	1992	188	ITA	
2010-2011	A1	Spes Conegliano	12	ROSSETTO CARLA	Libero	1984	168	ITA	
2010-2011	A1	Spes Conegliano	13	BENAZZI GIADA	Spiker	1992	180	ITA	
2010-2011	A1	Spes Conegliano	14	SERAFIN MARIKA	Spiker	1977	180	ITA	
2010-2011	A1	Spes Conegliano	15	CROZZOLIN ALESSANDRA	Middleblocker	1977	186	ITA	
2010-2011	A1	Spes Conegliano	17	GIOLI SIMONA	Middleblocker	1977	185	ITA	from 14/02/2011
2010-2011	A1	Yamamay Busto Arsizio	1	CAROCCI LUNA VERONICA	Libero	1988	174	ITA	
2010-2011	A1	Yamamay Busto Arsizio	2	HAVLICKOVA ANETA	Spiker	1987	193	CZE	
2010-2011	A1	Yamamay Busto Arsizio	4	VALERIANO FEDERICA	Spiker	1985	179	ITA	
2010-2011	A1	Yamamay Busto Arsizio	5	KIM MI NA	Setter	1984	176	ITA	
2010-2011	A1	Yamamay Busto Arsizio	7	MARCON FRANCESCA	Spiker	1983	180	ITA	
2010-2011	A1	Yamamay Busto Arsizio	8	BAUER CHRISTINA	Middleblocker	1988	196	FRA	
2010-2011	A1	Yamamay Busto Arsizio	9	MEIJNERS FLOORTJE	Spiker	1987	192	NED	
2010-2011	A1	Yamamay Busto Arsizio	10	CAMPANARI BARBARA	Middleblocker	1980	191	ITA	
2010-2011	A1	Yamamay Busto Arsizio	13	SERENA VALENTINA	Setter	1981	184	ITA	
2010-2011	A1	Yamamay Busto Arsizio	14	CRISANTI LUCIA	Middleblocker	1986	186	ITA	
2010-2011	A1	Yamamay Busto Arsizio	16	HAVELKOVA HELENA	Spiker	1988	188	CZE	
2011-2012	A1	Asystel Volley Novara	1	FRIGO LAURA	Middleblocker	1990	185	ITA	
2011-2012	A1	Asystel Volley Novara	2	VIGAN? NATALIA	Spiker	1979	180	ITA	
2011-2012	A1	Asystel Volley Novara	3	BECHIS MARTA	Setter	1989	181	ITA	
2011-2012	A1	Asystel Volley Novara	7	BARCELLINI CRISTINA	Spiker	1986	185	ITA	
2011-2012	A1	Asystel Volley Novara	9	VELJKOVIC STEFANA	Middleblocker	1990	190	SRB	
2011-2012	A1	Asystel Volley Novara	10	ZARDO CAROLINA	Libero	1992	170	ITA	
2011-2012	A1	Asystel Volley Novara	11	SANSONNA STEFANIA	Libero	1982	175	ITA	
2011-2012	A1	Asystel Volley Novara	12	CAMERA LETIZIA	Setter	1992	175	ITA	
2011-2012	A1	Asystel Volley Novara	13	BARUN-SUSNJAR KATARINA	Spiker	1983	194	CRO	
2011-2012	A1	Asystel Volley Novara	17	FOLIE RAPHAELA	Middleblocker	1991	186	ITA	
2011-2012	A1	Asystel Volley Novara	18	HORVATH DORA	Spiker	1988	187	HUN	
2011-2012	A1	Cariparma SiGrade Parma	1	BACCHI LUCIA	Spiker	1981	181	ITA	
2011-2012	A1	Cariparma SiGrade Parma	2	KOVALENKO KSENIYA	Middleblocker	1986	190	AZE	
2011-2012	A1	Cariparma SiGrade Parma	5	DALIA LUDOVICA	Setter	1984	180	ITA	
2011-2012	A1	Cariparma SiGrade Parma	6	GROTHUES-BALKENSTEIN MARET	Spiker	1988	180	NED	
2011-2012	A1	Cariparma SiGrade Parma	7	CONTI ANDREA CAROLINA	Spiker	1982	193	ITA	
2011-2012	A1	Cariparma SiGrade Parma	8	GIBERTINI GIULIA	Libero	1984	170	ITA	
2011-2012	A1	Cariparma SiGrade Parma	10	CAMPANARI BARBARA	Middleblocker	1980	191	ITA	
2011-2012	A1	Cariparma SiGrade Parma	11	ROANI MANUELA	Spiker	1983	186	ITA	
2011-2012	A1	Cariparma SiGrade Parma	12	MORENO PINO KENNY	Spiker	1979	185	COL	until 22/01/2012
2011-2012	A1	Cariparma SiGrade Parma	13	POMA CELESTE	Libero	1991	167	ITA	
2011-2012	A1	Cariparma SiGrade Parma	15	MARICIC GORANA	Spiker	1984	187	SRB	from 25/01/2012
2011-2012	A1	Cariparma SiGrade Parma	17	BRUSEGAN ROBERTA	Middleblocker	1986	188	ITA	
2011-2012	A1	Cariparma SiGrade Parma	18	GALEOTTI MARTA	Setter	1984	172	ITA	
2011-2012	A1	Chateau D'Ax Urbino Volley	1	DJERISILO IVANA	Spiker	1983	184	SRB	
2011-2012	A1	Chateau D'Ax Urbino Volley	2	MC NAMEE CANDACE	Setter	1980	180	USA	
2011-2012	A1	Chateau D'Ax Urbino Volley	3	GARZARO ILARIA	Middleblocker	1986	189	ITA	
2011-2012	A1	Chateau D'Ax Urbino Volley	6	VAN HECKE LISE	Spiker	1992	192	BEL	
2011-2012	A1	Chateau D'Ax Urbino Volley	7	BLAGOJEVIC JELENA	Spiker	1988	181	SRB	
2011-2012	A1	Chateau D'Ax Urbino Volley	8	SKORUPA KATARZYNA	Setter	1984	184	POL	
2011-2012	A1	Chateau D'Ax Urbino Volley	10	DEVETAG SOFIA	Libero	1993	179	ITA	
2011-2012	A1	Chateau D'Ax Urbino Volley	12	GENTILI FRANCESCA	Middleblocker	1990	188	ITA	
2011-2012	A1	Chateau D'Ax Urbino Volley	13	SIRRESSI IMMA	Libero	1990	175	ITA	
2011-2012	A1	Chateau D'Ax Urbino Volley	14	CRISANTI LUCIA	Middleblocker	1986	186	ITA	
2011-2012	A1	Chateau D'Ax Urbino Volley	16	TIROZZI VALENTINA	Spiker	1986	182	ITA	
2011-2012	A1	Chateau D'Ax Urbino Volley	18	FAUCETTE JOHNSON JULIANN	Spiker	1989	190	USA	
2011-2012	A1	Chieri Torino Volley Club	1	CORVESE VIVIANA	Middleblocker	1978	187	ITA	
2011-2012	A1	Chieri Torino Volley Club	2	BORGOGNO CHIARA	Middleblocker	1984	192	ITA	
2011-2012	A1	Chieri Torino Volley Club	5	ZETOVA ANTONINA	Spiker	1973	189	BUL	
2011-2012	A1	Chieri Torino Volley Club	6	DOLEZALOVA MARKETA VESELA	Spiker	1985	185	CZE	
2011-2012	A1	Chieri Torino Volley Club	7	GIOGOLI FRANCESCA	Setter	1983	175	ITA	
2011-2012	A1	Chieri Torino Volley Club	8	ARIMATTEI SOFIA	Spiker	1981	186	ITA	
2011-2012	A1	Chieri Torino Volley Club	9	SOROKAITE INDRE	Spiker	1988	187	ITA	
2011-2012	A1	Chieri Torino Volley Club	10	VIETTI ERICA	Setter	1992	187	ITA	
2011-2012	A1	Chieri Torino Volley Club	11	PAVLOVIC MARIJA	Middleblocker	1985	185	SRB	
2011-2012	A1	Chieri Torino Volley Club	12	WEISS KATHLEEN	Setter	1984	171	GER	from 09/01/2012
2011-2012	A1	Chieri Torino Volley Club	13	BORRI MAURIZIA	Libero	1977	177	ITA	
2011-2012	A1	Chieri Torino Volley Club	15	ZAURI ROSSANA	Libero	1991	172	ITA	
2011-2012	A1	Chieri Torino Volley Club	16	GRAZIETTI GIULIANA	Spiker	1993	196	ITA	
2011-2012	A1	Chieri Torino Volley Club	17	HIPPE SASKIA	Spiker	1991	186	GER	
2011-2012	A1	Liu Jo Volley Modena	1	MARINKOVIC DRAGANA	Middleblocker	1982	196	SRB	until 30/01/2012
2011-2012	A1	Liu Jo Volley Modena	3	CROCE PAOLA	Libero	1978	167	ITA	
2011-2012	A1	Liu Jo Volley Modena	3	FERNANDINHA CRISTINA FERNANDA FERREIRA	Setter	1980	175	BRA	until 16/12/2011
2011-2012	A1	Liu Jo Volley Modena	4	VALERIANO FEDERICA	Spiker	1985	179	ITA	
2011-2012	A1	Liu Jo Volley Modena	5	PAGGI PAOLA	Middleblocker	1976	182	ITA	
2011-2012	A1	Liu Jo Volley Modena	6	CIABATTONI GIULIA	Libero	1991	165	ITA	
2011-2012	A1	Liu Jo Volley Modena	8	BARAZZA JENNY	Middleblocker	1981	186	ITA	
2011-2012	A1	Liu Jo Volley Modena	10	PARTENIO LAURA	Spiker	1991	182	ITA	
2011-2012	A1	Liu Jo Volley Modena	12	AGUERO TAISMARY	Spiker	1977	177	ITA	
2011-2012	A1	Liu Jo Volley Modena	13	HARMOTTO CHRISTA	Middleblocker	1986	188	USA	
2011-2012	A1	Liu Jo Volley Modena	14	BARBOZA CYNTHIA JANE	Spiker	1987	184	USA	
2011-2012	A1	Liu Jo Volley Modena	15	RINIERI SIMONA	Spiker	1977	188	ITA	
2011-2012	A1	Liu Jo Volley Modena	17	MARI FRANCESCA	Setter	1983	182	ITA	
2011-2012	A1	Liu Jo Volley Modena	18	OGNJENOVIC MAJA	Setter	1984	183	SRB	from 03/01/2012
2011-2012	A1	MC-Carnaghi Villa Cortese	1	CAROCCI LUNA VERONICA	Libero	1988	174	ITA	
2011-2012	A1	MC-Carnaghi Villa Cortese	2	STUFI FEDERICA	Middleblocker	1988	186	ITA	
2011-2012	A1	MC-Carnaghi Villa Cortese	3	PERINELLI ELENA	Spiker	1995	182	ITA	
2011-2012	A1	MC-Carnaghi Villa Cortese	4	BERG LINDSEY	Setter	1980	174	USA	
2011-2012	A1	MC-Carnaghi Villa Cortese	6	PAVAN SARAH	Spiker	1986	196	CAN	
2011-2012	A1	MC-Carnaghi Villa Cortese	7	GUIGGI MARTINA	Middleblocker	1984	188	ITA	
2011-2012	A1	MC-Carnaghi Villa Cortese	8	CRUZ AUREA	Spiker	1982	183	PUR	
2011-2012	A1	MC-Carnaghi Villa Cortese	9	BOSETTI LUCIA	Spiker	1989	175	ITA	
2011-2012	A1	MC-Carnaghi Villa Cortese	10	PINCERATO GIULIA	Setter	1987	182	ITA	
2011-2012	A1	MC-Carnaghi Villa Cortese	11	BARBORKOVA SARKA	Spiker	1985	192	CZE	
2011-2012	A1	MC-Carnaghi Villa Cortese	13	SINTONI CATERINA	Setter	1982	171	ITA	until 29/11/2011
2011-2012	A1	MC-Carnaghi Villa Cortese	14	BOSETTI CATERINA	Spiker	1994	180	ITA	
2011-2012	A1	MC-Carnaghi Villa Cortese	15	WILSON MAKARE WASA MARY	Middleblocker	1976	188	USA	
2011-2012	A1	MC-Carnaghi Villa Cortese	17	PUERARI RAMONA	Libero	1983	170	ITA	
2011-2012	A1	Norda Foppapedretti Bergamo	2	NUCU IULIANA	Middleblocker	1980	186	ROM	
2011-2012	A1	Norda Foppapedretti Bergamo	3	SIGNORILE NOEMI	Setter	1990	183	ITA	
2011-2012	A1	Norda Foppapedretti Bergamo	5	QUARANTA ANNAMARIA	Spiker	1981	184	ITA	
2011-2012	A1	Norda Foppapedretti Bergamo	6	GABBIADINI ANGELA	Libero	1992	181	ITA	
2011-2012	A1	Norda Foppapedretti Bergamo	7	DIOUF VALENTINA	Spiker	1993	202	ITA	
2011-2012	A1	Norda Foppapedretti Bergamo	8	MERLO ENRICA	Libero	1988	170	ITA	
2011-2012	A1	Norda Foppapedretti Bergamo	9	DI IULIO CHIARA	Spiker	1985	183	ITA	
2011-2012	A1	Norda Foppapedretti Bergamo	10	RUSEVA HRISTINA	Middleblocker	1991	190	BUL	
2011-2012	A1	Norda Foppapedretti Bergamo	12	PICCININI FRANCESCA	Spiker	1979	185	ITA	
2011-2012	A1	Norda Foppapedretti Bergamo	13	ARRIGHETTI VALENTINA	Middleblocker	1985	189	ITA	
2011-2012	A1	Norda Foppapedretti Bergamo	16	VASILEVA ELITSA	Spiker	1990	194	BUL	
2011-2012	A1	Norda Foppapedretti Bergamo	18	SERENA VALENTINA	Setter	1981	184	ITA	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	1	PACHALE HANKA	Spiker	1976	190	GER	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	2	MAZZOCCHI EVA	Libero	1992	170	ITA	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	3	DAVIS NICOLE	Libero	1982	162	USA	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	4	LEGGERI MANUELA	Middleblocker	1976	186	ITA	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	5	RICHARDS KRISTIN	Spiker	1985	186	USA	from 01/01/2012
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	6	TURLEA CARMEN	Spiker	1975	185	ROM	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	7	DALL'IGNA STEFANIA	Setter	1984	175	ITA	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	9	NICOLINI LAURA	Middleblocker	1979	187	ITA	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	10	CALLEGARO CINZIA	Setter	1975	175	ITA	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	11	LEHTONEN RIIKKA	Spiker	1979	183	FIN	
