Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2007/2008,A1,Regular_Season,1st,1,1,1,30/9/2007,18:00,1574,4489,C,Antonveneta Padova,Padova,3,2,8,16,20,23,5,14,21,25,8,16,20,21,7,14,21,25,8,16,21,25,3,9,15,23,6,14,21,25,8,16,20,23,5,10,12,15,4,6,10,11,86,29,37,108,22,5,95,5,0.76,0.49,121,13,9,62,0.51,-,19
2007/2008,A1,Regular_Season,1st,1,1,1,30/9/2007,18:00,1574,4489,O,M. Roma Volley,Roma M.,2,3,5,14,21,25,8,16,20,23,7,14,21,25,8,16,20,21,3,9,15,23,8,16,21,25,8,16,20,23,6,14,21,25,4,6,10,11,5,10,12,15,71,27,23,108,13,3,86,7,0.64,0.47,119,7,19,58,0.49,2,10
2007/2008,A1,Regular_Season,1st,1,2,2,30/9/2007,18:00,2900,7075,C,Acqua Paradiso Gabeca Montichiari,Monza Brianza,3,0,8,16,21,25,6,13,18,20,8,16,21,25,6,8,11,19,7,16,21,25,8,15,17,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,16,39,73,9,8,51,2,0.61,0.43,65,6,-,45,0.69,1,4
2007/2008,A1,Regular_Season,1st,1,2,2,30/9/2007,18:00,2900,7075,O,Andreoli Latina,Latina,0,3,6,13,18,20,8,16,21,25,6,8,11,19,8,16,21,25,8,15,17,22,7,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,5,13,63,12,1,64,8,0.52,0.3,71,6,4,42,0.59,-,-
2007/2008,A1,Regular_Season,1st,1,3,3,30/9/2007,18:15,2556,7608,C,Bre Banca Lannutti Cuneo,Cuneo,3,0,8,16,21,25,7,13,16,23,8,16,21,25,5,10,13,17,7,16,21,25,8,10,13,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,23,32,74,11,13,47,2,0.62,0.38,63,1,4,28,0.44,1,10
2007/2008,A1,Regular_Season,1st,1,3,3,30/9/2007,18:15,2556,7608,O,Itas Diatec Trentino,Trento,0,3,7,13,16,23,8,16,21,25,5,10,13,17,8,16,21,25,8,10,13,14,7,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,12,-7,55,8,-,63,14,0.51,0.41,79,12,10,35,0.44,2,4
2007/2008,A1,Regular_Season,1st,1,4,4,30/9/2007,18:00,1583,4360,C,RPA-LuigiBacchi.it Perugia,Perugia Umbria,3,1,7,15,21,25,8,16,19,21,8,16,21,25,4,12,19,21,8,16,18,21,7,15,21,25,8,16,21,25,6,11,15,17,-,-,-,-,-,-,-,-,68,24,30,95,16,2,69,2,0.72,0.62,97,4,14,49,0.51,2,17
2007/2008,A1,Regular_Season,1st,1,4,4,30/9/2007,18:00,1583,4360,O,Copra Nordmeccanica Piacenza,Piacenza,1,3,8,16,19,21,7,15,21,25,4,12,19,21,8,16,21,25,7,15,21,25,8,16,18,21,6,11,15,17,8,16,21,25,-,-,-,-,-,-,-,-,62,18,15,85,16,2,79,3,0.7,0.52,99,10,16,46,0.46,2,14
2007/2008,A1,Regular_Season,1st,1,5,5,1/10/2007,20:30,3695,25474,C,Cimone Modena,Modena,3,0,8,16,21,25,3,11,19,23,8,16,21,25,7,15,17,18,8,16,21,25,5,14,18,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,24,34,73,8,5,50,3,0.7,0.5,68,5,4,36,0.53,1,14
2007/2008,A1,Regular_Season,1st,1,5,5,1/10/2007,20:30,3695,25474,O,Lube Banca Marche Macerata,Lube,0,3,3,11,19,23,8,16,21,25,7,15,17,18,8,16,21,25,5,14,18,21,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,11,6,64,14,2,65,7,0.66,0.51,79,6,14,41,0.52,-,4
