Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,1,SALA Andrea,Middleblocker,1978,202,VA,ITA,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,2,POPP Marcus,Spiker,1981,191,GER,GER,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,3,PESENTI Matteo,Libero,1976,184,BG,ITA,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,4,BOJOVIC Dejan,Spiker,1983,196,SRB,SRB,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,5,TIBERTI Simone,Setter,1980,180,BS,ITA,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,6,VERES Peter,Spiker,1979,200,HUN,HUN,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,8,FORNI Marcello,Middleblocker,1980,200,MO,ITA,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,9,ANANIEV Metodi,Spiker,1986,202,BUL,BUL,until 01/11/2007,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,11,HOWARD Daniel Allan,Middleblocker,1976,209,AUS,AUS,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,12,BALBI Maurizio,Spiker,1984,197,CN,ITA,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,13,AHMED Abdalla,Setter,1983,198,EGY,EGY,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,14,QUARTARONE Davide,Setter,1986,198,RG,ITA,from 16/01/2008,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,14,DE CECCO Luciano,Setter,1988,194,ARG,ARG,until 08/10/2007,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,15,GAVOTTO Mauro,Spiker,1979,202,CN,ITA,-,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,17,ZITO Giuseppe,Libero,1989,188,EN,ITA,from 11/10/2007,-
2007/2008,A1,Acqua Paradiso Gabeca Montichiari,18,MANIÀ Loris,Libero,1979,190,GO,ITA,-,-
2007/2008,A1,Andreoli Latina,2,ZAYTSEV Ivan,Setter,1988,202,PG,ITA,-,-
2007/2008,A1,Andreoli Latina,3,TOMASSETTI Daniele,Middleblocker,1981,203,RM,ITA,-,-
2007/2008,A1,Andreoli Latina,4,BENDANDI Simone,Setter,1976,196,RA,ITA,until 04/12/2007,trasferito a Sparkling Milano
2007/2008,A1,Andreoli Latina,5,MATTERA Giordano,Setter,1983,200,RM,ITA,from 05/12/2007,proveniente da Sparkling Milano
2007/2008,A1,Andreoli Latina,6,MORETTI Federico,Spiker,1983,204,FM,ITA,-,-
2007/2008,A1,Andreoli Latina,7,CARDONA Maikel Cristobal,Middleblocker,1976,202,CUB,ITA,-,-
2007/2008,A1,Andreoli Latina,8,SCUDERI Lorenzo,Spiker,1983,191,CN,ITA,-,-
2007/2008,A1,Andreoli Latina,9,BARBARESCHI Giorgio,Spiker,1978,193,GE,ITA,-,-
2007/2008,A1,Andreoli Latina,10,SALMON Riley,Spiker,1976,196,USA,USA,-,-
2007/2008,A1,Andreoli Latina,11,ZANUTO Bruno,Spiker,1983,196,BRA,BRA,-,-
2007/2008,A1,Andreoli Latina,12,MESSANA Dario,Libero,1979,188,CT,ITA,-,-
2007/2008,A1,Andreoli Latina,15,GARCIA PIRES RIBEIRO Riad,Middleblocker,1981,204,BRA,BRA,-,-
2007/2008,A1,Andreoli Latina,16,ALVES BERNARDO Gilson,Spiker,1968,194,BRA,BRA,-,-
2007/2008,A1,Antonveneta Padova,1,GARGHELLA Andrea,Libero,1982,192,PD,ITA,-,-
2007/2008,A1,Antonveneta Padova,2,DE TOGNI Giorgio,Middleblocker,1985,202,FE,ITA,-,-
2007/2008,A1,Antonveneta Padova,4,OLLI Simo-Pekka,Setter,1985,203,FIN,FIN,-,-
2007/2008,A1,Antonveneta Padova,6,QUARTI Giovanni,Spiker,1984,191,VE,ITA,-,-
2007/2008,A1,Antonveneta Padova,7,ESKO Mikko,Setter,1978,198,FIN,FIN,-,-
2007/2008,A1,Antonveneta Padova,8,PLATENIK Peter,Spiker,1981,196,SVK,CZE,-,-
2007/2008,A1,Antonveneta Padova,10,TOVO Davide,Middleblocker,1972,202,RO,ITA,-,-
2007/2008,A1,Antonveneta Padova,11,BELLINI Alessandro,Spiker,1983,202,VE,ITA,-,-
2007/2008,A1,Antonveneta Padova,13,PERAZZOLO Lorenzo,Spiker,1984,198,MN,ITA,-,-
2007/2008,A1,Antonveneta Padova,14,DIAZ Luis Augusto,Spiker,1983,195,VEN,VEN,-,-
2007/2008,A1,Antonveneta Padova,17,BONTJE Rob,Middleblocker,1981,206,NED,NED,-,-
2007/2008,A1,Antonveneta Padova,18,DE MARCHI Francesco,Spiker,1986,193,PD,ITA,-,-
2007/2008,A1,Bre Banca Lannutti Cuneo,1,WIJSMANS Wout,Spiker,1977,201,BEL,BEL,-,-
2007/2008,A1,Bre Banca Lannutti Cuneo,2,PRANDI Massimiliano,Spiker,1989,189,PD,ITA,from 27/01/2008,-
