Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2007/2008,A1,Asystel Volley Novara,1,ANZANELLO SARA,Middleblocker,1980,192,ITA,-
2007/2008,A1,Asystel Volley Novara,2,SKOWRONSKA KATARZYNA,Spiker,1983,187,POL,-
2007/2008,A1,Asystel Volley Novara,3,BARCELLINI CRISTINA,Spiker,1986,185,ITA,-
2007/2008,A1,Asystel Volley Novara,4,BERG LINDSEY,Setter,1980,174,USA,-
2007/2008,A1,Asystel Volley Novara,5,BALLARINI MOANA,Libero,1987,160,ITA,-
2007/2008,A1,Asystel Volley Novara,6,PAGGI PAOLA,Middleblocker,1976,182,ITA,-
2007/2008,A1,Asystel Volley Novara,7,MUSTI DE GENNARO LULAMA,Middleblocker,1983,184,ITA,until 17/01/2008
2007/2008,A1,Asystel Volley Novara,8,VALESKINHA MENEZES DOS SANTOS,Spiker,1976,180,BRA,-
2007/2008,A1,Asystel Volley Novara,9,NNAMANI OGONNA NNEKA,Spiker,1983,185,USA,from 06/12/2007
2007/2008,A1,Asystel Volley Novara,9,CAMERA LETIZIA,Spiker,1992,0,-,from 18/11/2007
2007/2008,A1,Asystel Volley Novara,10,CARDULLO PAOLA,Libero,1982,162,ITA,-
2007/2008,A1,Asystel Volley Novara,10,SALVIA VALENTINA,Middleblocker,1990,0,-,from 21/10/2007
2007/2008,A1,Asystel Volley Novara,11,POPOVIC-GAMMA SANJA,Spiker,1984,186,CRO,-
2007/2008,A1,Asystel Volley Novara,12,BECHIS MARTA,Setter,1989,181,ITA,from 10/03/2008
2007/2008,A1,Asystel Volley Novara,13,OSMOKROVIC NATASA,Spiker,1976,182,CRO,-
2007/2008,A1,Asystel Volley Novara,14,CORBELLINI MONICA,Setter,1988,181,ITA,-
2007/2008,A1,Asystel Volley Novara,16,LOMBARDO GILDA,Spiker,1989,0,ITA,from 21/10/2007
2007/2008,A1,Asystel Volley Novara,16,MELLO ANNA VANIA,Middleblocker,1979,187,ITA,from 10/09/2007
2007/2008,A1,Despar Perugia,1,PACHALE HANKA,Spiker,1976,190,GER,-
2007/2008,A1,Despar Perugia,2,GRBAC ANA,Setter,1988,187,CRO,-
2007/2008,A1,Despar Perugia,4,CRISANTI LUCIA,Middleblocker,1986,186,ITA,-
2007/2008,A1,Despar Perugia,7,MARINOVA NELI,Setter,1971,175,BUL,-
2007/2008,A1,Despar Perugia,8,DECORDI GIULIA,UNIVERSALE,1986,184,ITA,-
2007/2008,A1,Despar Perugia,9,ARCANGELI CHIARA,Libero,1983,169,ITA,-
2007/2008,A1,Despar Perugia,10,SACCO BEATRICE,Libero,1983,169,ITA,-
2007/2008,A1,Despar Perugia,11,PAVLOVIC MARIJA,Middleblocker,1985,185,SCG,-
2007/2008,A1,Despar Perugia,11,MEZZASOMA ELISA,Middleblocker,1990,0,-,from 21/10/2007
2007/2008,A1,Despar Perugia,11,IHNATSIUK KSENIYA,Middleblocker,1989,0,-,from 21/10/2007
2007/2008,A1,Despar Perugia,12,RADI ELISA,Setter,-,0,-,from 04/11/2007
2007/2008,A1,Despar Perugia,13,FRANCIA VASCONCELOS MIRKA,Spiker,1975,184,ITA,-
2007/2008,A1,Despar Perugia,15,DEL CORE ANTONELLA,Spiker,1980,182,ITA,-
2007/2008,A1,Despar Perugia,16,ARTMENKO SHAPOSHNIKOV TATIANA,Spiker,1976,184,ISR,from 13/01/2008
2007/2008,A1,Despar Perugia,16,VALENTINI FRANCESCA,Middleblocker,1988,175,-,from 21/10/2007
2007/2008,A1,Despar Perugia,17,GIOLI SIMONA,Middleblocker,1977,185,ITA,-
2007/2008,A1,Famila Chieri,1,BUSSO ELENA,Middleblocker,1976,195,ITA,-
2007/2008,A1,Famila Chieri,2,LECCA ROSSANA,Spiker,1988,175,ITA,from 02/03/2008
2007/2008,A1,Famila Chieri,2,LELLA ROSANNA,Spiker,-,0,-,from 06/04/2008
2007/2008,A1,Famila Chieri,2,NIDO ALESSANDRA,Spiker,-,0,-,from 18/11/2007
2007/2008,A1,Famila Chieri,3,SECOLO MANUELA,Spiker,1977,181,ITA,-
2007/2008,A1,Famila Chieri,4,RADULOVIC BOJANA,Setter,1984,177,SCG,-
2007/2008,A1,Famila Chieri,5,GIOVANNA BALIANA DAS CHAGAS,Middleblocker,1980,187,BRA,-
2007/2008,A1,Famila Chieri,6,CARLIJN JANS,Middleblocker,1987,192,NED,from 05/10/2007
2007/2008,A1,Famila Chieri,7,GRIECO MARIA CRISTINA,Spiker,-,0,-,from 19/03/2008
2007/2008,A1,Famila Chieri,8,CICOLARI GRETA,Spiker,1982,181,ITA,-
2007/2008,A1,Famila Chieri,9,PETROLO SARA,Libero,1985,170,ITA,-
2007/2008,A1,Famila Chieri,10,GLIGOROVIC BILJANA,Setter,1982,183,CRO,-
2007/2008,A1,Famila Chieri,11,BARUN-SUSNJAR KATARINA,Spiker,1983,194,CRO,-
2007/2008,A1,Famila Chieri,12,WILLOUGHBY KIM,Spiker,1980,185,USA,-
2007/2008,A1,Famila Chieri,13,BORRI MAURIZIA,Libero,1977,177,ITA,-
2007/2008,A1,Famila Chieri,14,TAROZZO CLAUDIA,Libero,1987,165,ITA,from 28/10/2007
2007/2008,A1,Famila Chieri,15,VINCENZI CRISTINA,Middleblocker,1979,185,ITA,-
2007/2008,A1,Famila Chieri,18,BIDOGGIA ARIANNA,Setter,-,0,-,from 28/10/2007
2007/2008,A1,Foppapedretti Bergamo,1,GABBIADINI ANGELA,Spiker,1992,0,-,from 11/11/2007
2007/2008,A1,Foppapedretti Bergamo,2,GRUEN ANGELINA,Spiker,1979,185,GER,-
2007/2008,A1,Foppapedretti Bergamo,3,CROCE PAOLA,Libero,1978,167,ITA,-
2007/2008,A1,Foppapedretti Bergamo,4,BETELLI MICHELA,Spiker,-,0,-,from 03/11/2007
2007/2008,A1,Foppapedretti Bergamo,4,LODA SARA,Spiker,1990,0,-,from 03/11/2007
2007/2008,A1,Foppapedretti Bergamo,4,ZAMBELLI MARINA,Middleblocker,1990,0,-,from 25/10/2007
2007/2008,A1,Foppapedretti Bergamo,4,ROSNER MILENA,Spiker,1980,180,POL,-
2007/2008,A1,Foppapedretti Bergamo,5,GUJSKA KATARZYNA,Setter,1975,180,POL,-
2007/2008,A1,Foppapedretti Bergamo,6,FUSI CHIARA,Spiker,-,0,-,from 27/10/2007
2007/2008,A1,Foppapedretti Bergamo,6,BARAZZA JENNY,Middleblocker,1981,185,ITA,-
2007/2008,A1,Foppapedretti Bergamo,8,MERLO ENRICA,Libero,1988,170,ITA,-
2007/2008,A1,Foppapedretti Bergamo,9,SOROKAITE INDRE,Spiker,1988,186,ITA,-
2007/2008,A1,Foppapedretti Bergamo,12,PICCININI FRANCESCA,Spiker,1979,185,ITA,-
2007/2008,A1,Foppapedretti Bergamo,12,LAPI CHIARA,Spiker,1991,0,-,from 27/10/2007
2007/2008,A1,Foppapedretti Bergamo,12,CASSIS ILARIA,Spiker,-,0,-,from 24/10/2007
2007/2008,A1,Foppapedretti Bergamo,13,ARRIGHETTI VALENTINA,Middleblocker,1985,189,ITA,-
2007/2008,A1,Foppapedretti Bergamo,14,CORNA STEFANIA,Setter,1990,0,-,from 24/10/2007
2007/2008,A1,Foppapedretti Bergamo,14,LO BIANCO ELEONORA,Setter,1979,172,ITA,-
2007/2008,A1,Foppapedretti Bergamo,14,MAZZOLENI LAURA,Spiker,-,0,-,from 03/11/2007
2007/2008,A1,Foppapedretti Bergamo,14,SANGALLI CELESTE,Spiker,-,0,-,from 27/10/2007
2007/2008,A1,Foppapedretti Bergamo,15,FIORIN VALENTINA,Spiker,1984,187,ITA,-
2007/2008,A1,Foppapedretti Bergamo,18,POLJAK MAJA,Middleblocker,1983,194,CRO,-
2007/2008,A1,Infotel Banca Di Forlì,1,ARIAS DONE NURIS,Spiker,1973,191,DOM,from 28/01/2008
2007/2008,A1,Infotel Banca Di Forlì,2,PETKOVA ILIYANA,Middleblocker,1977,191,BUL,-
2007/2008,A1,Infotel Banca Di Forlì,3,ANTONUCCI ILARIA,Spiker,1987,184,ITA,-
2007/2008,A1,Infotel Banca Di Forlì,3,GHETTI MICHELA,Spiker,-,0,-,from 17/02/2008
2007/2008,A1,Infotel Banca Di Forlì,4,VERGUN ANNA,Middleblocker,1984,184,UKR,-
2007/2008,A1,Infotel Banca Di Forlì,5,GRANDO SAMANTHA,Middleblocker,1975,184,ITA,until 25/01/2008
