Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2017/2018,A1,Kioene Padova,10,VOLPATO Marco,Middleblocker,1990,195,VI,ITA,-,-
2017/2018,A1,Kioene Padova,11,SCANFERLA Leonardo,Spiker,1998,184,PD,ITA,-,-
2017/2018,A1,Kioene Padova,12,PREMOVIC Petar,Spiker,1994,200,SRB,SRB,-,-
2017/2018,A1,Kioene Padova,13,TRAVICA Dragan,Setter,1986,200,CRO,ITA,-,-
2017/2018,A1,Kioene Padova,15,KOPRIVICA Lazar,Spiker,1991,200,SRB,SRB,from 14/10/2017,-
2017/2018,A1,Kioene Padova,18,RANDAZZO Luigi,Spiker,1994,198,CT,ITA,-,-
2017/2018,A1,Revivre Milano,1,ABDEL-AZIZ Nimir,Spiker,1992,201,NED,NED,-,-
2017/2018,A1,Revivre Milano,2,PICCINELLI Alessandro,Libero,1997,189,MI,ITA,-,-
2017/2018,A1,Revivre Milano,4,KLINKENBERG Kevin,Spiker,1990,198,BEL,BEL,-,-
2017/2018,A1,Revivre Milano,5,DALDELLO Nicola,Setter,1983,184,TV,ITA,-,-
2017/2018,A1,Revivre Milano,6,SBERTOLI Riccardo,Setter,1998,190,MI,ITA,-,-
2017/2018,A1,Revivre Milano,7,TONDO Alessandro,Spiker,1991,202,LE,ITA,-,-
2017/2018,A1,Revivre Milano,8,SCHOTT Ruben,Spiker,1994,192,GER,GER,-,-
2017/2018,A1,Revivre Milano,9,PEREZ RIVERA Angel Javier,Setter,1982,187,PUR,PUR,from 22/11/2017,-
2017/2018,A1,Revivre Milano,11,PIANO Matteo,Middleblocker,1990,207,AT,ITA,-,-
2017/2018,A1,Revivre Milano,12,GALASSI Gianluca,Middleblocker,1997,201,TN,ITA,-,-
2017/2018,A1,Revivre Milano,13,AVERILL Taylor,Middleblocker,1992,201,USA,USA,-,-
2017/2018,A1,Revivre Milano,15,FANULI Fabio,Libero,1985,190,TA,ITA,-,-
2017/2018,A1,Revivre Milano,16,PRETI Alessandro,Spiker,1992,204,AUT,ITA,-,-
2017/2018,A1,Revivre Milano,18,CEBULJ Klemen,Spiker,1992,202,SLO,SLO,-,-
2017/2018,A1,Sir Safety Conad Perugia,2,RICCI Fabio,Middleblocker,1994,205,RA,ITA,-,-
2017/2018,A1,Sir Safety Conad Perugia,4,CESARINI Andrea,Libero,1987,180,RM,ITA,-,-
2017/2018,A1,Sir Safety Conad Perugia,5,SHAW James,Setter,1994,203,USA,USA,-,-
2017/2018,A1,Sir Safety Conad Perugia,8,RUSSELL Aaron,Spiker,1993,205,USA,USA,-,-
2017/2018,A1,Sir Safety Conad Perugia,9,ZAYTSEV Ivan,Spiker,1988,202,PG,ITA,-,-
2017/2018,A1,Sir Safety Conad Perugia,10,DELLA LUNGA Dore,Spiker,1984,194,AN,ITA,-,-
2017/2018,A1,Sir Safety Conad Perugia,11,SIIRILA Tommy,Middleblocker,1993,203,FIN,FIN,-,-
2017/2018,A1,Sir Safety Conad Perugia,12,BERGER Alexander,Spiker,1988,193,AUT,AUT,-,-
2017/2018,A1,Sir Safety Conad Perugia,13,COLACI Massimo,Libero,1985,180,LE,ITA,-,-
2017/2018,A1,Sir Safety Conad Perugia,14,ATANASIJEVIC Aleksandar,Spiker,1991,200,SRB,SRB,-,-
2017/2018,A1,Sir Safety Conad Perugia,15,DE CECCO Luciano,Setter,1988,194,ARG,ARG,-,-
2017/2018,A1,Sir Safety Conad Perugia,16,ANDRIC Leo,Spiker,1994,202,CRO,CRO,-,-
2017/2018,A1,Sir Safety Conad Perugia,17,ANZANI Simone,Middleblocker,1992,203,CO,ITA,-,-
2017/2018,A1,Sir Safety Conad Perugia,18,PODRASCANIN Marko,Middleblocker,1987,203,SRB,SRB,-,-
2017/2018,A1,Taiwan Excellence Latina,1,CACCIOPPOLA Louis,Libero,1998,180,LT,ITA,-,-
2017/2018,A1,Taiwan Excellence Latina,2,SHOJI Erik Thomas,Libero,1989,184,USA,USA,-,-
2017/2018,A1,Taiwan Excellence Latina,4,GITTO Carmelo,Middleblocker,1987,200,ME,ITA,-,-
2017/2018,A1,Taiwan Excellence Latina,5,SOTTILE Daniele,Setter,1979,186,ME,ITA,-,-
2017/2018,A1,Taiwan Excellence Latina,7,LE GOFF Nicolas,Middleblocker,1992,206,FRA,FRA,-,-
2017/2018,A1,Taiwan Excellence Latina,8,DE ANGELIS Carlo,Libero,1996,190,LT,ITA,-,-
2017/2018,A1,Taiwan Excellence Latina,9,CORTEGGIANI Jordan,Spiker,1991,198,FRA,FRA,from 18/09/2017,-
2017/2018,A1,Taiwan Excellence Latina,11,SAVANI Cristian,Spiker,1982,194,MN,ITA,-,-
2017/2018,A1,Taiwan Excellence Latina,13,ROSSI Andrea,Middleblocker,1989,200,AR,ITA,-,-
2017/2018,A1,Taiwan Excellence Latina,14,ISHIKAWA Yuki,Spiker,1995,191,JPN,JPN,-,-
2017/2018,A1,Taiwan Excellence Latina,15,MARUOTTI Gabriele,Spiker,1988,194,RM,ITA,-,-
2017/2018,A1,Taiwan Excellence Latina,16,KOVAC Jakub,Middleblocker,1997,200,SVK,SVK,from 07/10/2017,-
2017/2018,A1,Taiwan Excellence Latina,17,HUANG Pei-Hung,Setter,1990,188,TPE,TPE,-,-
2017/2018,A1,Taiwan Excellence Latina,18,STAROVIC Sasha,Spiker,1988,207,BIH,SRB,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,1,COSTA Deivid Junior,Middleblocker,1988,206,BRA,BRA,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,2,COSCIONE Manuel,Setter,1980,188,CN,ITA,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,3,MARRA Davide,Libero,1984,180,CS,ITA,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,4,LECAT Francois,Spiker,1993,200,BEL,BEL,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,5,IZZO Marco,Setter,1994,195,MS,ITA,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,6,CORRADO Francesco,Spiker,1997,198,KR,ITA,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,7,ANTONOV Oleg,Spiker,1988,198,RUS,ITA,until 30/01/2018,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,9,MASSARI Jacopo,Spiker,1988,185,PR,ITA,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,10,DOMAGALA Damian,Spiker,1998,199,POL,POL,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,11,TORCHIA Ernesto,Libero,1998,180,CZ,ITA,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,12,VERHEES Pieter,Middleblocker,1989,205,BEL,BEL,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,13,PATCH Benjamin,Spiker,1994,203,USA,USA,-,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,17,FELIX JR Sergio Luiz,Spiker,1990,200,BRA,BRA,from 09/02/2018,-
2017/2018,A1,Tonno Callipo Calabria Vibo Valentia,18,PRESTA Luca,Middleblocker,1995,200,CS,ITA,-,-
2017/2018,A1,Wixo LPR Piacenza,1,MANIÀ Loris,Libero,1979,190,GO,ITA,-,-
2017/2018,A1,Wixo LPR Piacenza,3,PARODI Simone,Spiker,1986,195,IM,ITA,-,-
2017/2018,A1,Wixo LPR Piacenza,4,ALLETTI Aimone,Middleblocker,1988,207,LO,ITA,-,-
2017/2018,A1,Wixo LPR Piacenza,6,GIULIANI Ludovico,Libero,1998,178,MC,ITA,-,-
2017/2018,A1,Wixo LPR Piacenza,7,MARSHALL Leonel,Spiker,1979,196,CUB,ITA,-,-
2017/2018,A1,Wixo LPR Piacenza,8,DI MARTINO Gabriele,Middleblocker,1997,199,RM,ITA,from 28/10/2017,-
2017/2018,A1,Wixo LPR Piacenza,9,BARANOWICZ Michele,Setter,1989,195,CN,ITA,-,-
2017/2018,A1,Wixo LPR Piacenza,10,KODY Yvan Arthur,Spiker,1991,213,CMR,CMR,-,-
2017/2018,A1,Wixo LPR Piacenza,12,YOSIFOV Viktor,Middleblocker,1985,205,BUL,BUL,-,-
2017/2018,A1,Wixo LPR Piacenza,13,HERSHKO Tamir Avraham,Spiker,1993,200,ISR,ISR,-,-
2017/2018,A1,Wixo LPR Piacenza,14,FEI Alessandro,Spiker,1978,208,VA,ITA,-,-
2017/2018,A1,Wixo LPR Piacenza,17,CLEVENOT Trevor,Spiker,1994,199,FRA,FRA,-,-
2017/2018,A1,Wixo LPR Piacenza,18,COTTARELLI Francesco,Setter,1996,196,VR,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,1,BORTOLINI Riccardo,Libero,1994,180,TV,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,2,MASINI Andrea,Setter,1971,184,AR,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,2,KRACHEV Ivan,Spiker,1990,202,BUL,BUL,from 19/09/2017 to 13/11/2017,-
2017/2018,A2,Acqua Fonteviva Massa,3,LEONI Giacomo,Setter,1995,192,GE,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,4,BRIGLIA Mattia,Spiker,1998,198,MS,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,5,BOLLA Matteo,Spiker,1990,197,MI,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,6,BERNIERI DI LUCCA Diego,Middleblocker,1986,191,LU,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,7,NANNINI Filippo,Middleblocker,1988,199,MS,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,8,CUK Andelko,Spiker,1983,201,BIH,CRO,from 10/11/2017,-
2017/2018,A2,Acqua Fonteviva Massa,8,RIBEIRO Lucas Thomaz,Spiker,1994,200,BRA,BRA,until 23/10/2017,-
2017/2018,A2,Acqua Fonteviva Massa,9,CALARCO Simone,Spiker,1995,203,RA,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,10,DE MARCHI Francesco,Spiker,1986,193,PD,ITA,until 11/01/2018,-
2017/2018,A2,Acqua Fonteviva Massa,11,BRIATA Andrea,Libero,1997,175,SP,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,12,SILVA Giulio,Spiker,1986,190,PR,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,15,ZANNI Michael,Setter,1998,195,MO,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,15,DRAGO Luca Saverio,Setter,1999,185,MS,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,16,DOLGOPOLOV Dmytro,Setter,1993,193,UKR,UKR,from 02/02/2018,-
2017/2018,A2,Acqua Fonteviva Massa,17,QUARTA Augusto,Middleblocker,1993,200,BO,ITA,-,-
2017/2018,A2,Acqua Fonteviva Massa,18,BIGLINO Omar,Middleblocker,1995,198,CN,ITA,-,-
2017/2018,A2,Aurispa Alessano,1,PELUSO Christian,Middleblocker,1994,197,LE,ITA,-,-
2017/2018,A2,Aurispa Alessano,2,MORCIANO Riccardo,Libero,2002,175,LE,ITA,-,-
2017/2018,A2,Aurispa Alessano,3,ALBERINI Alessio,Setter,1998,185,VE,ITA,-,-
2017/2018,A2,Aurispa Alessano,4,LOGLISCI Gianluca,Spiker,1998,195,MN,ITA,-,-
2017/2018,A2,Aurispa Alessano,6,CORDANO Andrea,Setter,1999,182,GE,ITA,-,-
2017/2018,A2,Aurispa Alessano,7,RUSSO Erminio,Spiker,1994,195,TA,ITA,until 01/12/2017,-
2017/2018,A2,Aurispa Alessano,8,TOMASSETTI Daniele,Middleblocker,1981,203,RM,ITA,-,-
2017/2018,A2,Aurispa Alessano,9,LIPINSKI Bartlomiej,Spiker,1996,201,POL,ITA,-,-
2017/2018,A2,Aurispa Alessano,10,LUGLI Leonardo,Spiker,1998,200,MN,ITA,-,-
2017/2018,A2,Aurispa Alessano,12,BISCI Gianluca,Libero,1983,185,TA,ITA,-,-
2017/2018,A2,Aurispa Alessano,13,RUSSO Davide Luigi,Libero,2001,178,LE,ITA,-,-
2017/2018,A2,Aurispa Alessano,16,USAI Valeriano,Middleblocker,1987,198,BA,ITA,-,-
2017/2018,A2,Aurispa Alessano,17,LAZZARETTO Enrico,Spiker,1995,200,PD,ITA,-,-
2017/2018,A2,Aurispa Alessano,18,CULAFIC Milos,Spiker,1986,206,MNE,MNE,-,-
2017/2018,A2,Caloni Agnelli Bergamo,1,MAFFEIS Filippo,Spiker,1998,195,BG,ITA,-,-
2017/2018,A2,Caloni Agnelli Bergamo,2,INNOCENTI Luca,Libero,1991,183,BG,ITA,-,-
2017/2018,A2,Caloni Agnelli Bergamo,4,PIEROTTI Marco,Spiker,1996,193,PU,ITA,-,-
2017/2018,A2,Caloni Agnelli Bergamo,5,CARGIOLI Antonio,Middleblocker,1994,199,MI,ITA,-,-
2017/2018,A2,Caloni Agnelli Bergamo,6,DOLFO Ludovico,Spiker,1989,198,TV,ITA,-,-
2017/2018,A2,Caloni Agnelli Bergamo,7,FRANZONI Andrea,Libero,1989,186,BS,ITA,-,-
2017/2018,A2,Caloni Agnelli Bergamo,8,LONGO Giuseppe,Setter,1998,181,BA,ITA,-,-
2017/2018,A2,Caloni Agnelli Bergamo,9,CARMINATI Ludovico,Spiker,1992,200,BG,ITA,-,-
2017/2018,A2,Caloni Agnelli Bergamo,10,HOOGENDOORN Sjoerd,Spiker,1991,198,NED,NED,-,-
2017/2018,A2,Caloni Agnelli Bergamo,11,CIOFFI Massimiliano,Middleblocker,1992,195,MI,ITA,-,-
2017/2018,A2,Caloni Agnelli Bergamo,12,ALBERGATI Daniele,Spiker,1993,200,BG,ITA,-,-
2017/2018,A2,Caloni Agnelli Bergamo,14,JOVANOVIC Igor,Setter,1990,197,SRB,SRB,-,-
2017/2018,A2,Caloni Agnelli Bergamo,17,VALSECCHI Damiano,Middleblocker,1991,200,BG,ITA,-,-
2017/2018,A2,Centrale Del Latte McDonald'S Brescia,1,RICCARDI Valerio,Middleblocker,1995,196,BG,ITA,-,-
2017/2018,A2,Centrale Del Latte McDonald'S Brescia,2,CODARIN Lorenzo,Middleblocker,1996,200,UD,ITA,-,-
2017/2018,A2,Centrale Del Latte McDonald'S Brescia,3,MARGUTTI Pietro,Spiker,1998,191,RA,ITA,-,-
2017/2018,A2,Centrale Del Latte McDonald'S Brescia,4,BONISOLI Luca Maria,Spiker,1998,182,BS,ITA,-,-
2017/2018,A2,Centrale Del Latte McDonald'S Brescia,5,TIBERTI Simone,Setter,1980,180,BS,ITA,-,-
