Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2017/2018,A1,Azimut Modena,1,MOSSA DE REZENDE Bruno,Setter,1986,190,BRA,BRA,-,-
2017/2018,A1,Azimut Modena,2,FRANCISKOVIC Jennings,Setter,1995,196,USA,USA,-,-
2017/2018,A1,Azimut Modena,3,ARGENTA Andrea,Spiker,1996,205,VR,ITA,-,-
2017/2018,A1,Azimut Modena,4,VAN GARDEREN Maarten,Spiker,1990,200,NED,NED,-,-
2017/2018,A1,Azimut Modena,6,TOSI Federico,Libero,1991,185,LU,ITA,-,-
2017/2018,A1,Azimut Modena,7,ROSSINI Salvatore,Libero,1986,184,LT,ITA,-,-
2017/2018,A1,Azimut Modena,8,NGAPETH Swan,Spiker,1992,185,FRA,FRA,-,-
2017/2018,A1,Azimut Modena,9,NGAPETH Earvin,Spiker,1991,192,FRA,FRA,-,-
2017/2018,A1,Azimut Modena,10,SABBI Giulio,Spiker,1989,201,RM,ITA,-,-
2017/2018,A1,Azimut Modena,11,BOSSI Elia,Middleblocker,1994,202,TS,ITA,-,-
2017/2018,A1,Azimut Modena,12,HOLT Maxwell Philip,Middleblocker,1987,205,USA,USA,-,-
2017/2018,A1,Azimut Modena,14,MARRA Alberto,Middleblocker,1998,206,LE,ITA,-,-
2017/2018,A1,Azimut Modena,15,PINALI Giulio,Spiker,1997,198,BO,ITA,-,-
2017/2018,A1,Azimut Modena,16,PENCHEV Chono,Setter,1994,199,BUL,BUL,from 21/11/2017,-
2017/2018,A1,Azimut Modena,17,URNAUT Tine,Spiker,1988,201,SLO,SLO,-,-
2017/2018,A1,Azimut Modena,18,MAZZONE Daniele,Middleblocker,1992,207,TO,ITA,-,-
2017/2018,A1,Bcc Castellana Grotte,1,CAZZANIGA Roberto,Spiker,1979,198,MI,ITA,-,-
2017/2018,A1,Bcc Castellana Grotte,2,HEBDA Milosz,Spiker,1991,206,POL,POL,-,-
2017/2018,A1,Bcc Castellana Grotte,3,CAVACCINI Domenico,Libero,1987,178,SA,ITA,-,-
2017/2018,A1,Bcc Castellana Grotte,4,CANUTO Bruno,Spiker,1990,195,BRA,BRA,-,-
2017/2018,A1,Bcc Castellana Grotte,5,PACE Domenico,Libero,2000,178,BA,ITA,-,-
2017/2018,A1,Bcc Castellana Grotte,6,ZAULI Marco,Middleblocker,1992,200,RA,ITA,-,-
2017/2018,A1,Bcc Castellana Grotte,7,PARIS Matteo,Setter,1983,188,RM,ITA,-,-
2017/2018,A1,Bcc Castellana Grotte,8,ROSSATTI Federico,Spiker,1994,203,VR,ITA,-,-
2017/2018,A1,Bcc Castellana Grotte,9,DE TOGNI Giorgio,Middleblocker,1985,202,FE,ITA,-,-
2017/2018,A1,Bcc Castellana Grotte,10,FERRARO Mario,Middleblocker,1987,198,PA,ITA,-,-
2017/2018,A1,Bcc Castellana Grotte,11,GARNICA Fernando Gabriel,Setter,1980,190,ARG,ITA,-,-
2017/2018,A1,Bcc Castellana Grotte,12,MOREIRA Djalma,Spiker,1992,200,BRA,BRA,-,-
2017/2018,A1,Bcc Castellana Grotte,14,TZIOUMAKAS Georgios,Spiker,1995,204,GRE,GRE,-,-
2017/2018,A1,Bcc Castellana Grotte,16,FERREIRA COSTA Athos,Middleblocker,1988,205,BRA,BRA,-,-
2017/2018,A1,Biosì Indexa Sora,1,MARRAZZO Federico,Setter,1994,190,RM,ITA,-,-
2017/2018,A1,Biosì Indexa Sora,2,PENNING Mitchell,Middleblocker,1995,204,USA,USA,-,-
2017/2018,A1,Biosì Indexa Sora,4,CANESCHI Edoardo,Middleblocker,1997,205,AR,ITA,-,-
2017/2018,A1,Biosì Indexa Sora,5,FEY Kupono,Spiker,1995,196,USA,USA,-,-
2017/2018,A1,Biosì Indexa Sora,6,LUCARELLI Marco,Spiker,1996,190,FR,ITA,-,-
2017/2018,A1,Biosì Indexa Sora,7,SANTUCCI Marco,Libero,1983,189,CB,ITA,-,-
2017/2018,A1,Biosì Indexa Sora,8,NIELSEN Rasmus Breuning,Spiker,1994,198,DEN,DEN,-,-
2017/2018,A1,Biosì Indexa Sora,9,ROSSO Mattia,Spiker,1985,198,CN,ITA,-,-
2017/2018,A1,Biosì Indexa Sora,10,MATTEI Andrea,Middleblocker,1993,202,RM,ITA,-,-
2017/2018,A1,Biosì Indexa Sora,11,DUNCAN-THIBAULT Alex,Spiker,1994,200,CAN,CAN,-,-
2017/2018,A1,Biosì Indexa Sora,12,SEGANOV Georgi,Setter,1993,198,BUL,BUL,-,-
2017/2018,A1,Biosì Indexa Sora,14,MAUTI Pierpaolo,Spiker,1995,190,FR,ITA,-,-
2017/2018,A1,Biosì Indexa Sora,15,PETKOVIC Dusan,Spiker,1992,199,SRB,SRB,-,-
2017/2018,A1,Bunge Ravenna,1,MAZZONE Tiziano,Spiker,1995,199,RM,ITA,-,-
2017/2018,A1,Bunge Ravenna,2,VITELLI Marco,Middleblocker,1996,201,CH,ITA,-,-
2017/2018,A1,Bunge Ravenna,5,ORDUNA Santiago,Setter,1983,183,ARG,ITA,-,-
2017/2018,A1,Bunge Ravenna,6,POGLAJEN Cristian Gabriel,Spiker,1989,195,ARG,ARG,-,-
2017/2018,A1,Bunge Ravenna,7,RAFFAELLI Giacomo,Spiker,1995,194,GR,ITA,-,-
2017/2018,A1,Bunge Ravenna,8,PISTOLESI Matteo,Setter,1995,194,TO,ITA,-,-
2017/2018,A1,Bunge Ravenna,9,GUTIERREZ Miguel,Spiker,1997,197,CUB,CUB,-,-
2017/2018,A1,Bunge Ravenna,10,GOI Riccardo,Libero,1992,174,MN,ITA,-,-
2017/2018,A1,Bunge Ravenna,11,GEORGIEV Krasimir,Middleblocker,1995,203,BUL,BUL,-,-
2017/2018,A1,Bunge Ravenna,12,DIAMANTINI Enrico,Middleblocker,1993,204,PU,ITA,-,-
2017/2018,A1,Bunge Ravenna,14,MARCHINI Stefano,Libero,1997,180,RA,ITA,-,-
2017/2018,A1,Bunge Ravenna,15,MARETTI Lorenzo,Spiker,2001,185,RA,ITA,-,-
2017/2018,A1,Bunge Ravenna,16,MARECHAL Nicolas,Spiker,1987,198,FRA,FRA,-,-
2017/2018,A1,Bunge Ravenna,18,BUCHEGGER Paul,Spiker,1996,204,AUT,AUT,-,-
2017/2018,A1,Calzedonia Verona,1,MENGOZZI Stefano,Middleblocker,1985,205,RA,ITA,-,-
2017/2018,A1,Calzedonia Verona,2,PAJENK Alen,Middleblocker,1986,205,SLO,SLO,-,-
2017/2018,A1,Calzedonia Verona,3,PAOLUCCI Adriano,Setter,1979,190,RM,ITA,-,-
2017/2018,A1,Calzedonia Verona,5,STERN Toncek,Spiker,1995,195,SLO,SLO,-,-
2017/2018,A1,Calzedonia Verona,6,MARRETTA Federico,Spiker,1990,189,TP,ITA,-,-
2017/2018,A1,Calzedonia Verona,7,BIRARELLI Emanuele,Middleblocker,1981,202,AN,ITA,-,-
2017/2018,A1,Calzedonia Verona,8,MAAR Stephen Timothy,Spiker,1994,202,CAN,CAN,-,-
2017/2018,A1,Calzedonia Verona,10,FRIGO Thomas,Libero,1997,184,VR,ITA,-,-
2017/2018,A1,Calzedonia Verona,11,GROZDANOV Aleks,Middleblocker,1998,205,BUL,BUL,-,-
2017/2018,A1,Calzedonia Verona,12,DJURIC Mitar,Spiker,1989,211,BIH,GRE,-,-
2017/2018,A1,Calzedonia Verona,13,SPIRITO Luca,Setter,1993,199,SV,ITA,-,-
2017/2018,A1,Calzedonia Verona,14,MANAVINEZHAD Mohammadjavad,Spiker,1995,200,IRI,IRI,-,-
2017/2018,A1,Calzedonia Verona,17,JAESCHKE Thomas,Spiker,1993,198,USA,USA,-,-
2017/2018,A1,Calzedonia Verona,18,PESARESI Nicola,Libero,1991,190,AN,ITA,-,-
2017/2018,A1,Cucine Lube Civitanova,1,SOKOLOV Tsvetan,Spiker,1989,205,BUL,BUL,-,-
2017/2018,A1,Cucine Lube Civitanova,2,CANDELLARO Davide,Middleblocker,1989,200,PD,ITA,-,-
2017/2018,A1,Cucine Lube Civitanova,3,SANDER Taylor,Spiker,1992,196,USA,USA,-,-
2017/2018,A1,Cucine Lube Civitanova,4,MARCHISIO Andrea,Libero,1990,186,CN,ITA,-,-
2017/2018,A1,Cucine Lube Civitanova,5,JUANTORENA Osmany,Spiker,1985,200,CUB,ITA,-,-
2017/2018,A1,Cucine Lube Civitanova,6,CASADEI Alberto,Spiker,1984,200,FC,ITA,-,-
2017/2018,A1,Cucine Lube Civitanova,7,STANKOVIC Dragan,Middleblocker,1985,205,SRB,SRB,-,-
2017/2018,A1,Cucine Lube Civitanova,9,KOVAR Jiri,Spiker,1989,202,CZE,ITA,-,-
2017/2018,A1,Cucine Lube Civitanova,10,GREBENNIKOV Jenia,Libero,1990,188,FRA,FRA,-,-
2017/2018,A1,Cucine Lube Civitanova,11,CHRISTENSON Micah,Setter,1993,198,USA,USA,-,-
2017/2018,A1,Cucine Lube Civitanova,12,CESTER Enrico,Middleblocker,1988,204,TV,ITA,-,-
2017/2018,A1,Cucine Lube Civitanova,14,MILAN Sebastiano,Spiker,1995,203,TV,ITA,-,-
2017/2018,A1,Cucine Lube Civitanova,15,ZHUKOUSKI Tsimafei,Setter,1989,192,BLR,CRO,from 14/09/2017,-
2017/2018,A1,Diatec Trentino,2,KOVACEVIC Uros,Spiker,1993,198,SRB,SRB,-,-
2017/2018,A1,Diatec Trentino,3,HOAG Nicholas,Spiker,1992,200,CAN,CAN,-,-
2017/2018,A1,Diatec Trentino,4,KOZAMERNIK Jan,Middleblocker,1995,204,SLO,SLO,-,-
2017/2018,A1,Diatec Trentino,5,CAVUTO Oreste,Spiker,1996,199,CH,ITA,-,-
2017/2018,A1,Diatec Trentino,7,VETTORI Luca,Spiker,1991,199,PR,ITA,-,-
2017/2018,A1,Diatec Trentino,8,CHIAPPA Matteo,Libero,1993,190,MI,ITA,-,-
2017/2018,A1,Diatec Trentino,9,GIANNELLI Simone,Setter,1996,199,BZ,ITA,-,-
2017/2018,A1,Diatec Trentino,10,LANZA Filippo,Spiker,1991,196,VR,ITA,-,-
2017/2018,A1,Diatec Trentino,11,ZINGEL Aidan,Middleblocker,1990,207,AUS,AUS,-,-
2017/2018,A1,Diatec Trentino,12,TEPPAN Renee,Spiker,1993,197,EST,EST,-,-
2017/2018,A1,Diatec Trentino,15,PARTENIO Pier Paolo,Setter,1993,197,MC,ITA,-,-
2017/2018,A1,Diatec Trentino,16,CARBONERA Eder,Middleblocker,1983,205,BRA,BRA,-,-
2017/2018,A1,Diatec Trentino,17,DE PANDIS Daniele,Libero,1984,184,LE,ITA,-,-
2017/2018,A1,Gi Group Monza,1,BUTI Simone,Middleblocker,1983,208,FI,ITA,-,-
2017/2018,A1,Gi Group Monza,3,ARASOMWAN Martins,Middleblocker,1995,200,NGR,ITA,-,-
2017/2018,A1,Gi Group Monza,4,DZAVORONOK Donovan,Spiker,1997,202,CZE,CZE,-,-
2017/2018,A1,Gi Group Monza,5,BRUNETTI Davide,Libero,1995,175,MI,ITA,-,-
2017/2018,A1,Gi Group Monza,6,FINGER Michal,Spiker,1993,201,CZE,CZE,-,-
2017/2018,A1,Gi Group Monza,7,SHOJI Kawika Tennefos,Setter,1987,198,USA,USA,-,-
2017/2018,A1,Gi Group Monza,8,WALSH Brett James,Setter,1994,195,CAN,CAN,-,-
2017/2018,A1,Gi Group Monza,9,RIZZO Marco,Libero,1990,185,LE,ITA,-,-
2017/2018,A1,Gi Group Monza,10,LANGLOIS Jake,Spiker,1992,208,USA,USA,-,-
2017/2018,A1,Gi Group Monza,11,BOTTO Iacopo,Spiker,1987,190,SP,ITA,-,-
2017/2018,A1,Gi Group Monza,12,TERPIN Jernej,Spiker,1996,190,GO,ITA,-,-
2017/2018,A1,Gi Group Monza,13,BERETTA Thomas,Middleblocker,1990,205,MI,ITA,-,-
2017/2018,A1,Gi Group Monza,14,BARONE Rocco,Middleblocker,1987,200,RC,ITA,-,-
2017/2018,A1,Gi Group Monza,15,HIRSCH Simon,Spiker,1992,205,GER,GER,-,-
2017/2018,A1,Gi Group Monza,16,MAZZA Federico,Middleblocker,1996,200,MI,ITA,-,-
2017/2018,A1,Gi Group Monza,17,PLOTNYTSKYI Oleh,Spiker,1997,194,UKR,UKR,from 23/11/2017,-
2017/2018,A1,Kioene Padova,1,POLO Alberto,Middleblocker,1995,204,VI,ITA,-,-
2017/2018,A1,Kioene Padova,2,BASSANELLO Nicolò,Libero,1996,183,PD,ITA,-,-
2017/2018,A1,Kioene Padova,4,NELLI Gabriele,Spiker,1993,208,LU,ITA,-,-
2017/2018,A1,Kioene Padova,5,PESLAC Milan,Setter,1998,196,SRB,ITA,-,-
2017/2018,A1,Kioene Padova,6,GOZZO Stefano,Spiker,1994,200,PD,ITA,-,-
2017/2018,A1,Kioene Padova,7,BALASO Fabio,Libero,1995,178,PD,ITA,-,-
2017/2018,A1,Kioene Padova,8,CIROVIC Lazar,Spiker,1992,200,SRB,SRB,-,-
2017/2018,A1,Kioene Padova,9,SPERANDIO Matteo,Middleblocker,1992,199,TV,ITA,-,-
