Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,2,Kovacevic Uros,-,-,-,*,-,*,-,*,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,3,Hoag Nicholas,-,-,5.7,2,2,2,2,2,12,2,-5,22,7,1,23,3,0.26,0.22,23,-,3,11,0.48,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,4,Kozamernik Jan,-,-,-,*,-,*,-,*,-,-,-1,2,-,-,-,-,-,-,1,-,1,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,5,Cavuto Oreste,-,-,-,-,-,*,-,-,-,-,-1,1,-,-,1,-,-,-,1,-,1,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,7,Vettori Luca,-,-,6.1,1,1,1,1,1,16,2,5,17,5,1,-,-,-,-,28,2,2,15,0.54,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,8,Chiappa Matteo ,L,-,-,*,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,9,Giannelli Simone,-,-,6.3,4,4,4,4,4,7,6,4,24,1,2,-,-,-,-,2,-,-,1,0.5,-,4
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,10,Lanza Filippo,-,-,6.1,5,5,5,5,5,18,4,5,13,6,-,24,1,0.58,0.46,30,1,3,15,0.5,-,3
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,11,Zingel Aidan,-,-,6.3,6,6,6,6,6,9,5,4,12,2,-,-,-,-,-,7,-,-,6,0.86,-,3
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,12,Teppan Renee,-,-,-,*,*,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,15,Partenio Pier Paolo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,16,Carbonera Eder,-,-,6.2,3,3,3,3,3,8,2,1,14,4,-,4,1,0.5,0.5,11,-,1,6,0.55,-,2
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,17,De Pandis Daniele ,L,-,-,*,*,*,*,*,-,-,-6,-,-,-,31,6,0.42,0.23,-,-,-,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,1,Abdel-Aziz Nimir,-,-,5.8,4,5,4,5,4,26,10,8,21,4,4,2,1,0.5,0.5,45,3,7,21,0.47,-,1
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,2,Piccinelli Alessandro ,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,4,Klinkenberg Kevin,-,-,5.5,5,6,5,6,5,7,3,-5,13,4,-,47,3,0.47,0.19,17,1,-,6,0.35,-,1
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,5,Daldello Nicola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,6,Sbertoli Riccardo,-,-,-,1,2,1,2,1,4,3,-4,21,6,2,-,-,-,-,2,-,-,1,0.5,-,1
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,7,Tondo Alessandro,-,-,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,8,Schott Ruben,-,-,5.5,2,3,2,3,2,14,5,3,19,3,3,13,-,0.62,0.46,27,4,3,10,0.37,-,1
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,11,Piano Matteo,-,-,6.2,6,1,6,1,6,12,5,6,13,-,1,1,-,-,-,13,2,1,6,0.46,-,5
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,12,Galassi Gianluca,-,-,-,-,-,-,*,3,5,2,5,2,-,-,-,-,-,-,3,-,-,3,1,-,2
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,13,Averill Taylor,-,-,5.5,3,4,3,4,-,5,1,-4,13,4,1,-,-,-,-,9,-,1,4,0.44,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,15,Fanuli Fabio ,L,-,-,*,*,*,*,*,-,-,-1,-,-,-,17,1,0.47,0.29,-,-,-,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,16,Preti Alessandro,-,-,-,*,*,*,*,-,-,-,-1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,18,Cebulj Klemen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
