Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2017/2018,A1,Supercoppa,Semifinal,1,1,0,7/10/2017,16:00,4023,69700,C,Cucine Lube Civitanova,Lube,3,1,4,7,11,16,8,16,21,25,8,16,21,25,4,9,17,19,8,11,21,25,7,16,20,23,8,16,21,25,4,11,17,22,-,-,-,-,-,-,-,-,67,26,13,90,20,5,76,8,0.68,0.39,108,6,8,53,0.49,-,9
2017/2018,A1,Supercoppa,Semifinal,1,1,0,7/10/2017,16:00,4023,69700,O,Azimut Modena,Modena,1,3,8,16,21,25,4,7,11,16,4,9,17,19,8,16,21,25,7,16,20,23,8,11,21,25,4,11,17,22,8,16,21,25,-,-,-,-,-,-,-,-,62,25,13,90,14,8,70,5,0.7,0.3,95,7,9,46,0.48,-,8
2017/2018,A1,Supercoppa,Semifinal,1,2,0,7/10/2017,19:00,4023,69700,C,Diatec Trentino,Trento,1,3,4,11,17,20,8,16,21,25,6,10,15,18,8,16,21,25,5,12,18,25,8,16,21,23,6,14,17,22,8,16,21,25,-,-,-,-,-,-,-,-,60,16,1,86,22,6,83,9,0.61,0.27,113,5,17,47,0.42,-,7
2017/2018,A1,Supercoppa,Semifinal,1,2,0,7/10/2017,19:00,4023,69700,O,Sir Safety Conad Perugia,Perugia,3,1,8,16,21,25,4,11,17,20,8,16,21,25,6,10,15,18,8,16,21,23,5,12,18,25,8,16,21,25,6,14,17,22,-,-,-,-,-,-,-,-,71,32,30,97,14,9,64,6,0.56,0.3,91,4,7,45,0.49,-,17
2017/2018,A1,Supercoppa,3rd_-_4th_place Final,-,1,0,8/10/2017,15:00,-,-,C,Diatec Trentino,Trento,1,3,5,11,17,20,8,16,21,25,7,13,20,24,8,16,21,26,8,15,21,25,7,16,19,23,8,16,21,30,6,13,19,32,-,-,-,-,-,-,-,-,68,19,10,100,29,2,87,5,0.67,0.22,108,7,9,57,0.53,-,9
2017/2018,A1,Supercoppa,3rd_-_4th_place Final,-,1,0,8/10/2017,15:00,-,-,O,Azimut Modena,Modena,3,1,8,16,21,25,5,11,17,20,8,16,21,26,7,13,20,24,7,16,19,23,8,15,21,25,6,13,19,32,8,16,21,30,-,-,-,-,-,-,-,-,68,28,11,105,18,5,71,2,0.69,0.34,105,12,9,54,0.51,-,9
2017/2018,A1,Supercoppa,1st_-_2nd_place Final,-,1,0,8/10/2017,18:00,4291,76343,C,Cucine Lube Civitanova,Lube,1,3,4,12,17,20,8,16,21,25,8,16,21,25,7,15,20,22,5,10,15,17,8,16,21,25,8,16,20,26,7,12,21,28,-,-,-,-,-,-,-,-,60,20,13,89,17,8,81,9,0.56,0.31,99,4,14,47,0.47,-,5
2017/2018,A1,Supercoppa,1st_-_2nd_place Final,-,1,0,8/10/2017,18:00,4291,76343,O,Sir Safety Conad Perugia,Perugia,3,1,8,16,21,25,4,12,17,20,7,15,20,22,8,16,21,25,8,16,21,25,5,10,15,17,7,12,21,28,8,16,20,26,-,-,-,-,-,-,-,-,76,33,28,99,18,9,72,8,0.57,0.29,94,8,5,53,0.56,-,14
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,C,Diatec Trentino,Trento,2,3,5,13,18,22,8,16,21,25,8,16,21,25,5,12,17,20,8,16,18,20,6,9,21,25,8,16,21,25,4,12,14,19,5,7,10,13,4,10,12,15,70,21,5,105,25,4,83,11,0.42,0.3,103,3,11,54,0.52,-,12
2017/2018,A1,Regular_Season,1st,1,-,1,15/10/2017,18:00,3156,22245,O,Revivre Milano,Milano Power,3,2,8,16,21,25,5,13,18,22,5,12,17,20,8,16,21,25,6,9,21,25,8,16,18,20,4,12,14,19,8,16,21,25,4,10,12,15,5,7,10,13,73,29,7,104,21,11,80,5,0.49,0.26,116,10,12,51,0.44,-,11
2017/2018,A1,Regular_Season,1st,1,-,2,15/10/2017,18:00,3304,25704,C,Sir Safety Conad Perugia,Perugia,3,0,8,16,21,25,5,10,15,17,8,16,21,25,4,8,14,16,7,14,20,25,8,16,21,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,29,16,73,11,6,44,5,0.41,0.3,69,5,5,37,0.54,-,11
2017/2018,A1,Regular_Season,1st,1,-,2,15/10/2017,18:00,3304,25704,O,Kioene Padova,Padova,0,3,5,10,15,17,8,16,21,25,4,8,14,16,8,16,21,25,8,16,21,22,7,14,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,15,-13,57,13,5,61,6,0.46,0.15,74,6,11,28,0.38,-,5
2017/2018,A1,Regular_Season,1st,1,-,3,15/10/2017,18:00,3976,39628,C,Azimut Modena,Modena,3,0,8,16,21,25,7,11,13,16,8,16,21,25,5,11,13,15,8,16,20,26,7,14,21,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,24,27,74,11,9,47,1,0.62,0.32,66,3,2,42,0.64,-,8
2017/2018,A1,Regular_Season,1st,1,-,3,15/10/2017,18:00,3976,39628,O,BCC Castellana Grotte,Castellana Grotte Mater,0,3,7,11,13,16,8,16,21,25,5,11,13,15,8,16,21,25,7,14,21,24,8,16,20,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,9,-4,57,10,-,63,10,0.48,0.22,69,5,8,38,0.55,-,2
2017/2018,A1,Regular_Season,1st,1,-,4,15/10/2017,18:00,1422,3194,C,Gi Group Monza,Monza Vero Volley,3,1,7,11,13,17,8,16,21,25,8,16,21,25,7,12,14,17,7,16,21,25,8,13,15,16,6,16,21,25,8,14,16,21,-,-,-,-,-,-,-,-,68,26,17,90,11,6,68,8,0.49,0.32,98,5,3,57,0.58,-,5
2017/2018,A1,Regular_Season,1st,1,-,4,15/10/2017,18:00,1422,3194,O,Biosì Indexa Sora,Sora,1,3,8,16,21,25,7,11,13,17,7,12,14,17,8,16,21,25,8,13,15,16,7,16,21,25,8,14,16,21,6,16,21,25,-,-,-,-,-,-,-,-,62,20,2,80,12,6,79,11,0.42,0.24,100,11,5,53,0.53,-,3
