Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
A1,2024/2025,Allianz Milano,Milano,1 ,KAZIYSKI Matey,Schiacciatore,1984,203,BUL,BUL,-,-
A1,2024/2025,Allianz Milano,Milano,2 ,STAFORINI Matteo,Libero,2003,193,BG,ITA,-,-
A1,2024/2025,Allianz Milano,Milano,3 ,LARIZZA Jacopo,Centrale,1998,204,MC,ITA,dal 25/09/2024,-
A1,2024/2025,Allianz Milano,Milano,4 ,ZONTA Nicola,Palleggiatore,2000,186,UD,ITA,-,-
A1,2024/2025,Allianz Milano,Milano,5 ,CATANIA Damiano,Libero,2001,180,CT,ITA,-,-
A1,2024/2025,Allianz Milano,Milano,7 ,REGGERS Ferre,Schiacciatore,2003,203,BEL,BEL,-,-
A1,2024/2025,Allianz Milano,Milano,10 ,BAROTTO Tommaso,Schiacciatore,2005,212,RO,ITA,-,-
A1,2024/2025,Allianz Milano,Milano,11 ,PIANO Matteo,Centrale,1990,209,AT,ITA,-,-
A1,2024/2025,Allianz Milano,Milano,12 ,SCHNITZER Jordan,Centrale,1998,198,CAN,CAN,-,-
A1,2024/2025,Allianz Milano,Milano,13 ,GARDINI Davide,Schiacciatore,1999,206,TV,ITA,-,-
A1,2024/2025,Allianz Milano,Milano,15 ,OTSUKA Tatsunori,Schiacciatore,2000,195,JPN,JPN,-,-
A1,2024/2025,Allianz Milano,Milano,16 ,PORRO Paolo,Palleggiatore,2001,185,GE,ITA,-,-
A1,2024/2025,Allianz Milano,Milano,17 ,LOUATI Yacine,Schiacciatore,1992,198,FRA,FRA,-,-
A1,2024/2025,Allianz Milano,Milano,18 ,CANESCHI Edoardo,Centrale,1997,205,AR,ITA,-,-
A1,2024/2025,Cisterna Volley,Cisterna,3 ,FANIZZA Alessandro,Palleggiatore,2004,192,BR,ITA,-,-
A1,2024/2025,Cisterna Volley,Cisterna,4 ,FINAURI Alessandro,Libero,2004,185,RM,ITA,-,-
A1,2024/2025,Cisterna Volley,Cisterna,7 ,RAMON Jordi,Schiacciatore,1999,194,ESP,ESP,-,-
A1,2024/2025,Cisterna Volley,Cisterna,8 ,PACE Domenico,Libero,2000,180,BA,ITA,-,-
A1,2024/2025,Cisterna Volley,Cisterna,9 ,TARUMI Yuga,Schiacciatore,2000,187,JPN,JPN,-,-
A1,2024/2025,Cisterna Volley,Cisterna,10 ,TOSTI Jacopo,Centrale,2008,192,RM,ITA,-,-
A1,2024/2025,Cisterna Volley,Cisterna,11 ,FAURE Theo,Schiacciatore,1999,202,FRA,FRA,-,-
A1,2024/2025,Cisterna Volley,Cisterna,12 ,DIAMANTINI Enrico,Centrale,1993,204,PU,ITA,-,-
A1,2024/2025,Cisterna Volley,Cisterna,14 ,CZERWINSKI Michael,Schiacciatore,2003,206,AUT,AUT,-,-
A1,2024/2025,Cisterna Volley,Cisterna,17 ,BARANOWICZ Michele,Palleggiatore,1989,196,CN,ITA,-,-
A1,2024/2025,Cisterna Volley,Cisterna,18 ,MAZZONE Daniele,Centrale,1992,209,TO,ITA,-,-
A1,2024/2025,Cisterna Volley,Cisterna,19 ,RIVAS Willner,Schiacciatore,1995,194,VEN,VEN,-,-
A1,2024/2025,Cisterna Volley,Cisterna,20 ,BAYRAM Efe,Schiacciatore,2002,194,TUR,TUR,-,-
A1,2024/2025,Cisterna Volley,Cisterna,29 ,NEDELJKOVIC Aleksandar,Centrale,1997,205,SRB,SRB,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,1 ,CHINENYEZE Barthelemy,Centrale,1998,204,FRA,FRA,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,3 ,GARGIULO Giovanni Maria,Centrale,1999,208,NA,ITA,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,4 ,LOEPPKY Eric,Schiacciatore,1998,197,CAN,CAN,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,5 ,ORDUNA Santiago,Palleggiatore,1983,183,ARG,ITA,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,6 ,BISOTTO Francesco,Libero,2002,180,CN,ITA,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,7 ,BALASO Fabio,Libero,1995,185,PD,ITA,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,8 ,BONINFANTE Mattia,Palleggiatore,2004,190,VE,ITA,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,9 ,HOSSEIN KHANZADEH Poriya,Schiacciatore,2004,199,IRI,IRI,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,11 ,NIKOLOV Aleksandar,Schiacciatore,2003,206,FRA,BUL,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,12 ,LAGUMDZIJA Adis,Schiacciatore,1999,211,BIH,TUR,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,15 ,DIRLIC Petar,Schiacciatore,1997,205,CRO,CRO,-,-
A1,2024/2025,Cucine Lube Civitanova,Lube,18 ,PODRASCANIN Marko,Centrale,1987,203,SRB,ITA,dal 21/09/2024,-
