Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,C,Gioiella Prisma Taranto,Taranto,11,Alonso Roamy,-,-,-,-,*,*,*,*,1,-,1,-,-,-,-,-,-,-,1,-,-,1,1.00 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,C,Gioiella Prisma Taranto,Taranto,13,Fevereiro Diogo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,C,Gioiella Prisma Taranto,Taranto,17,Zimmermann Jan,-,-,-,3,6,1 ,6,6,-,-,-5,23,1,-,-,-,-,-,1,-,1,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,C,Gioiella Prisma Taranto,Taranto,27,Paglialunga Luca,-,-,-,-,-,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,1,Chinenyeze Barthelemy,-,-,-,2,2,2 ,4,-,9,3,-6,14,7,1,-,-,-,-,8,-,1,5,0.63 ,-,3,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,3,Gargiulo Giovanni Maria,-,-,-,*,*,*,1,2,2,-,-1,11,1,-,-,-,-,-,4,-,-,2,0.50 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,4,Loeppky Eric,-,-,-,*,*,*,*,*,4,2,-,5,1,1,2,-,-,-,9,-,3,2,0.22 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,5,Orduna Santiago,-,-,-,-,-,*,*,-,-,-,-1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,6,Bisotto Francesco,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,7,Balaso Fabio,L,-,-,*,*,*,*,*,-,-,-1,-,-,-,16,1,0.44 ,0.31 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,8,Boninfante Mattia,-,-,-,6,6,6 ,5,6,3,2,-3,13,3,-,-,-,-,-,2,1,-,1,0.50 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,9,Hossein Khanzadeh Poriya,-,-,-,-,*,-,*,-,1,-,-3,2,2,-,7,1,0.43 ,0.14 ,3,-,1,1,0.33 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,11,Nikolov Aleksandar,-,-,-,4,4,4 ,3,4,14,4,2,13,4,1,31,1,0.65 ,0.32 ,25,1,4,13,0.52 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,12,Lagumdzija Adis,-,-,-,3,3,3 ,2,3,20,11,9,23,3,4,-,-,-,-,38,5,1,14,0.37 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,15,Dirlic Petar,-,-,-,-,-,*,*,-,4,-,2,1,-,-,-,-,-,-,6,-,-,4,0.67 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,18,Podrascanin Marko,-,-,-,5,5,5 ,-,5,7,2,-,11,2,-,-,-,-,-,11,1,-,5,0.45 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,21,Bottolo Mattia,-,-,-,1,1,1 ,6,1,18,5,3,14,4,-,36,-,0.56 ,0.31 ,31,3,3,17,0.55 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,53,24/11/2024,18:00,1620 ,€ 12088 ,O,Cucine Lube Civitanova,Lube,24,Tenorio Davi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,1,Zhukouski Tsimafei,-,-,-,3,3,3 ,2,-,1,-,-2,14,1,-,-,-,-,-,1,1,-,-,-,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,2,Antonov Oleg,-,-,-,1,1,1 ,6,-,16,6,6,19,4,5,24,2,0.54 ,0.33 ,22,1,2,10,0.45 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,3,Cubito Marco,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,4,Vecchi Riccardo,-,-,-,-,*,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,6,Demyanenko Danny,-,-,-,2,2,2 ,1,-,8,3,2,16,1,1,-,-,-,-,8,1,1,4,0.50 ,-,3,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,7,Mattei Andrea,-,-,-,5,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,10,Comparoni Francesco,-,-,-,*,5,5 ,4,-,12,5,4,9,1,2,1,-,1.00 ,-,13,-,2,8,0.62 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,12,Petkovic Dusan,-,-,-,6,6,6 ,5,-,19,5,10,11,1,-,1,-,1.00 ,-,46,1,6,19,0.41 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,13,Fedrizzi Michele,-,-,-,*,*,4 ,*,-,-,-,-8,7,2,-,10,2,0.30 ,-,4,1,1,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,15,Marchiani Manuele,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,20,Cvanciger Gabrijel,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,21,Tatarov Georgi,-,-,-,4,4,*,3,-,9,3,-4,6,2,-,22,4,0.18 ,0.05 ,19,3,2,7,0.37 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,23,Schalk Matteo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,C,Yuasa Battery Grottazzolina,Grottazzolina,44,Marchisio Andrea,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,28,2,0.50 ,0.39 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,3,Fanizza Alessandro,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,4,Finauri Alessandro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,7,Ramon Jordi,-,-,-,6,5,6 ,5,-,22,9,7,12,2,2,36,5,0.25 ,0.11 ,33,3,-,19,0.58 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,8,Pace Domenico,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,15,1,0.53 ,0.40 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,10,Tosti Jacopo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,11,Faure Theo,-,-,-,5,4,5 ,4,-,21,10,13,15,3,2,-,-,-,-,30,2,3,14,0.47 ,-,5,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,12,Diamantini Enrico,-,-,-,1,6,1 ,6,-,12,4,9,7,-,-,-,-,-,-,8,-,1,7,0.88 ,-,5,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,14,Czerwinski Michael,-,-,-,-,-,-,*,-,1,-,1,-,-,-,-,-,-,-,1,-,-,1,1.00 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,17,Baranowicz Michele,-,-,-,2,1,2 ,1,-,4,4,-,24,1,4,1,1,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,19,Rivas Willner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,20,Bayram Efe,-,-,-,3,2,3 ,2,-,9,4,-4,19,2,2,21,1,0.43 ,0.33 ,24,4,3,7,0.29 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,9,-,54,23/11/2024,20:30,1661 ,€ 12638 ,O,Cisterna Volley,Cisterna,29,Nedeljkovic Aleksandar,-,-,-,4,3,4 ,3,-,7,2,-,18,1,-,-,-,-,-,9,1,2,4,0.44 ,-,3,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,2,Kovacevic Uros,-,-,-,4,1,1 ,-,-,5,3,-7,10,2,-,11,2,0.36 ,0.27 ,18,2,3,5,0.28 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,3,Kedzierski Michal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,4,Ricci Fabio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,6,Brizard Antoine,-,-,-,3,6,6 ,-,-,1,1,-1,10,1,-,1,-,-,-,2,-,-,1,0.50 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,7,Maar Stephen,-,-,-,1,4,4 ,-,-,9,2,-,13,1,-,20,4,0.45 ,0.25 ,19,1,2,9,0.47 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,10,Scanferla Leonardo,L,-,-,*,*,*,-,-,-,-,-,-,-,-,13,-,0.54 ,0.23 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,12,Galassi Gianluca,-,-,-,2,5,5 ,-,-,8,5,1,11,4,2,-,-,-,-,5,-,-,3,0.60 ,-,3,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,13,Simon Robertlandy,-,-,-,5,2,2 ,-,-,12,6,6,18,4,2,-,-,-,-,8,-,-,7,0.88 ,-,3,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,15,Andringa Robbert,-,-,-,*,-,*,-,-,-,-,-1,1,1,-,2,-,0.50 ,0.50 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,17,Romanò Yuri,-,-,-,6,3,3 ,-,-,13,4,5,9,3,-,-,-,-,-,22,1,-,13,0.59 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,23,Bovolenta Alessandro,-,-,-,-,*,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,24,Gueye Moussé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,C,Gas Sales Bluenergy Piacenza,Piacenza,27,Loreti Luca,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,1,Zhukouski Tsimafei,-,-,-,6,6,5 ,-,-,2,1,-2,9,2,-,-,-,-,-,1,-,-,1,1.00 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,2,Antonov Oleg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,3,Cubito Marco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,4,Vecchi Riccardo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,6,Demyanenko Danny,-,-,-,5,5,4 ,-,-,6,1,-4,10,3,-,1,-,1.00 ,1.00 ,7,1,1,4,0.57 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,7,Mattei Andrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,10,Comparoni Francesco,-,-,-,2,2,1 ,-,-,8,3,-2,12,4,1,1,-,-,-,7,1,-,5,0.71 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,12,Petkovic Dusan,-,-,-,3,3,2 ,-,-,10,4,2,12,4,1,1,-,1.00 ,-,22,2,1,9,0.41 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,13,Fedrizzi Michele,-,-,-,4,4,3 ,-,-,10,6,-1,13,4,3,21,3,0.57 ,0.33 ,21,1,2,7,0.33 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,15,Marchiani Manuele,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,20,Cvanciger Gabrijel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,21,Tatarov Georgi,-,-,-,1,1,6 ,-,-,8,-,-,10,2,-,19,1,0.63 ,0.32 ,18,2,2,8,0.44 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,23,Schalk Matteo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,55,30/11/2024,18:00,2024 ,€ 14140 ,O,Yuasa Battery Grottazzolina,Grottazzolina,44,Marchisio Andrea,L,-,-,*,*,*,-,-,-,-,-,-,-,-,14,-,0.64 ,0.36 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,1,Chinenyeze Barthelemy,-,-,-,1,6,1 ,2,-,8,1,4,9,2,-,-,-,-,-,9,-,-,8,0.89 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,3,Gargiulo Giovanni Maria,-,-,-,*,*,*,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,4,Loeppky Eric,-,-,-,-,*,*,1,-,9,3,2,9,2,-,11,2,0.64 ,0.36 ,17,-,-,9,0.53 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,5,Orduna Santiago,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,6,Bisotto Francesco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,7,Balaso Fabio,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,15,1,0.33 ,0.33 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,8,Boninfante Mattia,-,-,-,5,4,5 ,6,-,4,-,-7,12,4,-,1,1,-,-,3,-,-,2,0.67 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,9,Hossein Khanzadeh Poriya,-,-,-,*,*,*,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,11,Nikolov Aleksandar,-,-,-,3,2,3 ,4,-,22,11,13,16,4,2,31,1,0.39 ,0.23 ,33,1,2,18,0.55 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,12,Lagumdzija Adis,-,-,-,2,1,2 ,*,-,5,1,-2,10,2,-,-,-,-,-,16,2,2,5,0.31 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,15,Dirlic Petar,-,-,-,-,-,*,3,-,10,2,5,8,-,1,-,-,-,-,13,2,-,9,0.69 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,18,Podrascanin Marko,-,-,-,4,3,4 ,5,-,5,3,-5,14,-,1,4,-,0.75 ,0.50 ,6,-,1,2,0.33 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,21,Bottolo Mattia,-,-,-,6,5,6 ,*,-,4,1,-2,6,1,-,14,1,0.57 ,0.29 ,11,2,1,3,0.27 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,C,Cucine Lube Civitanova,Lube,24,Tenorio Davi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,O,Itas Trentino,Trento,2,Bristot Alessandro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,O,Itas Trentino,Trento,3,Pesaresi Nicola,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,O,Itas Trentino,Trento,5,Michieletto Alessandro,-,-,-,6,6,6 ,4,-,26,12,15,11,3,1,20,2,0.50 ,0.40 ,36,2,1,22,0.61 ,-,3,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,O,Itas Trentino,Trento,6,Sbertoli Riccardo,-,-,-,2,2,2 ,6,-,2,1,-6,18,2,1,-,-,-,-,1,-,1,-,-,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,O,Itas Trentino,Trento,8,Pellacani Marco,-,-,-,1,1,1 ,5,-,6,2,2,12,1,1,1,-,-,-,6,-,-,5,0.83 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,O,Itas Trentino,Trento,10,Garcia Fernandez Gabi,-,-,-,*,*,*,*,-,1,-,-3,6,3,-,-,-,-,-,2,1,-,1,0.50 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,O,Itas Trentino,Trento,11,Rychlicki Kamil,-,-,-,5,5,5 ,3,-,12,4,2,10,4,-,-,-,-,-,22,1,3,12,0.55 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,O,Itas Trentino,Trento,12,Magalini Giulio,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,10,-,56,1/12/2024,18:00,3583 ,€ 38455 ,O,Itas Trentino,Trento,13,Laurenzano Gabriele,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,28,1,0.46 ,0.39 ,-,-,-,-,-,-,-,,,,
