Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,O,Rana Verona,Verona,11,Sani Francesco,-,-,-,1,1,1 ,-,-,11,3,-,13,2,1,29,4,0.41 ,0.21 ,20,1,2,9,0.45 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,O,Rana Verona,Verona,12,Jensen Mads Kyed,-,-,-,6,6,6 ,-,-,10,2,2,11,3,-,-,-,-,-,23,-,5,8,0.35 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,O,Rana Verona,Verona,13,Spirito Luca,-,-,-,*,*,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,O,Rana Verona,Verona,15,Bonisoli Pietro,L,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,O,Rana Verona,Verona,17,Vitelli Marco,-,-,-,2,2,2 ,-,-,4,2,-1,9,2,-,-,-,-,-,2,-,-,2,1.00 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,O,Rana Verona,Verona,19,Mozic Rok,-,-,-,-,-,*,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,O,Rana Verona,Verona,21,Zanotti Andrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,1,Salsi Nicola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,2,Kovacevic Uros,-,-,-,6,6,1 ,1,-,5,1,-13,14,4,-,15,1,0.33 ,0.13 ,17,-,7,5,0.29 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,4,Ricci Fabio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,6,Brizard Antoine,-,-,-,5,5,6 ,6,-,2,1,-4,11,5,-,-,-,-,-,3,-,-,1,0.33 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,7,Maar Stephen,-,-,-,3,3,4 ,4,-,17,5,8,14,-,-,16,2,0.44 ,0.13 ,29,4,1,17,0.59 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,9,Mandiraci Ramazan Efe,-,-,-,-,*,*,*,-,4,2,4,4,-,2,4,-,0.50 ,0.50 ,3,-,-,2,0.67 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,10,Scanferla Leonardo,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,28,2,0.50 ,0.18 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,12,Galassi Gianluca,-,-,-,4,4,5 ,5,-,8,2,-,16,2,-,1,-,-,-,8,-,-,6,0.75 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,13,Simon Robertlandy,-,-,-,1,1,2 ,2,-,10,5,-,16,2,2,3,-,1.00 ,0.67 ,7,1,-,6,0.86 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,15,Andringa Robbert,-,-,-,*,*,*,*,-,-,-,-,-,-,-,1,-,1.00 ,1.00 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,17,Romanò Yuri,-,-,-,2,2,3 ,3,-,20,7,11,20,5,4,2,-,0.50 ,-,24,1,1,14,0.58 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,23,Bovolenta Alessandro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,24,Gueye Moussé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,27,Loreti Luca,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,3,Massari Jacopo,-,-,-,*,*,*,6,-,2,1,-,6,-,-,5,1,0.60 ,-,8,-,1,2,0.25 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,4,Meijs Sil,-,-,-,*,*,*,-,-,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,5,Mati Pardo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,6,Sanguinetti Giovanni,-,-,-,6,4,3 ,4,-,9,3,-8,10,6,1,2,1,-,-,16,2,3,7,0.44 ,-,1,,,,
