Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,6,29/9/2024,19:00,2153 ,€ 21823 ,O,Mint Vero Volley Monza,Monza,3,2,8,5,15,16,21,19,25,23,3,8,10,16,13,21,16,25,7,8,16,13,21,19,32,30,4,8,15,16,21,20,24,26,5,3,0,0,0,0,15,9,87,32,15,111,22,10,95,3,0.45 ,0.16 ,125,9,13,62,0.50 ,-,15,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,7,6/10/2024,17:00,2564 ,€ 19590 ,C,Itas Trentino,Trento,3,0,8,6,16,11,21,13,25,13,8,3,16,11,21,16,25,18,8,5,16,11,21,20,26,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,29,16,75,10,5,47,4,0.62 ,0.26 ,80,1,3,41,0.51 ,-,11,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,7,6/10/2024,17:00,2564 ,€ 19590 ,O,Gioiella Prisma Taranto,Taranto,0,3,6,8,11,16,13,21,13,25,3,8,11,16,16,21,18,25,5,8,11,16,20,21,24,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,14,-15,57,10,4,65,6,0.32 ,0.09 ,89,9,11,34,0.38 ,-,3,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,8,5/10/2024,18:00,3279 ,€ 29224 ,C,Mint Vero Volley Monza,Monza,0,3,6,8,15,16,18,21,22,25,8,5,16,14,21,20,24,26,8,4,13,16,21,20,23,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,17,-7,71,17,5,58,6,0.52 ,0.31 ,81,5,10,35,0.43 ,-,9,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,8,5/10/2024,18:00,3279 ,€ 29224 ,O,Gas Sales Bluenergy Piacenza,Piacenza,3,0,8,6,16,15,21,18,25,22,5,8,14,16,20,21,26,24,4,8,16,13,20,21,25,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,20,4,74,16,5,54,6,0.50 ,0.30 ,79,3,9,39,0.49 ,-,10,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,9,6/10/2024,15:20,3110 ,€ 18915 ,C,Allianz Milano,Milano,3,0,8,4,16,15,21,18,25,20,8,7,16,13,21,16,25,18,6,8,16,14,21,20,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,25,10,73,16,8,40,4,0.43 ,0.15 ,65,3,4,38,0.58 ,-,4,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,9,6/10/2024,15:20,3110 ,€ 18915 ,O,Cucine Lube Civitanova,Lube,0,3,4,8,15,16,18,21,20,25,7,8,13,16,16,21,18,25,8,6,14,16,20,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,14,-13,62,22,3,57,9,0.26 ,0.09 ,73,3,4,34,0.47 ,-,4,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,10,6/10/2024,19:00,2713 ,€ 16446 ,C,Rana Verona,Verona,3,2,3,8,11,16,17,21,20,25,8,7,16,12,21,16,25,18,5,8,13,16,15,21,21,25,8,4,16,7,21,13,25,14,5,4,0,0,0,0,15,13,75,25,17,106,17,9,76,6,0.58 ,0.25 ,114,3,7,61,0.54 ,-,5,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,10,6/10/2024,19:00,2713 ,€ 16446 ,O,Cisterna Volley,Cisterna,2,3,8,3,16,11,21,17,25,20,7,8,12,16,16,21,18,25,8,5,16,13,21,15,25,21,4,8,7,16,13,21,14,25,4,5,0,0,0,0,13,15,73,21,9,95,19,6,89,10,0.36 ,0.19 ,115,11,5,60,0.52 ,-,7,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,11,6/10/2024,18:00,3235 ,€ 32231 ,C,Valsa Group Modena,Modena,3,0,8,6,16,10,21,14,25,16,6,8,15,16,19,21,26,24,8,4,16,9,21,10,25,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,26,31,74,15,4,51,4,0.49 ,0.24 ,71,4,3,49,0.69 ,-,11,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,11,6/10/2024,18:00,3235 ,€ 32231 ,O,Yuasa Battery Grottazzolina,Grottazzolina,0,3,6,8,10,16,14,21,16,25,8,6,16,15,21,19,24,26,4,8,9,16,10,21,14,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,8,-14,56,5,4,59,5,0.47 ,0.25 ,69,5,11,26,0.38 ,-,3,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,12,6/10/2024,17:00,3478 ,€ 43995 ,C,Sonepar Padova,Padova,2,3,8,6,16,15,21,19,23,25,6,8,14,16,21,20,25,23,5,8,16,15,21,19,25,21,5,8,12,16,20,21,24,26,2,5,0,0,0,0,10,15,65,23,-9,108,23,5,83,8,0.39 ,0.16 ,115,9,11,50,0.43 ,-,10,,,,,,,,,,,
