Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,9,-,117,16/2/2025,16:00,2433 ,€ 18924 ,C,Gas Sales Bluenergy Piacenza,Piacenza,0,3,4,8,11,16,14,21,16,25,6,8,15,16,15,21,17,25,7,8,12,16,18,21,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,8,-17,56,14,1,63,8,0.40 ,0.25 ,71,6,11,33,0.46 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,9,-,117,16/2/2025,16:00,2433 ,€ 18924 ,O,Rana Verona,Verona,3,0,8,4,16,11,21,14,25,16,8,6,16,15,21,15,25,17,8,7,16,12,21,18,25,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,23,21,73,10,7,42,1,0.43 ,0.19 ,66,2,6,35,0.53 ,-,11,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,9,-,118,16/2/2025,16:00,3436 ,€ 22409 ,C,Sonepar Padova,Padova,3,2,7,8,16,14,21,20,23,25,7,8,16,14,21,18,25,22,8,5,16,11,21,15,25,18,8,4,16,12,17,21,22,25,5,1,0,0,0,0,15,6,70,28,4,109,17,12,64,4,0.56 ,0.23 ,108,9,10,52,0.48 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,9,-,118,16/2/2025,16:00,3436 ,€ 22409 ,O,Valsa Group Modena,Modena,2,3,8,7,14,16,20,21,25,23,8,7,14,16,18,21,22,25,5,8,11,16,15,21,18,25,4,8,12,16,21,17,25,22,1,5,0,0,0,0,6,15,70,19,-11,97,33,4,92,13,0.43 ,0.24 ,108,6,6,56,0.52 ,-,10,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,9,-,119,16/2/2025,20:30,1978 ,€ 13512 ,C,Cucine Lube Civitanova,Lube,3,1,5,8,12,16,16,21,17,25,8,2,16,6,21,8,25,11,8,7,16,14,21,20,26,24,8,6,16,15,21,20,25,22,-,-,-,-,-,-,-,-,74,32,14,92,17,5,67,6,0.52 ,0.21 ,108,7,8,53,0.49 ,-,16,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,9,-,119,16/2/2025,20:30,1978 ,€ 13512 ,O,Gioiella Prisma Taranto,Taranto,1,3,8,5,16,12,21,16,25,17,2,8,6,16,8,21,11,25,7,8,14,16,20,21,24,26,6,8,15,16,20,21,22,25,-,-,-,-,-,-,-,-,58,17,.,83,16,6,75,6,0.47 ,0.19 ,107,3,16,44,0.41 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,9,-,120,15/2/2025,20:30,1670 ,€ 6376 ,C,Cisterna Volley,Cisterna,3,2,8,4,16,12,21,17,25,23,4,8,14,16,20,21,21,25,8,4,16,8,21,13,25,16,6,8,13,16,18,21,26,28,5,4,0,0,0,0,15,10,74,35,8,111,21,11,72,8,0.43 ,0.21 ,108,8,8,52,0.48 ,-,11,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,9,-,120,15/2/2025,20:30,1670 ,€ 6376 ,O,Yuasa Battery Grottazzolina,Grottazzolina,2,3,4,8,12,16,17,21,23,25,8,4,16,14,21,20,25,21,4,8,8,16,13,21,16,25,8,6,16,13,21,18,28,26,4,5,0,0,0,0,10,15,70,23,-10,103,31,8,90,11,0.56 ,0.29 ,109,5,11,54,0.50 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,121,23/2/2025,19:30,2534 ,€ 24461 ,C,Yuasa Battery Grottazzolina,Grottazzolina,0,3,6,8,11,16,16,21,17,25,8,6,15,16,19,21,21,25,6,8,14,16,16,21,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,12,-5,59,12,5,65,11,0.40 ,0.29 ,73,8,9,34,0.47 ,-,4,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,121,23/2/2025,19:30,2534 ,€ 24461 ,O,Gas Sales Bluenergy Piacenza,Piacenza,3,0,8,6,16,11,21,16,25,17,6,8,16,15,21,19,25,21,8,6,16,14,21,16,25,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,26,21,73,8,11,47,5,0.38 ,0.19 ,57,5,4,34,0.60 ,-,9,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,122,22/2/2025,20:30,4128 ,€ 41838 ,C,Itas Trentino,Trento,3,1,8,4,16,9,21,12,25,14,4,8,14,16,21,20,23,25,6,8,14,16,21,20,25,23,8,4,16,11,21,16,25,19,-,-,-,-,-,-,-,-,71,24,26,97,15,7,66,3,0.47 ,0.24 ,98,4,7,53,0.54 ,-,11,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,122,22/2/2025,20:30,4128 ,€ 41838 ,O,Cucine Lube Civitanova,Lube,1,3,4,8,9,16,12,21,14,25,8,4,16,14,20,21,25,23,8,6,16,14,20,21,23,25,4,8,11,16,16,21,19,25,-,-,-,-,-,-,-,-,61,12,1,82,16,3,82,7,0.43 ,0.17 ,109,10,11,51,0.47 ,-,7,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,123,23/2/2025,18:00,4076 ,€ 34019 ,C,Sir Susa Vim Perugia,Perugia,3,1,4,8,16,15,21,19,28,26,8,7,16,13,21,19,23,25,8,5,16,11,21,14,25,17,8,3,16,11,21,14,25,16,-,-,-,-,-,-,-,-,69,37,15,100,14,14,65,7,0.49 ,0.22 ,90,6,8,42,0.47 ,-,13,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,123,23/2/2025,18:00,4076 ,€ 34019 ,O,Mint Vero Volley Monza,Monza,1,3,8,4,15,16,19,21,26,28,7,8,13,16,19,21,25,23,5,8,11,16,14,21,17,25,3,8,11,16,14,21,16,25,-,-,-,-,-,-,-,-,62,22,-13,85,20,6,86,14,0.34 ,0.06 ,111,11,13,48,0.43 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,124,22/2/2025,20:30,1685 ,€ 7038 ,C,Cisterna Volley,Cisterna,1,3,7,8,14,16,20,21,22,25,8,5,16,15,20,21,23,25,8,6,16,13,21,15,25,20,8,6,15,16,19,21,23,25,-,-,-,-,-,-,-,-,57,21,.,94,20,5,69,4,0.41 ,0.26 ,96,11,7,43,0.45 ,-,9,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,124,22/2/2025,20:30,1685 ,€ 7038 ,O,Allianz Milano,Milano,3,1,8,7,16,14,21,20,25,22,5,8,15,16,21,20,25,23,6,8,13,16,15,21,20,25,6,8,16,15,21,19,25,23,-,-,-,-,-,-,-,-,62,20,-3,94,25,4,74,5,0.41 ,0.24 ,112,9,9,51,0.46 ,-,7,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,125,23/2/2025,20:30,3329 ,€ 17504 ,C,Rana Verona,Verona,3,1,3,8,9,16,15,21,20,25,8,7,16,14,21,19,25,23,7,8,16,14,21,17,25,19,8,5,16,10,21,13,25,15,-,-,-,-,-,-,-,-,65,30,19,94,12,4,58,4,0.45 ,0.24 ,104,4,11,54,0.52 ,-,7,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,125,23/2/2025,20:30,3329 ,€ 17504 ,O,Sonepar Padova,Padova,1,3,8,3,16,9,21,15,25,20,7,8,14,16,19,21,23,25,8,7,14,16,17,21,19,25,5,8,10,16,13,21,15,25,-,-,-,-,-,-,-,-,64,16,3,84,26,3,82,5,0.62 ,0.30 ,116,3,7,50,0.43 ,-,11,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,126,23/2/2025,15:30,3353 ,€ 33143 ,C,Valsa Group Modena,Modena,3,1,7,8,16,11,21,12,25,15,8,4,14,16,17,21,19,25,8,6,16,12,21,16,25,21,8,4,16,13,21,19,25,23,-,-,-,-,-,-,-,-,63,24,10,93,18,10,65,2,0.49 ,0.31 ,97,6,9,47,0.48 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,10,-,126,23/2/2025,15:30,3353 ,€ 33143 ,O,Gioiella Prisma Taranto,Taranto,1,3,8,7,11,16,12,21,15,25,4,8,16,14,21,17,25,19,6,8,12,16,16,21,21,25,4,8,13,16,19,21,23,25,-,-,-,-,-,-,-,-,58,16,-14,85,20,2,75,10,0.31 ,0.21 ,93,9,6,47,0.51 ,-,9,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,127,2/3/2025,18:00,3362 ,€ 42771 ,C,Sonepar Padova,Padova,0,3,4,8,14,16,19,21,26,28,4,8,8,16,11,21,14,25,5,8,11,16,19,21,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,8,-16,62,17,.,64,4,0.61 ,0.31 ,85,8,8,36,0.42 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,127,2/3/2025,18:00,3362 ,€ 42771 ,O,Itas Trentino,Trento,3,0,8,4,16,14,21,19,28,26,8,4,16,8,21,11,25,14,8,5,16,11,21,19,25,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,21,10,77,13,3,45,.,0.49 ,0.13 ,77,5,6,41,0.53 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,128,2/3/2025,18:00,3752 ,€ 55332 ,C,Gas Sales Bluenergy Piacenza,Piacenza,1,3,8,7,12,16,16,21,19,25,3,8,13,16,15,21,16,25,6,8,14,16,19,21,27,25,7,8,9,16,11,21,14,25,-,-,-,-,-,-,-,-,52,14,-17,76,14,4,82,14,0.23 ,0.12 ,109,7,7,42,0.39 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,128,2/3/2025,18:00,3752 ,€ 55332 ,O,Sir Susa Vim Perugia,Perugia,3,1,7,8,16,12,21,16,25,19,8,3,16,13,21,15,25,16,8,6,16,14,21,19,25,27,8,7,16,9,21,11,25,14,-,-,-,-,-,-,-,-,72,34,24,98,16,14,62,4,0.31 ,0.10 ,100,6,6,51,0.51 ,-,7,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,129,2/3/2025,18:00,2245 ,€ 18855 ,C,Gioiella Prisma Taranto,Taranto,2,3,8,5,16,13,20,21,21,25,8,7,16,14,21,19,31,29,8,6,16,11,21,16,27,25,6,8,12,16,16,21,17,25,5,3,0,0,0,0,12,15,80,31,1,108,17,8,98,12,0.33 ,0.18 ,121,10,8,60,0.50 ,-,12,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,129,2/3/2025,18:00,2245 ,€ 18855 ,O,Rana Verona,Verona,3,2,5,8,13,16,21,20,25,21,7,8,14,16,19,21,29,31,6,8,11,16,16,21,25,27,8,6,16,12,21,16,25,17,3,5,0,0,0,0,15,12,92,36,21,119,21,11,91,8,0.40 ,0.22 ,129,7,12,73,0.57 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,130,2/3/2025,18:00,4268 ,€ 31081 ,C,Allianz Milano,Milano,0,3,7,8,15,16,17,21,22,25,6,8,11,16,14,21,23,25,8,7,16,14,20,21,23,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,14,2,69,15,3,62,7,0.39 ,0.18 ,76,4,6,41,0.54 ,-,5,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,130,2/3/2025,18:00,4268 ,€ 31081 ,O,Valsa Group Modena,Modena,3,0,8,7,16,15,21,17,25,22,8,6,16,11,21,14,25,23,7,8,14,16,21,20,25,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,22,6,74,12,5,54,5,0.57 ,0.28 ,88,7,5,45,0.51 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,131,2/3/2025,18:00,3194 ,€ 13239 ,C,Mint Vero Volley Monza,Monza,3,2,6,8,11,16,20,21,25,27,8,6,16,13,21,18,25,19,6,8,15,16,20,21,26,28,8,7,16,15,21,17,26,24,2,5,0,0,0,0,17,15,75,31,-7,119,22,2,83,7,0.53 ,0.27 ,127,9,9,60,0.47 ,-,13,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,131,2/3/2025,18:00,3194 ,€ 13239 ,O,Cisterna Volley,Cisterna,2,3,8,6,16,11,21,20,27,25,6,8,13,16,18,21,19,25,8,6,16,15,21,20,28,26,7,8,15,16,17,21,24,26,5,2,0,0,0,0,15,17,81,24,-6,113,30,7,97,3,0.42 ,0.18 ,148,11,13,65,0.44 ,-,9,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,132,2/3/2025,18:00,3555 ,€ 36044 ,C,Cucine Lube Civitanova,Lube,3,0,8,5,16,11,21,12,25,16,5,8,9,16,17,21,25,23,8,4,16,14,21,17,25,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,23,9,73,12,6,41,4,0.41 ,0.27 ,67,3,8,33,0.49 ,-,10,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,2nd,11,-,132,2/3/2025,18:00,3555 ,€ 36044 ,O,Yuasa Battery Grottazzolina,Grottazzolina,0,3,5,8,11,16,12,21,16,25,8,5,16,9,21,17,23,25,4,8,14,16,17,21,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,10,-11,60,19,3,61,7,0.41 ,0.18 ,74,5,10,31,0.42 ,-,8,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,501,6/10/2024,19:00,712 ,€ 2829 ,C,Emma Villas Siena,Siena,3,0,8,2,16,6,21,10,25,15,8,7,16,15,21,19,25,21,8,4,16,15,21,18,29,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,23,19,77,12,1,52,4,0.48 ,0.21 ,93,3,3,51,0.55 ,-,5,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,501,6/10/2024,19:00,712 ,€ 2829 ,O,Evolution Green Aversa,Aversa,0,3,2,8,6,16,10,21,15,25,7,8,15,16,19,21,21,25,4,8,15,16,18,21,27,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,15,2,65,13,3,65,3,0.48 ,0.18 ,97,8,5,41,0.42 ,-,3,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,502,6/10/2024,18:00,1042 ,€ 5594 ,C,Consar Ravenna,Ravenna,3,0,8,6,16,12,21,18,25,20,6,8,16,15,21,18,25,22,8,5,16,14,21,17,25,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,22,7,72,14,4,52,4,0.58 ,0.19 ,78,8,3,38,0.49 ,-,8,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,502,6/10/2024,18:00,1042 ,€ 5594 ,O,Smartsystem Essence Hotels Fano,Fano,0,3,6,8,12,16,18,21,20,25,8,6,15,16,18,21,22,25,5,8,14,16,17,21,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,13,-9,65,13,4,58,5,0.52 ,0.16 ,82,12,8,32,0.39 ,-,3,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,503,6/10/2024,17:30,773 ,€ 4154 ,C,Tinet Prata di Pordenone,Prata,3,0,8,4,16,8,21,13,25,14,8,7,16,13,21,17,25,21,8,7,16,12,21,14,25,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,25,14,73,11,3,38,2,0.50 ,0.29 ,72,4,8,39,0.54 ,-,13,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,503,6/10/2024,17:30,773 ,€ 4154 ,O,Conad Reggio Emilia,Reggio Emilia,0,3,4,8,8,16,13,21,14,25,7,8,13,16,17,21,21,25,7,8,12,16,14,21,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,6,-14,56,18,2,62,3,0.53 ,0.31 ,78,1,13,28,0.36 ,-,8,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,504,6/10/2024,17:30,990 ,€ 1217 ,C,Gruppo Consoli Sferc Brescia,Brescia Atlantide,2,3,4,8,8,16,10,21,12,25,7,8,14,16,20,21,25,23,8,6,14,16,20,21,23,25,4,8,13,16,19,21,28,26,2,5,0,0,0,0,8,15,66,21,-8,96,16,2,91,10,0.45 ,0.25 ,127,10,9,55,0.43 ,-,9,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,504,6/10/2024,17:30,990 ,€ 1217 ,O,MA Acqua S.Bernardo Cuneo,Cuneo,3,2,8,4,16,8,21,10,25,12,8,7,16,14,21,20,23,25,6,8,16,14,21,20,25,23,8,4,16,13,21,19,26,28,5,2,0,0,0,0,15,8,85,34,26,112,21,8,80,3,0.56 ,0.24 ,139,7,9,68,0.49 ,-,9,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,505,6/10/2024,17:00,838 ,€ 5265 ,C,Campi Reali Cantù,Cantù,1,3,6,8,14,16,19,21,20,25,8,5,16,14,21,19,23,25,8,7,16,12,21,17,25,21,8,6,16,14,21,20,23,25,-,-,-,-,-,-,-,-,69,24,1,92,18,8,79,5,0.44 ,0.22 ,118,11,8,53,0.45 ,-,8,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,505,6/10/2024,17:00,838 ,€ 5265 ,O,Delta Group Porto Viro,Porto Viro,3,1,8,6,16,14,21,19,25,20,5,8,14,16,19,21,25,23,7,8,12,16,17,21,21,25,6,8,14,16,20,21,25,23,-,-,-,-,-,-,-,-,66,24,10,95,16,5,74,9,0.39 ,0.11 ,105,5,8,53,0.50 ,-,8,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,506,6/10/2024,18:00,525 ,€ 1128 ,C,Banca Macerata Fisiomed MC,Macerata,1,3,5,8,12,16,14,21,18,25,8,4,12,16,13,21,19,25,8,7,16,14,21,20,35,33,5,8,11,16,19,21,20,25,-,-,-,-,-,-,-,-,69,20,.,93,19,6,91,6,0.46 ,0.22 ,136,15,10,50,0.37 ,-,13,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,506,6/10/2024,18:00,525 ,€ 1128 ,O,Abba Pineto,Pineto,3,1,8,5,16,12,21,14,25,18,4,8,16,12,21,13,25,19,7,8,14,16,20,21,33,35,8,5,16,11,21,19,25,20,-,-,-,-,-,-,-,-,73,27,17,107,16,5,74,6,0.28 ,0.07 ,124,5,13,58,0.47 ,-,10,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,507,6/10/2024,18:00,433 ,€ 1815 ,C,OmiFer Palmi,Palmi,1,3,8,6,16,15,21,20,25,23,4,8,11,16,14,21,20,25,8,7,16,14,20,21,22,25,6,8,14,16,18,21,22,25,-,-,-,-,-,-,-,-,59,26,-13,90,13,4,74,8,0.39 ,0.18 ,119,10,15,47,0.39 ,-,8,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,1,-,507,6/10/2024,18:00,433 ,€ 1815 ,O,Cosedil Acicastello,Acicastello,3,1,6,8,15,16,20,21,23,25,8,4,16,11,21,14,25,20,7,8,14,16,21,20,25,22,8,6,16,14,21,18,25,22,-,-,-,-,-,-,-,-,73,28,14,97,23,5,77,4,0.40 ,0.09 ,119,6,8,53,0.45 ,-,15,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,508,12/10/2024,18:00,712 ,€ 1667 ,C,Cosedil Acicastello,Acicastello,3,2,8,5,12,16,17,21,22,25,6,8,13,16,16,21,18,25,6,8,16,14,21,18,25,19,8,4,16,9,21,15,25,17,5,4,0,0,0,0,15,9,74,28,18,104,15,5,82,5,0.54 ,0.22 ,128,7,9,60,0.47 ,-,9,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,508,12/10/2024,18:00,712 ,€ 1667 ,O,Gruppo Consoli Sferc Brescia,Brescia Atlantide,2,3,5,8,16,12,21,17,25,22,8,6,16,13,21,16,25,18,8,6,14,16,18,21,19,25,4,8,9,16,15,21,17,25,4,5,0,0,0,0,9,15,69,24,4,96,14,4,89,7,0.45 ,0.24 ,126,10,9,56,0.44 ,-,9,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,509,12/10/2024,19:00,1114 ,€ 2300 ,C,MA Acqua S.Bernardo Cuneo,Cuneo,3,1,8,7,16,15,21,19,25,23,7,8,16,15,21,19,25,22,5,8,11,16,14,21,15,25,8,6,16,10,21,19,33,31,-,-,-,-,-,-,-,-,70,20,10,97,20,1,82,4,0.62 ,0.34 ,124,10,8,62,0.50 ,-,7,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,509,12/10/2024,19:00,1114 ,€ 2300 ,O,Campi Reali Cantù,Cantù,1,3,7,8,15,16,19,21,23,25,8,7,15,16,19,21,22,25,8,5,16,11,21,14,25,15,6,8,10,16,19,21,31,33,-,-,-,-,-,-,-,-,69,22,15,101,19,3,77,1,0.53 ,0.26 ,113,8,7,58,0.51 ,-,8,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,510,13/10/2024,18:00,683 ,€ 2766 ,C,Delta Group Porto Viro,Porto Viro,3,0,8,7,14,16,20,21,34,32,7,8,14,16,21,19,25,20,8,7,16,14,21,17,25,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,22,7,82,16,10,59,6,0.46 ,0.12 ,74,5,4,38,0.51 ,-,8,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,510,13/10/2024,18:00,683 ,€ 2766 ,O,Tinet Prata di Pordenone,Prata,0,3,7,8,16,14,21,20,32,34,8,7,16,14,19,21,20,25,7,8,14,16,17,21,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,17,-9,73,14,5,66,11,0.42 ,0.20 ,80,9,8,38,0.48 ,-,4,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,511,13/10/2024,18:00,473 ,€ 1833 ,C,Evolution Green Aversa,Aversa,3,0,6,8,16,14,21,15,25,20,8,5,16,8,21,14,25,17,8,5,16,10,21,14,25,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,25,16,74,9,9,45,3,0.58 ,0.33 ,68,5,3,39,0.57 ,-,6,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,511,13/10/2024,18:00,473 ,€ 1833 ,O,OmiFer Palmi,Palmi,0,3,8,6,14,16,15,21,20,25,5,8,8,16,14,21,17,25,5,8,10,16,14,21,18,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,11,-11,56,11,3,65,9,0.45 ,0.17 ,77,10,6,34,0.44 ,-,3,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,512,13/10/2024,19:00,721 ,€ 2272 ,C,Conad Reggio Emilia,Reggio Emilia,0,3,5,8,7,16,11,21,12,25,8,6,15,16,16,21,19,25,7,8,16,15,20,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,11,-18,54,8,5,56,10,0.46 ,0.13 ,57,10,7,19,0.33 ,-,4,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,512,13/10/2024,19:00,721 ,€ 2272 ,O,Consar Ravenna,Ravenna,3,0,8,5,16,7,21,11,25,12,6,8,16,15,21,16,25,19,8,7,15,16,21,20,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,24,14,73,17,10,46,5,0.59 ,0.20 ,67,7,4,36,0.54 ,-,7,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,513,13/10/2024,18:00,1151 ,€ 3087 ,C,Abba Pineto,Pineto,2,3,8,4,16,10,21,16,25,23,8,5,16,13,21,20,31,29,3,8,11,16,16,21,19,25,4,8,13,16,16,21,20,25,4,5,0,0,0,0,12,15,72,20,-5,107,20,1,96,2,0.60 ,0.25 ,139,13,11,61,0.44 ,-,10,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,513,13/10/2024,18:00,1151 ,€ 3087 ,O,Emma Villas Siena,Siena,3,2,4,8,10,16,16,21,23,25,5,8,13,16,20,21,29,31,8,3,16,11,21,16,25,19,8,4,16,13,21,16,25,20,5,4,0,0,0,0,15,12,81,28,11,117,21,2,87,2,0.48 ,0.26 ,137,11,10,68,0.50 ,-,11,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,514,13/10/2024,18:00,711 ,€ 5107 ,C,Smartsystem Essence Hotels Fano,Fano,3,1,8,4,11,16,15,21,19,25,8,4,16,14,21,20,27,25,7,8,14,16,21,19,25,22,8,6,16,10,21,14,25,17,-,-,-,-,-,-,-,-,69,26,7,95,26,9,77,3,0.56 ,0.34 ,98,11,11,50,0.51 ,-,10,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,2,-,514,13/10/2024,18:00,711 ,€ 5107 ,O,Banca Macerata Fisiomed MC,Macerata,1,3,4,8,16,11,21,15,25,19,4,8,14,16,20,21,25,27,8,7,16,14,19,21,22,25,6,8,10,16,14,21,17,25,-,-,-,-,-,-,-,-,48,17,-13,90,13,3,69,9,0.41 ,0.28 ,84,12,10,34,0.40 ,-,11,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,3,-,515,20/10/2024,18:00,1375 ,€ 3419 ,C,MA Acqua S.Bernardo Cuneo,Cuneo,3,1,8,6,16,14,21,18,25,19,3,8,12,16,19,21,23,25,8,6,16,8,21,8,25,10,4,8,16,15,21,15,25,17,-,-,-,-,-,-,-,-,66,31,19,97,12,10,58,2,0.57 ,0.24 ,87,10,5,46,0.53 ,-,10,,,,,,,,,,,
2024/2025,A2,Regular_Season,1st,3,-,515,20/10/2024,18:00,1375 ,€ 3419 ,O,Delta Group Porto Viro,Porto Viro,1,3,6,8,14,16,18,21,19,25,8,3,16,12,21,19,25,23,6,8,8,16,8,21,10,25,8,4,15,16,15,21,17,25,-,-,-,-,-,-,-,-,48,13,-15,72,14,2,85,10,0.47 ,0.20 ,102,15,10,41,0.40 ,-,5,,,,,,,,,,,
