Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,4,Martina Martinelli,Opposto,ITA,181 cm,1994
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,6,Chiara Salvatori,Centrale,ITA,185 cm,2003
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,7,Giorgia Compagnin,Palleggiatrice,ITA,180 cm,2005
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,8,Federica Favaretto,Opposto,ITA,185 cm,2002
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,9,Benedetta Campagnolo,Centrale,ITA,187 cm,2003
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,12,Agata Tellone,Libero,ITA,165 cm,2002
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,14,Isidora Rodic,Schiacciatrice,SRB,185 cm,2001
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,15,Giorgia Tommasini,Libero,ITA,158 cm,2006
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,17,Anna Caneva,Centrale,ITA,187 cm,1992
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,18,Rachele Nardelli,Schiacciatrice,ITA,186 cm,2001
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,25,Francesca Pinetti,Schiacciatrice,ITA,180 cm,2000
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,26,Elisa Bole,Schiacciatrice,ITA,183 cm,2003
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,1,Veronica Taborelli,Opposto,ITA,183 cm,1994
A1,2024/25,Bartoccini-Mc Restauri Perugia,-,2,Nicole Modesti,Centrale,ITA,188 cm,2004
A1,2024/25,Bergamo,-,5,Dalila Marchesini,Centrale,ITA,185 cm,2006
A1,2024/25,Bergamo,-,7,Ilaria Maiezza,Libero,ITA,175 cm,2006
A1,2024/25,Bergamo,-,8,Vera Bondarenko,Schiacciatrice,POL,187 cm,2002
A1,2024/25,Bergamo,-,10,Francesca Parlangeli,Libero,ITA,165 cm,1990
A1,2024/25,Bergamo,-,11,Sofia Turlà,Palleggiatrice,ITA,178 cm,1998
A1,2024/25,Bergamo,-,12,Alessia Arciprete,Schiacciatrice,ITA,181 cm,1997
A1,2024/25,Bergamo,-,13,Matilde Munarini,Centrale,ITA,186 cm,2004
A1,2024/25,Bergamo,-,14,Sara Bellia,Schiacciatrice,ITA,188 cm,2004
A1,2024/25,Bergamo,-,18,Vittoria Zuliani,Schiacciatrice,ITA,183 cm,2004
A1,2024/25,Bergamo,-,19,Gaia Zorzetto,Palleggiatrice,ITA,175 cm,2005
A1,2024/25,Bergamo,-,, ,,,,
A1,2024/25,Bergamo,-,, ,,,,
A1,2024/25,Bergamo,-,, ,,,,
A1,2024/25,Bergamo,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Cda Volley Talmassons Fvg,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Eurotek Uyba Busto Arsizio,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
