Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,1,Ortolani Serena,-,-,6.1,3,2,2,2,-,11,5,3,13,1,-,34,2,0.82,0.47,30,3,2,11,0.37,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,2,Bricio Samantha,-,-,7.3,6,5,5,5,-,24,11,20,15,1,2,24,-,0.96,0.63,42,2,1,22,0.52,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,4,Malinov Ofelia,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,5,Tomsia Berenika,-,-,5.5,2,1,1,1,-,7,3,-1,19,1,-,1,-,-,-,25,4,3,6,0.24,-,1
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,6,Cella Elisa,-,-,-,-,-,*,*,-,2,1,1,5,-,-,6,1,0.83,-,2,-,-,2,1,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,7,Folie Raphaela,-,-,6.8,1,6,6,6,-,13,3,9,14,4,-,-,-,-,-,19,-,-,12,0.63,-,1
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,8,Skorupa Katarzyna,-,-,6.6,5,4,4,4,-,2,1,-1,10,-,-,-,-,-,-,4,3,-,1,0.25,-,1
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,9,Fiori Silvia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,10,De Gennaro Monica,L,-,-,*,*,*,*,-,-,-,-,-,-,-,14,-,0.86,0.43,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,11,Danesi Anna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,12,Costagrande Carolina,-,-,-,-,-,-,*,-,-,-,-,2,-,-,1,-,1,-,1,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,15,De Kruijf Robin,-,-,6.5,4,3,3,3,-,20,7,12,18,5,1,-,-,-,-,29,2,1,14,0.48,-,5
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,18,Barazza Jenny,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,1,Mori Eva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,2,Santana Pinto Suelen Fernanda,L,-,-,*,*,*,*,-,-,-,-,-,-,-,23,-,0.96,0.61,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,4,Partenio Laura,-,-,6.8,1,1,4,1,-,11,3,7,14,2,-,29,1,0.93,0.41,21,-,1,11,0.52,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,5,Popovic Mina,-,-,6.5,2,2,5,2,-,9,4,8,18,1,2,-,-,-,-,12,-,-,5,0.42,-,2
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,6,Gennari Alessia,-,-,6.1,-,*,1,-,-,3,-,1,7,2,-,13,-,0.77,0.23,7,-,-,2,0.29,-,1
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,7,Cardullo Paola,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,8,Guiggi Martina,-,-,6.5,5,5,2,5,-,7,1,6,10,1,-,-,-,-,-,12,-,-,6,0.5,-,1
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,9,Venturini Anna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,10,Paggi Paola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,14,Lo Bianco Eleonora,-,-,6.2,6,6,3,6,-,1,1,1,17,-,1,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,17,Sylla Miriam,-,-,5.6,4,4,*,4,-,12,2,3,7,1,-,19,2,0.68,0.32,33,3,3,11,0.33,-,1
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,18,Skowronska Katarzyna,-,-,6,3,3,6,3,-,18,6,6,15,1,-,-,-,-,-,53,7,4,16,0.3,-,2
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,1,Ortolani Serena,-,-,5.8,4,4,1,1,4,13,6,2,17,2,-,27,2,0.67,0.26,29,1,2,11,0.38,-,2
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,2,Bricio Samantha,-,-,-,-,*,*,*,*,4,3,1,8,2,2,8,-,0.5,-,3,-,-,2,0.67,-,-
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,4,Malinov Ofelia,-,-,-,*,-,*,*,*,-,-,-2,3,2,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,5,Tomsia Berenika,-,-,6,6,6,3,3,6,20,8,11,16,1,-,-,-,-,-,38,2,5,19,0.5,-,1
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,6,Cella Elisa,-,-,-,*,-,*,*,*,2,2,1,6,-,1,2,1,0.5,0.5,1,-,-,1,1,-,-
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,7,Folie Raphaela,-,-,6.3,-,*,2,2,5,8,3,-1,11,2,-,2,-,0.5,-,10,1,1,5,0.5,-,3
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,8,Skorupa Katarzyna,-,-,5.2,3,3,6,6,3,5,2,2,8,-,-,-,-,-,-,6,-,-,4,0.67,-,1
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,9,Fiori Silvia ,-,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,10,De Gennaro Monica ,-,L,-,*,*,*,*,*,-,-,-4,-,-,-,20,4,0.7,0.45,-,-,-,-,-,-,-
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,11,Danesi Anna,-,-,-,5,5,-,-,-,3,-,-,7,1,-,1,-,1,-,6,1,-,3,0.5,-,-
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,12,Costagrande Carolina,-,-,5.5,1,1,4,4,1,8,4,-3,14,2,-,25,4,0.48,0.12,22,1,3,6,0.27,-,2
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,15,De Kruijf Robin,-,-,6.1,2,2,5,5,2,12,3,3,17,4,1,5,1,0.2,-,24,-,1,9,0.38,-,2
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,18,Barazza Jenny,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,O,Savino Del Bene Scandicci,Scandicci,1,Moreno Pino Kenny,-,-,-,*,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,1,1,-,-
