Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2016/2017,A1,Supercoppa,Semifinal,1,1,0,24/9/2016,16:00,2191,41617,C,Azimut Modena,Modena,3,1,8,16,21,25,6,14,17,19,5,13,21,25,8,16,19,23,6,13,17,21,8,16,21,25,7,14,18,25,8,16,21,23,-,-,-,-,-,-,-,-,59,31,12,95,20,4,62,8,0.53,0.27,101,9,10,46,0.46,-,9
2016/2017,A1,Supercoppa,Semifinal,1,1,0,24/9/2016,16:00,2191,41617,O,Diatec Trentino,Trento,1,3,6,14,17,19,8,16,21,25,8,16,19,23,5,13,21,25,8,16,21,25,6,13,17,21,8,16,21,23,7,14,18,25,-,-,-,-,-,-,-,-,57,24,2,90,28,4,75,12,0.48,0.28,87,6,9,43,0.49,-,10
2016/2017,A1,Supercoppa,Semifinal,1,2,0,24/9/2016,18:30,2191,41617,C,Cucine Lube Civitanova,Lube,1,3,7,11,18,22,8,16,21,25,7,16,21,25,8,15,18,21,6,16,20,29,8,15,21,31,3,8,14,19,8,16,21,25,-,-,-,-,-,-,-,-,64,22,9,96,23,6,86,14,0.55,0.24,109,9,7,53,0.49,-,5
2016/2017,A1,Supercoppa,Semifinal,1,2,0,24/9/2016,18:30,2191,41617,O,Sir Safety Conad Perugia,Perugia,3,1,8,16,21,25,7,11,18,22,8,15,18,21,7,16,21,25,8,15,21,31,6,16,20,29,8,16,21,25,3,8,14,19,-,-,-,-,-,-,-,-,67,26,19,101,15,8,73,14,0.49,0.19,90,11,5,52,0.58,-,7
2016/2017,A1,Supercoppa,Final_3rd_-_4th_Place,2,1,0,25/9/2016,14:30,2441,45653,C,Cucine Lube Civitanova,Lube,3,2,8,16,21,23,6,14,18,25,8,16,21,25,5,12,19,20,8,12,18,21,7,16,21,25,8,16,20,26,1,15,21,24,5,10,12,20,3,8,9,18,73,28,23,115,21,4,83,12,0.51,0.25,117,6,11,58,0.5,-,11
2016/2017,A1,Supercoppa,Final_3rd_-_4th_Place,2,1,0,25/9/2016,14:30,2441,45653,O,Diatec Trentino,Trento,2,3,6,14,18,25,8,16,21,23,5,12,19,20,8,16,21,25,7,16,21,25,8,12,18,21,1,15,21,24,8,16,20,26,3,8,9,18,5,10,12,20,82,26,27,113,30,8,94,6,0.57,0.32,130,9,10,63,0.48,-,11
2016/2017,A1,Supercoppa,Final,2,1,0,25/9/2016,17:30,2441,45653,C,Azimut Modena,Modena,3,2,7,14,19,25,8,16,21,22,4,10,13,19,8,16,21,25,8,16,21,25,5,12,19,22,4,11,14,24,8,16,21,26,3,8,12,17,5,10,10,15,77,33,20,110,25,7,92,12,0.49,0.27,121,4,15,55,0.45,-,15
2016/2017,A1,Supercoppa,Final,2,1,0,25/9/2016,17:30,2441,45653,O,Sir Safety Conad Perugia,Perugia,2,3,8,16,21,22,7,14,19,25,8,16,21,25,4,10,13,19,5,12,19,22,8,16,21,25,8,16,21,26,4,11,14,24,5,10,10,15,3,8,12,17,77,36,13,110,18,4,85,16,0.48,0.27,120,12,15,58,0.48,-,15
2016/2017,A1,Regular_Season,1st,1,-,1,2/10/2016,18:00,3301,31688,C,Azimut Modena,Modena,3,0,8,16,21,25,3,11,16,22,8,16,21,25,6,9,17,23,8,16,21,25,4,9,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,31,12,74,16,11,57,7,0.61,0.42,91,5,6,46,0.51,-,5
2016/2017,A1,Regular_Season,1st,1,-,1,2/10/2016,18:00,3301,31688,O,Biosì Indexa Sora,Sora,0,3,3,11,16,22,8,16,21,25,6,9,17,23,8,16,21,25,4,9,12,14,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,20,-13,60,3,3,58,19,0.33,0.19,70,6,5,27,0.39,-,6
2016/2017,A1,Regular_Season,1st,1,-,2,2/10/2016,18:00,2772,18938,C,Diatec Trentino,Trento,3,0,6,16,20,26,8,11,21,24,8,16,21,25,7,12,17,21,8,16,21,25,3,9,18,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,26,14,74,15,3,55,4,0.49,0.29,82,9,7,45,0.55,-,8
2016/2017,A1,Regular_Season,1st,1,-,2,2/10/2016,18:00,2772,18938,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,0,3,8,11,21,24,6,16,20,26,7,12,17,21,8,16,21,25,3,9,18,22,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,15,-,69,14,4,59,5,0.42,0.2,71,3,8,30,0.42,-,7
2016/2017,A1,Regular_Season,1st,1,-,3,2/10/2016,18:00,2006,5235,C,Exprivia Molfetta,Molfetta,1,3,7,15,19,22,8,16,21,25,8,16,20,24,7,15,21,26,8,16,21,25,4,7,9,12,4,16,19,30,8,15,21,32,-,-,-,-,-,-,-,-,67,31,1,101,22,7,72,12,0.6,0.38,100,8,7,47,0.47,-,13
2016/2017,A1,Regular_Season,1st,1,-,3,2/10/2016,18:00,2006,5235,O,Revivre Milano,Milano Power,3,1,8,16,21,25,7,15,19,22,7,15,21,26,8,16,20,24,4,7,9,12,8,16,21,25,8,15,21,32,4,16,19,30,-,-,-,-,-,-,-,-,61,24,-13,93,21,6,79,11,0.47,0.32,112,9,13,48,0.43,-,7
2016/2017,A1,Regular_Season,1st,1,-,4,2/10/2016,18:00,1213,5263,C,Top Volley Latina,Latina,0,3,6,11,15,19,8,16,21,25,4,11,17,20,8,16,21,25,8,15,20,22,7,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,13,-3,62,9,4,64,8,0.66,0.3,80,4,13,32,0.4,-,6
2016/2017,A1,Regular_Season,1st,1,-,4,2/10/2016,18:00,1213,5263,O,Calzedonia Verona,Verona,3,0,8,16,21,25,6,11,15,19,8,16,21,25,4,11,17,20,7,16,21,25,8,15,20,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,25,29,74,10,4,53,6,0.77,0.45,75,4,6,42,0.56,-,13
2016/2017,A1,Regular_Season,1st,1,-,5,2/10/2016,18:00,2354,8608,C,Kioene Padova,Padova,3,0,4,16,21,25,8,14,16,20,8,16,21,31,6,11,17,29,8,16,21,25,7,15,18,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,21,5,79,17,5,51,6,0.55,0.31,69,4,4,40,0.58,-,7
2016/2017,A1,Regular_Season,1st,1,-,5,2/10/2016,18:00,2354,8608,O,Bunge Ravenna,Ravenna Robur,0,3,8,14,16,20,4,16,21,25,6,11,17,29,8,16,21,31,7,15,18,22,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,14,-12,72,20,3,61,9,0.36,0.16,76,6,7,40,0.53,-,4
