Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2016/2017,A1,Azimut Modena,1,COOK Brian,Spiker,1992,198,USA,USA,until 07/02/2017,-
2016/2017,A1,Azimut Modena,4,PETRIC Nemanja,Spiker,1987,205,SRB,SRB,-,-
2016/2017,A1,Azimut Modena,5,ORDUNA Santiago,Setter,1983,183,ARG,ITA,-,-
2016/2017,A1,Azimut Modena,6,MASSARI Jacopo,Spiker,1988,185,PR,ITA,-,-
2016/2017,A1,Azimut Modena,7,ROSSINI Salvatore,Libero,1986,184,LT,ITA,-,-
2016/2017,A1,Azimut Modena,8,NGAPETH Swan,Spiker,1992,185,FRA,FRA,-,-
2016/2017,A1,Azimut Modena,9,NGAPETH Earvin,Spiker,1991,192,FRA,FRA,-,-
2016/2017,A1,Azimut Modena,10,LE ROUX Kevin,Middleblocker,1989,209,FRA,FRA,-,-
2016/2017,A1,Azimut Modena,11,PIANO Matteo,Middleblocker,1990,207,AT,ITA,-,-
2016/2017,A1,Azimut Modena,12,HOLT Maxwell Philip,Middleblocker,1987,205,USA,USA,-,-
2016/2017,A1,Azimut Modena,13,TRAVICA Dragan,Setter,1986,200,CRO,ITA,from 24/02/2017,-
2016/2017,A1,Azimut Modena,14,ONWUELO Samuel,Spiker,1997,198,NGR,ITA,-,-
2016/2017,A1,Azimut Modena,16,SALSI Nicola,Setter,1997,185,RE,ITA,-,-
2016/2017,A1,Azimut Modena,17,VETTORI Luca,Spiker,1991,199,PR,ITA,-,-
2016/2017,A1,Biosì Indexa Sora,1,MARRAZZO Federico,Setter,1994,190,RM,ITA,-,-
2016/2017,A1,Biosì Indexa Sora,2,CORSETTI Marco,Libero,1994,192,FR,ITA,-,-
2016/2017,A1,Biosì Indexa Sora,3,GOTSEV Svetoslav,Middleblocker,1990,202,BUL,BUL,-,-
2016/2017,A1,Biosì Indexa Sora,5,TIOZZO Nicola,Spiker,1993,196,VE,ITA,-,-
2016/2017,A1,Biosì Indexa Sora,6,LUCARELLI Marco,Spiker,1996,190,FR,ITA,-,-
2016/2017,A1,Biosì Indexa Sora,7,SANTUCCI Marco,Libero,1983,189,CB,ITA,-,-
2016/2017,A1,Biosì Indexa Sora,8,KALININ Denis,Spiker,1984,200,RUS,RUS,-,-
2016/2017,A1,Biosì Indexa Sora,9,ROSSO Mattia,Spiker,1985,198,CN,ITA,-,-
2016/2017,A1,Biosì Indexa Sora,10,MATTEI Andrea,Middleblocker,1993,202,RM,ITA,-,-
2016/2017,A1,Biosì Indexa Sora,12,SEGANOV Georgi,Setter,1993,198,BUL,BUL,-,-
2016/2017,A1,Biosì Indexa Sora,14,MAUTI Pierpaolo,Spiker,1995,190,FR,ITA,-,-
2016/2017,A1,Biosì Indexa Sora,15,SPERANDIO Matteo,Middleblocker,1992,199,TV,ITA,-,-
2016/2017,A1,Biosì Indexa Sora,17,MISKEVICH Radzivon,Spiker,1995,196,BLR,BLR,-,-
2016/2017,A1,Biosì Indexa Sora,18,DE MARCHI Francesco,Spiker,1986,193,PD,ITA,from 19/10/2016,-
2016/2017,A1,Bunge Ravenna,1,CALARCO Simone,Spiker,1995,203,RA,ITA,-,-
2016/2017,A1,Bunge Ravenna,2,RICCI Fabio,Middleblocker,1994,205,RA,ITA,-,-
2016/2017,A1,Bunge Ravenna,4,KAMINSKI Conrad,Middleblocker,1994,203,USA,USA,-,-
2016/2017,A1,Bunge Ravenna,5,LEONI Giacomo,Setter,1995,192,GE,ITA,-,-
2016/2017,A1,Bunge Ravenna,6,RAFFAELLI Giacomo,Spiker,1995,194,GR,ITA,-,-
2016/2017,A1,Bunge Ravenna,7,VAN GARDEREN Maarten,Spiker,1990,200,NED,NED,-,-
2016/2017,A1,Bunge Ravenna,8,LYNEEL Julien,Spiker,1990,192,FRA,FRA,-,-
2016/2017,A1,Bunge Ravenna,9,GROZDANOV Branimir,Spiker,1994,198,BUL,BUL,-,-
2016/2017,A1,Bunge Ravenna,10,GOI Riccardo,Libero,1992,174,MN,ITA,-,-
2016/2017,A1,Bunge Ravenna,11,TORRES Maurice Armando,Spiker,1991,201,USA,PUR,-,-
2016/2017,A1,Bunge Ravenna,12,BOSSI Elia,Middleblocker,1994,202,TS,ITA,-,-
2016/2017,A1,Bunge Ravenna,13,SPIRITO Luca,Setter,1993,199,SV,ITA,-,-
2016/2017,A1,Bunge Ravenna,14,MARCHINI Stefano,Libero,1997,180,RA,ITA,-,-
2016/2017,A1,Calzedonia Verona,1,ZINGEL Aidan,Middleblocker,1990,207,AUS,AUS,-,-
2016/2017,A1,Calzedonia Verona,2,KOVACEVIC Uros,Spiker,1993,198,SRB,SRB,-,-
2016/2017,A1,Calzedonia Verona,3,PAOLUCCI Adriano,Setter,1979,190,RM,ITA,-,-
2016/2017,A1,Calzedonia Verona,5,LECAT Francois,Spiker,1993,200,BEL,BEL,-,-
2016/2017,A1,Calzedonia Verona,6,FERREIRA Alexandre,Spiker,1991,203,POR,POR,-,-
2016/2017,A1,Calzedonia Verona,7,GIOVI Andrea,Libero,1983,185,PG,ITA,-,-
2016/2017,A1,Calzedonia Verona,8,BARANOWICZ Michele,Setter,1989,195,CN,ITA,-,-
2016/2017,A1,Calzedonia Verona,9,HOLT Sam,Spiker,1993,200,USA,USA,until 28/11/2016,transferred to Sieco Service Ortona
2016/2017,A1,Calzedonia Verona,10,FRIGO Thomas,Libero,1997,184,VR,ITA,-,-
2016/2017,A1,Calzedonia Verona,11,MENGOZZI Stefano,Middleblocker,1985,205,RA,ITA,-,-
2016/2017,A1,Calzedonia Verona,12,DJURIC Mitar,Spiker,1989,211,BIH,GRE,-,-
2016/2017,A1,Calzedonia Verona,14,STERN Toncek,Spiker,1995,195,SLO,SLO,-,-
2016/2017,A1,Calzedonia Verona,17,ANZANI Simone,Middleblocker,1992,203,CO,ITA,-,-
2016/2017,A1,Calzedonia Verona,18,RANDAZZO Luigi,Spiker,1994,198,CT,ITA,from 29/11/2016,coming from Cucine Lube Civitanova
2016/2017,A1,Cucine Lube Civitanova,1,SOKOLOV Tsvetan,Spiker,1989,205,BUL,BUL,-,-
2016/2017,A1,Cucine Lube Civitanova,2,CANDELLARO Davide,Middleblocker,1989,200,PD,ITA,-,-
2016/2017,A1,Cucine Lube Civitanova,3,PESARESI Nicola,Libero,1991,190,AN,ITA,-,-
2016/2017,A1,Cucine Lube Civitanova,4,KALIBERDA Denys Viktorovic,Spiker,1990,195,UKR,GER,-,-
2016/2017,A1,Cucine Lube Civitanova,5,JUANTORENA Osmany,Spiker,1985,200,CUB,ITA,-,-
2016/2017,A1,Cucine Lube Civitanova,6,CASADEI Alberto,Spiker,1984,200,FC,ITA,-,-
2016/2017,A1,Cucine Lube Civitanova,7,STANKOVIC Dragan,Middleblocker,1985,205,SRB,SRB,-,-
2016/2017,A1,Cucine Lube Civitanova,9,KOVAR Jiri,Spiker,1989,202,CZE,ITA,-,-
2016/2017,A1,Cucine Lube Civitanova,10,JAUMEL Yoann,Setter,1987,181,FRA,FRA,from 14/09/2016 to 04/10/2016,-
2016/2017,A1,Cucine Lube Civitanova,11,CHRISTENSON Micah,Setter,1993,198,USA,USA,-,-
2016/2017,A1,Cucine Lube Civitanova,12,CESTER Enrico,Middleblocker,1988,204,TV,ITA,-,-
2016/2017,A1,Cucine Lube Civitanova,13,GREBENNIKOV Jenia,Libero,1990,188,FRA,FRA,-,-
2016/2017,A1,Cucine Lube Civitanova,14,RANDAZZO Luigi,Spiker,1994,198,CT,ITA,until 28/11/2016,transferred to Ctozedonia Verona
2016/2017,A1,Cucine Lube Civitanova,15,CORVETTA Antonio,Setter,1977,188,AN,ITA,-,-
2016/2017,A1,Cucine Lube Civitanova,18,CEBULJ Klemen,Spiker,1992,202,SLO,SLO,-,-
2016/2017,A1,Diatec Trentino,2,NELLI Gabriele,Spiker,1993,208,LU,ITA,-,-
2016/2017,A1,Diatec Trentino,3,BURGSTHALER Matteo,Middleblocker,1981,198,TN,ITA,-,-
2016/2017,A1,Diatec Trentino,4,ANTONOV Oleg,Spiker,1988,198,RUS,ITA,-,-
2016/2017,A1,Diatec Trentino,5,MAZZONE Tiziano,Spiker,1995,199,RM,ITA,-,-
2016/2017,A1,Diatec Trentino,6,BLASI Alessandro,Setter,1992,190,TS,ITA,-,-
2016/2017,A1,Diatec Trentino,8,CHIAPPA Matteo,Libero,1993,190,MI,ITA,-,-
2016/2017,A1,Diatec Trentino,9,GIANNELLI Simone,Setter,1996,199,BZ,ITA,-,-
2016/2017,A1,Diatec Trentino,10,LANZA Filippo,Spiker,1991,194,VR,ITA,-,-
2016/2017,A1,Diatec Trentino,11,SOLÉ Sebastian,Middleblocker,1991,202,ARG,ARG,-,-
2016/2017,A1,Diatec Trentino,12,VAN DE VOORDE Simon,Middleblocker,1989,208,BEL,BEL,-,-
2016/2017,A1,Diatec Trentino,13,COLACI Massimo,Libero,1985,180,LE,ITA,-,-
2016/2017,A1,Diatec Trentino,14,STOKR Jan,Spiker,1983,205,CZE,CZE,-,-
2016/2017,A1,Diatec Trentino,17,URNAUT Tine,Spiker,1988,201,SLO,SLO,-,-
2016/2017,A1,Diatec Trentino,18,MAZZONE Daniele,Middleblocker,1992,207,TO,ITA,-,-
2016/2017,A1,Exprivia Molfetta,1,POLO Alberto,Middleblocker,1995,204,VI,ITA,-,-
2016/2017,A1,Exprivia Molfetta,3,VITELLI Marco,Middleblocker,1996,201,CH,ITA,-,-
2016/2017,A1,Exprivia Molfetta,4,JIMENEZ Ernesto,Spiker,1989,198,CUB,CUB,from 14/10/2016,-
