Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,3,1,7,16,20,22,8,14,21,25,8,16,21,25,5,8,14,18,8,16,21,25,6,11,15,22,5,16,21,25,8,14,19,22,-,-,-,-,-,-,-,-,79,31,43,96,12,3,80,3,0.86,0.46,152,14,7,68,0.45,-,8
2016/2017,A1,Supercoppa,Final,-,-,0,8/12/2016,17:00,-,-,O,Foppapedretti Bergamo,Volley Bergamo,1,3,8,14,21,25,7,16,20,22,5,8,14,18,8,16,21,25,6,11,15,22,8,16,21,25,8,14,19,22,5,16,21,25,-,-,-,-,-,-,-,-,61,17,32,88,8,3,84,3,0.86,0.42,138,10,8,51,0.37,-,7
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,C,Imoco Volley Conegliano,Imoco Volley Conegliano,2,3,8,16,21,25,5,11,18,20,8,15,19,21,7,16,21,25,8,16,21,25,4,10,16,18,6,14,17,23,8,16,21,25,2,9,12,13,5,10,11,15,75,31,10,107,16,4,90,12,0.58,0.22,139,6,12,60,0.43,-,11
2016/2017,A1,Regular_Season,1st,1,-,3001,15/10/2016,20:30,4431,-,O,Savino Del Bene Scandicci,Scandicci,3,2,5,11,18,20,8,16,21,25,7,16,21,25,8,15,19,21,4,10,16,18,8,16,21,25,8,16,21,25,6,14,17,23,5,10,11,15,2,9,12,13,76,32,12,103,13,4,91,10,0.52,0.26,145,15,11,60,0.41,-,12
2016/2017,A1,Regular_Season,1st,1,-,3002,12/10/2016,20:30,1783,-,C,Club Italia Crai,Clubita,2,3,6,16,21,25,8,15,16,22,5,11,17,20,8,16,21,25,8,16,21,25,6,11,12,13,4,6,9,11,8,16,21,25,3,5,9,11,5,10,12,15,71,32,26,93,6,9,90,11,0.62,0.37,155,16,10,56,0.36,-,6
2016/2017,A1,Regular_Season,1st,1,-,3002,12/10/2016,20:30,1783,-,O,Pomì Casalmaggiore,Casalmaggiore,3,2,8,15,16,22,6,16,21,25,8,16,21,25,5,11,17,20,6,11,12,13,8,16,21,25,8,16,21,25,4,6,9,11,5,10,12,15,3,5,9,11,75,34,37,99,9,8,86,12,0.55,0.38,143,8,6,57,0.4,-,10
2016/2017,A1,Regular_Season,1st,1,-,3003,16/10/2016,17:00,2737,-,C,Unet Yamamay Busto Arsizio,Busto Arsizio Uyba,0,3,8,15,16,21,6,16,21,25,8,16,21,23,4,14,16,25,6,10,14,15,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,16,15,61,9,-,70,11,0.51,0.3,109,6,5,37,0.34,-,11
2016/2017,A1,Regular_Season,1st,1,-,3003,16/10/2016,17:00,2737,-,O,Liu Jo Nordmeccanica Modena,River Volley Piacenza,3,0,6,16,21,25,8,15,16,21,4,14,16,25,8,16,21,23,8,16,21,25,6,10,14,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,27,35,73,3,8,52,-,0.79,0.42,117,8,11,44,0.38,-,5
2016/2017,A1,Regular_Season,1st,1,-,3004,16/10/2016,17:00,2518,-,C,Igor Gorgonzola Novara,Agil Volley,3,0,8,16,21,25,3,8,10,15,6,16,21,25,8,13,15,18,6,16,21,25,8,10,16,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,29,26,73,8,5,45,8,0.69,0.44,89,5,5,46,0.52,-,6
2016/2017,A1,Regular_Season,1st,1,-,3004,16/10/2016,17:00,2518,-,O,Sudtirol Bolzano,Bolzano,0,3,3,8,10,15,8,16,21,25,8,13,15,18,6,16,21,25,8,10,16,17,6,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,9,2,52,7,3,65,8,0.68,0.43,95,8,6,28,0.29,-,5
