Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2016/2017,A1,Club Italia Crai,1,ENWEONWU TERRY RUTH,Spiker,2000,187,ITA,-
2016/2017,A1,Club Italia Crai,3,PERINELLI ELENA,Spiker,1995,181,ITA,-
2016/2017,A1,Club Italia Crai,4,MORELLO RACHELE,Setter,2000,182,ITA,-
2016/2017,A1,Club Italia Crai,5,LUBIAN MARINA,Middleblocker,2000,192,ITA,-
2016/2017,A1,Club Italia Crai,7,FERRARA MARTINA,Libero,1999,168,ITA,-
2016/2017,A1,Club Italia Crai,8,ORRO ALESSIA,Setter,1998,180,ITA,-
2016/2017,A1,Club Italia Crai,9,PIANI VITTORIA,Spiker,1998,187,ITA,-
2016/2017,A1,Club Italia Crai,10,DE BORTOLI CHIARA,Libero,1997,176,ITA,-
2016/2017,A1,Club Italia Crai,11,MANCINI GIULIA,Middleblocker,1998,183,ITA,-
2016/2017,A1,Club Italia Crai,12,ARCIPRETE ALESSIA,Spiker,1997,180,ITA,-
2016/2017,A1,Club Italia Crai,13,MELLI GIULIA,Spiker,1998,184,ITA,-
2016/2017,A1,Club Italia Crai,14,BOTEZAT ALEXANDRA,Middleblocker,1998,196,ITA,-
2016/2017,A1,Club Italia Crai,15,CORTELLA SARA,Spiker,2002,185,ITA,-
2016/2017,A1,Club Italia Crai,17,BULOVIC KATARINA,Spiker,2002,184,ITA,-
2016/2017,A1,Club Italia Crai,18,EGONU PAOLA,Spiker,1998,189,ITA,-
2016/2017,A1,Foppapedretti Bergamo,1,MORI EVA,Setter,1996,186,SLO,-
2016/2017,A1,Foppapedretti Bergamo,2,SANTANA PINTO SUELEN FERNANDA,Libero,1987,166,BRA,-
2016/2017,A1,Foppapedretti Bergamo,4,PARTENIO LAURA,Spiker,1991,182,ITA,-
2016/2017,A1,Foppapedretti Bergamo,5,POPOVIC MINA,Middleblocker,1994,187,SRB,-
2016/2017,A1,Foppapedretti Bergamo,6,GENNARI ALESSIA,Spiker,1991,184,ITA,-
2016/2017,A1,Foppapedretti Bergamo,7,CARDULLO PAOLA,Libero,1982,162,ITA,-
2016/2017,A1,Foppapedretti Bergamo,8,GUIGGI MARTINA,Middleblocker,1984,188,ITA,-
2016/2017,A1,Foppapedretti Bergamo,9,VENTURINI ANNA,Spiker,1998,180,ITA,-
2016/2017,A1,Foppapedretti Bergamo,10,PAGGI PAOLA,Middleblocker,1976,182,ITA,-
2016/2017,A1,Foppapedretti Bergamo,14,LO BIANCO ELEONORA,Setter,1979,171,ITA,-
2016/2017,A1,Foppapedretti Bergamo,17,SYLLA MIRIAM,Spiker,1995,181,ITA,-
