Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2018/2019,A1,Banca Valsabbina Millenium Brescia,3,BIAVA GIULIA,Spiker,1988,178,ITA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,4,RIVERO JESSICA,Spiker,1995,181,ESP,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,5,NORGINI MARIA CHIARA,Libero,1998,170,ITA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,6,MANIG MIRIANA,Setter,1998,177,ITA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,7,DI IULIO ISABELLA,Setter,1991,175,ITA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,8,PIETERSEN JUDITH,Spiker,1989,188,NED,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,9,VILLANI FRANCESCA,Spiker,1995,187,ITA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,10,PARLANGELI FRANCESCA,Libero,1990,164,ITA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,11,WASHINGTON HALEIGH,Middleblocker,1995,192,USA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,14,BARTESAGHI GIULIA,Opposite,1998,187,ITA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,15,NICOLETTI ANNA,Opposite,1996,189,ITA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,16,VEGLIA TIZIANA,Middleblocker,1992,186,ITA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,17,BACCOLO FRANCESCA,Middleblocker,2001,188,ITA,-
2018/2019,A1,Banca Valsabbina Millenium Brescia,18,MINIUK JULIA,Middleblocker,2000,189,BLR,-
2018/2019,A1,Bosca San Bernardo Cuneo,1,BAIOCCO ALESSANDRA,Libero,1996,180,ITA,-
2018/2019,A1,Bosca San Bernardo Cuneo,2,SALAS WILMA,Spiker,1991,188,AZE,-
2018/2019,A1,Bosca San Bernardo Cuneo,6,MARKOVIC SRNA,Spiker,1996,184,AUT,-
2018/2019,A1,Bosca San Bernardo Cuneo,8,CRUZ AUREA,Spiker,1982,183,PUR,-
2018/2019,A1,Bosca San Bernardo Cuneo,9,KACZMAR ANNA,Setter,1985,180,POL,-
2018/2019,A1,Bosca San Bernardo Cuneo,10,VAN HECKE LISE,Opposite,1992,192,BEL,-
2018/2019,A1,Bosca San Bernardo Cuneo,11,MENGHI SARA,Middleblocker,1983,183,ITA,-
2018/2019,A1,Bosca San Bernardo Cuneo,12,BOSIO FRANCESCA,Setter,1997,180,ITA,-
2018/2019,A1,Bosca San Bernardo Cuneo,15,KAVALENKA JULIA,Opposite,1999,191,POR,-
2018/2019,A1,Bosca San Bernardo Cuneo,16,RUZZINI JOLE,Libero,1984,162,ITA,-
2018/2019,A1,Bosca San Bernardo Cuneo,18,ZAMBELLI MARINA,Middleblocker,1990,187,ITA,-
