Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2018/2019,A1,Azimut Leo Shoes Modena,1,BEDNORZ Bartosz,Spiker,1994,201,POL,POL,-,-
2018/2019,A1,Azimut Leo Shoes Modena,2,TILLIE Kevin,Spiker,1990,198,FRA,FRA,from 07/03/2019,-
2018/2019,A1,Azimut Leo Shoes Modena,3,BENVENUTI Lorenzo,Libero,1994,186,SMR,ITA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,4,PIEROTTI Marco,Spiker,1996,193,PU,ITA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,5,VAN DER ENT Luuc,Middleblocker,1998,208,NED,NED,-,-
2018/2019,A1,Azimut Leo Shoes Modena,7,ROSSINI Salvatore,Libero,1986,184,LT,ITA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,8,PINALI Giulio,Spiker,1997,198,BO,ITA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,9,ZAYTSEV Ivan,Spiker,1988,202,PG,ITA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,10,FRANCISKOVIC Jennings,Setter,1995,196,USA,USA,until 21/11/2018,-
2018/2019,A1,Azimut Leo Shoes Modena,11,CHRISTENSON Micah,Setter,1993,198,USA,USA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,12,HOLT Maxwell Philip,Middleblocker,1987,205,USA,USA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,13,ANZANI Simone,Middleblocker,1992,203,CO,ITA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,14,TRUOCCHIO Andrea,Middleblocker,2000,205,PT,ITA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,16,LUSETTI Matteo,Setter,2002,190,MO,ITA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,17,URNAUT Tine,Spiker,1988,201,SLO,SLO,-,-
2018/2019,A1,Azimut Leo Shoes Modena,18,MAZZONE Daniele,Middleblocker,1992,209,TO,ITA,-,-
2018/2019,A1,Azimut Leo Shoes Modena,24,KALIBERDA Denys Viktorovic,Spiker,1990,195,UKR,GER,-,-
2018/2019,A1,Azimut Leo Shoes Modena,25,KEEMINK Wessel,Setter,1993,197,NED,NED,-,-
2018/2019,A1,BCC Castellana Grotte,1,ZINGEL Aidan,Middleblocker,1990,207,AUS,AUS,-,-
2018/2019,A1,BCC Castellana Grotte,3,CAVACCINI Domenico,Libero,1987,178,SA,ITA,-,-
2018/2019,A1,BCC Castellana Grotte,4,PACE Domenico,Libero,2000,180,BA,ITA,-,-
2018/2019,A1,BCC Castellana Grotte,5,FALASCHI Marco,Setter,1987,187,PI,ITA,-,-
2018/2019,A1,BCC Castellana Grotte,7,SCOPELLITI Simone,Middleblocker,1994,205,RC,ITA,-,-
2018/2019,A1,BCC Castellana Grotte,9,DE TOGNI Giorgio,Middleblocker,1985,202,FE,ITA,-,-
2018/2019,A1,BCC Castellana Grotte,11,KRUZHKOV Yurii,Spiker,1994,200,RUS,RUS,-,-
2018/2019,A1,BCC Castellana Grotte,12,MIRZAJANPOURMOUZIRAJI Mojtaba,Spiker,1991,198,IRI,IRI,-,-
2018/2019,A1,BCC Castellana Grotte,14,ZANATTA BUIATTI Renan,Spiker,1990,217,BRA,BRA,until 31/01/2019,-
2018/2019,A1,BCC Castellana Grotte,15,AGRUSTI Marinfranco,Middleblocker,1999,200,BA,ITA,-,-
2018/2019,A1,BCC Castellana Grotte,17,STUDZINSKI RODRIGUES Eduardo Matheus,Spiker,1994,197,BRA,BRA,-,-
2018/2019,A1,BCC Castellana Grotte,18,QUARTARONE Davide,Setter,1986,196,RG,ITA,-,-
2018/2019,A1,BCC Castellana Grotte,24,KOVAC Davide,Spiker,1999,198,TA,CRO,until 10/01/2019,-
2018/2019,A1,BCC Castellana Grotte,90,WLODARCZYK Wojciech Julian,Spiker,1990,200,POL,POL,-,-
2018/2019,A1,Calzedonia Verona,1,PINELLI Riccardo,Setter,1991,193,MO,ITA,-,-
