Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2011/2012,A1,Asystel Volley Novara,1,FRIGO LAURA,Middleblocker,1990,185,ITA,-
2011/2012,A1,Asystel Volley Novara,2,VIGANÒ NATALIA,Spiker,1979,180,ITA,-
2011/2012,A1,Asystel Volley Novara,3,BECHIS MARTA,Setter,1989,181,ITA,-
2011/2012,A1,Asystel Volley Novara,7,BARCELLINI CRISTINA,Spiker,1986,185,ITA,-
2011/2012,A1,Asystel Volley Novara,9,VELJKOVIC STEFANA,Middleblocker,1990,190,SRB,-
2011/2012,A1,Asystel Volley Novara,10,ZARDO CAROLINA,Libero,1992,170,ITA,-
2011/2012,A1,Asystel Volley Novara,11,SANSONNA STEFANIA,Libero,1982,175,ITA,-
2011/2012,A1,Asystel Volley Novara,12,CAMERA LETIZIA,Setter,1992,175,ITA,-
2011/2012,A1,Asystel Volley Novara,13,BARUN-SUSNJAR KATARINA,Spiker,1983,194,CRO,-
2011/2012,A1,Asystel Volley Novara,17,FOLIE RAPHAELA,Middleblocker,1991,186,ITA,-
2011/2012,A1,Asystel Volley Novara,18,HORVATH DORA,Spiker,1988,187,HUN,-
2011/2012,A1,Cariparma SiGrade Parma,1,BACCHI LUCIA,Spiker,1981,181,ITA,-
2011/2012,A1,Cariparma SiGrade Parma,2,KOVALENKO KSENIYA,Middleblocker,1986,190,AZE,-
2011/2012,A1,Cariparma SiGrade Parma,5,DALIA LUDOVICA,Setter,1984,180,ITA,-
2011/2012,A1,Cariparma SiGrade Parma,6,GROTHUES-BALKENSTEIN MARET,Spiker,1988,180,NED,-
2011/2012,A1,Cariparma SiGrade Parma,7,CONTI ANDREA CAROLINA,Spiker,1982,193,ITA,-
2011/2012,A1,Cariparma SiGrade Parma,8,GIBERTINI GIULIA,Libero,1984,170,ITA,-
2011/2012,A1,Cariparma SiGrade Parma,10,CAMPANARI BARBARA,Middleblocker,1980,191,ITA,-
2011/2012,A1,Cariparma SiGrade Parma,11,ROANI MANUELA,Spiker,1983,186,ITA,-
2011/2012,A1,Cariparma SiGrade Parma,12,MORENO PINO KENNY,Spiker,1979,185,COL,until 22/01/2012
2011/2012,A1,Cariparma SiGrade Parma,13,POMA CELESTE,Libero,1991,167,ITA,-
2011/2012,A1,Cariparma SiGrade Parma,15,MARICIC GORANA,Spiker,1984,187,SRB,from 25/01/2012
2011/2012,A1,Cariparma SiGrade Parma,17,BRUSEGAN ROBERTA,Middleblocker,1986,188,ITA,-
