Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2011/2012,A1,Supercoppa,Final,1,-,0,1/11/2011,18:00,3925,37000,C,Itas Diatec Trentino,Trento,3,1,8,16,20,25,7,12,21,22,8,16,21,25,5,9,17,20,8,13,17,18,7,16,21,25,8,16,21,25,5,11,14,20,-,-,-,-,-,-,-,-,63,26,9,92,8,5,71,13,0.52,0.24,103,7,15,49,0.48,-,9
2011/2012,A1,Supercoppa,Final,1,-,0,1/11/2011,18:00,3925,37000,O,Bre Banca Lannutti Cuneo,Cuneo,1,3,7,12,21,22,8,16,20,25,5,9,17,20,8,16,21,25,7,16,21,25,8,13,17,18,5,11,14,20,8,16,21,25,-,-,-,-,-,-,-,-,71,28,10,88,17,11,84,6,0.5,0.26,106,12,9,45,0.42,-,15
2011/2012,A1,Regular_Season,1st,1,-,1,25/9/2011,18:00,1087,5472,C,Sisley Belluno,Treviso,1,3,8,16,21,27,3,13,20,25,7,11,12,14,8,16,21,25,5,14,17,19,8,16,21,25,4,13,18,21,8,16,21,25,-,-,-,-,-,-,-,-,54,17,-21,82,15,3,79,12,0.47,0.32,100,8,13,38,0.38,-,13
2011/2012,A1,Regular_Season,1st,1,-,1,25/9/2011,18:00,1087,5472,O,Andreoli Latina,Latina,3,1,3,13,20,25,8,16,21,27,8,16,21,25,7,11,12,14,8,16,21,25,5,14,17,19,8,16,21,25,4,13,18,21,-,-,-,-,-,-,-,-,74,32,13,99,20,9,67,5,0.58,0.28,96,5,13,52,0.54,-,13
2011/2012,A1,Regular_Season,1st,1,-,2,25/9/2011,17:45,2866,24618,C,Itas Diatec Trentino,Trento,3,0,8,16,21,25,4,11,16,19,8,16,21,25,3,13,18,22,7,14,19,25,8,16,21,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,23,15,73,14,8,57,4,0.51,0.39,77,6,10,39,0.51,-,11
2011/2012,A1,Regular_Season,1st,1,-,2,25/9/2011,17:45,2866,24618,O,Acqua Paradiso Monza Brianza,Monza Brianza,0,3,4,11,16,19,8,16,21,25,3,13,18,22,8,16,21,25,8,16,21,23,7,14,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,17,-4,66,9,4,59,8,0.42,0.24,76,9,11,30,0.39,-,10
2011/2012,A1,Regular_Season,1st,1,-,3,25/9/2011,18:00,2365,8091,C,Fidia Padova,Padova,3,0,7,16,20,26,8,15,21,24,6,13,21,25,8,16,20,21,8,15,21,27,6,16,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,24,17,77,17,1,54,2,0.59,0.46,81,3,7,45,0.56,-,13
2011/2012,A1,Regular_Season,1st,1,-,3,25/9/2011,18:00,2365,8091,O,Copra Elior Piacenza,Piacenza,0,3,8,15,21,24,7,16,20,26,8,16,20,21,6,13,21,25,6,16,20,25,8,15,21,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,14,-12,71,16,2,60,4,0.68,0.4,84,3,13,38,0.45,-,6
2011/2012,A1,Regular_Season,1st,1,-,4,25/9/2011,18:00,1945,12786,C,Lube Banca Marche Macerata,Lube,3,1,8,16,21,25,3,7,11,13,7,15,21,24,8,16,20,26,8,16,21,25,6,9,12,15,7,15,21,25,8,16,17,19,-,-,-,-,-,-,-,-,77,29,48,98,19,2,61,-,0.79,0.59,97,6,4,63,0.65,-,12
2011/2012,A1,Regular_Season,1st,1,-,4,25/9/2011,18:00,1945,12786,O,CMC Ravenna,Ravenna Robur,1,3,3,7,11,13,8,16,21,25,8,16,20,26,7,15,21,24,6,9,12,15,8,16,21,25,8,16,17,19,7,15,21,25,-,-,-,-,-,-,-,-,49,8,-13,74,13,-,79,3,0.62,0.33,97,7,12,45,0.46,-,4
