Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,2,Nucu Iuliana,-,-,6.1,2,2,2,5,5,10,1,5,20,2,-,-,-,-,-,20,1,2,6,0.3,-,4
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,3,Signorile Noemi,-,-,-,-,-,*,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,5,Quaranta Annamaria,-,-,6,6,6,6,3,3,17,4,8,16,2,-,15,1,0.73,0.53,38,1,5,15,0.39,-,2
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,6,Gabbiadini Angela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,7,Diouf Valentina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,8,Merlo Enrica,L,-,-,*,*,*,*,*,-,-,-1,-,-,-,22,1,0.77,0.64,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,9,Di Iulio Chiara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,10,Vuchkova Hristina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,12,Piccinini Francesca,-,C,6,1,1,1,4,4,21,6,7,16,6,-,27,3,0.7,0.48,46,3,1,20,0.43,-,1
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,13,Arrighetti Valentina,-,-,6.5,5,5,5,2,2,13,5,10,13,-,-,-,-,-,-,17,-,3,10,0.59,-,3
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,16,Vasileva Elitsa,-,-,6.1,4,4,4,1,1,22,10,4,16,4,-,35,7,0.63,0.4,46,2,5,19,0.41,-,3
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,C,Norda Foppapedretti Bergamo,Volley Bergamo,18,Serena Valentina,-,-,6.3,3,3,3,6,6,3,1,1,17,2,-,-,-,-,-,4,-,-,2,0.5,-,1
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,1,Carocci Luna Veronica,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,2,Stufi Federica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,3,Perinelli Elena,-,-,-,*,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,4,Berg Lindsey,-,C,6.4,4,3,4,3,6,-,-,-1,11,1,-,-,-,-,-,1,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,6,Pavan Sarah,-,-,5.8,1,6,1,6,3,22,9,11,20,2,2,-,-,-,-,55,5,4,20,0.36,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,7,Guiggi Martina,-,-,6.4,3,2,3,2,5,18,8,11,20,2,3,-,-,-,-,18,-,4,9,0.5,-,6
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,8,Cruz Aurea,-,-,6.3,2,1,2,1,4,13,3,7,19,-,-,35,1,0.77,0.57,29,-,4,10,0.34,-,3
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,9,Bosetti Lucia,-,-,6.1,5,4,5,4,1,13,3,10,15,-,-,25,-,0.68,0.48,38,1,2,10,0.26,-,3
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,10,Pincerato Giulia,-,-,-,-,*,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,11,Barborkova Sarka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,14,Bosetti Caterina,-,-,-,-,-,-,*,*,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,15,Wilson Makare Wasa Mary,-,-,6.6,6,5,6,5,2,13,6,11,20,2,2,1,-,-,-,15,-,-,7,0.47,-,4
2011/2012,A1,Supercoppa,Final,-,-,0,16/2/2012,20:30,-,-,O,MC-Carnaghi Villa Cortese,Villa Cortese,17,Puerari Ramona,L,-,-,*,*,*,*,*,-,-,-,-,-,-,24,-,0.79,0.29,-,-,-,-,-,-,-
2011/2012,A1,Regular_Season,1st,1,-,3001,8/10/2011,20:30,1718,14355,C,Norda Foppapedretti Bergamo,Volley Bergamo,2,Nucu Iuliana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011/2012,A1,Regular_Season,1st,1,-,3001,8/10/2011,20:30,1718,14355,C,Norda Foppapedretti Bergamo,Volley Bergamo,3,Signorile Noemi,-,-,4.1,6,6,6,6,-,2,1,2,13,-,-,-,-,-,-,1,-,-,1,1,-,1
2011/2012,A1,Regular_Season,1st,1,-,3001,8/10/2011,20:30,1718,14355,C,Norda Foppapedretti Bergamo,Volley Bergamo,5,Quaranta Annamaria,-,-,5.5,3,3,3,3,-,13,2,5,12,1,1,13,-,0.62,0.38,43,1,6,11,0.26,-,1
