Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2011/2012,A1,Acqua Paradiso Monza Brianza,1,ALEKSIEV Todor,Spiker,1983,200,BUL,BUL,until 24/10/2011,-
2011/2012,A1,Acqua Paradiso Monza Brianza,2,CIABATTINI Edoardo,Libero,1989,180,PI,ITA,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,3,ROSSINI Salvatore,Libero,1986,184,LT,ITA,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,4,ZHUKOUSKI Tsimafei,Setter,1989,192,BLR,CRO,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,5,MCKNIFF Kevin Thomas,Middleblocker,1987,200,USA,USA,from 24/02/2012,-
2011/2012,A1,Acqua Paradiso Monza Brianza,6,CONTE Facundo,Spiker,1989,193,ARG,ARG,from 14/12/2011,coming from Energy Resources San Giustino
2011/2012,A1,Acqua Paradiso Monza Brianza,7,NIKIC Milos,Spiker,1986,194,SRB,SRB,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,8,FORNI Marcello,Middleblocker,1980,200,MO,ITA,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,9,MOLTENI Marco,Spiker,1976,196,BS,ITA,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,11,BUTI Simone,Middleblocker,1983,208,FI,ITA,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,12,ROONEY Sean,Spiker,1982,206,USA,USA,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,13,KASZAP Tamas,Setter,1991,197,SRB,HUN,from 08/12/2011,-
2011/2012,A1,Acqua Paradiso Monza Brianza,14,DE CECCO Luciano,Setter,1988,194,ARG,ARG,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,15,GAVOTTO Mauro,Spiker,1979,202,CN,ITA,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,16,SHUMOV Konstantin,Middleblocker,1985,205,RUS,FIN,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,17,ROUMELIOTIS Nicolas,Spiker,1978,198,GRE,GRE,-,-
2011/2012,A1,Acqua Paradiso Monza Brianza,18,MOR Carlo,Middleblocker,1989,202,MI,ITA,until 04/01/2012,transferred to Sidigas Atriptoda
2011/2012,A1,Andreoli Latina,1,RIVERA CAAMANO Jose Manuel,Spiker,1977,195,USA,PUR,-,-
2011/2012,A1,Andreoli Latina,2,PANTALEON Sotirios,Middleblocker,1980,202,GRE,GRE,from 16/03/2012,-
2011/2012,A1,Andreoli Latina,3,HARDY-DESSOURCES Gérald,Middleblocker,1983,197,FRA,FRA,until 08/03/2012,-
