Season,Division,Championship,Phase,Day,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,
2025/2026,A2,Regular_Season,1st,2,508,26/10/2025 ,19:00 ,916 ,€ 6.237 ,C,Prisma La Cascina Taranto ,Taranto,3,0,8,5,15,16,21,20,26,24,8,5,16,9,21,16,25,16,7,8,15,16,21,20,25,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,23,8,74,12,7,46,3,0.57,0.33,66,4,7,35,0.53,-,8,,,,,
2025/2026,A2,Regular_Season,1st,2,508,26/10/2025 ,19:00 ,916 ,€ 6.237 ,O,Romeo Sorrento ,Massa Lubrense,0,3,5,8,16,15,20,21,24,26,5,8,9,16,16,21,16,25,8,7,16,15,20,21,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,16,-14,63,17,3,62,8,0.44,0.27,82,8,8,35,0.43,-,7,,,,,
2025/2026,A2,Regular_Season,1st,2,509,26/10/2025 ,17:30 ,950 ,€ 847 ,C,Gruppo Consoli Sferc Brescia ,Brescia Atlantide,3,1,8,7,11,16,17,21,20,25,8,6,16,13,21,17,25,20,8,7,15,16,21,18,25,20,8,7,16,12,21,15,25,16,-,-,-,-,-,-,-,-,82,33,27,94,20,8,75,5,0.44,0.23,121,9,9,62,0.51,-,12,,,,,
2025/2026,A2,Regular_Season,1st,2,509,26/10/2025 ,17:30 ,950 ,€ 847 ,O,Essence Hotels Fano ,Fano,1,3,7,8,16,11,21,17,25,20,6,8,13,16,17,21,20,25,7,8,16,15,18,21,20,25,7,8,12,16,15,21,16,25,-,-,-,-,-,-,-,-,52,19,-1,82,7,4,74,8,0.36,0.19,99,5,12,39,0.39,-,9,,,,,
2025/2026,A2,Regular_Season,1st,2,510,26/10/2025 ,18:00 ,679 ,€ 1.752 ,C,Virtus Aversa ,Aversa,3,1,8,7,16,14,21,19,25,22,8,4,16,12,21,15,25,19,8,7,16,14,21,20,21,25,8,6,16,14,21,18,25,21,-,-,-,-,-,-,-,-,63,25,-1,95,23,3,65,8,0.45,0.23,103,7,6,50,0.49,-,10,,,,,
2025/2026,A2,Regular_Season,1st,2,510,26/10/2025 ,18:00 ,679 ,€ 1.752 ,O,Tinet Prata di Pordenone ,Prata,1,3,7,8,14,16,19,21,22,25,4,8,12,16,15,21,19,25,7,8,14,16,20,21,25,21,6,8,14,16,18,21,21,25,-,-,-,-,-,-,-,-,54,17,-18,88,23,7,72,3,0.46,0.31,102,10,10,41,0.4,-,6,,,,,
2025/2026,A2,Regular_Season,1st,2,511,26/10/2025 ,17:00 ,556 ,€ 1.758 ,C,Emma Villas Codyeco Lupi Siena ,Siena,3,0,8,1,16,14,21,15,25,18,6,8,16,14,21,15,25,18,8,6,16,14,21,18,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,25,16,73,14,7,47,4,0.47,0.28,72,2,3,35,0.49,-,11,,,,,
2025/2026,A2,Regular_Season,1st,2,511,26/10/2025 ,17:00 ,556 ,€ 1.758 ,O,Sviluppo Sud Catania ,Acicastello,0,3,1,8,14,16,15,21,18,25,8,6,14,16,15,21,18,25,6,8,14,16,18,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,16,-13,58,11,4,59,8,0.34,0.12,79,10,11,34,0.43,-,3,,,,,
2025/2026,A2,Regular_Season,1st,2,512,26/10/2025 ,18:00 ,624 ,€ 2.746 ,C,Alva Inox 2 Emme Service Porto Viro ,Porto Viro,0,3,5,8,10,16,13,21,17,25,5,8,12,16,14,21,21,25,8,7,16,14,20,21,23,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,10,-,63,11,1,63,10,0.51,0.27,69,3,5,39,0.57,-,4,,,,,
2025/2026,A2,Regular_Season,1st,2,512,26/10/2025 ,18:00 ,624 ,€ 2.746 ,O,Abba Pineto ,Pineto,3,0,8,5,16,10,21,13,25,17,8,5,16,12,21,14,25,21,7,8,14,16,21,20,25,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,22,16,73,10,10,52,2,0.48,0.25,74,6,4,44,0.59,-,5,,,,,
2025/2026,A2,Regular_Season,1st,2,513,26/10/2025 ,18:00 ,440 ,€ 929 ,C,Banca Macerata Fisiomed MC ,Macerata,3,2,8,4,16,11,21,15,25,23,5,8,9,16,11,21,15,25,7,8,15,16,20,21,24,26,8,6,16,15,21,19,25,21,5,1,0,0,0,0,15,8,72,24,19,103,13,5,91,10,0.42,0.13,144,4,14,60,0.42,-,7,,,,,
2025/2026,A2,Regular_Season,1st,2,513,26/10/2025 ,18:00 ,440 ,€ 929 ,O,Consar Ravenna ,Ravenna,2,3,4,8,11,16,15,21,23,25,8,5,16,9,21,11,25,15,8,7,16,15,21,20,26,24,6,8,15,16,19,21,21,25,1,5,0,0,0,0,8,15,85,30,27,104,13,10,90,6,0.5,0.17,142,14,7,61,0.43,-,14,,,,,
2025/2026,A2,Regular_Season,1st,2,514,26/10/2025 ,16:00 ,688 ,€ 2.272 ,C,Rinascita Lagonegro ,Lagonegro,3,0,8,7,16,11,21,15,25,17,8,7,15,16,21,19,25,20,8,7,15,16,21,20,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,26,22,73,14,8,46,3,0.59,0.28,72,7,6,36,0.5,-,10,,,,,
2025/2026,A2,Regular_Season,1st,2,514,26/10/2025 ,16:00 ,688 ,€ 2.272 ,O,Campi Reali Cantù ,Cantù,0,3,7,8,11,16,15,21,17,25,7,8,16,15,19,21,20,25,7,8,16,15,20,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,12,-2,61,15,3,59,8,0.44,0.2,76,4,10,28,0.37,-,6,,,,,
2025/2026,A2,Regular_Season,1st,3,515,2/11/2025 ,17:30 ,835 ,€ 5.127 ,C,Tinet Prata di Pordenone ,Prata,3,0,8,6,16,15,21,18,25,20,8,2,16,15,21,19,25,20,8,2,16,8,21,13,25,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,26,6,73,14,2,42,8,0.57,0.26,73,4,6,42,0.58,-,5,,,,,
2025/2026,A2,Regular_Season,1st,3,515,2/11/2025 ,17:30 ,835 ,€ 5.127 ,O,Emma Villas Codyeco Lupi Siena ,Siena,0,3,6,8,15,16,18,21,20,25,2,8,15,16,19,21,20,25,2,8,8,16,13,21,17,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,14,-18,59,17,7,59,4,0.41,0.19,65,8,5,25,0.38,-,6,,,,,
2025/2026,A2,Regular_Season,1st,3,516,2/11/2025 ,18:00 ,1.049 ,€ 5.769 ,C,Consar Ravenna ,Ravenna,3,0,8,5,16,11,21,15,25,15,6,8,11,16,21,18,25,20,8,7,16,13,21,15,25,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,21,24,73,8,4,50,4,0.46,0.16,82,4,2,44,0.54,-,9,,,,,
2025/2026,A2,Regular_Season,1st,3,516,2/11/2025 ,18:00 ,1.049 ,€ 5.769 ,O,Prisma La Cascina Taranto ,Taranto,0,3,5,8,11,16,15,21,15,25,8,6,16,11,18,21,20,25,7,8,13,16,15,21,18,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,10,-13,55,5,4,65,7,0.49,0.15,100,11,9,34,0.34,-,2,,,,,
2025/2026,A2,Regular_Season,1st,3,517,2/11/2025 ,16:00 ,786 ,€ 3.661 ,C,Abba Pineto ,Pineto,3,0,6,8,16,15,21,16,25,21,8,6,15,16,21,20,27,25,8,6,16,15,21,18,25,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,19,13,76,16,9,51,5,0.69,0.33,74,4,4,42,0.57,-,3,,,,,
2025/2026,A2,Regular_Season,1st,3,517,2/11/2025 ,16:00 ,786 ,€ 3.661 ,O,Banca Macerata Fisiomed MC ,Macerata,0,3,8,6,15,16,16,21,21,25,6,8,16,15,20,21,25,27,6,8,15,16,18,21,23,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,12,1,71,20,5,60,9,0.43,0.23,72,4,3,38,0.53,-,4,,,,,
2025/2026,A2,Regular_Season,1st,3,518,2/11/2025 ,18:00 ,763 ,€ 6.668 ,C,Essence Hotels Fano ,Fano,1,3,8,6,16,15,21,19,28,26,8,5,14,16,18,21,24,26,8,7,16,15,18,21,21,25,7,8,12,16,16,21,19,25,-,-,-,-,-,-,-,-,63,22,-3,93,19,3,80,6,0.56,0.35,115,6,13,51,0.44,-,9,,,,,
2025/2026,A2,Regular_Season,1st,3,518,2/11/2025 ,18:00 ,763 ,€ 6.668 ,O,Virtus Aversa ,Aversa,3,1,6,8,15,16,19,21,26,28,5,8,16,14,21,18,26,24,7,8,15,16,21,18,25,21,8,7,16,12,21,16,25,19,-,-,-,-,-,-,-,-,75,31,15,101,21,6,74,3,0.51,0.3,124,7,9,56,0.45,-,13,,,,,
2025/2026,A2,Regular_Season,1st,3,519,2/11/2025 ,17:30 ,371 ,€ 805 ,C,Campi Reali Cantù ,Cantù,2,3,5,8,10,16,16,21,20,25,4,8,13,16,18,21,22,25,8,5,16,8,21,16,25,18,8,7,16,14,21,16,25,18,4,5,0,0,0,0,13,15,83,26,17,105,20,2,88,8,0.53,0.25,117,5,9,70,0.6,-,11,,,,,
2025/2026,A2,Regular_Season,1st,3,519,2/11/2025 ,17:30 ,371 ,€ 805 ,O,Alva Inox 2 Emme Service Porto Viro ,Porto Viro,3,2,8,5,16,10,21,16,25,20,8,4,16,13,21,18,25,22,5,8,8,16,16,21,18,25,7,8,14,16,16,21,18,25,5,4,0,0,0,0,15,13,73,22,10,100,12,8,85,3,0.58,0.25,114,8,11,56,0.49,-,9,,,,,
2025/2026,A2,Regular_Season,1st,3,520,2/11/2025 ,18:00 ,489 ,€ 2.564 ,C,Romeo Sorrento ,Massa Lubrense,0,3,4,8,6,16,13,21,14,25,8,7,13,16,16,21,21,25,6,8,16,15,19,21,23,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,10,-14,60,16,2,58,4,0.47,0.31,81,12,6,27,0.33,-,6,,,,,
2025/2026,A2,Regular_Season,1st,3,520,2/11/2025 ,18:00 ,489 ,€ 2.564 ,O,Sviluppo Sud Catania ,Acicastello,3,0,8,4,16,6,21,13,25,14,7,8,16,13,21,16,25,21,8,6,15,16,21,19,25,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,17,-1,73,15,4,44,2,0.55,0.3,72,8,6,33,0.46,-,6,,,,,
2025/2026,A2,Regular_Season,1st,3,521,1/11/2025 ,16:00 ,662 ,€ 2.042 ,C,Rinascita Lagonegro ,Lagonegro,0,3,6,8,15,16,20,21,25,27,6,8,13,16,16,21,18,25,5,8,10,16,15,21,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,8,-10,65,17,4,56,4,0.45,0.21,77,5,10,32,0.42,-,1,,,,,
2025/2026,A2,Regular_Season,1st,3,521,1/11/2025 ,16:00 ,662 ,€ 2.042 ,O,Gruppo Consoli Sferc Brescia ,Brescia Atlantide,3,0,8,6,16,15,21,20,27,25,8,6,16,13,21,16,25,18,8,5,16,10,21,15,25,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,22,14,75,19,4,48,4,0.42,0.23,68,5,1,38,0.56,-,10,,,,,
2025/2026,A2,Regular_Season,1st,4,522,9/11/2025 ,16:00 ,831 ,€ 4.775 ,C,Prisma La Cascina Taranto ,Taranto,0,3,7,8,12,16,20,21,23,25,6,8,11,16,21,20,23,25,4,8,9,16,13,21,15,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,15,3,63,15,7,58,3,0.41,0.24,69,2,11,32,0.46,-,3,,,,,
2025/2026,A2,Regular_Season,1st,4,522,9/11/2025 ,16:00 ,831 ,€ 4.775 ,O,Tinet Prata di Pordenone ,Prata,3,0,8,7,16,12,21,20,25,23,8,6,16,11,20,21,25,23,8,4,16,9,21,13,25,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,26,24,73,15,3,48,7,0.46,0.33,71,2,3,44,0.62,-,11,,,,,
2025/2026,A2,Regular_Season,1st,4,523,10/11/2025 ,19:00 ,1.026 ,€ 1.113 ,C,Gruppo Consoli Sferc Brescia ,Brescia Atlantide,3,1,6,8,9,16,14,21,16,25,8,6,16,11,21,15,25,18,5,8,13,16,19,21,27,25,8,5,16,13,21,17,25,22,-,-,-,-,-,-,-,-,64,26,12,92,15,8,73,5,0.29,0.18,102,8,10,49,0.48,-,7,,,,,
2025/2026,A2,Regular_Season,1st,4,523,10/11/2025 ,19:00 ,1.026 ,€ 1.113 ,O,Abba Pineto ,Pineto,1,3,8,6,16,9,21,14,25,16,6,8,11,16,15,21,18,25,8,5,16,13,21,19,25,27,5,8,13,16,17,21,22,25,-,-,-,-,-,-,-,-,67,26,9,91,18,4,77,8,0.22,0.09,106,9,7,53,0.5,-,10,,,,,
2025/2026,A2,Regular_Season,1st,4,524,9/11/2025 ,19:00 ,678 ,€ 1.902 ,C,Virtus Aversa ,Aversa,0,3,8,7,13,16,17,21,29,31,4,8,14,16,17,21,20,25,8,7,16,14,19,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,16,-8,72,13,2,68,6,0.43,0.22,91,4,15,41,0.45,-,10,,,,,
2025/2026,A2,Regular_Season,1st,4,524,9/11/2025 ,19:00 ,678 ,€ 1.902 ,O,Consar Ravenna ,Ravenna,3,0,7,8,16,13,21,17,31,29,8,4,16,14,21,17,25,20,7,8,14,16,21,19,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,23,6,80,12,5,59,2,0.46,0.27,91,5,10,41,0.45,-,15,,,,,
2025/2026,A2,Regular_Season,1st,4,525,9/11/2025 ,17:00 ,640 ,€ 1.474 ,C,Emma Villas Codyeco Lupi Siena ,Siena,3,1,8,6,14,16,21,18,25,18,8,6,16,15,21,20,24,26,8,3,16,11,21,14,25,16,8,4,16,11,21,16,25,19,-,-,-,-,-,-,-,-,79,32,23,97,23,6,64,2,0.45,0.2,109,6,5,59,0.54,-,14,,,,,
2025/2026,A2,Regular_Season,1st,4,525,9/11/2025 ,17:00 ,640 ,€ 1.474 ,O,Campi Reali Cantù ,Cantù,1,3,6,8,16,14,18,21,18,25,6,8,15,16,20,21,26,24,3,8,11,16,14,21,16,25,4,8,11,16,16,21,19,25,-,-,-,-,-,-,-,-,50,13,-11,80,16,2,74,9,0.49,0.23,111,2,14,43,0.39,-,5,,,,,
2025/2026,A2,Regular_Season,1st,4,526,9/11/2025 ,16:00 ,366 ,€ 717 ,C,Sviluppo Sud Catania ,Acicastello,3,1,8,3,16,8,21,11,25,11,8,5,16,9,21,14,25,16,8,3,16,14,21,17,25,27,7,8,16,12,21,16,25,19,-,-,-,-,-,-,-,-,71,37,27,99,13,6,62,3,0.5,0.24,103,5,10,53,0.51,-,12,,,,,
2025/2026,A2,Regular_Season,1st,4,526,9/11/2025 ,16:00 ,366 ,€ 717 ,O,Essence Hotels Fano ,Fano,1,3,3,8,8,16,11,21,11,25,5,8,9,16,14,21,16,25,3,8,14,16,17,21,27,25,8,7,12,16,16,21,19,25,-,-,-,-,-,-,-,-,52,20,-14,74,12,3,86,6,0.48,0.35,111,14,12,39,0.35,-,10,,,,,
2025/2026,A2,Regular_Season,1st,4,527,9/11/2025 ,18:00 ,576 ,€ 2.155 ,C,Alva Inox 2 Emme Service Porto Viro ,Porto Viro,2,3,8,7,16,15,21,16,25,19,6,8,12,16,16,21,19,25,8,3,16,10,21,18,25,19,5,8,10,16,13,21,14,25,4,5,0,0,0,0,15,17,73,23,-4,99,23,4,87,7,0.55,0.22,128,8,12,58,0.45,-,11,,,,,
2025/2026,A2,Regular_Season,1st,4,527,9/11/2025 ,18:00 ,576 ,€ 2.155 ,O,Rinascita Lagonegro ,Lagonegro,3,2,7,8,15,16,16,21,19,25,8,6,16,12,21,16,25,19,3,8,10,16,18,21,19,25,8,5,16,10,21,13,25,14,5,4,0,0,0,0,17,15,72,29,13,104,17,4,76,5,0.62,0.34,120,4,11,56,0.47,-,12,,,,,
2025/2026,A2,Regular_Season,1st,4,528,9/11/2025 ,18:00 ,394 ,€ 563 ,C,Banca Macerata Fisiomed MC ,Macerata,0,3,3,8,9,16,9,21,13,25,3,8,10,16,13,21,15,25,6,8,11,16,16,21,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,5,-10,50,8,1,59,5,0.58,0.2,67,7,9,28,0.42,-,2,,,,,
2025/2026,A2,Regular_Season,1st,4,528,9/11/2025 ,18:00 ,394 ,€ 563 ,O,Romeo Sorrento ,Massa Lubrense,3,0,8,3,16,9,21,9,25,13,8,3,16,10,21,13,25,15,8,6,16,11,21,16,25,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,25,31,72,13,5,42,1,0.57,0.33,65,2,2,43,0.66,-,9,,,,,
2025/2026,A2,Regular_Season,1st,5,529,16/11/2025 ,17:30 ,797 ,€ 4.580 ,C,Tinet Prata di Pordenone ,Prata,3,0,8,5,16,11,21,16,25,19,8,3,16,10,21,15,25,19,8,4,16,15,21,19,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,21,13,73,14,7,50,3,0.52,0.36,80,7,4,42,0.53,-,3,,,,,
2025/2026,A2,Regular_Season,1st,5,529,16/11/2025 ,17:30 ,797 ,€ 4.580 ,O,Banca Macerata Fisiomed MC ,Macerata,0,3,5,8,11,16,16,21,19,25,3,8,10,16,15,21,19,25,4,8,15,16,19,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,8,-9,62,12,3,59,7,0.41,0.22,80,9,3,32,0.4,-,4,,,,,
2025/2026,A2,Regular_Season,1st,5,530,16/11/2025 ,15:30 ,1.080 ,€ 1.147 ,C,Gruppo Consoli Sferc Brescia ,Brescia Atlantide,3,1,8,4,16,13,21,16,25,23,8,5,16,14,21,16,25,20,8,7,16,12,19,21,21,25,8,4,16,13,21,17,25,20,-,-,-,-,-,-,-,-,77,28,16,95,21,7,76,8,0.49,0.29,115,9,5,62,0.54,-,8,,,,,
2025/2026,A2,Regular_Season,1st,5,530,16/11/2025 ,15:30 ,1.080 ,€ 1.147 ,O,Prisma La Cascina Taranto ,Taranto,1,3,4,8,13,16,16,21,23,25,5,8,14,16,16,21,20,25,7,8,12,16,21,19,25,21,4,8,13,16,17,21,20,25,-,-,-,-,-,-,-,-,56,20,7,89,13,8,74,9,0.32,0.2,107,5,8,43,0.4,-,5,,,,,
2025/2026,A2,Regular_Season,1st,5,531,16/11/2025 ,18:00 ,749 ,€ 3.076 ,C,Abba Pineto ,Pineto,3,0,8,5,16,9,21,13,25,20,8,7,16,15,21,15,25,18,2,8,13,16,21,19,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,25,18,73,10,11,47,3,0.64,0.28,72,5,8,41,0.57,-,2,,,,,
2025/2026,A2,Regular_Season,1st,5,531,16/11/2025 ,18:00 ,749 ,€ 3.076 ,O,Sviluppo Sud Catania ,Acicastello,0,3,5,8,9,16,13,21,20,25,7,8,15,16,15,21,18,25,8,2,16,13,19,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,13,-2,62,15,3,63,11,0.46,0.25,67,5,2,33,0.49,-,8,,,,,
2025/2026,A2,Regular_Season,1st,5,532,16/11/2025 ,18:00 ,664 ,€ 5.199 ,C,Essence Hotels Fano ,Fano,2,3,8,4,15,16,19,21,26,28,6,8,16,12,21,17,25,20,8,3,16,7,21,14,25,16,7,8,14,16,19,21,20,25,3,5,0,0,0,0,10,15,67,29,3,106,16,8,79,16,0.33,0.15,111,5,16,49,0.44,-,10,,,,,
2025/2026,A2,Regular_Season,1st,5,532,16/11/2025 ,18:00 ,664 ,€ 5.199 ,O,Emma Villas Codyeco Lupi Siena ,Siena,3,2,4,8,16,15,21,19,28,26,8,6,12,16,17,21,20,25,3,8,7,16,14,21,16,25,8,7,16,14,21,19,25,20,5,3,0,0,0,0,15,10,81,33,14,103,24,13,90,8,0.48,0.18,122,11,10,52,0.43,-,16,,,,,
2025/2026,A2,Regular_Season,1st,5,533,16/11/2025 ,19:00 ,299 ,€ 750 ,C,Campi Reali Cantù ,Cantù,1,3,6,8,10,16,14,21,18,25,8,4,16,9,21,12,25,19,8,7,12,16,17,21,19,25,6,8,12,16,14,21,17,25,-,-,-,-,-,-,-,-,50,16,-6,80,15,2,71,10,0.55,0.23,101,9,13,40,0.4,-,8,,,,,
2025/2026,A2,Regular_Season,1st,5,533,16/11/2025 ,19:00 ,299 ,€ 750 ,O,Consar Ravenna ,Ravenna,3,1,8,6,16,10,21,14,25,18,4,8,9,16,12,21,19,25,7,8,16,12,21,17,25,19,8,6,16,12,21,14,25,17,-,-,-,-,-,-,-,-,68,24,13,93,22,10,65,3,0.62,0.29,89,5,8,45,0.51,-,13,,,,,
2025/2026,A2,Regular_Season,1st,5,534,16/11/2025 ,18:00 ,505 ,€ 2.440 ,C,Romeo Sorrento ,Massa Lubrense,3,1,6,8,13,16,20,21,25,22,8,6,16,14,21,19,25,22,7,8,15,16,18,21,23,25,8,6,16,14,21,19,27,25,-,-,-,-,-,-,-,-,69,20,5,99,19,3,77,3,0.62,0.45,114,8,9,59,0.52,-,7,,,,,
2025/2026,A2,Regular_Season,1st,5,534,16/11/2025 ,18:00 ,505 ,€ 2.440 ,O,Alva Inox 2 Emme Service Porto Viro ,Porto Viro,1,3,8,6,16,13,21,20,22,25,6,8,14,16,19,21,22,25,8,7,16,15,21,18,25,23,6,8,14,16,19,21,25,27,-,-,-,-,-,-,-,-,64,16,2,95,18,3,80,3,0.51,0.23,106,12,7,52,0.49,-,9,,,,,
2025/2026,A2,Regular_Season,1st,5,535,16/11/2025 ,18:00 ,691 ,€ 2.302 ,C,Rinascita Lagonegro ,Lagonegro,3,2,8,3,16,12,21,16,25,18,7,8,12,16,21,17,25,18,5,8,14,16,19,21,29,31,8,7,16,15,18,21,21,25,5,2,0,0,0,0,15,5,72,28,8,114,18,3,73,6,0.63,0.29,104,6,7,56,0.54,-,13,,,,,
2025/2026,A2,Regular_Season,1st,5,535,16/11/2025 ,18:00 ,691 ,€ 2.302 ,O,Virtus Aversa ,Aversa,2,3,3,8,12,16,16,21,18,25,8,7,16,12,17,21,18,25,8,5,16,14,21,19,31,29,7,8,15,16,21,18,25,21,2,5,0,0,0,0,5,15,72,23,-20,98,25,6,96,4,0.56,0.29,139,18,13,59,0.42,-,7,,,,,
2025/2026,A2,Regular_Season,1st,6,536,23/11/2025 ,16:00 ,678 ,€ 3.214 ,C,Prisma La Cascina Taranto ,Taranto,3,0,8,5,16,10,21,13,25,15,6,8,16,15,21,19,25,19,8,5,16,10,21,17,25,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,23,21,73,11,7,45,2,0.53,0.27,64,2,6,42,0.66,-,8,,,,,
2025/2026,A2,Regular_Season,1st,6,536,23/11/2025 ,16:00 ,678 ,€ 3.214 ,O,Campi Reali Cantù ,Cantù,0,3,5,8,10,16,13,21,15,25,8,6,15,16,19,21,19,25,5,8,10,16,17,21,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,9,-11,55,10,2,62,7,0.5,0.31,69,7,8,31,0.45,-,6,,,,,
2025/2026,A2,Regular_Season,1st,6,537,23/11/2025 ,16:00 ,1.324 ,€ 6.192 ,C,Consar Ravenna ,Ravenna,3,1,8,6,16,8,21,11,25,13,8,6,16,12,21,19,27,25,8,6,16,13,21,18,25,27,7,8,16,14,20,21,25,23,-,-,-,-,-,-,-,-,77,35,5,101,19,6,73,4,0.56,0.21,127,8,10,62,0.49,-,9,,,,,
2025/2026,A2,Regular_Season,1st,6,537,23/11/2025 ,16:00 ,1.324 ,€ 6.192 ,O,Rinascita Lagonegro ,Lagonegro,1,3,6,8,8,16,11,21,13,25,6,8,12,16,19,21,25,27,6,8,13,16,18,21,27,25,8,7,14,16,21,20,23,25,-,-,-,-,-,-,-,-,59,19,1,89,16,3,82,6,0.4,0.17,113,9,9,46,0.41,-,10,,,,,
2025/2026,A2,Regular_Season,1st,6,538,23/11/2025 ,18:00 ,622 ,€ 1.280 ,C,Virtus Aversa ,Aversa,3,0,6,8,15,16,21,20,25,22,8,7,16,12,21,16,25,19,4,8,16,15,21,18,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,21,4,74,17,4,50,5,0.42,0.18,73,5,4,35,0.48,-,13,,,,,
2025/2026,A2,Regular_Season,1st,6,538,23/11/2025 ,18:00 ,622 ,€ 1.280 ,O,Abba Pineto ,Pineto,0,3,8,6,16,15,20,21,22,25,7,8,12,16,16,21,19,25,8,4,15,16,18,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,13,-22,64,14,5,57,4,0.47,0.12,84,9,13,32,0.38,-,4,,,,,
2025/2026,A2,Regular_Season,1st,6,539,23/11/2025 ,17:00 ,619 ,€ 1.131 ,C,Emma Villas Codyeco Lupi Siena ,Siena,2,3,8,5,16,14,21,16,25,19,5,8,16,14,21,20,25,22,8,7,13,16,18,21,20,25,8,6,16,14,21,17,26,28,5,3,0,0,0,0,13,15,83,26,5,109,22,8,89,6,0.49,0.27,129,14,6,60,0.47,-,15,,,,,
2025/2026,A2,Regular_Season,1st,6,539,23/11/2025 ,17:00 ,619 ,€ 1.131 ,O,Romeo Sorrento ,Massa Lubrense,3,2,5,8,14,16,16,21,19,25,8,5,14,16,20,21,22,25,7,8,16,13,21,18,25,20,6,8,14,16,17,21,28,26,3,5,0,0,0,0,15,13,73,21,-3,109,20,5,87,8,0.45,0.23,134,5,15,62,0.46,-,6,,,,,
2025/2026,A2,Regular_Season,1st,6,540,22/11/2025 ,18:00 ,261 ,€ 542 ,C,Sviluppo Sud Catania ,Acicastello,3,2,6,8,15,16,21,20,24,26,8,5,14,16,21,18,25,27,8,2,16,12,21,15,25,23,8,6,15,16,19,21,26,24,5,4,0,0,0,0,15,12,87,34,19,115,17,3,96,6,0.38,0.21,134,12,7,62,0.46,-,22,,,,,
