Season,Division,Championship,Phase,Day,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,6,21/10/2025 ,20:30 ,3.091 ,€ 33.719 ,O,Sir Susa Scai Perugia ,Perugia,3,1,5,8,11,16,16,21,22,25,8,2,16,7,21,13,25,16,8,7,15,16,20,21,25,23,8,7,16,11,21,15,25,19,-,-,-,-,-,-,-,-,74,28,21,96,18,4,66,2,0.55,0.23,98,4,5,60,0.61,-,10,,,,Consar Ravenna ,Ravenna
2025/2026,SuperLega,Regular_Season,1st,2,7,26/10/2025 ,16:00 ,3.643 ,€ 29.222 ,C,Itas Trentino ,Trento ,3,0,8,4,16,12,21,19,25,21,8,5,16,12,21,17,25,21,8,6,16,12,21,16,28,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,20,12,76,19,5,56,3,0.55,0.09,91,7,6,49,0.54,-,6,,,,Cucine Lube Civitanova ,Lube
2025/2026,SuperLega,Regular_Season,1st,2,7,26/10/2025 ,16:00 ,3.643 ,€ 29.222 ,O,Sonepar Padova ,Padova,0,3,4,8,12,16,19,21,21,25,5,8,12,16,17,21,21,25,6,8,12,16,16,21,26,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,11,3,70,14,3,57,6,0.42,0.14,84,4,6,33,0.39,-,6,,,,CUS Cagliari ,Cagliari Cus
2025/2026,SuperLega,Regular_Season,1st,2,8,26/10/2025 ,20:30 ,5.229 ,€ 54.427 ,C,Sir Susa Scai Perugia ,Perugia,3,2,8,7,16,12,21,12,25,15,8,6,14,16,18,21,22,25,8,6,16,11,21,18,25,20,8,6,16,13,20,21,23,25,4,5,0,0,0,0,15,11,78,35,8,109,21,3,71,12,0.37,0.23,113,7,7,62,0.55,-,13,,,,Domotek Reggio Calabria ,Reggio Calabria
2025/2026,SuperLega,Regular_Season,1st,2,8,26/10/2025 ,20:30 ,5.229 ,€ 54.427 ,O,Cucine Lube Civitanova ,Lube,2,3,7,8,12,16,12,21,15,25,6,8,16,14,21,18,25,22,6,8,11,16,18,21,20,25,6,8,13,16,21,20,25,23,5,4,0,0,0,0,11,15,67,22,-7,97,26,10,88,7,0.44,0.28,115,6,13,50,0.43,-,7,,,,Emma Villas Codyeco Lupi Siena ,Siena
2025/2026,SuperLega,Regular_Season,1st,2,9,26/10/2025 ,18:00 ,2.704 ,€ 21.599 ,C,Gas Sales Bluenergy Piacenza ,Piacenza,3,1,7,8,16,14,21,20,28,26,5,8,11,16,13,21,14,25,8,4,16,10,21,13,25,17,8,6,16,13,21,16,25,18,-,-,-,-,-,-,-,-,71,24,12,91,14,5,70,7,0.57,0.16,98,10,3,57,0.58,-,9,,,,EnergyTime Campobasso ,Campobasso
2025/2026,SuperLega,Regular_Season,1st,2,9,26/10/2025 ,18:00 ,2.704 ,€ 21.599 ,O,Allianz Milano ,Milano,1,3,8,7,14,16,20,21,26,28,8,5,16,11,21,13,25,14,4,8,10,16,13,21,17,25,6,8,13,16,16,21,18,25,-,-,-,-,-,-,-,-,59,14,4,87,17,6,77,5,0.4,0.13,104,3,9,50,0.48,-,3,,,,ErmGroup Altotevere San Giustino ,San Giustino Pallavolo
2025/2026,SuperLega,Regular_Season,1st,2,10,26/10/2025 ,19:00 ,2.861 ,€ 29.521 ,C,Valsa Group Modena ,Modena,3,0,8,6,16,14,21,16,25,19,8,5,16,10,21,15,25,17,8,7,12,16,17,21,26,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,28,22,75,12,9,50,3,0.52,0.32,75,3,6,44,0.59,-,7,,,,Essence Hotels Fano ,Fano
2025/2026,SuperLega,Regular_Season,1st,2,10,26/10/2025 ,19:00 ,2.861 ,€ 29.521 ,O,Vero Volley Monza ,Monza,0,3,6,8,14,16,16,21,19,25,5,8,10,16,15,21,17,25,7,8,16,12,21,17,24,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,16,-8,61,11,3,63,10,0.44,0.25,76,4,7,35,0.46,-,6,,,,Gabbiano FarmaMed Mantova ,Mantova Top Team
2025/2026,SuperLega,Regular_Season,1st,2,11,25/10/2025 ,18:00 ,1.799 ,€ 12.918 ,C,Yuasa Battery Grottazzolina ,Grottazzolina,0,3,5,8,12,16,20,21,21,25,6,8,10,16,15,21,17,25,4,8,12,16,18,21,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,11,-18,60,14,4,54,13,0.39,0.19,51,2,9,27,0.53,-,3,,,,Gaia Energy Napoli ,Napoli
