Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,7,HOFF Mikkel,Setter,2001,198,DEN,DEN,from 15/10/2025,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,8,MATTEINI Alessio,Spiker,2005,195,PO,ITA,-,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,9,BRAGATTO Marco,Middleblocker,1997,196,FE,ITA,-,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,10,BINI Duccio,Libero,2004,185,FI,ITA,-,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,11,NELLI Gabriele,Diagonto,1993,208,LU,ITA,-,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,16,COMPAGNONI Federico,Middleblocker,2003,205,MN,ITA,-,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,18,RANDAZZO Luigi,Spiker,1994,200,CT,ITA,-,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,22,CEBAN Victorio,Middleblocker,2001,203,FE,ITA,-,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,30,ZONCA Paolo,Diagonto,1997,196,GO,ITA,from 15/03/2026,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,95,BALDINI Tommaso,Middleblocker,2005,196,MS,ITA,-,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,99,BENAVIDEZ Felipe,Spiker,1997,194,ARG,POR,-,-
A2,2025/2026,Emma Villas Codyeco Lupi Siena,Siena,14,MANAVINEZHAD Mohammadjavad,Spiker,1995,200,IRI,IRI,until 23/01/2026,-
A2,2025/2026,Essence Hotels Fano,Fano,1,BISOTTO Stefano,Setter,2005,189,CN,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,2,COSCIONE Manuel,Setter,1980,188,CN,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,3,IANNELLI Nicola,Libero,1999,185,BO,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,4,MERLO Pietro,Spiker,1999,200,VI,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,5,ROBERTI Federico,Spiker,2004,190,PU,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,7,SORCINELLI Giacomo,Spiker,2005,190,PU,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,8,GALDENZI Pietro,Middleblocker,2004,204,AN,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,9,RIZZI Jacopo,Libero,2004,192,PU,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,11,KAPICA Remigiusz,Diagonto,2000,200,POL,POL,from 15/03/2026,-
A2,2025/2026,Essence Hotels Fano,Fano,12,RICCI Fabio,Middleblocker,1994,205,RA,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,18,TONKONOH Maksym,Diagonto,2007,214,UKR,UKR,-,-
A2,2025/2026,Essence Hotels Fano,Fano,21,FORNAL Jan,Spiker,1995,191,POL,POL,-,-
A2,2025/2026,Essence Hotels Fano,Fano,23,MENGOZZI Stefano,Middleblocker,1985,202,RA,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,77,FALCIONI Christian,Diagonto,2006,195,PU,ITA,-,-
A2,2025/2026,Essence Hotels Fano,Fano,22,ARGUELLES SANCHEZ Edwin,Diagonto,2003,199,CUB,ITA,until 22/12/2025,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,1,ROSSINI Salvatore,Libero,1986,185,LT,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,3,CECH Daniel,Spiker,1997,200,CZE,CZE,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,5,CAVUTO Oreste,Spiker,1996,199,CH,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,6,SOLAZZI Andrea,Middleblocker,2001,200,MN,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,7,TONDO Alessandro,Middleblocker,1991,202,LE,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,8,COMINETTI Roberto,Spiker,1997,190,BG,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,9,CARGIOLI Antonio,Middleblocker,1994,200,MI,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,10,FRANZONI Andrea,Libero,1989,186,BS,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,11,MANCINI Filippo,Setter,2004,188,RN,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,14,ZAMBONARDI Filippo,Spiker,2009,186,BS,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,15,BETTINZOLI Andrea,Spiker,2003,190,BS,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,20,BERGER Martin,Middleblocker,2003,205,BZ,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,21,GHIRARDI Pietro,Setter,2005,196,BS,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,46,BROZZI Michele,Setter,2009,177,BS,ITA,-,-
A2,2025/2026,Gruppo Consoli Sferc Brescia,Brescia Atlantide,99,LUCCONI Manuele,Diagonto,1999,194,PU,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,1,MAIORANO Simone,Setter,2006,180,TA,ITA,from 08/01/2026,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,2,ANTONOV Oleg,Spiker,1988,198,RUS,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,3,LUZZI Davide,Libero,2004,180,TA,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,4,LUSETTI Matteo,Setter,2002,190,MO,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,5,CIANCIOTTA Nicola,Spiker,2001,196,BA,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,6,GALIANO Gabriel,Middleblocker,2006,203,BA,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,7,SANFILIPPO Gabriele,Middleblocker,2000,200,CT,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,9,LORUSSO Luca,Spiker,2000,190,BA,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,10,HOPT Jannis Tom,Diagonto,1996,205,GER,GER,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,11,GOLLINI Riccardo,Libero,2000,194,MO,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,13,PIEROTTI Marco,Spiker,1996,193,PU,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,15,BOSSI Elia,Middleblocker,1994,202,TS,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,16,MAIA Guilherme,Setter,2002,185,POR,POR,from 02/02/2026,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,19,GAVENDA Filip,Spiker,1996,202,SVK,SVK,from 07/01/2026,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,21,ZANOTTI Andrea,Middleblocker,1997,195,VR,ITA,-,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,8,YAMAMOTO Ryu,Setter,2000,185,JPN,JPN,until 02/01/2026,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,99,LAWANI Ibrahim,Diagonto,2001,199,FRA,FRA,from 21/10/2025 to 02/01/2026,-
A2,2025/2026,Prisma La Cascina Taranto,Taranto,14,MITRASINOVIC Tomislav,Diagonto,2000,206,CRO,CRO,until 13/10/2025,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,2,FORTUNATO Nicola,Libero,1995,171,PZ,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,3,ARASOMWAN Martins,Middleblocker,1995,200,NGR,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,5,ESPOSITO Lorenzo,Setter,2003,182,AP,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,7,RAFFAELLI Giacomo,Spiker,1995,194,GR,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,9,PEGORARO Andrea,Middleblocker,2003,198,VE,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,10,CANTAGALLI Diego,Diagonto,1999,203,PA,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,12,TOGNONI Gabriele,Middleblocker,2000,203,AL,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,15,ARMENANTE Stefano,Spiker,1999,190,CS,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,16,SPEROTTO Lorenzo,Setter,1999,190,VE,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,17,ANDONOVIC Aleksandar,Spiker,1997,198,SRB,SRB,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,18,MASTRACCI Giacomo,Spiker,2001,194,LT,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,24,DE ANGELIS Carlo,Libero,1996,190,LT,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,26,SANCHI Leonardo,Diagonto,2006,198,RN,ITA,-,-
A2,2025/2026,Rinascita Lagonegro,Lagonegro,8,SIMONE Vincenzo,Setter,2008,175,PZ,ITA,until 22/09/2025,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,1,TULONE Calogero,Setter,1996,185,AG,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,3,RUSSO Davide Luigi,Libero,2001,180,LE,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,4,IURISCI Matteo,Spiker,2007,188,CH,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,5,PARRAGUIRRE Vicente,Spiker,1994,194,CHI,CHI,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,6,POL Alberto,Spiker,2001,201,TV,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,7,PETKOV Preslav,Middleblocker,2003,208,BUL,BUL,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,8,PATRIARCA Stefano,Middleblocker,1987,206,IS,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,9,MALAVASI Andrea,Spiker,2005,194,MO,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,10,PONTECORVO Paolo,Libero,1998,175,NA,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,11,BALDI Andrea,Diagonto,2000,197,BS,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,15,FERRATO Leonardo,Setter,2001,196,PD,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,18,FORTES Francesco,Middleblocker,1999,197,PA,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,21,GARGIULO Mariano,Spiker,2002,182,NA,ITA,-,-
A2,2025/2026,Romeo Sorrento,Massa Lubrense,35,BRIGNACH Davide,Diagonto,2004,201,BZ,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,1,PINELLI Riccardo,Setter,1991,193,MO,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,2,COTTARELLI Francesco,Setter,1996,196,VR,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,3,BASIC Luka,Spiker,1995,201,FRA,FRA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,4,GITTO Carmelo,Middleblocker,1987,200,ME,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,5,VOLPE Nicolò,Middleblocker,2003,202,TO,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,7,MARSHALL Leonel,Spiker,1979,199,CUB,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,8,CALETTI Leonardo,Libero,2000,182,VA,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,10,TOROSANTUCCI Luigi,Middleblocker,2004,208,CH,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,11,BALESTRA Cosimo,Middleblocker,2003,200,TA,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,12,NWACHUKWU Arinze Kelvin,Diagonto,2002,215,NGR,NGR,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,13,GASPARINI Andrea,Diagonto,1996,200,CO,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,14,PAROLARI Raul,Spiker,2003,200,TN,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,17,FERI Jan,Spiker,2004,194,GO,ITA,-,-
A2,2025/2026,Sviluppo Sud Catania,Acicastello,18,CARBONE Peppino,Libero,1996,187,RC,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,2,KATALAN Nicolò,Middleblocker,1998,200,TS,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,3,ALBERINI Alessio,Setter,1998,185,VE,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,4,SIST Diego,Spiker,2005,185,PN,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,5,BENEDICENTI Alberto,Libero,2001,180,TO,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,6,PILLON Matteo,Setter,2006,190,TV,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,7,SCOPELLITI Simone,Middleblocker,1994,205,RC,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,9,ERNASTOWICZ Marcin,Spiker,1997,193,POL,POL,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,10,AIELLO Alex Francesco Maria,Libero,2002,175,MB,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,11,MENEGHEL Samuele,Middleblocker,2001,195,PN,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,12,TERPIN Jernej,Spiker,1996,195,GO,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,17,UMEK David,Spiker,1998,197,TS,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,20,BRUNO Manuel,Spiker,1994,181,CS,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,32,GAMBA Kristian,Diagonto,2000,190,AO,ITA,-,-
A2,2025/2026,Tinet Prata di Pordenone,Prata,99,FUSARO Francesco,Middleblocker,1999,201,VE,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,3,MINELLI Francesco,Setter,2002,193,BO,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,4,VATTOVAZ Luis,Diagonto,1999,196,TS,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,5,TALLONE Alessio,Spiker,1999,199,PU,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,6,RAFFA Mattia,Libero,1996,184,ZAM,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,7,MATTEI Andrea,Middleblocker,1993,202,RM,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,8,MAZZA Federico,Middleblocker,1996,200,MI,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,9,MOTZO Matheus,Diagonto,1999,192,BRA,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,10,TIOZZO Nicola,Spiker,1993,198,VE,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,11,GARNICA Fernando Gabriel,Setter,1980,190,ARG,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,12,IORIO Lorenzo,Middleblocker,2007,207,NA,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,14,AGOUZOUL Omar,Spiker,2004,185,CE,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,16,GUERRINI Francesco,Spiker,2003,188,PG,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,20,BENAVIDES Juan Felipe Castaneda,Spiker,2003,201,COL,COL,from 09/02/2026,-
A2,2025/2026,Virtus Aversa,Aversa,90,VOLPATO Marco,Middleblocker,1990,198,VI,ITA,-,-
A2,2025/2026,Virtus Aversa,Aversa,17,MENTASTI Edoardo,Spiker,2002,185,TN,ITA,until 23/01/2026,-
A3,2025/2026,Belluno Volley,Belluno,1,MARINI DA COSTA Gabriel,Spiker,2006,200,RM,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,2,MOZZATO Matteo,Middleblocker,2002,197,TV,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,3,MARSILI Sebastiano,Setter,1996,181,TV,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,4,HOFFER Nicolò,Libero,2000,180,VR,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,5,POZZEBON Luca,Setter,2005,189,TV,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,6,GIANNOTTI Stefano,Diagonto,1989,197,PD,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,7,BORTOLETTO Filippo,Middleblocker,2006,195,PD,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,8,BASSO Enrico,Middleblocker,2000,197,PD,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,9,MICHIELON Leonardo,Diagonto,2006,198,PD,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,10,CORRADO Francesco,Spiker,1997,196,KR,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,11,CENGIA Riccardo,Middleblocker,2001,198,VI,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,12,BERGER Alexander,Spiker,1988,193,AUT,AUT,-,-
A3,2025/2026,Belluno Volley,Belluno,16,TOSATTO Giovanni,Libero,2006,180,TV,ITA,-,-
A3,2025/2026,Belluno Volley,Belluno,18,LOGLISCI Gianluca,Spiker,1998,195,MN,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,1,BERTONI Andrea,Middleblocker,2005,195,MO,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,2,SIGNORINI Davide,Spiker,2005,194,VR,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,3,BIGOZZI Martino,Middleblocker,2008,197,BO,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,4,CHEVALIER Martin,Spiker,2000,195,CZE,CZE,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,5,MARINI Andrea,Libero,2005,180,MB,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,7,SCALTRITI Riccardo,Spiker,1994,196,RE,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,9,BARONE Rocco,Middleblocker,1987,198,RC,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,11,MIAN Riccardo,Diagonto,1998,195,UD,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,14,ALBERGHINI Riccardo,Middleblocker,2004,197,MO,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,16,CATELLANI Mattia,Setter,1999,188,RE,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,18,SIGHINOLFI Nicholas,Middleblocker,1994,206,MO,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,21,SANGUANINI Andrea,Diagonto,2006,197,MN,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,23,ZECCA Alessandro,Libero,2004,183,RE,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,24,MAZZON Riccardo,Spiker,1996,205,PD,ITA,-,-
A3,2025/2026,Conad Reggio Emilia,Reggio Emilia,44,SANTAMBROGIO Filippo,Setter,1999,181,MI,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,2,PILUDU Marco Stefano,Libero,2007,173,CA,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,3,AGAPITOS Nicola,Spiker,2005,202,CN,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,4,ZANETTIN Ivan,Diagonto,1997,196,VEN,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,6,MENICALI Michael,Middleblocker,1990,203,TO,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,8,BIASOTTO Morgan,Diagonto,2003,205,GE,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,10,MUCCIONE Riccardo,Setter,1993,186,CA,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,12,LUISETTO Michele,Middleblocker,1996,190,PD,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,14,SCIARRETTI Gabriele,Middleblocker,2004,193,TO,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,16,BASSO Lorenzo Antonio,Libero,2008,183,VA,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,17,GOZZO Stefano,Spiker,1994,200,PD,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,18,TRUOCCHIO Ranieri,Spiker,2004,198,PT,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,22,SORU Francesco,Spiker,2005,187,OR,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,25,GALIAZZO Luca,Middleblocker,2005,201,VE,ITA,-,-
A3,2025/2026,CUS Cagliari,Cagliari Cus,88,FOLGUERA ESTRUGA Xavier,Setter,1988,182,AND,ESP,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,1,TESONE Vitale,Setter,2007,183,PG,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,2,CIPRIANI Nico,Spiker,2002,190,PG,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,3,BIFFI Jacopo,Setter,2000,188,LC,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,4,CHERUBINI Giacomo,Diagonto,1994,184,PG,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,5,MARZOLLA Simone,Diagonto,1999,197,VE,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,7,FAVARO Gioele,Spiker,2003,192,PD,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,8,CHIELLA Leonardo,Libero,2006,180,GR,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,9,PROCELLI Flavio,Middleblocker,2002,200,AR,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,10,ALPINI Matteo,Spiker,2001,196,PO,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,11,COMPAGNONI Mirco,Middleblocker,2003,202,BS,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,13,POCHINI Filippo,Libero,1989,185,PG,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,14,CAPPELLETTI Niccolò,Spiker,1996,196,PG,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,17,QUARTA Augusto,Middleblocker,1993,200,BO,ITA,-,-
A3,2025/2026,ErmGroup Altotevere San Giustino,San Giustino Pallavolo,22,MASALA Francesco Elia,Middleblocker,2005,200,PG,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,1,BACIOCCO Leonardo,Spiker,2000,197,GE,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,3,CREMONESI Michele,Diagonto,2010,190,MN,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,4,EL MOUDDEN Omar,Libero,2002,182,BA,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,5,BALDAZZI Alberto,Diagonto,1998,199,FE,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,6,SIMONI Francesco,Middleblocker,1999,198,TN,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,7,ANDRIOLA Francesco,Middleblocker,2002,194,CT,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,9,PINALI Roberto,Spiker,1995,187,BO,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,11,SOMMAVILLA Riccardo,Libero,1997,172,VR,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,14,GUERRIERO Filippo,Setter,2003,187,GE,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,15,ZANINI Matteo,Middleblocker,1994,200,VR,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,16,GOLA Edoardo,Spiker,1999,199,MN,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,17,SELLERI Giacomo,Setter,2005,185,LC,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,19,TOAJARI Ludovico,Middleblocker,2003,194,MN,ITA,-,-
A3,2025/2026,Gabbiano FarmaMed Mantova,Mantova Top Team,24,MAIOCCHI Matteo,Spiker,1998,192,MI,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,1,BALLAN Riccardo,Middleblocker,1997,197,PD,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,3,QUARANTA Ambrogio,Middleblocker,2003,198,CN,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,4,SCHIRO Andrea,Spiker,2001,203,VI,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,5,GUIOTTO Giacomo,Spiker,2007,190,CN,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,6,SACRIPANTI Mauro,Spiker,1998,188,RM,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,7,CARLEVARIS Andrea,Setter,1993,181,TO,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,8,RAINERO Lorenzo,Middleblocker,2002,202,CN,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,9,GALAVERNA Andrea,Spiker,1994,195,CN,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,10,RABBIA Paolo,Libero,1997,175,CN,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,11,ROSSATO Luca,Diagonto,2001,200,LT,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,12,BACCO Andrea,Spiker,2003,185,MB,ITA,from 27/12/2025,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,14,GIROTTO Roberto,Diagonto,2005,195,TO,ITA,-,-
A3,2025/2026,Monge Gerbaudo Savigliano,Savigliano ,16,BONOLA Paolo,Middleblocker,1992,200,SO,ITA,from 31/10/2025,-
