Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,1,Bridi Ulrike,-,-,-,-,*,6,3,-,2,1,1,9,1,-,1,-,-,-,3 ,-,-,2,0.67 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,2,Dodson Anna,-,-,-,5,5,5,2,-,13,6,8,14,3,2,1,-,1.00 ,1.00 ,16 ,1 ,1,8,0.50 ,-,3 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,3,Malual Adhuoljok John Majak,-,-,-,3,3,3,6,-,20,3,7,15,1,-,-,-,-,-,44 ,6 ,6,19,0.43 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,5,Siftar Mija,-,-,-,-,-,*,*,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,6,D'Odorico Sofia,-,-,-,4,4,4,1,-,10,2,-7,11,4,1,28,3,0.43 ,0.14 ,26 ,4 ,6,8,0.31 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,7,Sylves Amandha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,8,Bussoli Silvia,-,C,-,*,*,-,-,-,-,-,-,1,-,-,1,-,-,-,1 ,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,9,Battistoni Ilaria,-,-,-,6,6,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,10,Moro Ilenia,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,24,1,0.92 ,0.50 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,12,Harbin Danielle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,15,Scialanca Rebecca,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,16,Rapello Elena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,18,Akrari Yasmina,-,-,-,2,2,2,5,-,5,2,1,15,3,-,-,-,-,-,11 ,1 ,-,4,0.36 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,21,Davyskiba Anna,-,-,-,1,1,1,4,-,15,3,4,16,2,3,34,3,0.62 ,0.32 ,31 ,3 ,3,12,0.39 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,2,Traballi Gaia,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,3,Bechis Marta,-,-,-,-,-,-,*,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,4,Skinner Avery,-,-,-,1,1,4,4,-,14,4,7,12,1,-,23,3,0.48 ,0.30 ,27 ,1 ,2,12,0.44 ,-,2 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,5,Castillo Brenda,L,-,-,*,*,*,*,-,-,-,-3,-,-,-,18,3,0.61 ,0.56 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,6,Ruddins Lindsey Ora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,7,Franklin Sarah,-,-,-,-,*,-,-,-,-,-,-,-,-,-,1,-,1.00 ,-,2 ,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,8,Ribechi Manuela,-,-,-,*,*,*,*,-,-,-,-,8,-,-,2,-,1.00 ,0.50 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,9,Bosetti Caterina,-,-,-,4,4,1,1,-,4,1,-4,18,1,-,27,5,0.48 ,0.26 ,10 ,-,2,3,0.30 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,10,Ognjenovic Maja,-,C,-,6,6,3,3,-,3,1,2,15,1,-,-,-,-,-,6 ,-,-,3,0.50 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,11,Mancini Giulia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,13,Graziani Emma,-,-,-,2,2,5,5,-,9,5,5,13,2,1,-,-,-,-,10 ,1 ,1,4,0.40 ,-,4 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,14,Nwakalor Linda,-,-,-,-,*,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,17,Antropova Ekaterina,-,-,-,3,3,6,6,-,31,15,23,21,2,6,-,-,-,-,41 ,6 ,-,20,0.49 ,-,5 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,21,Weitzel Camilla,-,-,-,5,5,2,2,-,9,4,5,11,3,-,-,-,-,-,11 ,-,1,5,0.45 ,-,4 ,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,1,Acciarri Nausica,-,-,-,2,2,2,2,-,4,1,-1,12,1,1,-,-,-,-,10 ,2 ,2,3,0.30 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,4,Morello Rachele,-,-,-,3,3,3,3,-,-,-,-2,12,1,-,1,-,-,-,2 ,1 ,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,5,Valoppi Sofia,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,11,2,0.45 ,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,6,Bertolino Bianca,-,-,-,*,*,*,*,-,1,1,-,1,-,-,-,-,-,-,6 ,-,1,-,-,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,7,Zuccarelli Agata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,8,Colzi Alessandra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,9,Villani Francesca,-,-,-,1,1,1,1,-,7,-,-4,12,-,-,21,5,0.48 ,0.29 ,30 ,2 ,4,6,0.20 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,10,Knollema Jolien,-,-,-,4,4,4,4,-,14,3,6,11,2,-,43,1,0.58 ,0.30 ,47 ,1 ,4,12,0.26 ,-,2 ,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,12,Malesevic Ana,-,-,-,5,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1 ,-,-,1,1.00 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,13,Bukilic Vanja,-,-,-,6,6,6,6,-,10,4,4,9,1,2,-,-,-,-,21 ,4 ,1,6,0.29 ,-,2 ,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,14,Tanase Alice,-,-,-,-,*,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,15,Kacmaz Begum,-,-,-,*,5,5,5,-,4,3,3,11,1,-,1,-,1.00 ,1.00 ,13 ,-,-,2,0.15 ,-,2 ,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,17,Lapini Bianca,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,C,Il Bisonte Firenze,Azzurra Volley Firenze,19,Agrifoglio Beatrice,-,C,-,*,*,-,*,-,-,-,-1,-,-,-,-,-,-,-,1 ,-,1,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,1,Antunovic Karla,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,4,Kunzler Laura,-,-,-,2,4,5,2,-,16,6,7,18,4,-,34,3,0.59 ,0.32 ,25 ,1 ,1,12,0.48 ,-,4 ,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,5,Spirito Ilaria,-,C,-,*,*,*,*,-,-,-,-1,-,-,-,18,1,0.61 ,0.28 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,7,Ferrarini Sofia,-,-,-,-,*,-,-,-,-,-,-1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,8,Bonafede Carola,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,9,Alberti Sara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,10,Van Aalen Sarah,-,-,-,1,3,4,1,-,1,1,-2,22,3,1,-,-,-,-,1 ,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,11,Nervini Stella,-,-,-,5,1,2,5,-,17,8,13,16,1,1,10,-,0.50 ,0.30 ,39 ,2 ,1,16,0.41 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,12,Bah Halimatou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,13,Németh Anett,-,-,-,4,6,1,4,-,13,7,-,16,5,1,-,-,-,-,34 ,3 ,5,9,0.26 ,-,3 ,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,14,Cekulaev Anastasia,-,-,-,6,2,3,6,-,13,7,10,13,1,2,-,-,-,-,16 ,2 ,-,10,0.63 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,15,Dambrink Elles,-,-,-,-,-,*,-,-,2,1,2,-,-,-,-,-,-,-,6 ,-,-,2,0.33 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,17,Gray Anna,-,-,-,3,5,6,3,-,16,6,14,9,1,-,1,-,1.00 ,-,15 ,-,1,11,0.73 ,-,5 ,
2025/2026,A1,Regular_Season,1st,1,-,3003,6/10/2025 ,20:30 ,732 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,23,Lotti Silvia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,1,Kump Aliz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,2,Turlà Sofia,-,-,-,-,*,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,3,Perinelli Elena,-,-,-,4,4,4,1,4,12,6,2,16,1,-,34,4,0.35 ,0.29 ,39 ,3 ,2,10,0.26 ,-,2 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,4,Lemmens Nathalie,-,-,-,5,5,5,2,5,8,2,3,15,3,-,-,-,-,-,16 ,1 ,1,7,0.44 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,5,Sirressi Imma,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,6,Passeri Giulia 0,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,8,Ricci Maria Irene,-,-,-,6,6,6,3,6,4,1,1,14,1,-,2,-,-,-,5 ,-,2,2,0.40 ,-,2 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,9,Markovic Nika,-,-,-,*,*,-,*,*,3,1,-,4,1,-,-,-,-,-,10 ,1 ,1,3,0.30 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,10,Recchia Stefania,L,-,-,*,*,*,*,*,-,-,-1,-,-,-,27,1,0.63 ,0.56 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,11,Bartolini Benedetta,-,-,-,*,*,-,*,*,3,2,2,3,-,1,2,-,1.00 ,-,2 ,-,-,-,-,-,2 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,12,Mazzaro Alessia,-,-,-,2,2,2,5,2,6,3,2,25,3,1,-,-,-,-,8 ,-,-,2,0.25 ,-,3 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,14,Fiesoli Alessia,-,-,-,*,-,*,*,-,1,1,-,-,-,-,-,-,-,-,6 ,-,1,1,0.17 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,16,Gardini Beatrice,-,-,-,1,1,1,4,1,20,5,10,17,1,-,30,3,0.50 ,0.40 ,62 ,-,6,18,0.29 ,-,2 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,C,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,22,Williams Kashauna,-,-,-,3,3,3,6,3,16,7,7,15,2,1,-,-,-,-,36 ,4 ,3,14,0.39 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,1,Bici Erblira,-,-,-,4,5,1,5,2,16,2,8,24,-,1,-,-,-,-,51 ,4 ,3,13,0.25 ,-,2 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,4,Feduzzi Alice,-,-,-,*,*,-,-,*,-,-,-1,-,-,-,6,1,0.50 ,0.50 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,5,Carletti Federica,-,-,-,-,-,*,-,-,2,1,1,-,-,-,-,-,-,-,2 ,1 ,-,1,0.50 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,6,Giovannini Gaia,-,-,-,5,6,2,6,3,15,10,4,14,3,-,30,2,0.57 ,0.37 ,43 ,2 ,3,14,0.33 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,7,De Bortoli Chiara,L,-,-,*,*,*,*,*,-,-,-1,-,-,-,19,1,0.53 ,0.47 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,8,Candi Sonia,-,C,-,6,1,3,1,4,10,1,7,14,2,-,3,-,-,-,14 ,1 ,-,5,0.36 ,-,5 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,9,Bartolucci Valentina,-,-,-,1,2,4,2,5,4,3,2,20,2,-,-,-,-,-,7 ,-,-,4,0.57 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,14,Butigan Bozana,-,-,-,3,4,6,4,1,11,4,7,16,2,-,3,1,0.33 ,0.33 ,12 ,1 ,-,7,0.58 ,-,4 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,16,Mitkova Tsvetomira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,19,Ungureanu Adelina,-,-,-,-,*,*,3,6,12,4,5,8,2,-,15,2,0.53 ,0.47 ,21 ,2 ,1,11,0.52 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,20,Stoyanova Mikaela,-,-,-,*,-,*,-,-,1,1,-3,3,2,-,-,-,-,-,9 ,1 ,1,-,-,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,21,Omoruyi Loveth Oghosasere,-,-,-,2,3,5,-,-,10,3,5,7,-,-,21,-,0.57 ,0.48 ,21 ,1 ,4,10,0.48 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,22,Lazàro Castellanos Raquel,-,-,-,-,*,*,-,-,1,-,-1,3,1,-,-,-,-,-,1 ,-,1,-,-,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3004,6/10/2025 ,20:30 ,1.150 ,-,O,Megabox Ondulati Del Savio Vallefoglia,Megabox Vallefoglia,23,Orsi Angelica,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3005,6/10/2025 ,20:30 ,3.237 ,-,C,Numia Vero Volley Milano,Vero Volley,1,Miner Kamerynn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3005,6/10/2025 ,20:30 ,3.237 ,-,C,Numia Vero Volley Milano,Vero Volley,2,Gelin Juliette,-,-,-,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3005,6/10/2025 ,20:30 ,3.237 ,-,C,Numia Vero Volley Milano,Vero Volley,4,Bosio Francesca,-,-,-,1,2,1,-,-,2,1,1,12,1,-,-,-,-,-,3 ,-,-,1,0.33 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3005,6/10/2025 ,20:30 ,3.237 ,-,C,Numia Vero Volley Milano,Vero Volley,6,Modesti Nicole,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3005,6/10/2025 ,20:30 ,3.237 ,-,C,Numia Vero Volley Milano,Vero Volley,7,Pietrini Elena,-,-,-,-,-,*,-,-,1,-,1,3,-,-,2,-,0.50 ,0.50 ,1 ,-,-,1,1.00 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3005,6/10/2025 ,20:30 ,3.237 ,-,C,Numia Vero Volley Milano,Vero Volley,9,Plak Celeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3005,6/10/2025 ,20:30 ,3.237 ,-,C,Numia Vero Volley Milano,Vero Volley,10,Sartori Benedetta Maria,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3005,6/10/2025 ,20:30 ,3.237 ,-,C,Numia Vero Volley Milano,Vero Volley,11,Danesi Anna,-,-,-,3,4,3,-,-,2,1,2,10,-,-,-,-,-,-,6 ,-,-,1,0.17 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3005,6/10/2025 ,20:30 ,3.237 ,-,C,Numia Vero Volley Milano,Vero Volley,14,Kurtagic Hena,-,-,-,6,1,6,-,-,5,2,4,9,-,-,3,1,-,-,4 ,-,-,3,0.75 ,-,2 ,
