Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,7,Stankovic Dragan,-,-,-,6,6,*,*,-,-,-,-3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,8,Pellacani Marco,-,-,-,-,-,2 ,3,-,1,-,-4,6,2,-,-,-,-,-,2,-,-,1,0.50 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,9,Petkov Iliya,-,-,-,3,3,5 ,6,-,6,4,-1,13,3,-,-,-,-,-,6,-,2,3,0.50 ,-,3,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,12,Petkovic Dusan,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,13,Fedrizzi Michele,-,-,-,2,2,1 ,2,-,10,3,-3,17,3,1,19,3,0.26 ,0.11 ,20,2,2,8,0.40 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,15,Marchiani Manuele,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,18,Koprivica Lazar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,21,Tatarov Georgi,-,-,-,4,4,-,-,-,4,1,-3,3,2,-,2,1,-,-,12,1,2,3,0.25 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,44,Marchisio Andrea,L,-,-,*,*,*,*,-,-,-,-3,-,-,-,21,3,0.48 ,0.33 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,1,Zingel Aidan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
