Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,C,Itas Trentino ,Trento ,26,Acquarone Alessandro,-,-,-,-,*,*,-,-,-,-,-1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,C,Itas Trentino ,Trento ,33,Torwie Simon Valentin,-,-,-,1,6,1 ,-,-,5,3,-3,8,4,-,-,-,-,-,7,-,-,4,0.57 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,1,Currie Landon,L,-,-,*,*,*,-,-,-,-,-2,-,-,-,13,2,0.46 ,0.08 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,4,Finauri Alessandro,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,7,Barotto Tommaso,-,-,-,4,5,4 ,-,-,6,1,-2,5,1,-,-,-,-,-,17,3,4,4,0.24 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,8,Plak Fabian,-,-,-,3,4,-,-,-,3,1,-1,5,1,-,1,-,1.00 ,1.00 ,3,-,-,1,0.33 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,9,Tarumi Yuga,-,-,-,2,3,5 ,-,-,6,-,-1,7,2,-,12,1,0.50 ,0.25 ,18,-,1,6,0.33 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,11,Fanizza Alessandro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,12,Diamantini Enrico,-,-,-,-,-,3 ,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,16,Salsi Nicola,-,-,-,1,2,1 ,-,-,-,-,-1,11,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,18,Mazzone Daniele,-,-,-,6,1,-,-,-,1,-,-1,4,2,-,-,-,-,-,3,-,-,1,0.33 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,19,Guzzo Tommaso,-,-,-,*,*,-,-,-,2,-,-1,1,1,-,-,-,-,-,5,-,2,2,0.40 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,20,Bayram Efe,-,-,-,5,6,-,-,-,2,1,-1,3,-,-,12,2,0.25 ,0.08 ,6,-,-,2,0.33 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,24,Tosti Jacopo,-,-,-,-,-,6 ,-,-,1,-,-,2,1,-,-,-,-,-,2,-,-,1,0.50 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,127,25/2/2026 ,20:30 ,3.293 ,€ 20.931 ,O,Cisterna Volley ,Cisterna,99,Muniz De Oliveira Daniel,-,-,-,*,*,2 ,-,-,11,4,-2,9,4,2,19,2,0.42 ,0.11 ,20,1,3,7,0.35 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,2,Argilagos Bryan,-,-,-,-,*,2 ,-,-,1,1,-3,8,2,-,1,-,-,-,1,-,-,-,-,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,3,Ishikawa Yuki,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,4,Dzavoronok Donovan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,5,Cvanciger Gabrijel,-,-,-,*,*,5 ,-,-,4,2,-2,6,3,1,-,-,-,-,8,2,-,2,0.25 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,6,Giannelli Simone,-,-,-,2,2,-,-,-,-,-,-3,5,2,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,10,Ben Tara Wassim,-,-,-,5,5,-,-,-,2,-,-3,5,1,-,-,-,-,-,5,2,1,2,0.40 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,11,Solé Sebastian,-,-,-,-,4,4 ,-,-,5,-,1,5,-,-,-,-,-,-,5,-,-,4,0.80 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,12,Colaci Massimo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,16,Semeniuk Kamil,-,-,-,6,6,6 ,-,-,11,2,7,13,1,1,17,1,0.53 ,0.24 ,16,-,-,10,0.63 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,17,Plotnytskyi Oleh,-,-,-,3,3,3 ,-,-,18,9,10,13,3,2,15,1,0.67 ,0.53 ,22,3,-,13,0.59 ,-,3,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,19,Russo Roberto,-,-,-,1,1,1 ,-,-,8,1,7,14,1,-,1,-,1.00 ,1.00 ,7,-,-,6,0.86 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,20,Gaggini Marco,L,-,-,*,*,*,-,-,-,-,-,-,-,-,12,-,0.17 ,0.08 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,C,Sir Susa Scai Perugia ,Perugia,22,Crosato Federico,-,-,-,4,-,-,-,-,4,2,1,4,2,1,-,-,-,-,2,-,-,2,1.00 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,2,Magalini Giulio,-,-,-,1,1,1 ,-,-,11,2,2,11,4,1,7,1,0.43 ,0.29 ,18,1,2,9,0.50 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,3,Cubito Marco,-,-,-,-,-,*,-,-,1,-,-,1,-,-,1,-,-,-,1,-,-,1,1.00 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,4,Vecchi Riccardo,-,-,-,*,-,*,-,-,-,-,-1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,5,Falaschi Marco,-,-,-,6,6,6 ,-,-,-,-,-1,8,-,-,-,-,-,-,2,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,7,Stankovic Dragan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,8,Pellacani Marco,-,-,-,5,5,5 ,-,-,4,-,2,5,1,-,-,-,-,-,7,-,-,4,0.57 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,9,Petkov Iliya,-,-,-,2,2,2 ,-,-,4,1,-7,11,3,1,-,-,-,-,8,1,2,3,0.38 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,13,Fedrizzi Michele,-,-,-,3,3,3 ,-,-,7,1,-6,11,3,-,5,1,0.40 ,0.40 ,18,3,4,7,0.39 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,15,Marchiani Manuele,-,-,-,-,-,*,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,18,Koprivica Lazar,-,-,-,4,4,4 ,-,-,7,2,2,8,-,-,25,-,0.44 ,0.08 ,20,3,1,7,0.35 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,128,25/2/2026 ,20:30 ,3.458 ,€ 22.992 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,44,Marchisio Andrea,L,-,-,*,*,*,-,-,-,-,-3,-,-,-,20,3,0.65 ,0.35 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,2,D'Heer Wout,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,3,Gargiulo Giovanni Maria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,4,Loeppky Eric,-,-,-,3,5,-,-,-,10,4,9,13,-,2,1,-,1.00 ,1.00 ,10,-,1,8,0.80 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,5,Orduna Santiago,-,-,-,-,*,2 ,-,-,3,2,3,5,-,1,1,-,-,-,1,-,-,1,1.00 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,6,Bisotto Francesco,L,-,-,-,-,*,-,-,-,-,-1,-,-,-,5,1,0.20 ,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,7,Balaso Fabio,L,-,-,*,*,-,-,-,-,-,-1,-,-,-,7,1,0.71 ,0.57 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,8,Boninfante Mattia,-,-,-,6,2,-,-,-,2,2,-1,5,2,-,-,-,-,-,1,-,-,1,1.00 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,11,Nikolov Aleksandar,-,-,-,4,6,6 ,-,-,16,9,9,6,2,1,13,1,0.31 ,0.23 ,22,1,3,14,0.64 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,16,Kukartsev Pablo,-,-,-,-,*,5 ,-,-,3,1,-2,4,1,-,-,-,-,-,7,2,2,3,0.43 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,18,Podrascanin Marko,-,-,-,5,1,1 ,-,-,2,2,-1,9,1,-,-,-,-,-,7,-,-,1,0.14 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,21,Bottolo Mattia,-,-,-,1,3,-,-,-,3,3,-1,6,1,2,8,1,0.75 ,0.50 ,3,-,1,1,0.33 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,22,Duflos-Rossi Noa,-,-,-,-,*,3 ,-,-,7,1,2,6,2,1,12,1,0.58 ,0.42 ,8,1,-,6,0.75 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,C,Cucine Lube Civitanova ,Lube,24,Tenorio Davi,-,-,-,2,4,4 ,-,-,7,5,-5,19,4,4,-,-,-,-,7,2,-,2,0.29 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,1,Velichkov Zhasmin,-,-,-,5,*,2 ,-,-,6,4,-4,9,1,1,14,2,0.64 ,0.43 ,12,4,1,3,0.25 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,2,Frascio Diego,-,-,-,4,3,4 ,-,-,7,1,1,6,3,-,-,-,-,-,14,1,1,6,0.43 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,4,Atanasov Martin,-,-,-,2,1,-,-,-,4,3,-12,8,3,1,11,4,0.09 ,-,16,3,3,2,0.13 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,5,Mapelli Nicolò,-,-,-,-,-,*,-,-,2,-,1,1,1,-,-,-,-,-,2,-,-,2,1.00 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,6,Rohrs Erik,-,-,-,*,4,5 ,-,-,8,1,-1,9,2,-,17,4,0.47 ,0.18 ,11,-,-,8,0.73 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,8,Ciampi Lorenzo,-,-,-,-,-,*,-,-,1,-,-,3,1,-,-,-,-,-,1,-,-,1,1.00 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,9,Knipe Aidan,-,-,-,*,6,1 ,-,-,1,1,-,4,-,1,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,10,Scanferla Leonardo,L,-,-,*,*,*,-,-,-,-,-2,-,-,-,11,2,0.18 ,0.09 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,11,Larizza Jacopo,-,-,-,3,2,3 ,-,-,5,2,-1,8,1,1,1,1,-,-,5,-,-,2,0.40 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,13,Beretta Thomas,-,-,-,6,5,-,-,-,2,1,1,6,1,-,-,-,-,-,2,-,-,1,0.50 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,17,Zimmermann Jan,-,-,-,1,*,*,-,-,-,-,-,4,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,18,Mosca Leandro,-,-,-,-,-,6 ,-,-,1,-,-1,2,-,-,-,-,-,-,2,-,-,1,0.50 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,129,25/2/2026 ,20:30 ,2.114 ,€ 14.968 ,O,Vero Volley Monza ,Monza,29,Pisoni Alessandro,L,-,-,-,*,*,-,-,-,-,-,-,-,-,6,-,0.17 ,0.17 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,3,Recine Francesco,-,-,-,2,2,3 ,-,-,12,5,5,14,5,-,17,-,0.59 ,0.18 ,18,-,1,11,0.61 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,4,Ichino Tommaso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,5,Catania Damiano,L,-,-,*,*,*,-,-,-,-,-1,-,-,-,11,1,0.64 ,0.27 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,6,Masajedi Karen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,7,Reggers Ferre,-,-,-,4,4,5 ,-,-,18,6,7,12,5,2,-,-,-,-,27,4,-,14,0.52 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,8,Masulovic Nemanja,-,-,-,3,3,4 ,-,-,9,4,7,16,-,2,1,-,1.00 ,-,8,1,-,6,0.75 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,9,Barbanti Leonardo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,10,Lindqvist Veikka,-,-,-,-,*,*,-,-,2,1,2,-,-,-,-,-,-,-,4,-,-,2,0.50 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,13,Benacchio Alessandro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,14,Kreling Fernando,-,-,-,1,1,2 ,-,-,-,-,-3,10,3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,15,Otsuka Tatsunori,-,-,-,5,5,6 ,-,-,16,9,12,12,1,1,16,-,0.56 ,0.38 ,23,-,1,15,0.65 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,16,Di Martino Gabriele,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,17,Corbetta Jacopo,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,C,Allianz Milano ,Milano,18,Caneschi Edoardo,-,-,-,6,6,1 ,-,-,5,2,-1,9,3,-,-,-,-,-,6,-,1,4,0.67 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,1,Copelli Riccardo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,2,Codarin Lorenzo,-,-,-,3,6,5 ,-,-,3,-,-1,6,2,-,-,-,-,-,7,-,-,3,0.43 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,3,Cavaccini Domenico,L,-,-,*,*,*,-,-,-,-,-3,-,-,-,20,3,0.25 ,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,4,Bonomi Matteo,-,-,-,*,-,*,-,-,-,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,8,Oberto Simone,L,-,-,-,*,*,-,-,-,-,-,-,-,-,1,-,1.00 ,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,9,Zaytsev Ivan,-,-,-,5,2,4 ,-,-,4,-,-2,7,3,-,9,-,0.44 ,0.11 ,16,-,1,4,0.25 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,10,Strehlau Alexandre,-,-,-,2,5,*,-,-,2,-,-2,3,-,-,4,1,-,-,5,-,1,2,0.40 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,11,Giraudo Federico,-,-,-,*,-,*,-,-,1,-,-,2,1,-,3,-,-,-,4,-,-,1,0.25 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,2nd,11,,130,25/2/2026 ,20:30 ,1.389 ,€ 9.131 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,12,Sala Lorenzo,-,-,-,*,*,6 ,-,-,5,1,1,4,1,-,3,-,0.33 ,-,12,1,-,4,0.33 ,-,1,,,,,,,,
