Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,13,Aurora Pistolesi,Schiacciatrice,ITA,182,1999,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,16,Linda Mangani,Schiacciatrice,ITA,184,2000,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,17,Margherita Brandi,Centrale,ITA,183,2002,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,1,Nicole Da Pos,Palleggiatrice,ITA,182,2007,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,2,Martina Veneriano,Centrale,ITA,182,1995,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,3,Giulia Bianchi,Schiacciatrice,ITA,182,2006,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,5,Bianca Bucciarelli,Schiacciatrice,ITA,185,2001,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,7,Erika Ghezzi,Opposto,ITA,184,1995,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,9,Giorgia Bernasconi,Centrale,ITA,184,2001,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,10,Sara Stival,Opposto,ITA,182,2001,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,11,Roberta Purashaj,Palleggiatrice,ITA,182,2003,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,13,Francesca Trevisan,Schiacciatrice,ITA,180,1995,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,17,Anna Rocca,Libero,ITA,168,2002,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,19,Fiorella Bizzotto,Centrale,ITA,186,2005,,,
A2 GroupA,2025/2026,Clerici Auto Concorezzo,Concorezzo,20,Aurora Brambilla,Libero,ITA,170,2007,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,1,Asia Spaziano,Palleggiatrice,ITA,188,2007,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,2,Sara Cakovic,Palleggiatrice,ITA,182,2007,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,3,Stella Caruso,Schiacciatrice,ITA,192,2008,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,4,Caterina Peroni,Schiacciatrice,ITA,186,2007,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,5,Beatrice Spada,Opposto,ITA,189,2007,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,6,Maria Solovei,Opposto,UKR,196,2009,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,7,Martina Susio,Schiacciatrice,ITA,190,2007,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,9,Veronica Quero,Centrale,ITA,191,2007,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,10,Ludovica Tosini,Schiacciatrice,ITA,192,2008,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,11,Arianna Bovolenta,Centrale,ITA,190,2008,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,13,Alessia Regoni,Libero,ITA,171,2006,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,14,Emma Magnabosco,Palleggiatrice,ITA,178,2006,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,16,Giorgia Sari,Centrale,ITA,189,2008,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,17,Sofia Moss,Schiacciatrice,ITA,183,2007,,,
A2 GroupA,2025/2026,Club Italia,Club Italia,18,Miranda Zanella,Centrale,ITA,188,2008,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,1,Andrea Tisma,Palleggiatrice,SRB,188,2003,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,2,Emma Rizzieri,Palleggiatrice,ITA,176,2002,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,3,Aneta Zojzi,Schiacciatrice,ITA,186,2003,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,5,Valentina Colombo,Centrale,ITA,185,2003,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,6,Giulia Felappi,Schiacciatrice,ITA,181,2002,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,7,Martina Ferrara,Libero,ITA,168,1999,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,8,Chiara Landucci,Centrale,ITA,185,2002,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,9,Giulia Viscioni,Schiacciatrice,ITA,185,2004,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,13,Benedetta Campagnolo,Centrale,ITA,187,2003,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,14,Greta Kiss,Schiacciatrice,HUN,182,1998,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,16,Anamarija Galic,Opposto,AUT,200,2001,,,
A2 GroupA,2025/2026,Gruppo Formula 3 Messina,Akademia Messina,21,Cecilia Oggioni,Libero,ITA,179,1999,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,1,Virginia Ristori Tomberli,Schiacciatrice,ITA,180,1999,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,2,Francesca Cosi,Centrale,ITA,189,2000,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,3,Beatrice Zeni,Libero,ITA,163,2008,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,4,Giada Guerra,Palleggiatrice,ITA,168,2004,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,5,Sofia Monza,Palleggiatrice,ITA,174,2002,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,7,Emily Cheyenne Colombo,Schiacciatrice,ITA,178,2007,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,8,Giulia Marconato,Centrale,ITA,190,2003,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,9,Rebecca Laporta,Libero,ITA,165,2003,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,10,Alice Pamio,Schiacciatrice,ITA,181,1998,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,13,Dominika Giuliani,Schiacciatrice,ITA,192,2004,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,15,Eleonora Muscetti,Palleggiatrice,ITA,180,2002,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,16,Greta Iob,Centrale,ITA,189,2006,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,17,Erica Andrich,Opposto,ITA,185,1998,,,
A2 GroupA,2025/2026,Itas Trentino,Trentino Volley,23,Irbe Lazda,Opposto,LAT,190,2001,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,1,Beatrice Pozzoni,Schiacciatrice,ITA,186,1995,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,2,Giulia Caserta,Centrale,ITA,185,1999,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,3,Chiara alice Cecchini,Centrale,ITA,181,2003,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,6,Jessica Kosonen,Schiacciatrice,FIN,174,1997,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,7,Kata Torok,Schiacciatrice,HUN,182,1998,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,8,Erin Grippo,Palleggiatrice,ITA,171,2002,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,9,Florencia Ferraro,Palleggiatrice,ITA,170,2003,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,10,Sofia Giuli',Libero,ITA,168,2008,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,11,Barbara Varaldo,Opposto,ITA,0,1995,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,13,Sara Tajè,Centrale,ITA,187,1998,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,15,Amelie Vighetto,Opposto,ITA,193,2006,,,
A2 GroupA,2025/2026,Marsala Volley,Marsala Volley,23,Luna Cicola,Libero,ITA,170,2004,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,2,Carola Colombino,Opposto,ITA,187,2005,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,3,Maria Teresa Bassi,Schiacciatrice,ITA,188,2002,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,4,Giorgia Avenia,Palleggiatrice,ITA,180,1994,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,5,Emma Sturniolo,Palleggiatrice,ITA,175,2003,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,7,Aurora Morandini,Libero,ITA,170,2000,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,8,Lara Gianfico,Centrale,ITA,192,2002,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,9,Jessica Joly,Schiacciatrice,ITA,180,2000,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,10,Daniela Soledad Bulaich Simian,Schiacciatrice,ARG,178,1997,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,12,Beatrice Perfetto,Schiacciatrice,ITA,182,2005,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,14,Gaia Roserba,Libero,ITA,165,2008,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,15,Ilaria Maruotti,Schiacciatrice,ITA,183,1994,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,18,Maria Adelaide Babatunde,Centrale,ITA,188,1998,,,
A2 GroupA,2025/2026,Narconon Volley Melendugno,Narconon Volley Melendugno,23,Chiara Riparbelli,Centrale,ITA,188,1996,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,1,Nikoleta Perovic,Opposto,MNE,188,1994,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,3,Chiara Mason,Schiacciatrice,ITA,183,2000,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,5,Martina Cantoni,Palleggiatrice,ITA,185,2006,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,7,Claudia Consoli,Centrale,ITA,183,2002,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,8,Chiara Biesso,Centrale,ITA,184,2002,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,11,Federica Baratella,Libero,ITA,174,2006,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,13,Ludovica Guidi,Centrale,ITA,186,1992,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,14,Giorgia Zannoni,Libero,ITA,175,1998,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,15,Carola Sbano,Libero,ITA,165,2006,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,17,Teresa Maria Bosso,Schiacciatrice,ITA,180,2005,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,18,Carolina Pecorari,Schiacciatrice,ITA,184,2003,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,22,Gaia Guiducci,Palleggiatrice,ITA,178,2002,,,
A2 GroupA,2025/2026,SMI Roma Volley,Roma Volley Club,26,Romy Jatzko,Schiacciatrice,GER,187,2000,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,2,Melissa Mattioli,Centrale,ITA,202,2006,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,4,Chiara Costagli,Schiacciatrice,ITA,188,1998,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,5,Sofia Nosella,Schiacciatrice,ITA,178,2006,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,7,Martina Morandi,Libero,ITA,175,2002,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,8,Valeria Vazquez gomez,Schiacciatrice,PUR,185,2001,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,9,Giulia Neri,Palleggiatrice,ITA,187,2001,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,10,Alice Stafoggia,Schiacciatrice,ITA,184,2002,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,11,Beta Dumancic,Centrale,CRO,189,1991,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,12,Melissa Marku,Centrale,ITA,190,2004,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,13,Laura Pasquino,Palleggiatrice,ITA,181,2002,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,15,Giorgia Faraone,Libero,ITA,168,1994,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,17,Alexandra Ravarini,Opposto,ITA,184,2005,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,18,Betsy Amarachukwu Nwokoye,Centrale,ITA,202,2005,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,22,Rachele Rastelli,Opposto,ITA,192,1999,,,
A2 GroupA,2025/2026,èpiù Casalmaggiore,Casalmaggiore,88,Kovalcikova Linda,Schiacciatrice,SVK,180,2008,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,1,Karin Barbazeni,Centrale,ITA,195,1999,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,2,Sofia Cusma,Opposto,ITA,187,2004,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,3,Rebecca Feruglio,Palleggiatrice,ITA,178,2006,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,4,Alice Viola,Schiacciatrice,ITA,178,2006,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,6,Alessandra Mistretta,Libero,ITA,165,2002,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,9,Silvia Lotti,Schiacciatrice,ITA,185,1992,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,10,Islam Gannar,Centrale,ITA,189,2004,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,11,Aurora Rossetto,Schiacciatrice,ITA,188,1997,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,12,Beatrice Molinaro,Centrale,ITA,190,1995,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,13,Efrosyni Bakodimou,Schiacciatrice,GRE,181,2000,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,14,Giorgia Frosini,Opposto,ITA,189,2002,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,20,Francesca Scola,Palleggiatrice,ITA,183,2001,,,
A2 GroupB,2025/2026,Cda Volley Talmassons Fvg,Volley Talmassons,21,Aurora Cassan,Libero,ITA,160,2006,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,2,Puck Hoogers,Schiacciatrice,NED,179,2003,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,4,Sofia Schena,Opposto,ITA,181,2007,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,5,Sofia Cavalli,Palleggiatrice,ITA,172,1998,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,6,Chiara Salvatori,Centrale,ITA,185,2003,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,7,Gaia Novello,Schiacciatrice,ITA,188,2007,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,8,Valentina Vecchi,Schiacciatrice,ITA,181,2005,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,9,Polina Malik,Opposto,ISR,186,1998,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,10,Arianna Gambini,Libero,ITA,176,2005,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,11,Giuditta Romano,Centrale,ITA,187,2003,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,15,Giulia Osana,Libero,ITA,166,2005,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,17,Elena Foresi,Palleggiatrice,ITA,181,2000,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,18,Katarina Bulovic,Schiacciatrice,ITA,188,2002,,,
A2 GroupB,2025/2026,Clai Imola Volley,Imola Csi,23,Federica Busolini,Centrale,ITA,186,1999,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,1,Veronica Taborelli,Opposto,ITA,183,1994,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,2,Bianca Orlandi,Schiacciatrice,ITA,180,2003,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,3,Alessandra Talarico,Centrale,ITA,187,2007,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,4,Marika Longobardi,Schiacciatrice,ITA,180,1998,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,5,Alyssa Enneking,Schiacciatrice,USA,184,1997,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,6,Sofia Alberti,Palleggiatrice,ITA,176,2003,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,7,Sophie Andrea Blasi,Libero,ITA,177,2002,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,8,Arita Ternava,Schiacciatrice,FIN,183,2002,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,9,Helena Sassolini,Palleggiatrice,ITA,179,2005,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,10,Alice Farina,Centrale,ITA,189,2000,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,12,Gaia Moroni,Opposto,ITA,188,2005,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,13,Elena Aina,Libero,ITA,169,2007,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,14,Anja Nella,Schiacciatrice,ITA,185,2006,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,15,Sofia Rebora,Centrale,ITA,179,1993,,,
A2 GroupB,2025/2026,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,20,Silvia Sormani,Libero,ITA,167,2003,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,1,Laura Bovo,Centrale,ITA,192,1996,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,2,Silvia Romanin,Palleggiatrice,ITA,192,2003,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,3,Cristina Fiorio,Schiacciatrice,ITA,180,1997,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,4,Giulia Bozzoli,Opposto,ITA,187,2004,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,5,Celeste Sposetti Perissinotto,Libero,ITA,172,2005,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,8,Marianna Maggipinto,Libero,ITA,164,1996,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,9,Greta Catania,Centrale,ITA,188,2004,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,10,Sara Pedrolli,Centrale,ITA,187,2007,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,11,Marie Hanle,Opposto,GER,188,2002,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,12,Lisa Esposito,Schiacciatrice,ITA,187,2005,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,14,Sofia Moroni,Schiacciatrice,ITA,185,2007,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,15,Erika Esposito,Schiacciatrice,ITA,185,2006,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,16,Martina Stocco,Palleggiatrice,ITA,190,2000,,,
A2 GroupB,2025/2026,Nuvolì Altafratte Padova,Alta Fratte Volley Padova,18,Giorgia Mazzon,Opposto,ITA,185,1998,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,1,Marta Gazzerro,Libero,ITA,170,2005,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,2,Claudia Provaroni,Schiacciatrice,ITA,181,1998,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,3,Aurora Del Freo,Schiacciatrice,ITA,186,2006,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,5,Candela Sol Salinas,Schiacciatrice,ARG,183,2000,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,7,Maria Sofia Negro,Palleggiatrice,ITA,184,2000,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,8,Amelie joyce Pixner,Centrale,ITA,188,2006,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,9,Margherita Muzi,Palleggiatrice,ITA,182,1994,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,10,Federica Piacentini,Centrale,ITA,193,2001,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,11,Chiara Vinciguerra,Centrale,ITA,185,1997,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,12,Piia Korhonen,Opposto,FIN,187,1997,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,15,Ilaria Maiorano,Schiacciatrice,ITA,178,2004,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,16,Adelaide Soleti,Schiacciatrice,ITA,183,1997,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,17,Laura Franceschini,Centrale,ITA,190,2006,,,
A2 GroupB,2025/2026,Olio Pantaleo Volley Fasano,Il Podio Fasano,18,Federica Vittorio,Libero,ITA,164,1991,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,1,Tai Masyn Bierria,Schiacciatrice,USA,186,1997,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,2,Giulia Biagini,Libero,ITA,165,2000,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,3,Francesca matilde Evola,Centrale,ITA,186,2005,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,6,Michelle Ungaro,Schiacciatrice,ITA,180,2005,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,7,Palma Monitillo,Schiacciatrice,ITA,177,1987,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,8,Monika Krasteva,Opposto,BUL,183,1999,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,9,Noemi D'Onofrio,Libero,ITA,162,2003,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,10,Alessia Pulliero,Centrale,ITA,185,2004,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,11,Gaia Riva,Schiacciatrice,ITA,178,2000,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,12,Alessia Arciprete,Schiacciatrice,ITA,181,1997,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,13,Paola Nuzzi,Centrale,ITA,180,1997,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,14,Valeria Caracuta,Palleggiatrice,ITA,173,1987,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,16,Valentina Soriani,Centrale,ITA,181,1989,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,17,Roberta Chiesa,Schiacciatrice,ITA,174,1996,,,
A2 GroupB,2025/2026,Panbiscò Leonessa Altamura,Leonessa Volley Altamura,19,Ester Serafini,Palleggiatrice,ITA,178,2001,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,1,Alessia Fini,Libero,ITA,170,2004,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,2,Maia Carlotta Monaco,Centrale,ITA,186,2006,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,3,Giulia Polesello,Centrale,ITA,185,2004,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,5,Julia Murmann,Schiacciatrice,CAN,180,2002,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,6,Dalila Marchesini,Centrale,ITA,185,2006,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,7,Melissa Tesi,Libero,ITA,170,2002,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,9,Viola Passaro,Palleggiatrice,ITA,182,2004,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,10,Sofia Gazzola,Libero,ITA,157,2006,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,11,Adji Astou Ndoye,Schiacciatrice,ITA,180,2006,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,12,Alice Trampus,Schiacciatrice,ITA,193,2004,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,13,Gaia Farelli,Schiacciatrice,ITA,186,2006,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,14,Victoria Sassolini,Schiacciatrice,ITA,180,2005,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,15,Anita Bagnoli,Palleggiatrice,ITA,175,2004,,,
