Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,
A1,2025/2026,Eurotek Laica Uyba,Uyba Busto Arsizio,19,Jennifer Boldini,Palleggiatrice,ITA,187,1999,,,
A1,2025/2026,Eurotek Laica Uyba,Uyba Busto Arsizio,23,Melanie Parra,Schiacciatrice,MEX,181,2002,,,
A1,2025/2026,Eurotek Laica Uyba,Uyba Busto Arsizio,52,Carter Booth,Centrale,USA,201,2003,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,1,Ela Koulisiani,Centrale,CZE,188,2002,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,2,Jaelyn Keene,Centrale,USA,188,1995,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,3,Princess Atamah,Centrale,ITA,186,2005,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,4,Jessica Rivero,Schiacciatrice,ESP,181,1995,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,5,Margarita Martinez,Schiacciatrice,COL,180,1995,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,6,Nova Marring,Schiacciatrice,NED,186,2001,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,7,Erika Pritchard,Schiacciatrice,USA,192,1999,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,8,Linda Magnani,Libero,ITA,158,2007,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,9,Safa Allaoui,Palleggiatrice,ITA,185,2006,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,10,Anna Bardaro,Libero,ITA,177,2005,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,11,Agnese Cecconello,Centrale,ITA,190,1999,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,12,Masa Pucelj,Schiacciatrice,SLO,188,2006,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,13,Noemi Signorile,Palleggiatrice,ITA,183,1990,,,
A1,2025/2026,Honda Cuneo Granda Volley,Honda Cuneo Granda Volley,18,Binto Diop,Opposto,ITA,194,2002,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,2,Silke Van Avermaet,Centrale,BEL,192,1999,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,3,Carlotta Cambi,Palleggiatrice,ITA,176,1996,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,4,Britt Herbots,Schiacciatrice,BEL,182,1999,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,5,Federica Squarcini,Centrale,ITA,183,2000,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,6,Giulia De Nardi,Libero,ITA,171,1994,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,8,Giulia Leonardi,Libero,ITA,165,1987,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,9,Lina Alsmeier,Schiacciatrice,GER,189,2000,,,
