Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
A1,2023/2024,Allianz Milano,Milano,1 ,KAZIYSKI Matey,Schiacciatore,1984,203,BUL,BUL,-,-
A1,2023/2024,Allianz Milano,Milano,2 ,MERGAREJO HERNANDEZ Osniel Lazaro,Schiacciatore,1997,197,CUB,CUB,-,-
A1,2023/2024,Allianz Milano,Milano,4 ,ZONTA Nicola,Palleggiatore,2000,186,UD,ITA,-,-
A1,2023/2024,Allianz Milano,Milano,5 ,CATANIA Damiano,Libero,2001,180,CT,ITA,-,-
A1,2023/2024,Allianz Milano,Milano,6 ,VITELLI Marco,Centrale,1996,203,CH,ITA,-,-
A1,2023/2024,Allianz Milano,Milano,7 ,REGGERS Ferre,Schiacciatore,2003,203,BEL,BEL,-,-
A1,2023/2024,Allianz Milano,Milano,8 ,LOSER Agustin,Centrale,1997,201,ARG,ARG,-,-
A1,2023/2024,Allianz Milano,Milano,10 ,INNOCENZI Andrea,Centrale,2000,203,MI,ITA,-,-
A1,2023/2024,Allianz Milano,Milano,11 ,PIANO Matteo,Centrale,1990,209,AT,ITA,-,-
A1,2023/2024,Allianz Milano,Milano,14 ,ISHIKAWA Yuki,Schiacciatore,1995,192,JPN,JPN,-,-
A1,2023/2024,Allianz Milano,Milano,16 ,PORRO Paolo,Palleggiatore,2001,185,GE,ITA,-,-
A1,2023/2024,Allianz Milano,Milano,17 ,COLOMBO Luca Samuele Maria,Libero,2004,178,MI,ITA,-,-
A1,2023/2024,Allianz Milano,Milano,30 ,DIRLIC Petar,Schiacciatore,1997,205,CRO,CRO,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,1 ,DE SANTIS Saverio,Libero,1999,175,RC,ITA,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,3 ,TOSTI Jacopo,Centrale,2008,-,RM,ITA,dal 18/10/2023,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,4 ,FINAURI Alessandro,Schiacciatore,2004,185,-,ITA,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,6 ,GIANI Lorenzo,Palleggiatore,2002,190,CO,ITA,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,7 ,RAMON Jordi,Schiacciatore,1999,194,ESP,ESP,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,10 ,PICCINELLI Alessandro,Libero,1997,189,MI,ITA,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,11 ,FAURE Theo,Schiacciatore,1999,202,FRA,FRA,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,13 ,ROSSI Andrea,Centrale,1989,202,AR,ITA,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,14 ,CZERWINSKI Michael,Schiacciatore,2003,206,AUT,AUT,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,17 ,BARANOWICZ Michele,Palleggiatore,1989,196,CN,ITA,dal 24/11/2023,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,18 ,MAZZONE Daniele,Centrale,1992,209,TO,ITA,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,20 ,BAYRAM Efe,Schiacciatore,2002,194,TUR,TUR,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,29 ,NEDELJKOVIC Aleksandar,Centrale,1997,205,SRB,SRB,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,98 ,PERIC Pavle,Schiacciatore,1998,207,SRB,SRB,-,-
A1,2023/2024,Cisterna Volley,Cisterna Volley,8 ,SAITTA Davide,Palleggiatore,1987,190,CT,ITA,fino al 27/11/2023,-
A1,2023/2024,Cucine Lube Civitanova,Lube,1 ,CHINENYEZE Barthelemy,Centrale,1998,204,FRA,FRA,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,2 ,THELLE Jakob Solgaard,Palleggiatore,1999,198,NOR,NOR,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,4 ,MOTZO Matheus,Schiacciatore,1999,192,BRA,ITA,-,-
