Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,2,Noemi Monti,Schiacciatrice,ITA,175,2008
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,3,Aneta Zojzi,Schiacciatrice,ITA,186,2003
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,6,Rachele Mainetti,Libero,ITA,170,2000
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,7,Matilde Frigerio,Centrale,ITA,183,2002
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,8,Alessia Conti,Opposto,ITA,194,2003
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,9,Helena Sassolini,Palleggiatrice,ITA,180,2005
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,10,Martina Morandi,Schiacciatrice,ITA,175,2002
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,11,Federica Piacentini,Centrale,ITA,193,2001
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,13,Valentina Cantaluppi,Schiacciatrice,ITA,184,2004
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,14,Alice Barbagallo,Libero,ITA,168,1997
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,15,Gaia Badalamenti,Schiacciatrice,ITA,171,2002
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,17,Anna Caneva,Centrale,ITA,187,1992
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,18,Carola Casari,Libero,ITA,162,2006
A2,2023/24,Orocash Picco Lecco,Pallavolo Lecco A. Picco,18,Rachele Nardelli,Schiacciatrice,ITA,186,2001
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,1,Emanuela Agbortabi,Centrale,ITA,187,2002
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,2,Anna Green,Palleggiatrice,ITA,176,2000
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,5,Francesca Dell'Orto,Palleggiatrice,ITA,177,2003
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,7,Giada Agazzi,Centrale,ITA,190,2003
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,9,Nikolina Boshnakova,Opposto,BLR,190,1998
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,10,Martina Ghezzi,Schiacciatrice,ITA,184,2001
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,12,Alessia Pacchiotti,Libero,ITA,165,2001
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,13,Monica Mazzoleni,Centrale,ITA,188,1997
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,14,Aurélia Ebatombo,Opposto,FRA,184,1998
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,15,Nadia Rossi,Opposto,ITA,185,1999
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,16,Arianna Lancini,Schiacciatrice,ITA,178,1996
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,18,Elizabeth Vicet Campos,Schiacciatrice,,178,2000
A2,2023/24,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,20,Alice Gay,Libero,ITA,165,2002
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,1,Ulrike Bridi,Palleggiatrice,ITA,182,1998
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,2,Federica Pelloni,Libero,ITA,172,2002
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,3,Elisa D'Este,Centrale,ITA,188,2002
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,4,Martina Martinelli,Opposto,ITA,181,1994
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,5,Nicole Modesti,Centrale,ITA,188,2004
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,7,Giorgia Compagnin,Palleggiatrice,ITA,180,2005
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,8,Giorgia Sironi,Opposto,ITA,185,1995
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,10,Francesca Parise,Schiacciatrice,ITA,178,2001
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,11,Francesca Trevisan,Schiacciatrice,ITA,180,1995
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,14,Sara Tajè,Centrale,ITA,187,1998
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,15,Giorgia Tommasini,Libero,ITA,158,2006
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,16,Tamara Abila De Paula,Schiacciatrice,BRA,190,1998
A2,2023/24,Trasporti Bressan Offanengo,Volley Offanengo,17,Victoria Sassolini,Schiacciatrice,ITA,180,2005
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,2,Bianca Orlandi,Schiacciatrice,ITA,180,2003
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,3,Virginia Adriano,Opposto,ITA,196,2004
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,5,Letizia Anello,Centrale,ITA,180,2002
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,6,Islam Gannar,Centrale,ITA,189,2004
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,7,Sophie Andrea Blasi,Libero,ITA,177,2002
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,9,Rosita Civetta,Palleggiatrice,ITA,180,2003
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,10,Laura Partenio,Schiacciatrice,ITA,183,1991
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,11,Sara Fontemaggi,Schiacciatrice,ITA,180,2002
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,15,Yuka Imamura,Schiacciatrice,JPN,175,1993
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,16,Melissa Marku,Centrale,ITA,190,2004
A2,2023/24,Volley Hermaea Olbia,Hermaea Olbia,17,Dana Schmit,Palleggiatrice,AUT,178,1997
