Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2000/2001,A1,Asystel Milano,1,MILINKOVIC Marcos Antonio,Spiker,1971,204,ARG,ARG,-,-
2000/2001,A1,Asystel Milano,3,HELD Henk Jan,Middleblocker,1967,200,NED,NED,-,-
2000/2001,A1,Asystel Milano,5,COZZI Paolo,Middleblocker,1980,200,MI,ITA,-,-
2000/2001,A1,Asystel Milano,6,VERGNAGHI Daniele,Libero,1972,193,MI,ITA,-,-
2000/2001,A1,Asystel Milano,8,MILONE Antonino,Middleblocker,1975,200,NA,ITA,from 01/11/2000,proveniente da Bossini Wlf Montichiari
2000/2001,A1,Asystel Milano,8,CAVALLINI Lorenzo,Middleblocker,1970,198,RE,ITA,until 13/11/2000,trasferito a Bossini Wlf Montichiari
2000/2001,A1,Asystel Milano,9,PIROLA Stefano,Spiker,1974,196,MI,ITA,-,-
2000/2001,A1,Asystel Milano,10,GRBIC Nikola,Setter,1973,195,SRB,SRB,-,-
2000/2001,A1,Asystel Milano,11,ZLATANOV Hristo,Spiker,1976,201,BUL,ITA,-,-
2000/2001,A1,Asystel Milano,12,BARBARO Enzo,Setter,1978,190,MI,ITA,-,-
2000/2001,A1,Asystel Milano,13,TEDESCHI Lorenzo,Spiker,1968,196,AQ,ITA,-,-
2000/2001,A1,Asystel Milano,15,BONATI Claudio,Spiker,1971,194,VR,ITA,-,-
2000/2001,A1,Asystel Milano,16,GATTI Davide,Spiker,1980,-,MI,ITA,-,-
2000/2001,A1,Asystel Milano,16,CAZZANIGA Roberto,Spiker,1979,200,MI,ITA,from 19/11/2000,-
2000/2001,A1,Bossini Wlf Montichiari,1,BELLINI Davide,Setter,1969,197,MO,ITA,-,-
2000/2001,A1,Bossini Wlf Montichiari,3,MOLTENI Marco,Spiker,1976,196,BS,ITA,until 09/11/2000,trasferito a European Padova
2000/2001,A1,Bossini Wlf Montichiari,4,MODICA Riccardo,Setter,1973,180,PA,ITA,-,-
2000/2001,A1,Bossini Wlf Montichiari,5,HARDY Benjamin Kirk,Spiker,1974,199,AUS,AUS,from 07/11/2000,proveniente da European Padova
2000/2001,A1,Bossini Wlf Montichiari,6,GERIC Andrija,Middleblocker,1977,203,SRB,SRB,-,-
2000/2001,A1,Bossini Wlf Montichiari,7,MITKOV Evgueni,Libero,1972,193,RUS,-,-,-
2000/2001,A1,Bossini Wlf Montichiari,8,LAMBERT Michael Allen,Spiker,1974,198,USA,USA,-,-
