Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2001/2002,A1,Asystel Milano,1,MILINKOVIC Marcos Antonio,Spiker,1971,204,ARG,ARG,-,-
2001/2002,A1,Asystel Milano,2,MILONE Antonino,Middleblocker,1975,200,NA,ITA,until 11/12/2001,trasferito a Alimenti Sardi Cagliari
2001/2002,A1,Asystel Milano,3,HELD Henk Jan,Middleblocker,1967,200,NED,ITA,-,-
2001/2002,A1,Asystel Milano,5,COZZI Paolo,Middleblocker,1980,200,MI,ITA,-,-
2001/2002,A1,Asystel Milano,6,VERGNAGHI Daniele,Libero,1972,193,MI,ITA,-,-
2001/2002,A1,Asystel Milano,8,ROSALBA Simone,Spiker,1976,197,CS,ITA,-,-
2001/2002,A1,Asystel Milano,9,GRBIC Nikola,Setter,1973,195,SRB,SRB,-,-
2001/2002,A1,Asystel Milano,10,PIROLA Stefano,Spiker,1974,196,MI,ITA,-,-
2001/2002,A1,Asystel Milano,11,ZLATANOV Hristo,Spiker,1976,201,BUL,ITA,-,-
2001/2002,A1,Asystel Milano,12,BARBARO Enzo,Setter,1978,190,MI,ITA,-,-
2001/2002,A1,Asystel Milano,13,TEDESCHI Lorenzo,Spiker,1968,196,AQ,ITA,-,-
2001/2002,A1,Asystel Milano,15,BONATI Claudio,Spiker,1971,194,VR,ITA,-,-
2001/2002,A1,Asystel Milano,15,HOWARD Daniel Allan,Middleblocker,1976,209,AUS,AUS,from 12/10/2001,proveniente da Yahoo! Italia Volley Ferrara
2001/2002,A1,Asystel Milano,16,CAZZANIGA Roberto,Spiker,1979,200,MI,ITA,-,-
2001/2002,A1,Borgocanale Taranto,1,GIRETTO Giacomo,Middleblocker,1973,205,IM,ITA,-,-
2001/2002,A1,Borgocanale Taranto,2,FANULI Fabio,Spiker,1985,190,TA,ITA,-,-
2001/2002,A1,Borgocanale Taranto,4,KOVAC Slobodan,Spiker,1967,196,SRB,SRB,-,-
2001/2002,A1,Borgocanale Taranto,5,BROGIONI Andrea,Setter,1968,195,FI,ITA,-,-
2001/2002,A1,Borgocanale Taranto,6,SCHUIL Richard,Spiker,1973,202,NED,NED,-,-
2001/2002,A1,Borgocanale Taranto,7,NUZZO Gianluca,Spiker,1975,193,LE,ITA,-,-
2001/2002,A1,Borgocanale Taranto,8,HALDANE Jason,Middleblocker,1971,202,CAN,CAN,-,-
2001/2002,A1,Borgocanale Taranto,10,GUGLIELMI Francesco,Spiker,1972,191,TA,ITA,-,-
2001/2002,A1,Borgocanale Taranto,11,LAPACCIANA Eustachio,Setter,1979,182,BA,ITA,-,-
2001/2002,A1,Borgocanale Taranto,12,SPADA Pietro,Middleblocker,1971,203,TA,ITA,-,-
2001/2002,A1,Borgocanale Taranto,13,VUJEVIC Goran,Spiker,1973,192,MNE,SRB,-,-
2001/2002,A1,Borgocanale Taranto,14,GIOSA Alessandro,Middleblocker,1977,198,TA,ITA,-,-
2001/2002,A1,Borgocanale Taranto,15,BARI Andrea,Libero,1980,185,AN,ITA,-,-
2001/2002,A1,Bossini Sangemini Montichiari,1,BELLINI Davide,Setter,1969,197,MO,ITA,-,-
2001/2002,A1,Bossini Sangemini Montichiari,2,MILLAR Ryan,Middleblocker,1978,200,USA,USA,-,-
2001/2002,A1,Bossini Sangemini Montichiari,3,MOLTENI Marco,Spiker,1976,196,BS,ITA,-,-
2001/2002,A1,Bossini Sangemini Montichiari,4,SAVANI Cristian,Spiker,1982,195,MN,ITA,-,-
2001/2002,A1,Bossini Sangemini Montichiari,5,HUBNER Stefan,Middleblocker,1975,200,GER,GER,-,-
2001/2002,A1,Bossini Sangemini Montichiari,6,SOTTILE Daniele,Setter,1979,190,ME,ITA,-,-
2001/2002,A1,Bossini Sangemini Montichiari,8,VICINI Marco,Libero,1974,193,AN,ITA,-,-
2001/2002,A1,Bossini Sangemini Montichiari,9,NUMMERDOR Reinder,Spiker,1976,193,NED,NED,-,-
2001/2002,A1,Bossini Sangemini Montichiari,12,SIMEONOV Ventceslav,Spiker,1977,200,BUL,BUL,-,-
2001/2002,A1,Bossini Sangemini Montichiari,13,BARTOLETTI Andrea,Setter,1978,203,AN,ITA,-,-
2001/2002,A1,Bossini Sangemini Montichiari,14,LOGLISCI Marco,Middleblocker,1975,196,PR,ITA,-,-
2001/2002,A1,Bossini Sangemini Montichiari,15,CAVALLARI Andrea,Libero,1974,180,MN,ITA,-,-
2001/2002,A1,Bossini Sangemini Montichiari,16,BARBARESCHI Giorgio,Spiker,1978,193,GE,ITA,-,-
2001/2002,A1,Casa Modena Salumi,1,GARDINI Andrea,Middleblocker,1965,202,RA,ITA,-,-
2001/2002,A1,Casa Modena Salumi,2,LAURILA Lassepetteri,Setter,1973,187,FIN,FIN,-,-
2001/2002,A1,Casa Modena Salumi,3,TAGLIATTI Marco,Middleblocker,1975,200,FE,ITA,-,-
2001/2002,A1,Casa Modena Salumi,5,GORTZEN Guido,Spiker,1970,198,NED,NED,-,-
2001/2002,A1,Casa Modena Salumi,8,BALL Lloy,Setter,1972,203,USA,USA,-,-
2001/2002,A1,Casa Modena Salumi,10,CANTAGALLI Luca,Spiker,1965,199,RE,ITA,-,-
2001/2002,A1,Casa Modena Salumi,11,FROSINI Andrea,Spiker,1976,198,FI,ITA,-,-
2001/2002,A1,Casa Modena Salumi,12,PIPPI Damiano,Libero,1971,194,PG,ITA,-,-
2001/2002,A1,Casa Modena Salumi,13,GIANI Andrea,Spiker,1970,196,NA,ITA,-,-
2001/2002,A1,Casa Modena Salumi,15,IAKOVLEV Roman,Spiker,1976,201,RUS,RUS,-,-
2001/2002,A1,Casa Modena Salumi,16,BOVOLENTA Vigor,Middleblocker,1974,202,RO,ITA,-,-
2001/2002,A1,Icom Latina,1,HERPE Renaud,Spiker,1975,197,FRA,FRA,-,-
2001/2002,A1,Icom Latina,3,DAQUIN Dominique,Middleblocker,1972,197,FRA,FRA,-,-
2001/2002,A1,Icom Latina,6,BEREZINE Alexander,Spiker,1975,200,RUS,RUS,-,-
2001/2002,A1,Icom Latina,8,PEZZULLO Carlo,Middleblocker,1967,197,RM,ITA,-,-
2001/2002,A1,Icom Latina,9,DI BELARDINO Marco,Spiker,1978,190,RM,ITA,-,-
2001/2002,A1,Icom Latina,10,SPANAKIS Alessandro,Setter,1978,192,RM,ITA,-,-
2001/2002,A1,Icom Latina,11,TORRE Paolo,Setter,1976,201,LU,ITA,-,-
2001/2002,A1,Icom Latina,11,FRANCESCHI Ferdinando,Spiker,1966,195,ARG,ITA,from 14/10/2001,-
2001/2002,A1,Icom Latina,12,BIRIBANTI Francesco,Spiker,1976,198,TR,ITA,-,-
2001/2002,A1,Icom Latina,13,CIPOLLARI Paolo,Middleblocker,1974,200,RM,ITA,-,-
2001/2002,A1,Icom Latina,15,MASCAGNA Gianni,Libero,1967,192,VT,ITA,-,-
2001/2002,A1,Icom Latina,16,ROSATI Mario,Spiker,1980,196,RM,ITA,-,-
2001/2002,A1,Icom Latina,17,PASCUAL Rafael,Spiker,1970,195,ESP,ESP,-,-
2001/2002,A1,Icom Latina,18,BALDASSERONI Simone,Spiker,1977,196,RM,ITA,until 30/10/2001,trasferito a Com Cavi Multimedia Napoli
2001/2002,A1,Itas Diatec Trentino,1,AGAZZI Giuliano,Spiker,1968,198,CR,ITA,-,-
2001/2002,A1,Itas Diatec Trentino,2,FENILI Riccardo,Libero,1975,192,LU,ITA,-,-
2001/2002,A1,Itas Diatec Trentino,3,LAVORATO Francesco,Middleblocker,1969,198,GR,ITA,-,-
2001/2002,A1,Itas Diatec Trentino,4,GORIOUCHEV Valeri,Spiker,1973,198,RUS,RUS,-,-
2001/2002,A1,Itas Diatec Trentino,5,TOFOLI Paolo,Setter,1966,188,FM,ITA,-,-
2001/2002,A1,Itas Diatec Trentino,6,FORTUNATO Francesco,Middleblocker,1977,201,VI,ITA,-,-
2001/2002,A1,Itas Diatec Trentino,7,MESTER Dula,Middleblocker,1972,203,SRB,SRB,-,-
2001/2002,A1,Itas Diatec Trentino,8,DEL FEDERICO Horacio,Setter,1966,179,ARG,ITA,-,-
2001/2002,A1,Itas Diatec Trentino,9,SALA Andrea,Middleblocker,1978,202,VA,ITA,-,-
2001/2002,A1,Itas Diatec Trentino,10,BOSKAN Slobodan,Spiker,1975,197,SRB,SRB,-,-
2001/2002,A1,Itas Diatec Trentino,11,GIOMBINI Leondino,Spiker,1975,205,AN,ITA,-,-
